tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.246,-24.09,20.48,593.246,-24.016,20.48,10.0,-1,0
3,0.15,582.978,-24.092,19.77,592.978,-24.02,19.77,10.0,-1,0
4,0.2,582.709,-24.094,19.61,592.709,-24.024,19.6,10.0,-1,0
5,0.25,582.441,-24.096,19.27,592.441,-24.03,19.26,10.0,-1,0
6,0.3,582.172,-24.098,19.4,592.172,-24.036,19.39,10.0,-1,0
7,0.35,581.903,-24.1,19.36,591.903,-24.042,19.36,10.0,-1,0
8,0.4,581.632,-24.101,19.74,591.634,-24.048,19.43,10.002,-1,0
9,0.45,581.352,-24.104,20.56,591.364,-24.054,19.66,10.012,-1,0
10,0.5,581.057,-24.106,21.7,591.083,-24.061,20.7,10.026,-1,0
11,0.55,580.747,-24.108,22.76,590.788,-24.069,21.62,10.041,-1,0
12,0.6,580.42,-24.11,24.06,590.478,-24.078,22.79,10.058,-1,0
13,0.65,580.076,-24.113,25.21,590.155,-24.087,23.59,10.079,-1,0
14,0.7,579.716,-24.116,26.4,589.824,-24.097,23.94,10.108,-1,0
15,0.75,579.342,-24.118,27.24,589.492,-24.108,23.89,10.15,-1,0
16,0.8,578.957,-24.121,27.98,589.16,-24.119,23.98,10.203,-1,0
17,0.85,578.565,-24.124,28.35,588.827,-24.131,24.03,10.261,-1,0
18,0.9,578.169,-24.127,28.66,588.49,-24.146,24.48,10.321,-1,0
19,0.95,577.771,-24.13,28.69,588.146,-24.159,25.06,10.375,-1,0
20,1.0,577.372,-24.133,28.72,587.79,-24.17,25.94,10.419,-1,0
21,1.05,576.974,-24.136,28.55,587.425,-24.173,26.51,10.451,-1,0
22,1.1,576.579,-24.138,28.44,587.053,-24.16,27.13,10.474,-1,0
23,1.15,576.186,-24.141,28.18,586.67,-24.137,27.96,10.484,-1,0
24,1.2,575.796,-24.144,28.05,586.276,-24.111,28.72,10.481,55.871,0
25,1.25,575.408,-24.147,27.79,585.874,-24.074,29.3,10.467,24.9,0
26,1.3,575.023,-24.15,27.68,585.465,-24.035,29.79,10.442,17.835,0
27,1.35,574.641,-24.153,27.47,585.051,-24.007,29.88,10.411,15.576,0
28,1.4,574.26,-24.155,27.42,584.638,-23.992,29.72,10.379,16.236,0
29,1.45,573.88,-24.158,27.27,584.227,-23.991,29.54,10.348,16.421,0
30,1.5,573.501,-24.161,27.29,583.819,-24.003,29.4,10.319,17.57,0
31,1.55,573.123,-24.164,27.2,583.413,-24.023,29.2,10.291,18.515,0
32,1.6,572.745,-24.167,27.27,583.009,-24.047,29.11,10.265,20.035,0
33,1.65,572.366,-24.169,27.22,582.607,-24.07,28.88,10.242,22.159,0
34,1.7,571.987,-24.172,27.32,582.208,-24.093,28.72,10.221,26.24,0
35,1.75,571.608,-24.175,27.29,581.813,-24.117,28.37,10.205,33.907,0
36,1.8,571.228,-24.178,27.4,581.422,-24.141,28.13,10.193,49.887,0
37,1.85,570.848,-24.18,27.37,581.035,-24.16,27.64,10.187,138.197,0
38,1.9,570.467,-24.183,27.47,580.655,-24.175,27.24,10.188,-1,0
39,1.95,570.086,-24.186,27.44,580.282,-24.185,26.67,10.196,-1,0
40,2.0,569.704,-24.189,27.53,579.916,-24.192,26.12,10.212,-1,0
41,2.05,569.322,-24.192,27.48,579.56,-24.197,25.26,10.238,-1,0
42,2.1,568.94,-24.194,27.56,579.215,-24.199,24.57,10.276,-1,0
43,2.15,568.557,-24.197,27.5,578.881,-24.201,23.72,10.324,-1,0
44,2.2,568.175,-24.2,27.56,578.558,-24.202,23.01,10.383,-1,0
45,2.25,567.793,-24.203,27.49,578.264,-24.203,19.28,10.472,-1,0
46,2.3,567.41,-24.206,27.55,578.037,-24.204,14.46,10.627,-1,0
47,2.35,567.028,-24.208,27.48,577.877,-24.205,9.62,10.849,-1,0
48,2.4,566.646,-24.211,27.53,577.74,-24.206,10.11,11.094,-1,0
49,2.45,566.264,-24.214,27.46,577.594,-24.206,10.84,11.329,-1,0
50,2.5,565.883,-24.217,27.52,577.436,-24.206,11.75,11.553,-1,0
51,2.55,565.501,-24.219,27.45,577.263,-24.207,12.91,11.762,-1,0
52,2.6,565.119,-24.222,27.51,577.073,-24.209,14.09,11.954,-1,0
53,2.65,564.738,-24.225,27.44,576.867,-24.21,15.29,12.129,-1,0
54,2.7,564.356,-24.228,27.5,576.645,-24.212,16.5,12.288,-1,0
55,2.75,563.975,-24.231,27.44,576.405,-24.214,17.72,12.43,-1,0
56,2.8,563.593,-24.233,27.5,576.149,-24.217,18.94,12.556,-1,0
57,2.85,563.212,-24.236,27.44,575.876,-24.221,20.08,12.664,-1,0
58,2.9,562.83,-24.239,27.5,575.596,-24.225,20.28,12.766,-1,0
59,2.95,562.449,-24.242,27.44,575.309,-24.229,21.02,12.86,-1,0
60,3.0,562.067,-24.245,27.51,575.01,-24.235,21.83,12.943,-1,0
61,3.05,561.686,-24.247,27.44,574.698,-24.242,22.98,13.012,-1,0
62,3.1,561.304,-24.25,27.51,574.37,-24.249,24.1,13.066,-1,0
63,3.15,560.922,-24.253,27.45,574.023,-24.257,25.67,13.1,-1,0
64,3.2,560.541,-24.256,27.51,573.655,-24.265,26.82,13.115,-1,0
65,3.25,560.159,-24.259,27.45,573.275,-24.273,27.73,13.116,164.71,0
66,3.3,559.777,-24.261,27.51,572.884,-24.28,28.5,13.106,47.942,0
67,3.35,559.396,-24.264,27.45,572.48,-24.287,29.4,13.084,24.077,0
68,3.4,559.014,-24.267,27.51,572.066,-24.294,30.1,13.052,18.168,0
69,3.45,558.633,-24.27,27.45,571.642,-24.301,30.87,13.009,13.695,0
70,3.5,558.251,-24.272,27.51,571.207,-24.308,31.54,12.957,11.59,0
71,3.55,557.869,-24.275,27.45,570.764,-24.315,32.23,12.894,9.707,0
72,3.6,557.488,-24.278,27.51,570.312,-24.322,32.73,12.824,8.851,0
73,3.65,557.106,-24.281,27.45,569.853,-24.329,33.3,12.747,7.837,0
74,3.7,556.724,-24.284,27.51,569.386,-24.336,33.75,12.662,7.301,0
75,3.75,556.343,-24.286,27.45,568.914,-24.343,34.15,12.571,6.747,0
76,3.8,555.961,-24.289,27.51,568.438,-24.35,34.33,12.477,6.582,0
77,3.85,555.579,-24.292,27.45,567.96,-24.357,34.51,12.381,6.307,0
78,3.9,555.198,-24.295,27.51,567.481,-24.364,34.49,12.283,6.338,0
79,3.95,554.816,-24.298,27.45,567.002,-24.372,34.47,12.186,6.248,0
80,4.0,554.434,-24.3,27.51,566.525,-24.381,34.25,12.091,6.456,0
81,4.05,554.053,-24.303,27.45,566.051,-24.39,34.06,11.998,6.534,0
82,4.1,553.671,-24.306,27.51,565.581,-24.399,33.67,11.91,6.965,0
83,4.15,553.29,-24.309,27.45,565.117,-24.409,33.32,11.827,7.248,0
84,4.2,552.908,-24.312,27.51,564.658,-24.416,32.8,11.751,8.005,0
85,4.25,552.526,-24.314,27.45,564.206,-24.421,32.37,11.68,8.542,0
86,4.3,552.145,-24.317,27.51,563.761,-24.424,31.87,11.617,9.595,0
87,4.35,551.763,-24.32,27.45,563.322,-24.426,31.45,11.559,10.401,0
88,4.4,551.381,-24.323,27.51,562.89,-24.428,30.86,11.509,12.384,0
89,4.45,551.0,-24.325,27.45,562.465,-24.43,30.38,11.466,14.078,0
90,4.5,550.618,-24.328,27.51,562.049,-24.432,29.75,11.431,18.398,0
91,4.55,550.236,-24.331,27.45,561.64,-24.434,29.25,11.404,22.701,0
92,4.6,549.855,-24.334,27.51,561.239,-24.436,28.61,11.385,37.2,0
93,4.65,549.473,-24.337,27.45,560.846,-24.438,28.14,11.373,59.09,0
94,4.7,549.091,-24.339,27.51,560.46,-24.442,27.54,11.369,1351.843,0
95,4.75,548.71,-24.342,27.45,560.081,-24.447,27.11,11.372,-1,0
96,4.8,548.328,-24.345,27.51,559.709,-24.455,26.59,11.381,-1,0
97,4.85,547.947,-24.348,27.45,559.342,-24.463,26.31,11.396,-1,0
98,4.9,547.565,-24.351,27.51,558.98,-24.472,26.0,11.415,-1,0
99,4.95,547.183,-24.353,27.45,558.62,-24.479,25.81,11.438,-1,0
100,5.0,546.802,-24.356,27.51,558.265,-24.486,25.46,11.464,-1,0
101,5.05,546.42,-24.359,27.45,557.913,-24.492,25.2,11.494,-1,0
102,5.1,546.038,-24.362,27.51,557.567,-24.498,24.75,11.529,-1,0
103,5.15,545.657,-24.365,27.45,557.226,-24.503,24.43,11.57,-1,0
104,5.2,545.275,-24.367,27.51,556.891,-24.507,23.93,11.616,-1,0
105,5.25,544.893,-24.37,27.45,556.561,-24.509,23.57,11.669,-1,0
106,5.3,544.512,-24.373,27.51,556.238,-24.51,23.04,11.727,-1,0
107,5.35,544.13,-24.376,27.45,555.921,-24.509,22.67,11.792,-1,0
108,5.4,543.748,-24.378,27.51,555.611,-24.508,22.14,11.863,-1,0
109,5.45,543.367,-24.381,27.45,555.306,-24.506,21.88,11.94,-1,0
110,5.5,542.985,-24.384,27.51,555.004,-24.504,21.6,12.02,-1,0
111,5.55,542.604,-24.387,27.45,554.704,-24.503,21.72,12.101,-1,0
112,5.6,542.222,-24.39,27.51,554.4,-24.503,21.95,12.179,-1,0
113,5.65,541.84,-24.392,27.45,554.092,-24.504,22.4,12.252,-1,0
114,5.7,541.459,-24.395,27.51,553.777,-24.505,22.84,12.319,-1,0
115,5.75,541.077,-24.398,27.45,553.453,-24.507,23.69,12.376,-1,0
116,5.8,540.695,-24.401,27.51,553.117,-24.509,24.51,12.422,-1,0
117,5.85,540.314,-24.404,27.45,552.769,-24.51,25.34,12.456,-1,0
118,5.9,539.932,-24.406,27.51,552.412,-24.512,25.98,12.48,-1,0
119,5.95,539.55,-24.409,27.45,552.047,-24.514,26.47,12.497,-1,0
120,6.0,539.169,-24.412,27.51,551.678,-24.517,26.53,12.51,-1,0
121,6.05,538.787,-24.415,27.45,551.309,-24.519,26.66,12.522,-1,0
122,6.1,538.406,-24.418,27.51,550.938,-24.52,26.75,12.533,-1,0
123,6.15,538.024,-24.42,27.45,550.563,-24.522,27.16,12.54,-1,0
124,6.2,537.642,-24.423,27.51,550.183,-24.524,27.47,12.542,-1,0
125,6.25,537.261,-24.426,27.45,549.798,-24.521,27.9,12.538,98.725,0
126,6.3,536.879,-24.429,27.51,549.408,-24.519,28.3,12.529,57.147,0
127,6.35,536.497,-24.431,27.45,549.011,-24.518,28.68,12.514,36.355,0
128,6.4,536.116,-24.434,27.51,548.612,-24.515,28.74,12.497,36.654,0
129,6.45,535.734,-24.437,27.45,548.212,-24.511,28.86,12.478,31.729,0
130,6.5,535.352,-24.44,27.51,547.811,-24.509,28.92,12.459,31.927,0
131,6.55,534.971,-24.443,27.45,547.407,-24.507,29.17,12.437,25.959,0
132,6.6,534.589,-24.445,27.51,547.001,-24.505,29.35,12.412,24.245,0
133,6.65,534.208,-24.448,27.45,546.589,-24.504,29.77,12.382,19.168,0
134,6.7,533.826,-24.451,27.51,546.174,-24.504,29.95,12.349,18.197,0
135,6.75,533.444,-24.454,27.45,545.757,-24.505,30.1,12.313,16.72,0
136,6.8,533.062,-24.457,27.51,545.34,-24.506,29.98,12.277,17.91,0
137,6.85,532.681,-24.459,27.45,544.924,-24.508,29.89,12.243,18.05,0
138,6.9,532.299,-24.462,27.51,544.511,-24.512,29.63,12.212,20.787,0
139,6.95,531.918,-24.465,27.45,544.101,-24.515,29.53,12.183,21.061,0
140,7.0,531.536,-24.468,27.51,543.692,-24.519,29.35,12.156,23.763,0
141,7.05,531.154,-24.471,27.45,543.286,-24.522,29.2,12.131,24.828,0
142,7.1,530.773,-24.473,27.51,542.883,-24.525,28.88,12.11,31.886,0
143,7.15,530.391,-24.476,27.45,542.483,-24.528,28.69,12.092,34.989,0
144,7.2,530.009,-24.479,27.51,542.087,-24.53,28.41,12.078,48.372,0
145,7.25,529.628,-24.482,27.45,541.694,-24.531,28.23,12.066,55.649,0
146,7.3,529.246,-24.484,27.51,541.305,-24.532,27.81,12.059,146.357,0
147,7.35,528.865,-24.487,27.45,540.922,-24.533,27.48,12.058,1397.43,0
148,7.4,528.483,-24.49,27.51,540.544,-24.535,26.99,12.062,-1,0
149,7.45,528.101,-24.493,27.45,540.172,-24.536,26.68,12.071,-1,0
150,7.5,527.72,-24.496,27.51,539.805,-24.537,26.24,12.086,-1,0
151,7.55,527.338,-24.498,27.45,539.443,-24.538,26.05,12.105,-1,0
152,7.6,526.956,-24.501,27.51,539.083,-24.538,25.81,12.127,-1,0
153,7.65,526.575,-24.504,27.45,538.725,-24.54,25.73,12.151,-1,0
154,7.7,526.193,-24.507,27.51,538.37,-24.543,25.43,12.177,-1,0
155,7.75,525.811,-24.51,27.45,538.018,-24.547,25.28,12.207,-1,0
156,7.8,525.43,-24.512,27.51,537.669,-24.552,25.03,12.24,-1,0
157,7.85,525.048,-24.515,27.45,537.323,-24.557,24.87,12.275,-1,0
158,7.9,524.666,-24.518,27.51,536.98,-24.561,24.53,12.314,-1,0
159,7.95,524.285,-24.521,27.45,536.642,-24.564,24.29,12.357,-1,0
160,8.0,523.903,-24.524,27.51,536.308,-24.566,23.87,12.405,-1,0
161,8.05,523.522,-24.526,27.45,535.979,-24.566,23.61,12.457,-1,0
162,8.1,523.14,-24.529,27.51,535.654,-24.566,23.18,12.514,-1,0
163,8.15,522.758,-24.532,27.45,535.335,-24.567,22.91,12.576,-1,0
164,8.2,522.377,-24.535,27.51,535.02,-24.567,22.48,12.644,-1,0
165,8.25,521.995,-24.537,27.45,534.71,-24.567,22.25,12.715,-1,0
166,8.3,521.613,-24.54,27.51,534.403,-24.568,21.98,12.79,-1,0
167,8.35,521.232,-24.543,27.45,534.097,-24.568,22.09,12.866,-1,0
168,8.4,520.85,-24.546,27.51,533.788,-24.569,22.37,12.938,-1,0
169,8.45,520.468,-24.549,27.45,533.472,-24.572,23.09,13.003,-1,0
170,8.5,520.087,-24.551,27.51,533.145,-24.58,23.86,13.058,-1,0
171,8.55,519.705,-24.554,27.45,532.805,-24.59,24.89,13.1,-1,0
172,8.6,519.323,-24.557,27.51,532.454,-24.592,25.5,13.131,-1,0
173,8.65,518.942,-24.56,27.45,532.095,-24.595,26.04,13.153,-1,0
174,8.7,518.56,-24.563,27.51,531.73,-24.6,26.54,13.169,-1,0
175,8.75,518.179,-24.565,27.45,531.354,-24.602,27.38,13.176,-1,0
176,8.8,517.797,-24.568,27.51,530.967,-24.604,28.2,13.17,68.669,0
177,8.85,517.415,-24.571,27.45,530.569,-24.606,28.95,13.153,31.58,0
178,8.9,517.034,-24.574,27.51,530.163,-24.606,29.37,13.13,25.384,0
179,8.95,516.652,-24.577,27.45,529.751,-24.605,29.89,13.099,19.269,0
180,9.0,516.27,-24.579,27.51,529.333,-24.602,30.14,13.063,17.863,0
181,9.05,515.889,-24.582,27.45,528.913,-24.599,30.38,13.024,15.953,0
182,9.1,515.507,-24.585,27.51,528.49,-24.597,30.48,12.983,15.74,0
183,9.15,515.125,-24.588,27.45,528.065,-24.594,30.67,12.94,14.449,0
184,9.2,514.744,-24.59,27.51,527.639,-24.592,30.73,12.895,14.426,0
185,9.25,514.362,-24.593,27.45,527.211,-24.59,30.88,12.848,13.457,0
186,9.3,513.98,-24.596,27.51,526.782,-24.589,30.88,12.801,13.685,0
187,9.35,513.599,-24.599,27.45,526.352,-24.589,30.93,12.753,13.159,0
188,9.4,513.217,-24.602,27.51,525.924,-24.588,30.81,12.706,13.865,0
189,9.45,512.836,-24.604,27.45,525.496,-24.588,30.73,12.661,13.862,0
190,9.5,512.454,-24.607,27.51,525.072,-24.588,30.47,12.618,15.374,0
191,9.55,512.072,-24.61,27.45,524.65,-24.588,30.25,12.578,16.137,0
192,9.6,511.691,-24.613,27.51,524.233,-24.588,29.86,12.543,19.217,0
193,9.65,511.309,-24.616,27.45,523.821,-24.588,29.56,12.512,21.351,0
194,9.7,510.927,-24.618,27.51,523.414,-24.589,29.1,12.487,28.347,0
195,9.75,510.546,-24.621,27.45,523.013,-24.591,28.82,12.467,32.543,0
196,9.8,510.164,-24.624,27.51,522.616,-24.593,28.45,12.452,47.63,0
197,9.85,509.783,-24.627,27.45,522.222,-24.595,28.26,12.44,54.9,0
198,9.9,509.401,-24.63,27.51,521.832,-24.597,27.93,12.432,107.014,0
199,9.95,509.019,-24.632,27.45,521.446,-24.599,27.79,12.427,131.589,0
200,10.0,508.638,-24.635,27.42,521.061,-24.6,27.59,12.423,254.913,0
201,10.05,508.261,-24.638,26.98,520.679,-24.6,27.56,12.418,77.701,0
202,10.1,507.89,-24.641,26.49,520.297,-24.6,27.43,12.407,47.845,0
203,10.15,507.528,-24.643,25.71,519.917,-24.599,27.35,12.388,27.163,0
204,10.2,507.177,-24.646,25.05,519.538,-24.598,27.18,12.362,20.927,0
205,10.25,506.836,-24.648,24.15,519.16,-24.597,27.32,12.324,14.011,0
206,10.3,506.507,-24.651,23.44,518.779,-24.596,27.53,12.272,10.809,0
207,10.35,506.189,-24.653,22.5,518.394,-24.595,27.87,12.204,8.172,0
208,10.4,505.885,-24.655,20.85,518.004,-24.595,28.13,12.119,6.0,0
209,10.45,505.636,-24.657,16.02,517.611,-24.594,28.38,11.975,3.488,0
210,10.5,505.455,-24.658,11.17,517.217,-24.594,28.44,11.762,2.452,0
211,10.55,505.34,-24.659,6.35,516.82,-24.595,28.56,11.481,1.861,0
212,10.6,505.292,-24.66,1.59,516.425,-24.595,28.41,11.133,1.494,0
213,10.65,505.29,-24.66,0.0,516.031,-24.596,28.39,10.741,1.362,0
214,10.7,505.29,-24.66,0.0,515.637,-24.597,28.28,10.348,1.317,0
215,10.75,505.29,-24.66,0.0,515.244,-24.598,28.35,9.954,1.264,0
216,10.8,505.289,-24.66,0.0,514.851,-24.6,28.18,9.562,1.222,0
217,10.85,505.289,-24.66,0.0,514.461,-24.601,28.06,9.172,1.177,0
218,10.9,505.289,-24.66,0.0,514.074,-24.601,27.7,8.785,1.142,0
219,10.95,505.289,-24.66,0.0,513.693,-24.601,27.27,8.404,1.11,0
220,11.0,505.289,-24.66,0.0,513.32,-24.601,26.49,8.032,1.091,0
221,11.05,505.289,-24.66,0.0,512.958,-24.6,25.78,7.67,1.071,0
222,11.1,505.289,-24.66,0.0,512.609,-24.598,24.79,7.32,1.063,0
223,11.15,505.289,-24.66,0.0,512.271,-24.595,23.99,6.983,1.048,0
224,11.2,505.289,-24.66,0.0,511.946,-24.592,22.96,6.658,1.044,0
225,11.25,505.289,-24.66,0.0,511.662,-24.59,18.54,6.374,1.238,0
226,11.3,505.289,-24.66,0.0,511.445,-24.588,13.72,6.157,1.615,0
227,11.35,505.289,-24.66,0.0,511.295,-24.586,8.88,6.007,2.435,0
228,11.4,505.289,-24.66,0.0,511.212,-24.584,4.08,5.924,5.231,0
229,11.45,505.289,-24.66,0.0,511.192,-24.584,0.02,5.904,1062.412,0
230,11.5,505.289,-24.66,0.0,511.192,-24.584,0.0,5.904,7864.442,0
231,11.55,505.289,-24.66,0.0,511.192,-24.584,0.0,5.904,7425.368,0
232,11.6,505.289,-24.66,0.0,511.192,-24.584,0.0,5.904,8153.495,0
233,11.65,505.289,-24.66,0.0,511.191,-24.584,0.0,5.903,10552.977,0
234,11.7,505.289,-24.66,0.0,511.191,-24.584,0.0,5.903,13469.474,0
235,11.75,505.289,-24.66,0.0,511.191,-24.584,0.0,5.903,18615.817,0
236,11.8,505.289,-24.66,0.0,511.191,-24.584,0.0,5.903,24730.652,0
237,11.85,505.289,-24.66,0.0,511.191,-24.584,0.0,5.903,33303.136,0
238,11.9,505.289,-24.66,0.0,511.191,-24.584,0.0,5.903,71745.744,0
239,11.95,505.289,-24.66,0.0,511.191,-24.584,0.0,5.903,65634.183,0
240,12.0,505.289,-24.66,0.0,511.191,-24.584,0.0,5.903,75441.326,0
241,12.05,505.289,-24.66,0.0,511.191,-24.584,0.0,5.903,93470.954,0
242,12.1,505.289,-24.66,0.0,511.191,-24.584,0.0,5.903,123903.872,0
243,12.15,505.289,-24.66,0.0,511.191,-24.584,0.0,5.903,164143.026,0
244,12.2,505.289,-24.66,0.0,511.191,-24.584,0.0,5.903,223327.544,0
245,12.25,505.289,-24.66,0.0,511.191,-24.584,0.0,5.903,295718.604,0
246,12.3,505.289,-24.66,0.0,511.191,-24.584,0.0,5.903,864935.397,0
247,12.35,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,624505.584,0
248,12.4,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,673661.794,0
249,12.45,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,868288.713,0
250,12.5,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,1111371.458,0
251,12.55,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,1423710.621,0
252,12.6,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,1732684.552,0
253,12.65,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,2548171.121,0
254,12.7,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,-1,0
255,12.75,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,4113458.575,0
256,12.8,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,3128453.352,0
257,12.85,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,3645392.153,0
258,12.9,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,4193392.21,0
259,12.95,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,3446450.993,0
260,13.0,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,3335011.588,0
261,13.05,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,5078018.727,0
262,13.1,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,4533676.639,0
263,13.15,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,14229650.668,0
264,13.2,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,7548713.333,0
265,13.25,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,6964392.157,0
266,13.3,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,6416698.633,0
267,13.35,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,8555200.35,0
268,13.4,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,5617492.553,0
269,13.45,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,4419777.578,0
270,13.5,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,4209290.938,0
271,13.55,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,153684418.632,0
272,13.6,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,28091240.747,0
273,13.65,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,20614203.404,0
274,13.7,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,7547060.831,0
275,13.75,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,10856509.632,0
276,13.8,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,8139811.039,0
277,13.85,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,7013214.858,0
278,13.9,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,5768367.854,0
279,13.95,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,4873139.334,0
280,14.0,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,38670060.117,0
281,14.05,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,12971336.181,0
282,14.1,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,11461027.475,0
283,14.15,505.289,-24.66,0.0,511.191,-24.584,0.0,5.902,5377314.043,0
