tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.246,-24.09,20.48,593.246,-24.017,20.48,10.0,-1,0
3,0.15,582.978,-24.092,19.77,592.978,-24.021,19.76,10.0,-1,0
4,0.2,582.709,-24.094,19.61,592.709,-24.025,19.59,10.0,-1,0
5,0.25,582.441,-24.096,19.27,592.441,-24.029,19.26,10.0,-1,0
6,0.3,582.172,-24.098,19.4,592.172,-24.034,19.39,10.001,-1,0
7,0.35,581.903,-24.1,19.36,591.903,-24.039,19.35,10.001,-1,0
8,0.4,581.632,-24.101,19.74,591.634,-24.044,19.42,10.002,-1,0
9,0.45,581.352,-24.104,20.56,591.364,-24.048,19.65,10.013,-1,0
10,0.5,581.057,-24.106,21.7,591.083,-24.052,20.69,10.026,-1,0
11,0.55,580.747,-24.108,22.76,590.789,-24.057,21.62,10.042,-1,0
12,0.6,580.42,-24.11,24.06,590.479,-24.062,22.83,10.058,-1,0
13,0.65,580.076,-24.113,25.21,590.152,-24.068,23.95,10.076,-1,0
14,0.7,579.716,-24.116,26.4,589.806,-24.073,25.46,10.09,-1,0
15,0.75,579.342,-24.118,27.24,589.443,-24.077,26.66,10.101,-1,0
16,0.8,578.957,-24.121,27.98,589.06,-24.08,28.11,10.103,283.239,0
17,0.85,578.565,-24.124,28.35,588.659,-24.081,29.38,10.094,35.466,0
18,0.9,578.169,-24.127,28.66,588.24,-24.082,30.8,10.071,16.914,0
19,0.95,577.771,-24.13,28.69,587.801,-24.082,32.09,10.031,10.608,0
20,1.0,577.372,-24.133,28.72,587.344,-24.08,33.38,9.972,7.71,0
21,1.05,576.974,-24.136,28.55,586.875,-24.077,34.04,9.901,6.489,0
22,1.1,576.579,-24.138,28.44,586.398,-24.075,34.4,9.82,5.935,0
23,1.15,576.186,-24.141,28.18,585.922,-24.076,34.17,9.737,5.859,0
24,1.2,575.796,-24.144,28.05,585.451,-24.078,33.71,9.656,6.142,0
25,1.25,575.408,-24.147,27.79,584.99,-24.082,32.86,9.582,6.8,0
26,1.3,575.023,-24.15,27.68,584.541,-24.085,32.04,9.518,7.86,0
27,1.35,574.641,-24.153,27.47,584.105,-24.088,30.97,9.464,9.732,0
28,1.4,574.26,-24.155,27.42,583.682,-24.089,30.04,9.423,12.973,0
29,1.45,573.88,-24.158,27.27,583.275,-24.09,28.89,9.395,20.918,0
30,1.5,573.501,-24.161,27.29,582.882,-24.092,27.94,9.381,52.062,0
31,1.55,573.123,-24.164,27.2,582.503,-24.094,26.78,9.381,-1,0
32,1.6,572.745,-24.167,27.27,582.139,-24.095,25.85,9.395,-1,0
33,1.65,572.366,-24.169,27.22,581.79,-24.096,24.71,9.424,-1,0
34,1.7,571.987,-24.172,27.32,581.454,-24.095,23.89,9.466,-1,0
35,1.75,571.608,-24.175,27.29,581.129,-24.092,23.12,9.521,-1,0
36,1.8,571.228,-24.178,27.4,580.81,-24.087,22.87,9.582,-1,0
37,1.85,570.848,-24.18,27.37,580.494,-24.084,22.74,9.646,-1,0
38,1.9,570.467,-24.183,27.47,580.175,-24.081,23.1,9.709,-1,0
39,1.95,570.086,-24.186,27.44,579.85,-24.077,23.6,9.765,-1,0
40,2.0,569.704,-24.189,27.53,579.515,-24.074,24.5,9.812,-1,0
41,2.05,569.322,-24.192,27.48,579.167,-24.074,25.41,9.846,-1,0
42,2.1,568.94,-24.194,27.56,578.804,-24.077,26.62,9.866,-1,0
43,2.15,568.557,-24.197,27.5,578.425,-24.082,27.76,9.868,132.82,0
44,2.2,568.175,-24.2,27.56,578.028,-24.09,29.13,9.854,22.647,0
45,2.25,567.793,-24.203,27.49,577.613,-24.099,30.39,9.821,12.218,0
46,2.3,567.41,-24.206,27.55,577.18,-24.109,31.74,9.77,8.396,0
47,2.35,567.028,-24.208,27.48,576.732,-24.119,32.44,9.704,7.04,0
48,2.4,566.646,-24.211,27.53,576.28,-24.129,32.62,9.634,6.814,0
49,2.45,566.264,-24.214,27.46,575.83,-24.139,32.25,9.565,7.196,0
50,2.5,565.883,-24.217,27.52,575.386,-24.147,31.7,9.504,8.178,0
51,2.55,565.501,-24.219,27.45,574.953,-24.153,30.84,9.453,10.026,0
52,2.6,565.119,-24.222,27.51,574.532,-24.157,30.05,9.413,13.348,0
53,2.65,564.738,-24.225,27.44,574.123,-24.16,29.0,9.385,21.641,0
54,2.7,564.356,-24.228,27.5,573.728,-24.161,28.1,9.372,56.729,0
55,2.75,563.975,-24.231,27.44,573.347,-24.158,27.07,9.372,-1,0
56,2.8,563.593,-24.233,27.5,572.976,-24.153,26.51,9.383,-1,0
57,2.85,563.212,-24.236,27.44,572.612,-24.145,26.01,9.401,-1,0
58,2.9,562.83,-24.239,27.5,572.253,-24.138,25.69,9.424,-1,0
59,2.95,562.449,-24.242,27.44,571.9,-24.132,25.32,9.452,-1,0
60,3.0,562.067,-24.245,27.51,571.549,-24.128,25.25,9.483,-1,0
61,3.05,561.686,-24.247,27.44,571.198,-24.125,25.3,9.513,-1,0
62,3.1,561.304,-24.25,27.51,570.843,-24.122,25.81,9.54,-1,0
63,3.15,560.922,-24.253,27.45,570.479,-24.119,26.45,9.558,-1,0
64,3.2,560.541,-24.256,27.51,570.105,-24.116,27.27,9.565,-1,0
65,3.25,560.159,-24.259,27.45,569.723,-24.114,27.58,9.565,264.004,0
66,3.3,559.777,-24.261,27.51,569.34,-24.112,27.55,9.564,830.757,0
67,3.35,559.396,-24.264,27.45,568.961,-24.109,27.06,9.566,-1,0
68,3.4,559.014,-24.267,27.51,568.589,-24.107,26.56,9.577,-1,0
69,3.45,558.633,-24.27,27.45,568.227,-24.105,25.75,9.596,-1,0
70,3.5,558.251,-24.272,27.51,567.875,-24.103,25.07,9.626,-1,0
71,3.55,557.869,-24.275,27.45,567.535,-24.101,24.18,9.667,-1,0
72,3.6,557.488,-24.278,27.51,567.203,-24.099,23.71,9.717,-1,0
73,3.65,557.106,-24.281,27.45,566.877,-24.098,23.34,9.773,-1,0
74,3.7,556.724,-24.284,27.51,566.553,-24.099,23.4,9.83,-1,0
75,3.75,556.343,-24.286,27.45,566.226,-24.102,23.63,9.885,-1,0
76,3.8,555.961,-24.289,27.51,565.893,-24.106,24.31,9.933,-1,0
77,3.85,555.579,-24.292,27.45,565.549,-24.109,25.07,9.971,-1,0
78,3.9,555.198,-24.295,27.51,565.191,-24.11,26.16,9.995,-1,0
79,3.95,554.816,-24.298,27.45,564.819,-24.115,27.22,10.005,-1,0
80,4.0,554.434,-24.3,27.51,564.431,-24.124,28.52,9.998,35.771,0
81,4.05,554.053,-24.303,27.45,564.025,-24.138,29.73,9.973,15.742,0
82,4.1,553.671,-24.306,27.51,563.601,-24.156,31.13,9.931,9.873,0
83,4.15,553.29,-24.309,27.45,563.159,-24.179,32.25,9.87,7.399,0
84,4.2,552.908,-24.312,27.51,562.706,-24.206,32.85,9.799,6.611,0
85,4.25,552.526,-24.314,27.45,562.252,-24.236,32.74,9.726,6.618,0
86,4.3,552.145,-24.317,27.51,561.801,-24.269,32.36,9.657,7.167,0
87,4.35,551.763,-24.32,27.45,561.359,-24.302,31.63,9.596,8.253,0
88,4.4,551.381,-24.323,27.51,560.927,-24.333,30.91,9.545,10.108,0
89,4.45,551.0,-24.325,27.45,560.507,-24.364,29.92,9.507,13.832,0
90,4.5,550.618,-24.328,27.51,560.099,-24.392,29.04,9.482,22.26,0
91,4.55,550.236,-24.331,27.45,559.706,-24.415,27.92,9.47,72.342,0
92,4.6,549.855,-24.334,27.51,559.327,-24.432,26.98,9.473,-1,0
93,4.65,549.473,-24.337,27.45,558.962,-24.444,25.83,9.489,-1,0
94,4.7,549.091,-24.339,27.51,558.611,-24.45,24.92,9.52,-1,0
95,4.75,548.71,-24.342,27.45,558.274,-24.453,23.82,9.565,-1,0
96,4.8,548.328,-24.345,27.51,557.951,-24.454,23.0,9.623,-1,0
97,4.85,547.947,-24.348,27.45,557.638,-24.451,22.25,9.692,-1,0
98,4.9,547.565,-24.351,27.51,557.331,-24.447,22.0,9.767,-1,0
99,4.95,547.183,-24.353,27.45,557.027,-24.441,21.87,9.844,-1,0
100,5.0,546.802,-24.356,27.51,556.721,-24.433,22.22,9.919,-1,0
101,5.05,546.42,-24.359,27.45,556.408,-24.424,22.73,9.988,-1,0
102,5.1,546.038,-24.362,27.51,556.085,-24.417,23.63,10.047,-1,0
103,5.15,545.657,-24.365,27.45,555.75,-24.41,24.55,10.093,-1,0
104,5.2,545.275,-24.367,27.51,555.399,-24.401,25.76,10.124,-1,0
105,5.25,544.893,-24.37,27.45,555.031,-24.39,26.91,10.138,-1,0
106,5.3,544.512,-24.373,27.51,554.646,-24.378,28.3,10.135,46.013,0
107,5.35,544.13,-24.376,27.45,554.243,-24.365,29.57,10.113,17.17,0
108,5.4,543.748,-24.378,27.51,553.82,-24.354,31.0,10.072,10.387,0
109,5.45,543.367,-24.381,27.45,553.379,-24.345,32.32,10.012,7.402,0
110,5.5,542.985,-24.384,27.51,552.919,-24.335,33.64,9.934,5.835,0
111,5.55,542.604,-24.387,27.45,552.447,-24.324,34.12,9.843,5.305,0
112,5.6,542.222,-24.39,27.51,551.973,-24.317,34.08,9.751,5.344,0
113,5.65,541.84,-24.392,27.45,551.504,-24.312,33.53,9.664,5.715,0
114,5.7,541.459,-24.395,27.51,551.043,-24.309,32.89,9.585,6.413,0
115,5.75,541.077,-24.398,27.45,550.594,-24.309,31.97,9.518,7.57,0
116,5.8,540.695,-24.401,27.51,550.157,-24.312,31.12,9.462,9.446,0
117,5.85,540.314,-24.404,27.45,549.734,-24.316,30.03,9.421,13.128,0
118,5.9,539.932,-24.406,27.51,549.325,-24.32,29.19,9.393,20.194,0
119,5.95,539.55,-24.409,27.45,548.926,-24.325,28.47,9.376,32.902,0
120,6.0,539.169,-24.412,27.51,548.532,-24.329,28.25,9.364,45.596,0
121,6.05,538.787,-24.415,27.45,548.141,-24.334,28.21,9.354,44.028,0
122,6.1,538.406,-24.418,27.51,547.746,-24.337,28.51,9.341,33.711,0
123,6.15,538.024,-24.42,27.45,547.35,-24.34,28.5,9.326,31.768,0
124,6.2,537.642,-24.423,27.51,546.956,-24.343,28.29,9.314,42.985,0
125,6.25,537.261,-24.426,27.45,546.568,-24.346,27.66,9.307,159.13,0
126,6.3,536.879,-24.429,27.51,546.189,-24.348,27.05,9.31,-1,0
127,6.35,536.497,-24.431,27.45,545.82,-24.35,26.16,9.323,-1,0
128,6.4,536.116,-24.434,27.51,545.463,-24.352,25.41,9.348,-1,0
129,6.45,535.734,-24.437,27.45,545.119,-24.355,24.4,9.385,-1,0
130,6.5,535.352,-24.44,27.51,544.787,-24.355,23.59,9.435,-1,0
131,6.55,534.971,-24.443,27.45,544.467,-24.355,22.61,9.497,-1,0
132,6.6,534.589,-24.445,27.51,544.158,-24.354,22.1,9.569,-1,0
133,6.65,534.208,-24.448,27.45,543.855,-24.352,21.68,9.648,-1,0
134,6.7,533.826,-24.451,27.51,543.554,-24.348,21.72,9.728,-1,0
135,6.75,533.444,-24.454,27.45,543.251,-24.342,21.93,9.807,-1,0
136,6.8,533.062,-24.457,27.51,542.941,-24.337,22.59,9.879,-1,0
137,6.85,532.681,-24.459,27.45,542.621,-24.334,23.34,9.941,-1,0
138,6.9,532.299,-24.462,27.51,542.288,-24.333,24.43,9.989,-1,0
139,6.95,531.918,-24.465,27.45,541.94,-24.332,25.49,10.023,-1,0
140,7.0,531.536,-24.468,27.51,541.574,-24.331,26.83,10.039,-1,0
141,7.05,531.154,-24.471,27.45,541.192,-24.329,28.06,10.038,59.095,0
142,7.1,530.773,-24.473,27.51,540.79,-24.325,29.47,10.018,18.387,0
143,7.15,530.391,-24.476,27.45,540.37,-24.321,30.75,9.98,10.879,0
144,7.2,530.009,-24.479,27.51,539.932,-24.318,32.0,9.924,7.964,0
145,7.25,529.628,-24.482,27.45,539.483,-24.318,32.46,9.856,7.075,0
146,7.3,529.246,-24.484,27.51,539.032,-24.319,32.48,9.787,7.095,0
147,7.35,528.865,-24.487,27.45,538.585,-24.32,31.97,9.721,7.732,0
148,7.4,528.483,-24.49,27.51,538.145,-24.32,31.4,9.664,8.95,0
149,7.45,528.101,-24.493,27.45,537.716,-24.319,30.52,9.617,11.268,0
150,7.5,527.72,-24.496,27.51,537.299,-24.316,29.7,9.582,15.762,0
151,7.55,527.338,-24.498,27.45,536.896,-24.31,28.65,9.56,28.631,0
152,7.6,526.956,-24.501,27.51,536.506,-24.302,27.75,9.551,140.824,0
153,7.65,526.575,-24.504,27.45,536.129,-24.293,26.64,9.557,-1,0
154,7.7,526.193,-24.507,27.51,535.767,-24.284,25.74,9.577,-1,0
155,7.75,525.811,-24.51,27.45,535.419,-24.274,24.63,9.611,-1,0
156,7.8,525.43,-24.512,27.51,535.085,-24.266,23.74,9.658,-1,0
157,7.85,525.048,-24.515,27.45,534.764,-24.259,22.72,9.719,-1,0
158,7.9,524.666,-24.518,27.51,534.453,-24.254,22.17,9.79,-1,0
159,7.95,524.285,-24.521,27.45,534.149,-24.25,21.74,9.868,-1,0
160,8.0,523.903,-24.524,27.51,533.847,-24.246,21.76,9.948,-1,0
161,8.05,523.522,-24.526,27.45,533.544,-24.241,21.95,10.026,-1,0
162,8.1,523.14,-24.529,27.51,533.234,-24.235,22.6,10.098,-1,0
163,8.15,522.758,-24.532,27.45,532.914,-24.23,23.34,10.16,-1,0
164,8.2,522.377,-24.535,27.51,532.581,-24.227,24.42,10.209,-1,0
165,8.25,521.995,-24.537,27.45,532.233,-24.225,25.47,10.243,-1,0
166,8.3,521.613,-24.54,27.51,531.869,-24.222,26.69,10.26,-1,0
167,8.35,521.232,-24.543,27.45,531.492,-24.22,27.33,10.265,-1,0
168,8.4,520.85,-24.546,27.51,531.11,-24.219,27.51,10.265,11340.123,0
169,8.45,520.468,-24.549,27.45,530.73,-24.218,27.33,10.267,-1,0
170,8.5,520.087,-24.551,27.51,530.351,-24.218,27.23,10.27,-1,0
171,8.55,519.705,-24.554,27.45,529.976,-24.216,26.87,10.276,-1,0
172,8.6,519.323,-24.557,27.51,529.604,-24.214,26.72,10.286,-1,0
173,8.65,518.942,-24.56,27.45,529.236,-24.211,26.35,10.3,-1,0
174,8.7,518.56,-24.563,27.51,528.873,-24.208,25.94,10.319,-1,0
175,8.75,518.179,-24.565,27.45,528.518,-24.206,25.32,10.346,-1,0
176,8.8,517.797,-24.568,27.51,528.169,-24.204,25.05,10.379,-1,0
177,8.85,517.415,-24.571,27.45,527.823,-24.203,24.82,10.415,-1,0
178,8.9,517.034,-24.574,27.51,527.477,-24.201,25.02,10.45,-1,0
179,8.95,516.652,-24.577,27.45,527.127,-24.199,25.39,10.482,-1,0
180,9.0,516.27,-24.579,27.51,526.768,-24.197,26.18,10.505,-1,0
181,9.05,515.889,-24.582,27.45,526.397,-24.195,27.02,10.516,-1,0
182,9.1,515.507,-24.585,27.51,526.013,-24.194,28.17,10.513,57.136,0
183,9.15,515.125,-24.588,27.45,525.612,-24.194,29.28,10.494,20.572,0
184,9.2,514.744,-24.59,27.51,525.194,-24.194,30.62,10.458,12.121,0
185,9.25,514.362,-24.593,27.45,524.76,-24.195,31.68,10.405,8.844,0
186,9.3,513.98,-24.596,27.51,524.314,-24.196,32.27,10.341,7.814,0
187,9.35,513.599,-24.599,27.45,523.866,-24.197,32.17,10.275,7.829,0
188,9.4,513.217,-24.602,27.51,523.422,-24.198,31.81,10.213,8.559,0
189,9.45,512.836,-24.604,27.45,522.986,-24.2,31.08,10.159,10.05,0
190,9.5,512.454,-24.607,27.51,522.56,-24.201,30.38,10.115,12.688,0
191,9.55,512.072,-24.61,27.45,522.146,-24.201,29.5,10.082,17.678,0
192,9.6,511.691,-24.613,27.51,521.741,-24.201,29.03,10.059,23.802,0
193,9.65,511.309,-24.616,27.45,521.34,-24.203,28.73,10.04,28.049,0
194,9.7,510.927,-24.618,27.51,520.94,-24.206,28.87,10.022,26.47,0
195,9.75,510.546,-24.621,27.45,520.537,-24.211,29.21,9.999,20.431,0
196,9.8,510.164,-24.624,27.51,520.125,-24.219,29.94,9.97,14.75,0
197,9.85,509.783,-24.627,27.45,519.703,-24.227,30.7,9.929,10.979,0
198,9.9,509.401,-24.63,27.51,519.271,-24.235,31.28,9.878,9.422,0
199,9.95,509.019,-24.632,27.45,518.837,-24.244,31.22,9.825,9.36,0
200,10.0,508.638,-24.635,27.42,518.406,-24.253,30.91,9.775,10.062,0
201,10.05,508.261,-24.638,26.98,517.982,-24.262,30.19,9.729,10.917,0
202,10.1,507.89,-24.641,26.49,517.569,-24.269,29.49,9.686,11.648,0
203,10.15,507.528,-24.643,25.71,517.167,-24.275,28.61,9.645,11.968,0
204,10.2,507.177,-24.646,25.05,516.774,-24.28,28.14,9.604,11.179,0
205,10.25,506.836,-24.648,24.15,516.386,-24.282,27.85,9.556,9.305,0
206,10.3,506.507,-24.651,23.44,515.998,-24.283,27.99,9.498,7.516,0
207,10.35,506.189,-24.653,22.5,515.607,-24.282,28.32,9.425,5.822,0
208,10.4,505.885,-24.655,20.85,515.208,-24.278,28.92,9.33,4.163,0
209,10.45,505.636,-24.657,16.02,514.804,-24.273,29.11,9.176,2.525,0
210,10.5,505.455,-24.658,11.17,514.401,-24.268,29.0,8.955,1.808,0
211,10.55,505.34,-24.659,6.35,514.003,-24.264,28.43,8.671,1.414,0
212,10.6,505.292,-24.66,1.59,513.612,-24.259,27.86,8.33,1.142,0
213,10.65,505.29,-24.66,0.0,513.233,-24.252,26.99,7.953,1.061,0
214,10.7,505.29,-24.66,0.0,512.864,-24.244,26.25,7.586,1.041,0
215,10.75,505.29,-24.66,0.0,512.508,-24.235,25.24,7.231,1.031,0
216,10.8,505.289,-24.66,0.0,512.164,-24.225,24.43,6.889,1.015,0
217,10.85,505.289,-24.66,0.0,511.834,-24.213,23.45,6.56,1.007,0
218,10.9,505.289,-24.66,0.0,511.513,-24.201,22.93,6.241,0.98,0
219,10.95,505.289,-24.66,0.0,511.199,-24.188,22.53,5.928,0.947,0
220,11.0,505.289,-24.66,0.0,510.886,-24.173,22.57,5.618,0.896,0
221,11.05,505.289,-24.66,0.0,510.571,-24.157,22.8,5.306,0.838,0
222,11.1,505.289,-24.66,0.0,510.25,-24.142,23.47,4.988,0.765,0
223,11.15,505.291,-24.659,1.01,509.993,-24.117,6.01,4.733,3.412,1
224,11.2,505.296,-24.657,0.27,510.016,-24.094,1.23,4.753,17.783,0
225,11.25,505.297,-24.657,0.02,510.016,-24.089,0.02,4.754,2245.622,0
226,11.3,505.295,-24.658,0.09,510.018,-24.089,0.12,4.758,592.344,0
227,11.35,505.292,-24.658,0.12,510.02,-24.089,0.22,4.761,162.432,0
228,11.4,505.291,-24.659,0.11,510.007,-24.088,1.52,4.751,12.171,0
229,11.45,505.29,-24.659,0.08,510.001,-24.086,0.13,4.746,348.963,1
230,11.5,505.289,-24.659,0.07,510.001,-24.085,0.04,4.747,-1,1
231,11.55,505.289,-24.66,0.05,510.001,-24.084,0.03,4.747,-1,1
232,11.6,505.289,-24.66,0.03,510.001,-24.084,0.03,4.747,-1,1
233,11.65,505.289,-24.66,0.02,510.001,-24.083,0.03,4.747,12015.155,1
234,11.7,505.289,-24.66,0.02,510.001,-24.083,0.03,4.747,2406.846,1
235,11.75,505.289,-24.66,0.01,510.001,-24.082,0.03,4.748,1531.204,1
236,11.8,505.289,-24.66,0.01,510.001,-24.082,0.02,4.748,1279.085,1
237,11.85,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,1
238,11.9,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
239,11.95,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
240,12.0,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
241,12.05,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
242,12.1,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
243,12.15,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
244,12.2,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
245,12.25,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
246,12.3,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
247,12.35,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
248,12.4,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
249,12.45,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
250,12.5,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
251,12.55,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
252,12.6,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
253,12.65,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
254,12.7,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
255,12.75,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
256,12.8,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
257,12.85,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
258,12.9,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
259,12.95,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
260,13.0,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
261,13.05,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
262,13.1,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
263,13.15,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
264,13.2,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
265,13.25,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
266,13.3,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
267,13.35,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
268,13.4,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
269,13.45,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
270,13.5,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
271,13.55,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
272,13.6,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
273,13.65,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
274,13.7,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
275,13.75,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
276,13.8,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
277,13.85,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
278,13.9,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
279,13.95,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
280,14.0,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
281,14.05,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
282,14.1,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
283,14.15,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
284,14.2,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
285,14.25,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
286,14.3,505.289,-24.66,0.0,510.001,-24.082,0.0,4.748,-1,0
