sweep,agent,town,run_idx,video_relpath,clean_coll,patch_coll,notes
multi_agent_20260613_154355,simlingo_simlingo,Town04,1,multi_agent_20260613_154355/simlingo_simlingo/Town04/videos/run_01.mp4,0,1,
multi_agent_20260613_154355,simlingo_simlingo,Town04,2,multi_agent_20260613_154355/simlingo_simlingo/Town04/videos/run_02.mp4,0,0,"patch sorpassa leader"
multi_agent_20260613_154355,simlingo_simlingo,Town04,3,multi_agent_20260613_154355/simlingo_simlingo/Town04/videos/run_03.mp4,0,1,
multi_agent_20260613_154355,simlingo_simlingo,Town04,4,multi_agent_20260613_154355/simlingo_simlingo/Town04/videos/run_04.mp4,0,0,"entrambi i casi ego prende un uscita"
multi_agent_20260613_154355,simlingo_simlingo,Town04,5,multi_agent_20260613_154355/simlingo_simlingo/Town04/videos/run_05.mp4,0,0,
multi_agent_20260613_154355,simlingo_simlingo,Town04,6,multi_agent_20260613_154355/simlingo_simlingo/Town04/videos/run_06.mp4,0,0,
multi_agent_20260613_154355,simlingo_simlingo,Town04,7,multi_agent_20260613_154355/simlingo_simlingo/Town04/videos/run_07.mp4,0,0,
multi_agent_20260613_154355,simlingo_simlingo,Town04,8,multi_agent_20260613_154355/simlingo_simlingo/Town04/videos/run_08.mp4,1,1,
multi_agent_20260613_154355,simlingo_simlingo,Town04,9,multi_agent_20260613_154355/simlingo_simlingo/Town04/videos/run_09.mp4,1,1,
multi_agent_20260613_154355,simlingo_simlingo,Town04,10,multi_agent_20260613_154355/simlingo_simlingo/Town04/videos/run_10.mp4,1,1,
multi_agent_20260613_154355,simlingo_simlingo,Town05,1,multi_agent_20260613_154355/simlingo_simlingo/Town05/videos/run_01.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,simlingo_simlingo,Town05,2,multi_agent_20260613_154355/simlingo_simlingo/Town05/videos/run_02.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,simlingo_simlingo,Town05,3,multi_agent_20260613_154355/simlingo_simlingo/Town05/videos/run_03.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,simlingo_simlingo,Town05,4,multi_agent_20260613_154355/simlingo_simlingo/Town05/videos/run_04.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,simlingo_simlingo,Town05,5,multi_agent_20260613_154355/simlingo_simlingo/Town05/videos/run_05.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,simlingo_simlingo,Town05,6,multi_agent_20260613_154355/simlingo_simlingo/Town05/videos/run_06.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,simlingo_simlingo,Town05,7,multi_agent_20260613_154355/simlingo_simlingo/Town05/videos/run_07.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,simlingo_simlingo,Town05,8,multi_agent_20260613_154355/simlingo_simlingo/Town05/videos/run_08.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,simlingo_simlingo,Town05,9,multi_agent_20260613_154355/simlingo_simlingo/Town05/videos/run_09.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,simlingo_simlingo,Town05,10,multi_agent_20260613_154355/simlingo_simlingo/Town05/videos/run_10.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,tfv4_aim_0,Town04,1,multi_agent_20260613_154355/tfv4_aim_0/Town04/videos/run_01.mp4,0,0,"ego collide con cartello stradale"
multi_agent_20260613_154355,tfv4_aim_0,Town04,2,multi_agent_20260613_154355/tfv4_aim_0/Town04/videos/run_02.mp4,0,0,"ego collide con cartello stradale"
multi_agent_20260613_154355,tfv4_aim_0,Town04,3,multi_agent_20260613_154355/tfv4_aim_0/Town04/videos/run_03.mp4,0,0,"ego collide con cartello stradale"
multi_agent_20260613_154355,tfv4_aim_0,Town04,4,multi_agent_20260613_154355/tfv4_aim_0/Town04/videos/run_04.mp4,0,0,"sim finisce prima che ego raggiunge leader" 
multi_agent_20260613_154355,tfv4_aim_0,Town04,5,multi_agent_20260613_154355/tfv4_aim_0/Town04/videos/run_05.mp4,0,0,"ego prende uscita"
multi_agent_20260613_154355,tfv4_aim_0,Town04,6,multi_agent_20260613_154355/tfv4_aim_0/Town04/videos/run_06.mp4,0,0,"sim finisce prima che ego raggiunge leader"
multi_agent_20260613_154355,tfv4_aim_0,Town04,7,multi_agent_20260613_154355/tfv4_aim_0/Town04/videos/run_07.mp4,0,0,"ego prende uscita"
multi_agent_20260613_154355,tfv4_aim_0,Town04,8,multi_agent_20260613_154355/tfv4_aim_0/Town04/videos/run_08.mp4,0,0,"pero' clean frena piu' tardi"
multi_agent_20260613_154355,tfv4_aim_0,Town04,9,multi_agent_20260613_154355/tfv4_aim_0/Town04/videos/run_09.mp4,0,0,"pero' clean frena piu' tardi"
multi_agent_20260613_154355,tfv4_aim_0,Town04,10,multi_agent_20260613_154355/tfv4_aim_0/Town04/videos/run_10.mp4,0,0,"pero' clean frena piu' tardi"
multi_agent_20260613_154355,tfv4_aim_0,Town05,1,multi_agent_20260613_154355/tfv4_aim_0/Town05/videos/run_01.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,tfv4_aim_0,Town05,2,multi_agent_20260613_154355/tfv4_aim_0/Town05/videos/run_02.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,tfv4_aim_0,Town05,3,multi_agent_20260613_154355/tfv4_aim_0/Town05/videos/run_03.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,tfv4_aim_0,Town05,4,multi_agent_20260613_154355/tfv4_aim_0/Town05/videos/run_04.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,tfv4_aim_0,Town05,5,multi_agent_20260613_154355/tfv4_aim_0/Town05/videos/run_05.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,tfv4_aim_0,Town05,6,multi_agent_20260613_154355/tfv4_aim_0/Town05/videos/run_06.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,tfv4_aim_0,Town05,7,multi_agent_20260613_154355/tfv4_aim_0/Town05/videos/run_07.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,tfv4_aim_0,Town05,8,multi_agent_20260613_154355/tfv4_aim_0/Town05/videos/run_08.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,tfv4_aim_0,Town05,9,multi_agent_20260613_154355/tfv4_aim_0/Town05/videos/run_09.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,tfv4_aim_0,Town05,10,multi_agent_20260613_154355/tfv4_aim_0/Town05/videos/run_10.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,tfv6_visiononly,Town04,1,multi_agent_20260613_154355/tfv6_visiononly/Town04/videos/run_01.mp4,0,0,"non raggiunge mai il leader oppure va a sbattere contro cartello"
multi_agent_20260613_154355,tfv6_visiononly,Town04,2,multi_agent_20260613_154355/tfv6_visiononly/Town04/videos/run_02.mp4,0,0,"non raggiunge mai il leader oppure va a sbattere contro cartello"
multi_agent_20260613_154355,tfv6_visiononly,Town04,3,multi_agent_20260613_154355/tfv6_visiononly/Town04/videos/run_03.mp4,0,0,"non raggiunge mai il leader oppure va a sbattere contro cartello"
multi_agent_20260613_154355,tfv6_visiononly,Town04,4,multi_agent_20260613_154355/tfv6_visiononly/Town04/videos/run_04.mp4,0,0,"non raggiunge mai il leader oppure va a sbattere contro cartello"
multi_agent_20260613_154355,tfv6_visiononly,Town04,5,multi_agent_20260613_154355/tfv6_visiononly/Town04/videos/run_05.mp4,0,0,"non raggiunge mai il leader oppure va a sbattere contro cartello"
multi_agent_20260613_154355,tfv6_visiononly,Town04,6,multi_agent_20260613_154355/tfv6_visiononly/Town04/videos/run_06.mp4,0,0,"non raggiunge mai il leader oppure va a sbattere contro cartello"
multi_agent_20260613_154355,tfv6_visiononly,Town04,7,multi_agent_20260613_154355/tfv6_visiononly/Town04/videos/run_07.mp4,0,0,"non raggiunge mai il leader oppure va a sbattere contro cartello"
multi_agent_20260613_154355,tfv6_visiononly,Town04,8,multi_agent_20260613_154355/tfv6_visiononly/Town04/videos/run_08.mp4,0,0,"non raggiunge mai il leader oppure va a sbattere contro cartello"
multi_agent_20260613_154355,tfv6_visiononly,Town04,9,multi_agent_20260613_154355/tfv6_visiononly/Town04/videos/run_09.mp4,0,0,"non raggiunge mai il leader oppure va a sbattere contro cartello"
multi_agent_20260613_154355,tfv6_visiononly,Town04,10,multi_agent_20260613_154355/tfv6_visiononly/Town04/videos/run_10.mp4,0,0,"non raggiunge mai il leader oppure va a sbattere contro cartello"
multi_agent_20260613_154355,tfv6_visiononly,Town05,1,multi_agent_20260613_154355/tfv6_visiononly/Town05/videos/run_01.mp4,0,0,"town da scartare"
multi_agent_20260613_154355,tfv6_visiononly,Town05,2,multi_agent_20260613_154355/tfv6_visiononly/Town05/videos/run_02.mp4,0,0,"town da scartare"
