tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.2,593.797,-24.012,21.2,10.0,-1,0
1,0.05,583.52,-24.088,21.85,593.519,-24.014,21.85,10.0,-1,0
2,0.1,583.244,-24.09,21.99,593.244,-24.016,21.99,10.0,9109.756,0
3,0.15,582.978,-24.092,19.75,593.012,-24.017,15.66,10.035,-1,0
4,0.2,582.712,-24.094,19.22,592.841,-24.017,10.97,10.129,-1,0
5,0.25,582.445,-24.096,19.16,592.721,-24.018,7.06,10.276,-1,0
6,0.3,582.179,-24.098,19.17,592.653,-24.019,3.71,10.474,-1,0
7,0.35,581.913,-24.099,19.16,592.605,-24.02,3.6,10.692,-1,0
8,0.4,581.648,-24.101,19.14,592.557,-24.022,3.57,10.91,-1,0
9,0.45,581.382,-24.103,19.12,592.508,-24.023,3.52,11.127,-1,0
10,0.5,581.117,-24.105,19.11,592.46,-24.023,3.49,11.343,-1,0
11,0.55,580.852,-24.107,19.09,592.412,-24.024,3.46,11.56,-1,0
12,0.6,580.587,-24.109,19.08,592.364,-24.025,3.45,11.777,-1,0
13,0.65,580.323,-24.111,18.82,592.316,-24.026,3.44,11.993,-1,0
14,0.7,580.071,-24.113,17.73,592.268,-24.026,3.44,12.197,-1,0
15,0.75,579.834,-24.114,16.79,592.22,-24.027,3.43,12.387,-1,0
16,0.8,579.607,-24.116,16.02,592.172,-24.027,3.43,12.565,-1,0
17,0.85,579.39,-24.118,15.41,592.125,-24.028,3.43,12.734,-1,0
18,0.9,579.18,-24.119,14.98,592.076,-24.028,3.64,12.896,-1,0
19,0.95,578.975,-24.121,14.7,592.02,-24.029,4.31,13.045,-1,0
20,1.0,578.771,-24.122,14.57,591.954,-24.03,4.89,13.183,-1,0
21,1.05,578.569,-24.124,14.58,591.882,-24.031,5.42,13.313,-1,0
22,1.1,578.365,-24.125,14.69,591.802,-24.031,5.91,13.437,-1,0
23,1.15,578.159,-24.127,14.89,591.716,-24.032,6.37,13.557,-1,0
24,1.2,577.95,-24.128,15.16,591.624,-24.033,6.82,13.674,-1,0
25,1.25,577.737,-24.13,15.49,591.526,-24.034,7.26,13.789,-1,0
26,1.3,577.518,-24.131,15.87,591.421,-24.035,7.7,13.903,-1,0
27,1.35,577.295,-24.133,16.1,591.311,-24.036,8.13,14.016,-1,0
28,1.4,577.072,-24.135,16.09,591.194,-24.038,8.57,14.123,-1,0
29,1.45,576.847,-24.136,16.39,591.071,-24.039,9.02,14.225,-1,0
30,1.5,576.611,-24.138,17.36,590.942,-24.041,9.47,14.332,-1,0
31,1.55,576.362,-24.14,18.3,590.807,-24.042,9.93,14.446,-1,0
32,1.6,576.1,-24.142,19.21,590.665,-24.044,10.39,14.566,-1,0
33,1.65,575.825,-24.144,20.09,590.517,-24.045,10.87,14.692,-1,0
34,1.7,575.539,-24.146,20.96,590.362,-24.047,11.36,14.824,-1,0
35,1.75,575.24,-24.148,21.81,590.2,-24.05,11.86,14.96,-1,0
36,1.8,574.93,-24.151,22.65,590.031,-24.053,12.37,15.101,-1,0
37,1.85,574.609,-24.153,23.47,589.855,-24.055,12.89,15.246,-1,0
38,1.9,574.276,-24.155,24.28,589.671,-24.059,13.42,15.396,-1,0
39,1.95,573.932,-24.158,25.07,589.48,-24.062,13.97,15.548,-1,0
40,2.0,573.578,-24.16,25.82,589.282,-24.066,14.53,15.704,-1,0
41,2.05,573.213,-24.163,26.51,589.077,-24.07,14.73,15.864,-1,0
42,2.1,572.84,-24.166,27.12,588.873,-24.073,14.73,16.033,-1,0
43,2.15,572.459,-24.169,27.64,588.666,-24.077,15.26,16.207,-1,0
44,2.2,572.072,-24.171,28.05,588.445,-24.08,16.3,16.374,-1,0
45,2.25,571.68,-24.174,28.34,588.21,-24.084,17.3,16.531,-1,0
46,2.3,571.285,-24.177,28.51,587.962,-24.088,18.26,16.677,-1,0
47,2.35,570.889,-24.18,28.56,587.7,-24.092,19.19,16.812,-1,0
48,2.4,570.493,-24.183,28.5,587.426,-24.092,20.06,16.934,-1,0
49,2.45,570.098,-24.185,28.35,587.14,-24.09,20.95,17.042,-1,0
50,2.5,569.706,-24.188,28.14,586.842,-24.089,21.8,17.136,-1,0
51,2.55,569.318,-24.191,27.88,586.532,-24.09,22.66,17.214,-1,0
52,2.6,568.933,-24.194,27.59,586.21,-24.091,23.5,17.277,-1,0
53,2.65,568.553,-24.196,27.28,585.877,-24.093,24.32,17.325,-1,0
54,2.7,568.177,-24.199,26.97,585.533,-24.095,25.14,17.356,-1,0
55,2.75,567.805,-24.202,26.66,585.177,-24.097,25.95,17.372,-1,0
56,2.8,567.437,-24.204,26.37,584.811,-24.101,26.54,17.374,367.074,0
57,2.85,567.073,-24.207,26.1,584.442,-24.104,26.53,17.37,146.621,0
58,2.9,566.713,-24.21,25.86,584.074,-24.108,26.69,17.362,75.27,0
59,2.95,566.355,-24.212,25.66,583.695,-24.113,27.69,17.34,30.725,0
60,3.0,566.0,-24.215,25.49,583.302,-24.118,28.67,17.302,19.587,0
61,3.05,565.647,-24.217,25.35,582.896,-24.123,29.61,17.249,14.577,0
62,3.1,565.296,-24.22,25.26,582.477,-24.129,30.53,17.181,11.728,0
63,3.15,564.946,-24.222,25.2,582.045,-24.135,31.42,17.1,9.898,0
64,3.2,564.596,-24.225,25.18,581.601,-24.14,32.27,17.006,8.631,0
65,3.25,564.246,-24.227,25.19,581.146,-24.145,33.1,16.901,7.687,0
66,3.3,563.896,-24.23,25.22,580.68,-24.15,33.91,16.784,6.959,0
67,3.35,563.545,-24.232,25.28,580.203,-24.155,34.64,16.658,6.409,0
68,3.4,563.193,-24.235,25.35,579.716,-24.16,35.3,16.523,5.979,0
69,3.45,562.84,-24.237,25.44,579.221,-24.165,35.9,16.381,5.634,0
