tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.2,593.797,-24.012,21.2,10.0,-1,0
1,0.05,583.52,-24.088,21.85,593.519,-24.014,21.85,10.0,-1,0
2,0.1,583.244,-24.09,21.99,593.244,-24.016,21.99,10.0,8847.078,0
3,0.15,582.978,-24.092,19.75,593.012,-24.018,15.66,10.035,-1,0
4,0.2,582.712,-24.094,19.22,592.841,-24.019,10.97,10.129,-1,0
5,0.25,582.445,-24.096,19.16,592.721,-24.018,7.04,10.276,-1,0
6,0.3,582.179,-24.098,19.17,592.654,-24.014,3.66,10.475,-1,0
7,0.35,581.913,-24.099,19.16,592.608,-24.007,3.5,10.696,-1,0
8,0.4,581.648,-24.101,19.14,592.563,-23.998,3.46,10.916,-1,0
9,0.45,581.382,-24.103,19.12,592.518,-23.988,3.41,11.136,-1,0
10,0.5,581.117,-24.105,19.11,592.473,-23.978,3.37,11.357,-1,0
11,0.55,580.852,-24.107,19.09,592.429,-23.966,3.34,11.578,-1,0
12,0.6,580.587,-24.109,19.08,592.385,-23.954,3.32,11.799,-1,0
13,0.65,580.323,-24.111,18.82,592.342,-23.941,3.31,12.02,-1,0
14,0.7,580.071,-24.113,17.73,592.299,-23.928,3.3,12.229,-1,0
15,0.75,579.834,-24.114,16.79,592.256,-23.914,3.3,12.424,-1,0
16,0.8,579.607,-24.116,16.02,592.214,-23.899,3.29,12.608,-1,0
17,0.85,579.39,-24.118,15.41,592.172,-23.884,3.29,12.784,-1,0
18,0.9,579.18,-24.119,14.98,592.13,-23.868,3.28,12.953,-1,0
19,0.95,578.975,-24.121,14.7,592.089,-23.851,3.28,13.117,-1,0
20,1.0,578.771,-24.122,14.57,592.048,-23.834,3.27,13.28,-1,0
21,1.05,578.569,-24.124,14.58,592.008,-23.816,3.31,13.443,-1,0
22,1.1,578.365,-24.125,14.69,591.962,-23.795,3.96,13.601,-1,0
23,1.15,578.159,-24.127,14.89,591.911,-23.769,4.45,13.756,-1,0
24,1.2,577.95,-24.128,15.16,591.854,-23.741,4.85,13.909,-1,0
25,1.25,577.737,-24.13,15.49,591.794,-23.709,5.19,14.064,-1,0
26,1.3,577.518,-24.131,15.87,591.731,-23.674,5.49,14.22,-1,0
27,1.35,577.295,-24.133,16.1,591.664,-23.637,5.77,14.377,-1,0
28,1.4,577.072,-24.135,16.09,591.594,-23.597,6.02,14.533,-1,0
29,1.45,576.847,-24.136,16.39,591.523,-23.555,6.25,14.687,-1,0
30,1.5,576.611,-24.138,17.36,591.449,-23.51,6.48,14.851,-1,0
31,1.55,576.362,-24.14,18.3,591.372,-23.464,6.72,15.026,-1,0
32,1.6,576.1,-24.142,19.21,591.293,-23.415,6.94,15.21,-1,0
33,1.65,575.825,-24.144,20.09,591.211,-23.364,7.15,15.406,-1,0
34,1.7,575.539,-24.146,20.96,591.128,-23.311,7.36,15.611,-1,0
35,1.75,575.24,-24.148,21.81,591.042,-23.255,7.57,15.827,-1,0
36,1.8,574.93,-24.151,22.65,590.954,-23.197,7.78,16.052,-1,0
37,1.85,574.609,-24.153,23.47,590.864,-23.137,7.98,16.287,-1,0
38,1.9,574.276,-24.155,24.28,590.772,-23.074,8.19,16.532,-1,0
39,1.95,573.932,-24.158,25.07,590.679,-23.009,8.39,16.786,-1,0
40,2.0,573.578,-24.16,25.82,590.583,-22.942,8.6,17.049,-1,0
41,2.05,573.213,-24.163,26.51,590.485,-22.872,8.81,17.32,-1,0
42,2.1,572.84,-24.166,27.12,590.384,-22.801,9.03,17.597,-1,0
43,2.15,572.459,-24.169,27.64,590.281,-22.729,9.24,17.88,-1,0
44,2.2,572.072,-24.171,28.05,590.174,-22.655,9.46,18.166,-1,0
45,2.25,571.68,-24.174,28.34,590.064,-22.581,9.67,18.453,-1,0
46,2.3,571.285,-24.177,28.51,589.951,-22.505,9.89,18.741,-1,0
47,2.35,570.889,-24.18,28.56,589.835,-22.429,10.1,19.027,-1,0
48,2.4,570.493,-24.183,28.5,589.716,-22.352,10.3,19.31,-1,0
49,2.45,570.098,-24.185,28.35,589.593,-22.275,10.51,19.588,-1,0
50,2.5,569.706,-24.188,28.14,589.467,-22.199,10.71,19.86,-1,0
51,2.55,569.318,-24.191,27.88,589.337,-22.122,10.92,20.126,-1,0
52,2.6,568.933,-24.194,27.59,589.204,-22.046,11.12,20.385,-1,0
53,2.65,568.553,-24.196,27.28,589.068,-21.971,11.31,20.635,-1,0
54,2.7,568.177,-24.199,26.97,588.927,-21.898,11.5,20.878,-1,0
55,2.75,567.805,-24.202,26.66,588.783,-21.826,11.7,21.112,-1,0
56,2.8,567.437,-24.204,26.37,588.635,-21.757,11.88,21.338,-1,0
57,2.85,567.073,-24.207,26.1,588.482,-21.691,12.06,21.557,-1,0
58,2.9,566.713,-24.21,25.86,588.326,-21.628,12.25,21.767,-1,0
59,2.95,566.355,-24.212,25.66,588.167,-21.567,12.44,21.971,-1,0
60,3.0,566.0,-24.215,25.49,588.003,-21.51,12.62,22.168,-1,0
61,3.05,565.647,-24.217,25.35,587.836,-21.456,12.8,22.359,-1,0
62,3.1,565.296,-24.22,25.26,587.665,-21.407,13.0,22.545,-1,0
63,3.15,564.946,-24.222,25.2,587.49,-21.36,13.21,22.725,-1,0
64,3.2,564.596,-24.225,25.18,587.311,-21.316,13.41,22.901,-1,0
65,3.25,564.246,-24.227,25.19,587.129,-21.274,13.63,23.073,-1,0
66,3.3,563.896,-24.23,25.22,586.943,-21.236,13.83,23.241,-1,0
67,3.35,563.545,-24.232,25.28,586.754,-21.201,14.04,23.406,-1,0
68,3.4,563.193,-24.235,25.35,586.561,-21.17,14.25,23.568,-1,0
69,3.45,562.84,-24.237,25.44,586.364,-21.142,14.48,23.727,-1,0
