tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.2,593.797,-24.012,21.2,10.0,-1,0
1,0.05,583.52,-24.088,21.85,593.519,-24.014,21.85,10.0,-1,0
2,0.1,583.244,-24.09,21.99,593.244,-24.016,21.99,10.0,-1,0
3,0.15,582.978,-24.092,19.75,592.978,-24.022,19.74,10.0,-1,0
4,0.2,582.712,-24.094,19.22,592.712,-24.026,19.2,10.0,-1,0
5,0.25,582.445,-24.096,19.16,592.446,-24.03,19.15,10.001,-1,0
6,0.3,582.179,-24.098,19.17,592.18,-24.035,19.15,10.002,-1,0
7,0.35,581.913,-24.099,19.16,591.915,-24.041,19.14,10.002,-1,0
8,0.4,581.648,-24.101,19.14,591.65,-24.046,19.12,10.002,-1,0
9,0.45,581.382,-24.103,19.12,591.385,-24.052,19.1,10.003,-1,0
10,0.5,581.117,-24.105,19.11,591.12,-24.057,19.08,10.003,-1,0
11,0.55,580.852,-24.107,19.09,590.855,-24.063,19.07,10.003,-1,0
12,0.6,580.587,-24.109,19.08,590.59,-24.069,19.05,10.003,-1,0
13,0.65,580.323,-24.111,18.82,590.326,-24.074,19.04,10.003,165.224,0
14,0.7,580.071,-24.113,17.73,590.062,-24.08,18.79,9.991,33.916,0
15,0.75,579.834,-24.114,16.79,589.811,-24.086,17.69,9.978,39.906,0
16,0.8,579.607,-24.116,16.02,589.574,-24.09,16.75,9.967,48.889,0
17,0.85,579.39,-24.118,15.41,589.349,-24.093,15.98,9.958,63.431,0
18,0.9,579.18,-24.119,14.98,589.132,-24.095,15.38,9.952,89.474,0
19,0.95,578.975,-24.121,14.7,588.922,-24.096,14.94,9.948,149.77,0
20,1.0,578.771,-24.122,14.57,588.717,-24.095,14.67,9.946,383.532,0
21,1.05,578.569,-24.124,14.58,588.515,-24.093,14.54,9.946,-1,0
22,1.1,578.365,-24.125,14.69,588.312,-24.09,14.54,9.947,-1,0
23,1.15,578.159,-24.127,14.89,588.109,-24.087,14.66,9.95,-1,0
24,1.2,577.95,-24.128,15.16,587.904,-24.083,14.86,9.954,-1,0
25,1.25,577.737,-24.13,15.49,587.695,-24.078,15.13,9.959,-1,0
26,1.3,577.518,-24.131,15.87,587.482,-24.072,15.46,9.964,-1,0
27,1.35,577.295,-24.133,16.1,587.264,-24.068,15.84,9.969,-1,0
28,1.4,577.072,-24.135,16.09,587.041,-24.065,16.07,9.97,-1,0
29,1.45,576.847,-24.136,16.39,586.819,-24.065,16.05,9.972,-1,0
30,1.5,576.611,-24.138,17.36,586.595,-24.066,16.34,9.984,-1,0
31,1.55,576.362,-24.14,18.3,586.359,-24.07,17.31,9.998,-1,0
32,1.6,576.1,-24.142,19.21,586.111,-24.075,18.25,10.011,-1,0
33,1.65,575.825,-24.144,20.09,585.849,-24.079,19.16,10.024,-1,0
34,1.7,575.539,-24.146,20.96,585.576,-24.085,20.05,10.037,-1,0
35,1.75,575.24,-24.148,21.81,585.29,-24.092,20.92,10.05,-1,0
36,1.8,574.93,-24.151,22.65,584.992,-24.1,21.76,10.062,-1,0
37,1.85,574.609,-24.153,23.47,584.683,-24.109,22.6,10.074,-1,0
38,1.9,574.276,-24.155,24.28,584.363,-24.118,23.42,10.086,-1,0
39,1.95,573.932,-24.158,25.07,584.031,-24.128,24.23,10.098,-1,0
40,2.0,573.578,-24.16,25.82,583.688,-24.139,25.04,10.11,-1,0
41,2.05,573.213,-24.163,26.51,583.333,-24.151,25.83,10.12,-1,0
42,2.1,572.84,-24.166,27.12,582.968,-24.162,26.62,10.128,-1,0
43,2.15,572.459,-24.169,27.64,582.596,-24.175,26.88,10.137,-1,0
44,2.2,572.072,-24.171,28.05,582.223,-24.188,26.86,10.151,-1,0
45,2.25,571.68,-24.174,28.34,581.848,-24.204,27.42,10.168,-1,0
46,2.3,571.285,-24.177,28.51,581.459,-24.219,28.4,10.174,-1,0
47,2.35,570.889,-24.18,28.56,581.056,-24.234,29.36,10.168,45.673,0
48,2.4,570.493,-24.183,28.5,580.641,-24.248,30.28,10.149,20.518,0
49,2.45,570.098,-24.185,28.35,580.213,-24.262,31.17,10.115,12.936,0
50,2.5,569.706,-24.188,28.14,579.773,-24.273,32.03,10.067,9.329,0
51,2.55,569.318,-24.191,27.88,579.321,-24.283,32.87,10.004,7.214,0
52,2.6,568.933,-24.194,27.59,578.858,-24.293,33.7,9.925,5.846,0
53,2.65,568.553,-24.196,27.28,578.383,-24.303,34.5,9.831,4.901,0
54,2.7,568.177,-24.199,26.97,577.899,-24.314,35.13,9.723,4.287,0
55,2.75,567.805,-24.202,26.66,577.409,-24.326,35.35,9.605,3.978,0
56,2.8,567.437,-24.204,26.37,576.918,-24.338,35.35,9.482,3.803,0
57,2.85,567.073,-24.207,26.1,576.426,-24.349,35.52,9.354,3.575,0
58,2.9,566.713,-24.21,25.86,575.933,-24.359,35.53,9.221,3.433,0
59,2.95,566.355,-24.212,25.66,575.443,-24.367,35.16,9.089,3.444,0
60,3.0,566.0,-24.215,25.49,574.961,-24.373,34.36,8.962,3.635,0
61,3.05,565.647,-24.217,25.35,574.494,-24.375,33.22,8.848,4.05,0
62,3.1,565.296,-24.22,25.26,574.043,-24.373,31.93,8.749,4.719,0
63,3.15,564.946,-24.222,25.2,573.612,-24.367,30.51,8.668,5.883,0
64,3.2,564.596,-24.225,25.18,573.201,-24.358,29.06,8.607,7.987,0
65,3.25,564.246,-24.227,25.19,572.81,-24.346,27.73,8.565,12.139,0
66,3.3,563.896,-24.23,25.22,572.433,-24.332,26.83,8.538,19.151,0
67,3.35,563.545,-24.232,25.28,572.066,-24.317,26.26,8.521,31.315,0
68,3.4,563.193,-24.235,25.35,571.705,-24.303,25.82,8.512,66.068,0
