tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.246,-24.09,20.48,593.246,-24.016,20.5,10.0,1945.4,0
3,0.15,582.978,-24.092,19.77,593.062,-24.018,10.44,10.084,-1,0
4,0.2,582.709,-24.094,19.61,592.986,-24.018,2.79,10.277,-1,0
5,0.25,582.441,-24.096,19.27,592.966,-24.018,1.55,10.526,-1,0
6,0.3,582.172,-24.098,19.4,592.947,-24.018,1.47,10.775,-1,0
7,0.35,581.903,-24.1,19.36,592.927,-24.019,1.65,11.025,-1,0
8,0.4,581.632,-24.101,19.74,592.907,-24.019,1.47,11.275,-1,0
9,0.45,581.352,-24.104,20.56,592.887,-24.019,1.57,11.536,-1,0
10,0.5,581.057,-24.106,21.7,592.868,-24.02,1.39,11.811,-1,0
11,0.55,580.747,-24.108,22.76,592.848,-24.02,1.51,12.101,-1,0
12,0.6,580.42,-24.11,24.06,592.817,-24.02,3.51,12.397,-1,0
13,0.65,580.076,-24.113,25.21,592.741,-24.021,6.6,12.665,-1,0
14,0.7,579.716,-24.116,26.4,592.629,-24.023,8.91,12.914,-1,0
15,0.75,579.342,-24.118,27.24,592.49,-24.025,10.75,13.148,-1,0
16,0.8,578.957,-24.121,27.98,592.327,-24.027,12.34,13.37,-1,0
17,0.85,578.565,-24.124,28.35,592.143,-24.03,13.78,13.578,-1,0
18,0.9,578.169,-24.127,28.66,591.941,-24.032,15.13,13.772,-1,0
19,0.95,577.771,-24.13,28.69,591.72,-24.035,16.43,13.949,-1,0
20,1.0,577.372,-24.133,28.72,591.481,-24.039,17.69,14.11,-1,0
21,1.05,576.974,-24.136,28.55,591.225,-24.043,18.94,14.251,-1,0
22,1.1,576.579,-24.138,28.44,590.952,-24.049,20.03,14.374,-1,0
23,1.15,576.186,-24.141,28.18,590.673,-24.054,20.25,14.487,-1,0
24,1.2,575.796,-24.144,28.05,590.386,-24.06,21.02,14.59,-1,0
25,1.25,575.408,-24.147,27.79,590.087,-24.066,21.86,14.679,-1,0
26,1.3,575.023,-24.15,27.68,589.773,-24.073,23.11,14.75,-1,0
27,1.35,574.641,-24.153,27.47,589.441,-24.081,24.44,14.801,-1,0
28,1.4,574.26,-24.155,27.42,589.092,-24.089,25.64,14.833,-1,0
29,1.45,573.88,-24.158,27.27,588.727,-24.098,26.78,14.847,-1,0
30,1.5,573.501,-24.161,27.29,588.344,-24.107,28.16,14.843,61.262,0
31,1.55,573.123,-24.164,27.2,587.942,-24.116,29.42,14.819,24.002,0
32,1.6,572.745,-24.167,27.27,587.522,-24.126,30.79,14.777,15.109,0
33,1.65,572.366,-24.169,27.22,587.087,-24.131,31.61,14.721,12.076,0
34,1.7,571.987,-24.172,27.32,586.643,-24.134,32.19,14.656,10.815,0
35,1.75,571.608,-24.175,27.29,586.193,-24.138,32.62,14.584,9.851,0
36,1.8,571.228,-24.178,27.4,585.734,-24.143,33.3,14.506,8.847,0
37,1.85,570.848,-24.18,27.37,585.266,-24.148,34.02,14.418,7.812,0
38,1.9,570.467,-24.183,27.47,584.787,-24.153,34.74,14.32,7.098,0
39,1.95,570.086,-24.186,27.44,584.3,-24.158,35.28,14.215,6.528,0
40,2.0,569.704,-24.189,27.53,583.806,-24.164,35.84,14.102,6.106,0
41,2.05,569.322,-24.192,27.48,583.305,-24.17,36.22,13.983,5.761,0
42,2.1,568.94,-24.194,27.56,582.799,-24.176,36.49,13.859,5.584,0
43,2.15,568.557,-24.197,27.5,582.294,-24.182,36.23,13.737,5.66,0
44,2.2,568.175,-24.2,27.56,581.795,-24.188,35.73,13.62,6.0,0
45,2.25,567.793,-24.203,27.49,581.305,-24.194,34.98,13.512,6.494,0
46,2.3,567.41,-24.206,27.55,580.823,-24.2,34.56,13.412,6.885,0
47,2.35,567.028,-24.208,27.48,580.346,-24.206,34.13,13.318,7.205,0
48,2.4,566.646,-24.211,27.53,579.875,-24.212,33.81,13.229,7.588,0
49,2.45,566.264,-24.214,27.46,579.409,-24.217,33.35,13.145,8.035,0
50,2.5,565.883,-24.217,27.52,578.949,-24.223,32.97,13.067,8.632,0
51,2.55,565.501,-24.219,27.45,578.496,-24.229,32.42,12.995,9.412,0
52,2.6,565.119,-24.222,27.51,578.05,-24.234,31.95,12.93,10.483,0
53,2.65,564.738,-24.225,27.44,577.611,-24.24,31.32,12.873,11.954,0
54,2.7,564.356,-24.228,27.5,577.181,-24.245,30.8,12.825,14.001,0
55,2.75,563.975,-24.231,27.44,576.759,-24.249,30.13,12.784,17.059,0
56,2.8,563.593,-24.233,27.5,576.344,-24.254,29.61,12.751,21.787,0
57,2.85,563.212,-24.236,27.44,575.939,-24.258,28.93,12.727,30.682,0
58,2.9,562.83,-24.239,27.5,575.541,-24.263,28.43,12.711,49.207,0
59,2.95,562.449,-24.242,27.44,575.151,-24.267,27.85,12.703,110.977,0
60,3.0,562.067,-24.245,27.51,574.768,-24.271,27.43,12.701,-1,0
61,3.05,561.686,-24.247,27.44,574.392,-24.275,26.9,12.706,-1,0
62,3.1,561.304,-24.25,27.51,574.021,-24.279,26.61,12.717,-1,0
63,3.15,560.922,-24.253,27.45,573.654,-24.283,26.23,12.732,-1,0
64,3.2,560.541,-24.256,27.51,573.291,-24.287,26.08,12.751,-1,0
65,3.25,560.159,-24.259,27.45,572.932,-24.29,25.77,12.773,-1,0
66,3.3,559.777,-24.261,27.51,572.575,-24.293,25.61,12.798,-1,0
67,3.35,559.396,-24.264,27.45,572.222,-24.297,25.37,12.826,-1,0
68,3.4,559.014,-24.267,27.51,571.869,-24.3,25.39,12.855,-1,0
69,3.45,558.633,-24.27,27.45,571.518,-24.304,25.24,12.885,-1,0
70,3.5,558.251,-24.272,27.51,571.167,-24.308,25.29,12.916,-1,0
71,3.55,557.869,-24.275,27.45,570.815,-24.312,25.39,12.946,-1,0
72,3.6,557.488,-24.278,27.51,570.458,-24.315,25.88,12.971,-1,0
73,3.65,557.106,-24.281,27.45,570.096,-24.318,26.23,12.99,-1,0
74,3.7,556.724,-24.284,27.51,569.728,-24.32,26.71,13.004,-1,0
75,3.75,556.343,-24.286,27.45,569.354,-24.323,27.05,13.011,-1,0
76,3.8,555.961,-24.289,27.51,568.974,-24.326,27.6,13.013,553.699,0
77,3.85,555.579,-24.292,27.45,568.588,-24.328,27.9,13.009,102.087,0
78,3.9,555.198,-24.295,27.51,568.197,-24.331,28.35,12.999,55.489,0
79,3.95,554.816,-24.298,27.45,567.8,-24.333,28.69,12.984,37.488,0
80,4.0,554.434,-24.3,27.51,567.399,-24.336,29.02,12.964,30.858,0
81,4.05,554.053,-24.303,27.45,566.994,-24.339,29.19,12.941,26.772,0
82,4.1,553.671,-24.306,27.51,566.588,-24.344,29.31,12.916,25.892,0
83,4.15,553.29,-24.309,27.45,566.181,-24.348,29.21,12.892,26.256,0
84,4.2,552.908,-24.312,27.51,565.776,-24.352,29.11,12.869,28.952,0
85,4.25,552.526,-24.314,27.45,565.374,-24.357,28.88,12.848,32.3,0
86,4.3,552.145,-24.317,27.51,564.974,-24.362,28.81,12.829,35.473,0
87,4.35,551.763,-24.32,27.45,564.575,-24.367,28.68,12.812,37.475,0
88,4.4,551.381,-24.323,27.51,564.176,-24.371,28.77,12.795,36.687,0
89,4.45,551.0,-24.325,27.45,563.777,-24.374,28.68,12.777,37.136,0
90,4.5,550.618,-24.328,27.51,563.378,-24.379,28.73,12.76,37.805,0
91,4.55,550.236,-24.331,27.45,562.98,-24.383,28.57,12.744,40.84,0
92,4.6,549.855,-24.334,27.51,562.585,-24.386,28.45,12.73,48.945,0
93,4.65,549.473,-24.337,27.45,562.192,-24.39,28.2,12.718,60.822,0
94,4.7,549.091,-24.339,27.51,561.801,-24.393,28.05,12.71,85.561,0
95,4.75,548.71,-24.342,27.45,561.415,-24.394,27.68,12.705,195.436,0
96,4.8,548.328,-24.345,27.51,561.032,-24.395,27.42,12.704,-1,0
97,4.85,547.947,-24.348,27.45,560.654,-24.396,27.11,12.708,-1,0
98,4.9,547.565,-24.351,27.51,560.278,-24.398,27.06,12.713,-1,0
99,4.95,547.183,-24.353,27.45,559.904,-24.401,26.91,12.721,-1,0
100,5.0,546.802,-24.356,27.51,559.529,-24.404,27.0,12.728,-1,0
101,5.05,546.42,-24.359,27.45,559.154,-24.407,27.05,12.734,-1,0
102,5.1,546.038,-24.362,27.51,558.776,-24.409,27.38,12.737,-1,0
103,5.15,545.657,-24.365,27.45,558.394,-24.412,27.56,12.737,417.956,0
104,5.2,545.275,-24.367,27.51,558.01,-24.415,27.68,12.735,276.427,0
105,5.25,544.893,-24.37,27.45,557.626,-24.418,27.6,12.733,306.112,0
106,5.3,544.512,-24.373,27.51,557.243,-24.422,27.6,12.731,493.338,0
107,5.35,544.13,-24.376,27.45,556.86,-24.425,27.49,12.73,1108.232,0
108,5.4,543.748,-24.378,27.51,556.478,-24.429,27.51,12.73,10968.528,0
109,5.45,543.367,-24.381,27.45,556.097,-24.432,27.4,12.73,-1,0
110,5.5,542.985,-24.384,27.51,555.716,-24.435,27.47,12.731,-1,0
111,5.55,542.604,-24.387,27.45,555.335,-24.438,27.4,12.731,-1,0
112,5.6,542.222,-24.39,27.51,554.954,-24.442,27.45,12.732,-1,0
113,5.65,541.84,-24.392,27.45,554.574,-24.445,27.36,12.733,-1,0
114,5.7,541.459,-24.395,27.51,554.193,-24.449,27.46,12.734,-1,0
115,5.75,541.077,-24.398,27.45,553.811,-24.453,27.46,12.734,2908.102,0
116,5.8,540.695,-24.401,27.51,553.429,-24.456,27.6,12.734,531.326,0
117,5.85,540.314,-24.404,27.45,553.045,-24.46,27.61,12.732,281.887,0
118,5.9,539.932,-24.406,27.51,552.661,-24.465,27.76,12.729,184.897,0
119,5.95,539.55,-24.409,27.45,552.275,-24.47,27.8,12.725,128.912,0
120,6.0,539.169,-24.412,27.51,551.887,-24.475,27.96,12.719,101.231,0
121,6.05,538.787,-24.415,27.45,551.499,-24.479,27.93,12.712,94.436,0
122,6.1,538.406,-24.418,27.51,551.112,-24.483,27.87,12.706,125.986,0
123,6.15,538.024,-24.42,27.45,550.727,-24.487,27.61,12.703,277.819,0
124,6.2,537.642,-24.423,27.51,550.344,-24.49,27.52,12.702,4604.301,0
125,6.25,537.261,-24.426,27.45,549.963,-24.491,27.32,12.703,-1,0
126,6.3,536.879,-24.429,27.51,549.585,-24.492,27.2,12.706,-1,0
127,6.35,536.497,-24.431,27.45,549.209,-24.492,26.97,12.712,-1,0
128,6.4,536.116,-24.434,27.51,548.836,-24.493,26.86,12.72,-1,0
129,6.45,535.734,-24.437,27.45,548.464,-24.494,26.7,12.73,-1,0
130,6.5,535.352,-24.44,27.51,548.093,-24.495,26.78,12.74,-1,0
131,6.55,534.971,-24.443,27.45,547.72,-24.496,26.9,12.749,-1,0
132,6.6,534.589,-24.445,27.51,547.343,-24.497,27.23,12.754,-1,0
133,6.65,534.208,-24.448,27.45,546.964,-24.497,27.31,12.757,-1,0
134,6.7,533.826,-24.451,27.51,546.584,-24.497,27.39,12.759,-1,0
135,6.75,533.444,-24.454,27.45,546.205,-24.497,27.27,12.761,-1,0
136,6.8,533.062,-24.457,27.51,545.826,-24.498,27.34,12.763,-1,0
137,6.85,532.681,-24.459,27.45,545.445,-24.5,27.42,12.764,-1,0
138,6.9,532.299,-24.462,27.51,545.062,-24.502,27.67,12.763,293.918,0
139,6.95,531.918,-24.465,27.45,544.678,-24.504,27.6,12.761,291.934,0
140,7.0,531.536,-24.468,27.51,544.296,-24.506,27.52,12.76,4105.725,0
141,7.05,531.154,-24.471,27.45,543.915,-24.508,27.27,12.761,-1,0
142,7.1,530.773,-24.473,27.51,543.538,-24.51,27.16,12.765,-1,0
143,7.15,530.391,-24.476,27.45,543.162,-24.512,26.98,12.771,-1,0
144,7.2,530.009,-24.479,27.51,542.787,-24.513,26.95,12.778,-1,0
145,7.25,529.628,-24.482,27.45,542.415,-24.514,26.72,12.787,-1,0
146,7.3,529.246,-24.484,27.51,542.045,-24.515,26.56,12.799,-1,0
147,7.35,528.865,-24.487,27.45,541.679,-24.516,26.27,12.814,-1,0
148,7.4,528.483,-24.49,27.51,541.315,-24.517,26.06,12.833,-1,0
149,7.45,528.101,-24.493,27.45,540.957,-24.518,25.65,12.856,-1,0
150,7.5,527.72,-24.496,27.51,540.603,-24.519,25.4,12.883,-1,0
151,7.55,527.338,-24.498,27.45,540.253,-24.52,25.05,12.915,-1,0
152,7.6,526.956,-24.501,27.51,539.907,-24.521,24.81,12.951,-1,0
153,7.65,526.575,-24.504,27.45,539.566,-24.521,24.39,12.991,-1,0
154,7.7,526.193,-24.507,27.51,539.229,-24.521,24.12,13.036,-1,0
155,7.75,525.811,-24.51,27.45,538.898,-24.522,23.67,13.087,-1,0
156,7.8,525.43,-24.512,27.51,538.572,-24.523,23.4,13.142,-1,0
157,7.85,525.048,-24.515,27.45,538.25,-24.525,23.0,13.202,-1,0
158,7.9,524.666,-24.518,27.51,537.932,-24.528,22.78,13.266,-1,0
159,7.95,524.285,-24.521,27.45,537.619,-24.531,22.46,13.334,-1,0
160,8.0,523.903,-24.524,27.51,537.308,-24.534,22.27,13.405,-1,0
161,8.05,523.522,-24.526,27.45,537.002,-24.536,21.95,13.48,-1,0
162,8.1,523.14,-24.529,27.51,536.697,-24.538,21.9,13.557,-1,0
163,8.15,522.758,-24.532,27.45,536.395,-24.539,21.68,13.637,-1,0
164,8.2,522.377,-24.535,27.51,536.094,-24.539,21.67,13.717,-1,0
165,8.25,521.995,-24.537,27.45,535.793,-24.539,21.67,13.798,-1,0
166,8.3,521.613,-24.54,27.51,535.489,-24.54,22.13,13.875,-1,0
167,8.35,521.232,-24.543,27.45,535.177,-24.54,22.72,13.945,-1,0
168,8.4,520.85,-24.546,27.51,534.853,-24.54,23.62,14.003,-1,0
169,8.45,520.468,-24.549,27.45,534.52,-24.542,24.26,14.052,-1,0
170,8.5,520.087,-24.551,27.51,534.176,-24.543,25.11,14.089,-1,0
171,8.55,519.705,-24.554,27.45,533.82,-24.544,25.99,14.115,-1,0
172,8.6,519.323,-24.557,27.51,533.45,-24.545,27.1,14.126,-1,0
173,8.65,518.942,-24.56,27.45,533.067,-24.547,27.85,14.125,125.286,0
174,8.7,518.56,-24.563,27.51,532.673,-24.549,28.73,14.113,41.592,0
175,8.75,518.179,-24.565,27.45,532.268,-24.551,29.43,14.089,25.533,0
176,8.8,517.797,-24.568,27.51,531.854,-24.552,30.01,14.057,20.224,0
177,8.85,517.415,-24.571,27.45,531.434,-24.552,30.34,14.019,17.437,0
178,8.9,517.034,-24.574,27.51,531.01,-24.554,30.72,13.976,15.696,0
179,8.95,516.652,-24.577,27.45,530.581,-24.556,30.92,13.929,14.422,0
180,9.0,516.27,-24.579,27.51,530.15,-24.558,31.2,13.879,13.548,0
181,9.05,515.889,-24.582,27.45,529.715,-24.56,31.3,13.826,12.919,0
182,9.1,515.507,-24.585,27.51,529.279,-24.561,31.45,13.772,12.576,0
183,9.15,515.125,-24.588,27.45,528.843,-24.561,31.45,13.717,12.336,0
184,9.2,514.744,-24.59,27.51,528.405,-24.561,31.51,13.661,12.288,0
185,9.25,514.362,-24.593,27.45,527.968,-24.561,31.4,13.606,12.39,0
186,9.3,513.98,-24.596,27.51,527.533,-24.561,31.33,13.552,12.768,0
187,9.35,513.599,-24.599,27.45,527.1,-24.561,31.07,13.501,13.392,0
188,9.4,513.217,-24.602,27.51,526.67,-24.561,30.88,13.453,14.394,0
189,9.45,512.836,-24.604,27.45,526.244,-24.561,30.5,13.409,15.789,0
190,9.5,512.454,-24.607,27.51,525.823,-24.562,30.21,13.369,17.825,0
191,9.55,512.072,-24.61,27.45,525.407,-24.562,29.74,13.335,20.908,0
192,9.6,511.691,-24.613,27.51,524.997,-24.562,29.36,13.307,25.877,0
193,9.65,511.309,-24.616,27.45,524.594,-24.562,28.81,13.285,35.137,0
194,9.7,510.927,-24.618,27.51,524.197,-24.563,28.39,13.27,54.307,0
195,9.75,510.546,-24.621,27.45,523.807,-24.564,27.88,13.262,110.874,0
196,9.8,510.164,-24.624,27.51,523.424,-24.565,27.5,13.26,-1,0
197,9.85,509.783,-24.627,27.45,523.045,-24.567,27.06,13.263,-1,0
198,9.9,509.401,-24.63,27.51,522.671,-24.568,26.92,13.27,-1,0
199,9.95,509.019,-24.632,27.45,522.298,-24.569,26.78,13.279,-1,0
200,10.0,508.638,-24.635,27.42,521.925,-24.57,27.02,13.287,-1,0
201,10.05,508.261,-24.638,26.98,521.546,-24.571,27.38,13.286,121.284,0
202,10.1,507.89,-24.641,26.49,521.162,-24.572,27.88,13.272,34.57,0
203,10.15,507.528,-24.643,25.71,520.772,-24.573,28.17,13.244,19.373,0
204,10.2,507.177,-24.646,25.05,520.379,-24.574,28.44,13.202,14.039,0
205,10.25,506.836,-24.648,24.15,519.983,-24.575,28.54,13.146,10.781,0
206,10.3,506.507,-24.651,23.44,519.586,-24.576,28.61,13.079,9.112,0
207,10.35,506.189,-24.653,22.5,519.189,-24.577,28.49,13.0,7.805,0
208,10.4,505.885,-24.655,20.85,518.794,-24.578,28.43,12.909,6.133,0
209,10.45,505.636,-24.657,16.02,518.401,-24.58,28.13,12.765,3.797,0
210,10.5,505.455,-24.658,11.17,518.012,-24.581,27.95,12.558,2.694,0
211,10.55,505.34,-24.659,6.35,517.626,-24.582,27.7,12.286,2.072,0
212,10.6,505.292,-24.66,1.59,517.243,-24.583,27.56,11.951,1.657,0
213,10.65,505.29,-24.66,0.0,516.862,-24.584,27.26,11.573,1.528,0
214,10.7,505.29,-24.66,0.0,516.485,-24.584,27.17,11.195,1.484,0
215,10.75,505.29,-24.66,0.0,516.108,-24.585,27.12,10.819,1.436,0
216,10.8,505.289,-24.66,0.0,515.729,-24.586,27.42,10.44,1.371,0
217,10.85,505.289,-24.66,0.0,515.347,-24.587,27.55,10.058,1.315,0
218,10.9,505.289,-24.66,0.0,514.964,-24.588,27.53,9.675,1.265,0
219,10.95,505.289,-24.66,0.0,514.585,-24.589,27.08,9.297,1.236,0
220,11.0,505.289,-24.66,0.0,514.213,-24.589,26.59,8.925,1.208,0
221,11.05,505.289,-24.66,0.0,513.851,-24.589,25.74,8.562,1.197,0
222,11.1,505.289,-24.66,0.0,513.499,-24.588,25.02,8.211,1.181,0
223,11.15,505.289,-24.66,0.0,513.16,-24.587,24.04,7.871,1.179,0
224,11.2,505.289,-24.66,0.0,512.832,-24.585,23.26,7.544,1.167,0
225,11.25,505.289,-24.66,0.0,512.522,-24.584,21.11,7.234,1.234,0
226,11.3,505.289,-24.66,0.0,512.27,-24.583,16.29,6.982,1.543,0
227,11.35,505.289,-24.66,0.0,512.084,-24.582,11.43,6.796,2.14,0
228,11.4,505.289,-24.66,0.0,511.966,-24.582,6.61,6.678,3.64,0
229,11.45,505.289,-24.66,0.0,511.915,-24.581,1.84,6.626,12.998,0
230,11.5,505.289,-24.66,0.0,511.91,-24.581,0.0,6.622,12719.753,0
231,11.55,505.289,-24.66,0.0,511.91,-24.581,0.0,6.622,8484.221,0
232,11.6,505.289,-24.66,0.0,511.91,-24.581,0.0,6.622,8832.939,0
233,11.65,505.289,-24.66,0.0,511.91,-24.581,0.0,6.621,10623.165,0
234,11.7,505.289,-24.66,0.0,511.909,-24.581,0.0,6.621,13504.863,0
235,11.75,505.289,-24.66,0.0,511.909,-24.581,0.0,6.621,17921.283,0
236,11.8,505.289,-24.66,0.0,511.909,-24.581,0.0,6.621,24161.081,0
237,11.85,505.289,-24.66,0.0,511.909,-24.581,0.0,6.621,33469.499,0
238,11.9,505.289,-24.66,0.0,511.909,-24.581,0.0,6.621,127197.853,0
239,11.95,505.289,-24.66,0.0,511.909,-24.581,0.0,6.621,76115.58,0
240,12.0,505.289,-24.66,0.0,511.909,-24.581,0.0,6.621,79206.617,0
241,12.05,505.289,-24.66,0.0,511.909,-24.581,0.0,6.621,95194.147,0
242,12.1,505.289,-24.66,0.0,511.909,-24.581,0.0,6.621,120504.848,0
243,12.15,505.289,-24.66,0.0,511.909,-24.581,0.0,6.621,157966.279,0
244,12.2,505.289,-24.66,0.0,511.909,-24.581,0.0,6.621,208984.204,0
245,12.25,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,287112.587,0
246,12.3,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,391381.184,0
247,12.35,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,788315.347,0
248,12.4,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,748423.492,0
249,12.45,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,869888.493,0
250,12.5,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,1076970.874,0
251,12.55,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,1444923.708,0
252,12.6,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,1917966.925,0
253,12.65,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,2246693.947,0
254,12.7,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,2633283.844,0
255,12.75,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,8186102.291,0
256,12.8,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,4249111.176,0
257,12.85,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,3300918.334,0
258,12.9,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,2813390.487,0
259,12.95,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,4655255.339,0
260,13.0,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,3722896.801,0
261,13.05,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,9234303.236,0
262,13.1,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,3930306.3,0
263,13.15,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,-1,0
264,13.2,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,20480349.218,0
265,13.25,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,23410667.125,0
266,13.3,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,17850130.433,0
267,13.35,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,6848604.373,0
268,13.4,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,5684253.029,0
269,13.45,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,4229873.993,0
270,13.5,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,4131508.417,0
271,13.55,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,3856201.804,0
272,13.6,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,62668570.807,0
273,13.65,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,10823916.904,0
274,13.7,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,5833049.121,0
275,13.75,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,7793071.106,0
276,13.8,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,4420562.111,0
277,13.85,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,3834411.442,0
278,13.9,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,3596511.963,0
279,13.95,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,7306915.415,0
280,14.0,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,687416027.486,0
281,14.05,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,115161058.484,0
282,14.1,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,16491514.569,0
283,14.15,505.289,-24.66,0.0,511.909,-24.581,0.0,6.62,58890570.396,0
