tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.246,-24.09,20.48,593.246,-24.016,20.5,10.0,1954.298,0
3,0.15,582.978,-24.092,19.77,593.062,-24.018,10.44,10.084,-1,0
4,0.2,582.709,-24.094,19.61,592.986,-24.018,2.79,10.277,-1,0
5,0.25,582.441,-24.096,19.27,592.98,-24.018,0.3,10.54,-1,0
6,0.3,582.172,-24.098,19.4,592.98,-24.018,0.65,10.809,-1,0
7,0.35,581.903,-24.1,19.36,592.98,-24.018,0.7,11.078,-1,0
8,0.4,581.632,-24.101,19.74,592.98,-24.018,0.62,11.348,-1,0
9,0.45,581.352,-24.104,20.56,592.979,-24.018,0.51,11.628,-1,0
10,0.5,581.057,-24.106,21.7,592.979,-24.018,0.39,11.923,-1,0
11,0.55,580.747,-24.108,22.76,592.979,-24.018,0.29,12.232,-1,0
12,0.6,580.42,-24.11,24.06,592.972,-24.018,1.53,12.552,-1,0
13,0.65,580.076,-24.113,25.21,592.924,-24.019,4.66,12.848,-1,0
14,0.7,579.716,-24.116,26.4,592.838,-24.02,7.09,13.123,-1,0
15,0.75,579.342,-24.118,27.24,592.723,-24.022,9.03,13.382,-1,0
16,0.8,578.957,-24.121,27.98,592.584,-24.023,10.7,13.627,-1,0
17,0.85,578.565,-24.124,28.35,592.422,-24.026,12.23,13.857,-1,0
18,0.9,578.169,-24.127,28.66,592.24,-24.028,13.64,14.072,-1,0
19,0.95,577.771,-24.13,28.69,592.039,-24.03,14.98,14.269,-1,0
20,1.0,577.372,-24.133,28.72,591.821,-24.034,16.27,14.449,-1,0
21,1.05,576.974,-24.136,28.55,591.584,-24.037,17.53,14.61,-1,0
22,1.1,576.579,-24.138,28.44,591.33,-24.041,18.78,14.752,-1,0
23,1.15,576.186,-24.141,28.18,591.06,-24.046,19.83,14.875,-1,0
24,1.2,575.796,-24.144,28.05,590.784,-24.051,20.05,14.989,-1,0
25,1.25,575.408,-24.147,27.79,590.499,-24.057,20.82,15.091,-1,0
26,1.3,575.023,-24.15,27.68,590.203,-24.063,21.66,15.18,-1,0
27,1.35,574.641,-24.153,27.47,589.893,-24.07,22.88,15.252,-1,0
28,1.4,574.26,-24.155,27.42,589.565,-24.077,24.11,15.305,-1,0
29,1.45,573.88,-24.158,27.27,589.22,-24.085,25.37,15.34,-1,0
30,1.5,573.501,-24.161,27.29,588.858,-24.093,26.54,15.357,-1,0
31,1.55,573.123,-24.164,27.2,588.478,-24.103,27.94,15.355,74.572,0
32,1.6,572.745,-24.167,27.27,588.079,-24.112,29.22,15.335,28.229,0
33,1.65,572.366,-24.169,27.22,587.661,-24.121,30.68,15.295,15.911,0
34,1.7,571.987,-24.172,27.32,587.225,-24.129,31.9,15.237,11.965,0
35,1.75,571.608,-24.175,27.29,586.773,-24.135,32.82,15.165,9.879,0
36,1.8,571.228,-24.178,27.4,586.313,-24.142,33.37,15.085,9.091,0
37,1.85,570.848,-24.18,27.37,585.844,-24.149,34.06,14.996,8.073,0
38,1.9,570.467,-24.183,27.47,585.366,-24.156,34.7,14.899,7.42,0
39,1.95,570.086,-24.186,27.44,584.877,-24.162,35.46,14.792,6.636,0
40,2.0,569.704,-24.189,27.53,584.38,-24.169,36.06,14.676,6.192,0
41,2.05,569.322,-24.192,27.48,583.874,-24.176,36.68,14.552,5.695,0
42,2.1,568.94,-24.194,27.56,583.361,-24.182,37.11,14.421,5.433,0
43,2.15,568.557,-24.197,27.5,582.842,-24.189,37.44,14.285,5.174,0
44,2.2,568.175,-24.2,27.56,582.324,-24.196,37.21,14.149,5.277,0
45,2.25,567.793,-24.203,27.49,581.811,-24.202,36.72,14.018,5.468,0
46,2.3,567.41,-24.206,27.55,581.308,-24.209,35.83,13.898,6.042,0
47,2.35,567.028,-24.208,27.48,580.818,-24.215,34.94,13.79,6.652,0
48,2.4,566.646,-24.211,27.53,580.341,-24.221,33.93,13.695,7.704,0
49,2.45,566.264,-24.214,27.46,579.876,-24.227,33.32,13.611,8.357,0
50,2.5,565.883,-24.217,27.52,579.418,-24.231,32.75,13.535,9.32,0
51,2.55,565.501,-24.219,27.45,578.966,-24.236,32.31,13.466,9.972,0
52,2.6,565.119,-24.222,27.51,578.523,-24.241,31.73,13.403,11.418,0
53,2.65,564.738,-24.225,27.44,578.086,-24.245,31.26,13.348,12.569,0
54,2.7,564.356,-24.228,27.5,577.657,-24.25,30.62,13.301,15.328,0
55,2.75,563.975,-24.231,27.44,577.236,-24.254,30.11,13.261,17.837,0
56,2.8,563.593,-24.233,27.5,576.823,-24.258,29.44,13.23,24.498,0
57,2.85,563.212,-24.236,27.44,576.419,-24.262,28.92,13.207,31.965,0
58,2.9,562.83,-24.239,27.5,576.022,-24.266,28.28,13.192,61.172,0
59,2.95,562.449,-24.242,27.44,575.633,-24.27,27.84,13.185,118.774,0
60,3.0,562.067,-24.245,27.51,575.252,-24.273,27.25,13.185,-1,0
61,3.05,561.686,-24.247,27.44,574.876,-24.277,26.85,13.191,-1,0
62,3.1,561.304,-24.25,27.51,574.508,-24.28,26.29,13.204,-1,0
63,3.15,560.922,-24.253,27.45,574.146,-24.284,25.95,13.223,-1,0
64,3.2,560.541,-24.256,27.51,573.789,-24.287,25.49,13.248,-1,0
65,3.25,560.159,-24.259,27.45,573.438,-24.289,25.15,13.279,-1,0
66,3.3,559.777,-24.261,27.51,573.093,-24.292,24.64,13.316,-1,0
67,3.35,559.396,-24.264,27.45,572.753,-24.295,24.33,13.357,-1,0
68,3.4,559.014,-24.267,27.51,572.419,-24.297,23.85,13.405,-1,0
69,3.45,558.633,-24.27,27.45,572.09,-24.3,23.6,13.458,-1,0
70,3.5,558.251,-24.272,27.51,571.765,-24.302,23.37,13.514,-1,0
71,3.55,557.869,-24.275,27.45,571.439,-24.305,23.57,13.57,-1,0
72,3.6,557.488,-24.278,27.51,571.109,-24.307,23.94,13.621,-1,0
73,3.65,557.106,-24.281,27.45,570.77,-24.31,24.73,13.664,-1,0
74,3.7,556.724,-24.284,27.51,570.419,-24.313,25.58,13.695,-1,0
75,3.75,556.343,-24.286,27.45,570.054,-24.317,26.74,13.712,-1,0
76,3.8,555.961,-24.289,27.51,569.674,-24.32,27.76,13.713,193.954,0
77,3.85,555.579,-24.292,27.45,569.281,-24.323,28.6,13.702,42.685,0
78,3.9,555.198,-24.295,27.51,568.88,-24.326,28.97,13.683,33.672,0
79,3.95,554.816,-24.298,27.45,568.475,-24.329,29.37,13.659,25.488,0
80,4.0,554.434,-24.3,27.51,568.064,-24.333,29.68,13.63,22.585,0
81,4.05,554.053,-24.303,27.45,567.649,-24.336,30.06,13.596,18.684,0
82,4.1,553.671,-24.306,27.51,567.23,-24.34,30.23,13.559,17.935,0
83,4.15,553.29,-24.309,27.45,566.808,-24.344,30.51,13.518,15.875,0
84,4.2,552.908,-24.312,27.51,566.383,-24.349,30.67,13.475,15.372,0
85,4.25,552.526,-24.314,27.45,565.954,-24.353,30.94,13.428,13.851,0
86,4.3,552.145,-24.317,27.51,565.523,-24.358,31.08,13.379,13.512,0
87,4.35,551.763,-24.32,27.45,565.09,-24.362,31.3,13.327,12.434,0
88,4.4,551.381,-24.323,27.51,564.655,-24.367,31.38,13.273,12.342,0
89,4.45,551.0,-24.325,27.45,564.217,-24.371,31.52,13.218,11.674,0
90,4.5,550.618,-24.328,27.51,563.78,-24.375,31.48,13.162,11.926,0
91,4.55,550.236,-24.331,27.45,563.343,-24.379,31.49,13.106,11.666,0
92,4.6,549.855,-24.334,27.51,562.907,-24.383,31.31,13.052,12.377,0
93,4.65,549.473,-24.337,27.45,562.473,-24.387,31.17,13.0,12.581,0
94,4.7,549.091,-24.339,27.51,562.043,-24.392,30.83,12.952,14.051,0
95,4.75,548.71,-24.342,27.45,561.617,-24.395,30.54,12.907,15.008,0
96,4.8,548.328,-24.345,27.51,561.197,-24.399,30.06,12.869,18.185,0
97,4.85,547.947,-24.348,27.45,560.783,-24.403,29.66,12.836,20.907,0
98,4.9,547.565,-24.351,27.51,560.376,-24.407,29.1,12.811,28.961,0
99,4.95,547.183,-24.353,27.45,559.974,-24.412,28.79,12.791,34.146,0
100,5.0,546.802,-24.356,27.51,559.577,-24.416,28.5,12.776,46.642,0
101,5.05,546.42,-24.359,27.45,559.183,-24.42,28.28,12.763,54.821,0
102,5.1,546.038,-24.362,27.51,558.794,-24.424,27.86,12.755,130.967,0
103,5.15,545.657,-24.365,27.45,558.409,-24.428,27.57,12.752,365.173,0
104,5.2,545.275,-24.367,27.51,558.029,-24.431,27.2,12.754,-1,0
105,5.25,544.893,-24.37,27.45,557.653,-24.433,26.99,12.76,-1,0
106,5.3,544.512,-24.373,27.51,557.281,-24.436,26.7,12.769,-1,0
107,5.35,544.13,-24.376,27.45,556.911,-24.438,26.58,12.781,-1,0
108,5.4,543.748,-24.378,27.51,556.543,-24.441,26.41,12.795,-1,0
109,5.45,543.367,-24.381,27.45,556.177,-24.443,26.42,12.81,-1,0
110,5.5,542.985,-24.384,27.51,555.811,-24.445,26.19,12.826,-1,0
111,5.55,542.604,-24.387,27.45,555.449,-24.447,26.05,12.845,-1,0
112,5.6,542.222,-24.39,27.51,555.089,-24.45,25.79,12.867,-1,0
113,5.65,541.84,-24.392,27.45,554.732,-24.452,25.62,12.892,-1,0
114,5.7,541.459,-24.395,27.51,554.379,-24.456,25.33,12.921,-1,0
115,5.75,541.077,-24.398,27.45,554.028,-24.459,25.29,12.951,-1,0
116,5.8,540.695,-24.401,27.51,553.678,-24.461,25.07,12.983,-1,0
117,5.85,540.314,-24.404,27.45,553.331,-24.465,24.97,13.017,-1,0
118,5.9,539.932,-24.406,27.51,552.986,-24.468,24.74,13.054,-1,0
119,5.95,539.55,-24.409,27.45,552.643,-24.472,24.71,13.092,-1,0
120,6.0,539.169,-24.412,27.51,552.301,-24.477,24.55,13.132,-1,0
121,6.05,538.787,-24.415,27.45,551.96,-24.481,24.62,13.173,-1,0
122,6.1,538.406,-24.418,27.51,551.618,-24.486,24.63,13.212,-1,0
123,6.15,538.024,-24.42,27.45,551.274,-24.49,24.81,13.25,-1,0
124,6.2,537.642,-24.423,27.51,550.929,-24.493,24.94,13.286,-1,0
125,6.25,537.261,-24.426,27.45,550.581,-24.495,25.1,13.32,-1,0
126,6.3,536.879,-24.429,27.51,550.233,-24.497,24.98,13.354,-1,0
127,6.35,536.497,-24.431,27.45,549.886,-24.497,24.96,13.389,-1,0
128,6.4,536.116,-24.434,27.51,549.54,-24.497,24.87,13.425,-1,0
129,6.45,535.734,-24.437,27.45,549.193,-24.497,25.11,13.459,-1,0
130,6.5,535.352,-24.44,27.51,548.842,-24.498,25.44,13.49,-1,0
131,6.55,534.971,-24.443,27.45,548.484,-24.499,25.94,13.514,-1,0
132,6.6,534.589,-24.445,27.51,548.121,-24.5,26.35,13.532,-1,0
133,6.65,534.208,-24.448,27.45,547.751,-24.501,26.78,13.544,-1,0
134,6.7,533.826,-24.451,27.51,547.376,-24.502,27.09,13.551,-1,0
135,6.75,533.444,-24.454,27.45,546.995,-24.504,27.67,13.551,219.938,0
136,6.8,533.062,-24.457,27.51,546.608,-24.505,27.96,13.546,107.758,0
137,6.85,532.681,-24.459,27.45,546.218,-24.506,28.18,13.537,66.571,0
138,6.9,532.299,-24.462,27.51,545.827,-24.507,28.16,13.528,74.557,0
139,6.95,531.918,-24.465,27.45,545.435,-24.509,28.27,13.517,59.282,0
140,7.0,531.536,-24.468,27.51,545.043,-24.512,28.11,13.508,80.671,0
141,7.05,531.154,-24.471,27.45,544.654,-24.515,28.04,13.499,81.11,0
142,7.1,530.773,-24.473,27.51,544.266,-24.518,27.83,13.493,153.842,0
143,7.15,530.391,-24.476,27.45,543.881,-24.52,27.66,13.49,221.758,0
144,7.2,530.009,-24.479,27.51,543.499,-24.521,27.34,13.49,-1,0
145,7.25,529.628,-24.482,27.45,543.12,-24.522,27.2,13.493,-1,0
146,7.3,529.246,-24.484,27.51,542.745,-24.523,26.87,13.499,-1,0
147,7.35,528.865,-24.487,27.45,542.374,-24.524,26.69,13.509,-1,0
148,7.4,528.483,-24.49,27.51,542.006,-24.524,26.3,13.523,-1,0
149,7.45,528.101,-24.493,27.45,541.643,-24.525,26.06,13.542,-1,0
150,7.5,527.72,-24.496,27.51,541.285,-24.525,25.62,13.565,-1,0
151,7.55,527.338,-24.498,27.45,540.931,-24.526,25.32,13.593,-1,0
152,7.6,526.956,-24.501,27.51,540.584,-24.526,24.83,13.627,-1,0
153,7.65,526.575,-24.504,27.45,540.242,-24.527,24.5,13.667,-1,0
154,7.7,526.193,-24.507,27.51,539.906,-24.527,24.0,13.713,-1,0
155,7.75,525.811,-24.51,27.45,539.575,-24.527,23.65,13.764,-1,0
156,7.8,525.43,-24.512,27.51,539.251,-24.528,23.14,13.821,-1,0
157,7.85,525.048,-24.515,27.45,538.932,-24.528,22.87,13.884,-1,0
158,7.9,524.666,-24.518,27.51,538.617,-24.527,22.57,13.951,-1,0
159,7.95,524.285,-24.521,27.45,538.304,-24.528,22.54,14.019,-1,0
160,8.0,523.903,-24.524,27.51,537.991,-24.529,22.6,14.087,-1,0
161,8.05,523.522,-24.526,27.45,537.673,-24.532,23.11,14.151,-1,0
162,8.1,523.14,-24.529,27.51,537.347,-24.535,23.68,14.207,-1,0
163,8.15,522.758,-24.532,27.45,537.013,-24.537,24.36,14.254,-1,0
164,8.2,522.377,-24.535,27.51,536.669,-24.539,24.98,14.293,-1,0
165,8.25,521.995,-24.537,27.45,536.315,-24.542,25.88,14.32,-1,0
166,8.3,521.613,-24.54,27.51,535.95,-24.544,26.45,14.337,-1,0
167,8.35,521.232,-24.543,27.45,535.579,-24.547,26.92,14.347,-1,0
168,8.4,520.85,-24.546,27.51,535.203,-24.549,27.13,14.353,-1,0
169,8.45,520.468,-24.549,27.45,534.823,-24.552,27.48,14.355,1629.204,0
170,8.5,520.087,-24.551,27.51,534.44,-24.554,27.66,14.353,335.739,0
171,8.55,519.705,-24.554,27.45,534.054,-24.556,27.89,14.349,115.625,0
172,8.6,519.323,-24.557,27.51,533.666,-24.558,27.96,14.343,113.758,0
173,8.65,518.942,-24.56,27.45,533.275,-24.56,28.24,14.334,65.084,0
174,8.7,518.56,-24.563,27.51,532.882,-24.562,28.47,14.321,53.828,0
175,8.75,518.179,-24.565,27.45,532.482,-24.564,28.96,14.303,33.891,0
176,8.8,517.797,-24.568,27.51,532.077,-24.567,29.22,14.281,30.082,0
177,8.85,517.415,-24.571,27.45,531.669,-24.569,29.46,14.254,25.416,0
178,8.9,517.034,-24.574,27.51,531.259,-24.572,29.56,14.226,24.932,0
179,8.95,516.652,-24.577,27.45,530.848,-24.574,29.64,14.196,23.314,0
180,9.0,516.27,-24.579,27.51,530.437,-24.577,29.51,14.167,25.568,0
181,9.05,515.889,-24.582,27.45,530.028,-24.579,29.43,14.139,25.595,0
182,9.1,515.507,-24.585,27.51,529.621,-24.581,29.19,14.114,30.217,0
183,9.15,515.125,-24.588,27.45,529.217,-24.581,29.06,14.092,31.479,0
184,9.2,514.744,-24.59,27.51,528.815,-24.581,28.83,14.072,38.279,0
185,9.25,514.362,-24.593,27.45,528.416,-24.58,28.66,14.054,41.529,0
186,9.3,513.98,-24.596,27.51,528.021,-24.578,28.39,14.04,57.681,0
187,9.35,513.599,-24.599,27.45,527.627,-24.577,28.31,14.028,58.253,0
188,9.4,513.217,-24.602,27.51,527.235,-24.576,28.17,14.018,76.233,0
189,9.45,512.836,-24.604,27.45,526.843,-24.574,28.27,14.008,61.371,0
190,9.5,512.454,-24.607,27.51,526.45,-24.572,28.38,13.996,57.821,0
191,9.55,512.072,-24.61,27.45,526.053,-24.571,28.63,13.981,42.398,0
192,9.6,511.691,-24.613,27.51,525.655,-24.569,28.74,13.964,41.015,0
193,9.65,511.309,-24.616,27.45,525.255,-24.568,28.8,13.946,37.147,0
194,9.7,510.927,-24.618,27.51,524.856,-24.566,28.71,13.928,41.877,0
195,9.75,510.546,-24.621,27.45,524.456,-24.565,28.81,13.91,36.7,0
196,9.8,510.164,-24.624,27.51,524.056,-24.564,28.76,13.892,39.917,0
197,9.85,509.783,-24.627,27.45,523.656,-24.564,28.88,13.874,34.937,0
198,9.9,509.401,-24.63,27.51,523.256,-24.564,28.73,13.855,40.869,0
199,9.95,509.019,-24.632,27.45,522.858,-24.564,28.6,13.839,43.017,0
200,10.0,508.638,-24.635,27.42,522.463,-24.564,28.36,13.825,53.034,0
201,10.05,508.261,-24.638,26.98,522.069,-24.563,28.32,13.809,37.048,0
202,10.1,507.89,-24.641,26.49,521.677,-24.562,28.24,13.787,28.374,0
203,10.15,507.528,-24.643,25.71,521.283,-24.562,28.42,13.755,18.277,0
204,10.2,507.177,-24.646,25.05,520.887,-24.561,28.63,13.71,13.794,0
205,10.25,506.836,-24.648,24.15,520.487,-24.56,28.91,13.65,10.317,0
206,10.3,506.507,-24.651,23.44,520.084,-24.559,28.99,13.578,8.809,0
207,10.35,506.189,-24.653,22.5,519.68,-24.559,29.18,13.491,7.264,0
208,10.4,505.885,-24.655,20.85,519.274,-24.559,29.32,13.389,5.695,0
209,10.45,505.636,-24.657,16.02,518.865,-24.559,29.48,13.229,3.539,0
210,10.5,505.455,-24.658,11.17,518.455,-24.559,29.49,13.001,2.556,0
211,10.55,505.34,-24.659,6.35,518.046,-24.559,29.46,12.706,1.979,0
212,10.6,505.292,-24.66,1.59,517.639,-24.56,29.21,12.347,1.609,0
213,10.65,505.29,-24.66,0.0,517.235,-24.56,29.03,11.945,1.482,0
214,10.7,505.29,-24.66,0.0,516.835,-24.561,28.66,11.545,1.45,0
215,10.75,505.29,-24.66,0.0,516.439,-24.562,28.39,11.15,1.414,0
216,10.8,505.289,-24.66,0.0,516.048,-24.563,27.95,10.759,1.386,0
217,10.85,505.289,-24.66,0.0,515.663,-24.565,27.63,10.374,1.352,0
218,10.9,505.289,-24.66,0.0,515.283,-24.567,27.17,9.994,1.324,0
219,10.95,505.289,-24.66,0.0,514.909,-24.569,26.77,9.62,1.294,0
220,11.0,505.289,-24.66,0.0,514.543,-24.57,26.05,9.254,1.279,0
221,11.05,505.289,-24.66,0.0,514.186,-24.57,25.4,8.898,1.261,0
222,11.1,505.289,-24.66,0.0,513.842,-24.571,24.43,8.553,1.261,0
223,11.15,505.289,-24.66,0.0,513.509,-24.571,23.65,8.221,1.252,0
224,11.2,505.289,-24.66,0.0,513.193,-24.57,21.49,7.905,1.324,0
225,11.25,505.289,-24.66,0.0,512.936,-24.571,16.67,7.648,1.652,0
226,11.3,505.289,-24.66,0.0,512.745,-24.571,11.81,7.457,2.273,0
227,11.35,505.289,-24.66,0.0,512.622,-24.571,6.98,7.334,3.78,0
228,11.4,505.289,-24.66,0.0,512.565,-24.571,2.21,7.277,11.877,0
229,11.45,505.289,-24.66,0.0,512.56,-24.571,0.0,7.271,14551.789,0
230,11.5,505.289,-24.66,0.0,512.559,-24.571,0.0,7.271,9407.263,0
231,11.55,505.289,-24.66,0.0,512.559,-24.571,0.0,7.271,9603.01,0
232,11.6,505.289,-24.66,0.0,512.559,-24.571,0.0,7.271,11512.117,0
233,11.65,505.289,-24.66,0.0,512.559,-24.571,0.0,7.27,14778.625,0
234,11.7,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,19535.077,0
235,11.75,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,26452.723,0
236,11.8,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,35922.354,0
237,11.85,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,135020.467,0
238,11.9,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,80864.376,0
239,11.95,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,84285.501,0
240,12.0,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,102571.805,0
241,12.05,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,126423.038,0
242,12.1,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,174335.515,0
243,12.15,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,220520.993,0
244,12.2,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,320340.104,0
245,12.25,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,399147.001,0
246,12.3,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,716731.512,0
247,12.35,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,813759.658,0
248,12.4,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,773190.18,0
249,12.45,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,1205014.347,0
250,12.5,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,1161570.201,0
251,12.55,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,2131435.034,0
252,12.6,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,1595529.464,0
253,12.65,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,2386254.004,0
254,12.7,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,1912440.222,0
255,12.75,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,3150986.87,0
256,12.8,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,2621975.947,0
257,12.85,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,2471662.302,0
258,12.9,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,3099802.921,0
259,12.95,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,3349477.955,0
260,13.0,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,4850856.199,0
261,13.05,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,2575065.854,0
262,13.1,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,-1,0
263,13.15,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,4809618.363,0
264,13.2,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,4610053.517,0
265,13.25,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,3033598.326,0
266,13.3,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,2842845.394,0
267,13.35,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,3080259.647,0
268,13.4,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,3730956.336,0
269,13.45,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,4494157.922,0
270,13.5,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,4054065.319,0
271,13.55,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,16917975.755,0
272,13.6,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,2920204.273,0
273,13.65,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,3496226.319,0
274,13.7,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,3162886.874,0
275,13.75,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,3176070.206,0
276,13.8,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,2584019.82,0
277,13.85,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,3464303.152,0
278,13.9,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,2792234.126,0
279,13.95,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,21065039.382,0
280,14.0,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,3024241.595,0
281,14.05,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,2288993.159,0
282,14.1,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,4305219.538,0
283,14.15,505.289,-24.66,0.0,512.558,-24.571,0.0,7.27,5080238.333,0
