tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.246,-24.09,20.48,593.246,-24.016,20.5,10.0,1940.438,0
3,0.15,582.978,-24.092,19.77,593.062,-24.018,10.44,10.084,-1,0
4,0.2,582.709,-24.094,19.61,592.986,-24.018,2.79,10.277,-1,0
5,0.25,582.441,-24.096,19.27,592.98,-24.018,0.3,10.54,-1,0
6,0.3,582.172,-24.098,19.4,592.98,-24.018,0.65,10.809,-1,0
7,0.35,581.903,-24.1,19.36,592.98,-24.018,0.7,11.078,-1,0
8,0.4,581.632,-24.101,19.74,592.98,-24.018,0.62,11.348,-1,0
9,0.45,581.352,-24.104,20.56,592.979,-24.018,0.51,11.628,-1,0
10,0.5,581.057,-24.106,21.7,592.979,-24.018,0.39,11.923,-1,0
11,0.55,580.747,-24.108,22.76,592.979,-24.018,0.29,12.232,-1,0
12,0.6,580.42,-24.11,24.06,592.979,-24.018,0.21,12.559,-1,0
13,0.65,580.076,-24.113,25.21,592.979,-24.018,0.15,12.903,-1,0
14,0.7,579.716,-24.116,26.4,592.979,-24.018,0.1,13.263,-1,0
15,0.75,579.342,-24.118,27.24,592.966,-24.018,1.97,13.625,-1,0
16,0.8,578.957,-24.121,27.98,592.914,-24.017,4.7,13.957,-1,0
17,0.85,578.565,-24.124,28.35,592.833,-24.01,6.56,14.268,-1,0
18,0.9,578.169,-24.127,28.66,592.731,-23.995,7.97,14.563,-1,0
19,0.95,577.771,-24.13,28.69,592.613,-23.974,9.13,14.843,-1,0
20,1.0,577.372,-24.133,28.72,592.482,-23.947,10.14,15.111,-1,0
21,1.05,576.974,-24.136,28.55,592.338,-23.913,11.1,15.365,-1,0
22,1.1,576.579,-24.138,28.44,592.183,-23.872,12.06,15.607,-1,0
23,1.15,576.186,-24.141,28.18,592.015,-23.826,13.04,15.832,-1,0
24,1.2,575.796,-24.144,28.05,591.836,-23.774,13.85,16.045,-1,0
25,1.25,575.408,-24.147,27.79,591.649,-23.71,14.67,16.247,-1,0
26,1.3,575.023,-24.15,27.68,591.454,-23.637,15.5,16.439,-1,0
27,1.35,574.641,-24.153,27.47,591.249,-23.556,16.34,16.619,-1,0
28,1.4,574.26,-24.155,27.42,591.036,-23.465,17.14,16.791,-1,0
29,1.45,573.88,-24.158,27.27,590.816,-23.363,17.9,16.955,-1,0
30,1.5,573.501,-24.161,27.29,590.589,-23.25,18.7,17.113,-1,0
31,1.55,573.123,-24.164,27.2,590.356,-23.127,19.36,17.265,-1,0
32,1.6,572.745,-24.167,27.27,590.121,-22.994,19.86,17.416,-1,0
33,1.65,572.366,-24.169,27.22,589.885,-22.854,20.0,17.568,-1,0
34,1.7,571.987,-24.172,27.32,589.646,-22.705,20.48,17.719,-1,0
35,1.75,571.608,-24.175,27.29,589.405,-22.551,20.82,17.871,-1,0
36,1.8,571.228,-24.178,27.4,589.158,-22.392,21.46,18.019,-1,0
37,1.85,570.848,-24.18,27.37,588.903,-22.229,22.2,18.16,-1,0
38,1.9,570.467,-24.183,27.47,588.637,-22.066,22.46,18.292,-1,0
39,1.95,570.086,-24.186,27.44,588.362,-21.907,22.97,18.418,-1,0
40,2.0,569.704,-24.189,27.53,588.085,-21.756,22.59,18.541,-1,0
41,2.05,569.322,-24.192,27.48,587.804,-21.616,22.64,18.661,-1,0
42,2.1,568.94,-24.194,27.56,587.524,-21.486,22.04,18.781,-1,0
43,2.15,568.557,-24.197,27.5,587.243,-21.366,22.0,18.899,-1,0
44,2.2,568.175,-24.2,27.56,586.964,-21.256,21.4,19.019,-1,0
45,2.25,567.793,-24.203,27.49,586.687,-21.155,21.32,19.138,-1,0
46,2.3,567.41,-24.206,27.55,586.411,-21.064,20.78,19.258,-1,0
47,2.35,567.028,-24.208,27.48,586.133,-20.98,21.11,19.375,-1,0
48,2.4,566.646,-24.211,27.53,585.851,-20.904,21.1,19.488,-1,0
49,2.45,566.264,-24.214,27.46,585.562,-20.833,21.72,19.592,-1,0
50,2.5,565.883,-24.217,27.52,585.266,-20.77,21.93,19.687,-1,0
51,2.55,565.501,-24.219,27.45,584.962,-20.713,22.54,19.774,-1,0
52,2.6,565.119,-24.222,27.51,584.656,-20.666,22.25,19.858,-1,0
53,2.65,564.738,-24.225,27.44,584.35,-20.628,22.31,19.939,-1,0
54,2.7,564.356,-24.228,27.5,584.047,-20.597,21.79,20.023,-1,0
55,2.75,563.975,-24.231,27.44,583.746,-20.565,21.77,20.109,-1,0
56,2.8,563.593,-24.233,27.5,583.452,-20.53,21.11,20.201,-1,0
57,2.85,563.212,-24.236,27.44,583.162,-20.504,20.93,20.296,-1,0
58,2.9,562.83,-24.239,27.5,582.878,-20.489,20.25,20.395,-1,0
59,2.95,562.449,-24.242,27.44,582.595,-20.477,20.58,20.495,-1,0
60,3.0,562.067,-24.245,27.51,582.31,-20.463,20.58,20.594,-1,0
61,3.05,561.686,-24.247,27.44,582.021,-20.455,21.14,20.686,-1,0
62,3.1,561.304,-24.25,27.51,581.726,-20.457,21.31,20.771,-1,0
63,3.15,560.922,-24.253,27.45,581.422,-20.465,22.22,20.847,-1,0
64,3.2,560.541,-24.256,27.51,581.113,-20.478,22.42,20.916,-1,0
65,3.25,560.159,-24.259,27.45,580.799,-20.492,22.74,20.981,-1,0
66,3.3,559.777,-24.261,27.51,580.487,-20.51,22.32,21.047,-1,0
67,3.35,559.396,-24.264,27.45,580.178,-20.535,22.4,21.114,-1,0
68,3.4,559.014,-24.267,27.51,579.873,-20.561,21.84,21.185,-1,0
69,3.45,558.633,-24.27,27.45,579.571,-20.585,21.77,21.26,-1,0
70,3.5,558.251,-24.272,27.51,579.275,-20.603,21.08,21.342,-1,0
71,3.55,557.869,-24.275,27.45,578.984,-20.616,20.98,21.429,-1,0
72,3.6,557.488,-24.278,27.51,578.698,-20.622,20.37,21.523,-1,0
73,3.65,557.106,-24.281,27.45,578.413,-20.621,20.65,21.619,-1,0
74,3.7,556.724,-24.284,27.51,578.127,-20.62,20.57,21.714,-1,0
75,3.75,556.343,-24.286,27.45,577.836,-20.623,21.19,21.803,-1,0
76,3.8,555.961,-24.289,27.51,577.541,-20.636,21.35,21.887,-1,0
77,3.85,555.579,-24.292,27.45,577.239,-20.651,21.99,21.964,-1,0
78,3.9,555.198,-24.295,27.51,576.934,-20.667,21.92,22.037,-1,0
79,3.95,554.816,-24.298,27.45,576.628,-20.684,22.24,22.109,-1,0
80,4.0,554.434,-24.3,27.51,576.323,-20.701,21.8,22.182,-1,0
81,4.05,554.053,-24.303,27.45,576.02,-20.717,21.85,22.258,-1,0
82,4.1,553.671,-24.306,27.51,575.722,-20.732,21.24,22.338,-1,0
83,4.15,553.29,-24.309,27.45,575.428,-20.746,21.22,22.423,-1,0
84,4.2,552.908,-24.312,27.51,575.138,-20.759,20.68,22.512,-1,0
85,4.25,552.526,-24.314,27.45,574.849,-20.771,20.98,22.602,-1,0
86,4.3,552.145,-24.317,27.51,574.559,-20.782,20.88,22.691,-1,0
87,4.35,551.763,-24.32,27.45,574.263,-20.792,21.57,22.775,-1,0
88,4.4,551.381,-24.323,27.51,573.962,-20.802,21.8,22.853,-1,0
89,4.45,551.0,-24.325,27.45,573.655,-20.811,22.29,22.926,-1,0
90,4.5,550.618,-24.328,27.51,573.347,-20.819,22.01,22.999,-1,0
91,4.55,550.236,-24.331,27.45,573.04,-20.828,22.2,23.071,-1,0
92,4.6,549.855,-24.334,27.51,572.736,-20.836,21.67,23.147,-1,0
93,4.65,549.473,-24.337,27.45,572.435,-20.845,21.65,23.226,-1,0
94,4.7,549.091,-24.339,27.51,572.14,-20.855,20.99,23.311,-1,0
95,4.75,548.71,-24.342,27.45,571.85,-20.865,20.94,23.399,-1,0
96,4.8,548.328,-24.345,27.51,571.564,-20.874,20.38,23.493,-1,0
97,4.85,547.947,-24.348,27.45,571.279,-20.883,20.68,23.588,-1,0
98,4.9,547.565,-24.351,27.51,570.993,-20.891,20.58,23.682,-1,0
99,4.95,547.183,-24.353,27.45,570.701,-20.899,21.28,23.77,-1,0
100,5.0,546.802,-24.356,27.51,570.404,-20.906,21.51,23.853,-1,0
101,5.05,546.42,-24.359,27.45,570.101,-20.914,22.03,23.93,-1,0
102,5.1,546.038,-24.362,27.51,569.796,-20.922,21.78,24.006,-1,0
103,5.15,545.657,-24.365,27.45,569.492,-20.929,22.01,24.081,-1,0
104,5.2,545.275,-24.367,27.51,569.19,-20.935,21.49,24.16,-1,0
105,5.25,544.893,-24.37,27.45,568.892,-20.94,21.51,24.242,-1,0
106,5.3,544.512,-24.373,27.51,568.598,-20.945,20.94,24.329,-1,0
107,5.35,544.13,-24.376,27.45,568.307,-20.948,21.02,24.418,-1,0
108,5.4,543.748,-24.378,27.51,568.018,-20.951,20.62,24.511,-1,0
109,5.45,543.367,-24.381,27.45,567.729,-20.953,21.06,24.602,-1,0
110,5.5,542.985,-24.384,27.51,567.436,-20.956,21.07,24.69,-1,0
111,5.55,542.604,-24.387,27.45,567.137,-20.957,21.87,24.772,-1,0
112,5.6,542.222,-24.39,27.51,566.83,-20.957,22.24,24.847,-1,0
113,5.65,541.84,-24.392,27.45,566.518,-20.953,22.69,24.916,-1,0
114,5.7,541.459,-24.395,27.51,566.205,-20.945,22.4,24.986,-1,0
115,5.75,541.077,-24.398,27.45,565.892,-20.934,22.6,25.055,-1,0
116,5.8,540.695,-24.401,27.51,565.583,-20.922,22.05,25.13,-1,0
117,5.85,540.314,-24.404,27.45,565.278,-20.904,22.02,25.208,-1,0
118,5.9,539.932,-24.406,27.51,564.978,-20.889,21.35,25.291,-1,0
119,5.95,539.55,-24.409,27.45,564.682,-20.877,21.28,25.378,-1,0
120,6.0,539.169,-24.412,27.51,564.391,-20.868,20.72,25.471,-1,0
121,6.05,538.787,-24.415,27.45,564.102,-20.858,20.96,25.564,-1,0
122,6.1,538.406,-24.418,27.51,563.813,-20.848,20.8,25.657,-1,0
123,6.15,538.024,-24.42,27.45,563.519,-20.84,21.44,25.745,-1,0
124,6.2,537.642,-24.423,27.51,563.219,-20.834,21.62,25.828,-1,0
125,6.25,537.261,-24.426,27.45,562.915,-20.832,22.08,25.905,-1,0
126,6.3,536.879,-24.429,27.51,562.611,-20.834,21.76,25.982,-1,0
127,6.35,536.497,-24.431,27.45,562.307,-20.837,21.93,26.059,-1,0
128,6.4,536.116,-24.434,27.51,562.007,-20.84,21.39,26.14,-1,0
129,6.45,535.734,-24.437,27.45,561.71,-20.844,21.38,26.224,-1,0
130,6.5,535.352,-24.44,27.51,561.418,-20.849,20.85,26.312,-1,0
131,6.55,534.971,-24.443,27.45,561.127,-20.851,21.05,26.402,-1,0
132,6.6,534.589,-24.445,27.51,560.837,-20.854,20.82,26.492,-1,0
133,6.65,534.208,-24.448,27.45,560.543,-20.858,21.37,26.579,-1,0
134,6.7,533.826,-24.451,27.51,560.246,-20.868,21.43,26.662,-1,0
135,6.75,533.444,-24.454,27.45,559.943,-20.882,22.06,26.738,-1,0
136,6.8,533.062,-24.457,27.51,559.638,-20.9,21.91,26.813,-1,0
137,6.85,532.681,-24.459,27.45,559.334,-20.92,22.05,26.887,-1,0
138,6.9,532.299,-24.462,27.51,559.033,-20.943,21.53,26.964,-1,0
139,6.95,531.918,-24.465,27.45,558.734,-20.965,21.58,27.044,-1,0
140,7.0,531.536,-24.468,27.51,558.44,-20.989,21.0,27.128,-1,0
141,7.05,531.154,-24.471,27.45,558.15,-21.011,21.0,27.216,-1,0
142,7.1,530.773,-24.473,27.51,557.863,-21.033,20.49,27.308,-1,0
143,7.15,530.391,-24.476,27.45,557.577,-21.054,20.86,27.4,-1,0
144,7.2,530.009,-24.479,27.51,557.288,-21.075,20.85,27.49,-1,0
145,7.25,529.628,-24.482,27.45,556.994,-21.094,21.52,27.575,-1,0
146,7.3,529.246,-24.484,27.51,556.693,-21.112,21.73,27.653,-1,0
147,7.35,528.865,-24.487,27.45,556.385,-21.128,22.38,27.725,-1,0
148,7.4,528.483,-24.49,27.51,556.077,-21.144,22.12,27.796,-1,0
149,7.45,528.101,-24.493,27.45,555.769,-21.159,22.23,27.868,-1,0
150,7.5,527.72,-24.496,27.51,555.466,-21.176,21.67,27.944,-1,0
151,7.55,527.338,-24.498,27.45,555.165,-21.191,21.67,28.023,-1,0
152,7.6,526.956,-24.501,27.51,554.87,-21.207,21.01,28.107,-1,0
153,7.65,526.575,-24.504,27.45,554.579,-21.222,20.95,28.196,-1,0
154,7.7,526.193,-24.507,27.51,554.294,-21.237,20.38,28.29,-1,0
155,7.75,525.811,-24.51,27.45,554.008,-21.252,20.69,28.385,-1,0
156,7.8,525.43,-24.512,27.51,553.723,-21.266,20.61,28.479,-1,0
157,7.85,525.048,-24.515,27.45,553.431,-21.278,21.27,28.567,-1,0
158,7.9,524.666,-24.518,27.51,553.134,-21.289,21.44,28.65,-1,0
159,7.95,524.285,-24.521,27.45,552.831,-21.301,22.1,28.727,-1,0
160,8.0,523.903,-24.524,27.51,552.525,-21.314,21.95,28.801,-1,0
161,8.05,523.522,-24.526,27.45,552.219,-21.325,22.12,28.875,-1,0
162,8.1,523.14,-24.529,27.51,551.916,-21.335,21.6,28.953,-1,0
163,8.15,522.758,-24.532,27.45,551.616,-21.345,21.63,29.033,-1,0
164,8.2,522.377,-24.535,27.51,551.321,-21.355,20.99,29.119,-1,0
165,8.25,521.995,-24.537,27.45,551.031,-21.366,20.93,29.208,-1,0
166,8.3,521.613,-24.54,27.51,550.745,-21.377,20.37,29.303,-1,0
167,8.35,521.232,-24.543,27.45,550.46,-21.387,20.69,29.398,-1,0
168,8.4,520.85,-24.546,27.51,550.174,-21.396,20.62,29.492,-1,0
169,8.45,520.468,-24.549,27.45,549.882,-21.401,21.25,29.581,-1,0
170,8.5,520.087,-24.551,27.51,549.585,-21.402,21.43,29.666,-1,0
171,8.55,519.705,-24.554,27.45,549.281,-21.4,22.13,29.743,-1,0
172,8.6,519.323,-24.557,27.51,548.975,-21.392,22.0,29.82,-1,0
173,8.65,518.942,-24.56,27.45,548.668,-21.382,22.18,29.895,-1,0
174,8.7,518.56,-24.563,27.51,548.364,-21.37,21.69,29.974,-1,0
175,8.75,518.179,-24.565,27.45,548.063,-21.358,21.73,30.056,-1,0
176,8.8,517.797,-24.568,27.51,547.766,-21.345,21.11,30.142,-1,0
177,8.85,517.415,-24.571,27.45,547.474,-21.331,21.07,30.233,-1,0
178,8.9,517.034,-24.574,27.51,547.186,-21.317,20.53,30.328,-1,0
179,8.95,516.652,-24.577,27.45,546.899,-21.304,20.85,30.424,-1,0
180,9.0,516.27,-24.579,27.51,546.611,-21.29,20.78,30.518,-1,0
181,9.05,515.889,-24.582,27.45,546.317,-21.273,21.44,30.608,-1,0
182,9.1,515.507,-24.585,27.51,546.018,-21.252,21.61,30.693,-1,0
183,9.15,515.125,-24.588,27.45,545.714,-21.227,22.23,30.772,-1,0
184,9.2,514.744,-24.59,27.51,545.408,-21.203,21.97,30.851,-1,0
185,9.25,514.362,-24.593,27.45,545.103,-21.18,22.08,30.93,-1,0
186,9.3,513.98,-24.596,27.51,544.802,-21.163,21.5,31.012,-1,0
187,9.35,513.599,-24.599,27.45,544.503,-21.152,21.51,31.096,-1,0
188,9.4,513.217,-24.602,27.51,544.21,-21.147,20.92,31.184,-1,0
189,9.45,512.836,-24.604,27.45,543.919,-21.146,20.98,31.275,-1,0
190,9.5,512.454,-24.607,27.51,543.631,-21.149,20.59,31.368,-1,0
191,9.55,512.072,-24.61,27.45,543.342,-21.156,21.07,31.46,-1,0
192,9.6,511.691,-24.613,27.51,543.049,-21.165,21.19,31.547,-1,0
193,9.65,511.309,-24.616,27.45,542.749,-21.176,21.87,31.628,-1,0
194,9.7,510.927,-24.618,27.51,542.444,-21.19,22.03,31.703,-1,0
195,9.75,510.546,-24.621,27.45,542.133,-21.205,22.6,31.771,-1,0
196,9.8,510.164,-24.624,27.51,541.822,-21.222,22.28,31.841,-1,0
197,9.85,509.783,-24.627,27.45,541.513,-21.24,22.36,31.911,-1,0
198,9.9,509.401,-24.63,27.51,541.208,-21.258,21.79,31.985,-1,0
199,9.95,509.019,-24.632,27.45,540.906,-21.278,21.76,32.063,-1,0
200,10.0,508.638,-24.635,27.42,540.61,-21.297,21.09,32.146,-1,0
201,10.05,508.261,-24.638,26.98,540.318,-21.316,21.02,32.229,-1,0
202,10.1,507.89,-24.641,26.49,540.032,-21.336,20.44,32.312,-1,0
203,10.15,507.528,-24.643,25.71,539.747,-21.358,20.73,32.386,-1,0
204,10.2,507.177,-24.646,25.05,539.461,-21.38,20.65,32.449,-1,0
205,10.25,506.836,-24.648,24.15,539.17,-21.404,21.3,32.496,-1,0
206,10.3,506.507,-24.651,23.44,538.873,-21.43,21.47,32.526,-1,0
207,10.35,506.189,-24.653,22.5,538.57,-21.455,22.12,32.539,-1,0
208,10.4,505.885,-24.655,20.85,538.266,-21.48,21.95,32.536,106.561,0
209,10.45,505.636,-24.657,16.02,537.961,-21.504,22.1,32.477,19.253,0
210,10.5,505.455,-24.658,11.17,537.659,-21.528,21.57,32.356,11.203,0
211,10.55,505.34,-24.659,6.35,537.36,-21.555,21.55,32.17,7.621,0
212,10.6,505.292,-24.66,1.59,537.07,-21.591,20.86,31.925,5.964,0
213,10.65,505.29,-24.66,0.0,536.782,-21.628,20.85,31.638,5.463,0
214,10.7,505.29,-24.66,0.0,536.499,-21.66,20.39,31.353,5.535,0
215,10.75,505.29,-24.66,0.0,536.214,-21.693,20.76,31.067,5.388,0
216,10.8,505.289,-24.66,0.0,535.929,-21.728,20.77,30.779,5.337,0
217,10.85,505.289,-24.66,0.0,535.636,-21.763,21.49,30.485,5.108,0
218,10.9,505.289,-24.66,0.0,535.337,-21.794,21.7,30.185,5.008,0
219,10.95,505.289,-24.66,0.0,535.032,-21.826,22.28,29.878,4.828,0
220,11.0,505.289,-24.66,0.0,534.727,-21.858,22.03,29.571,4.833,0
221,11.05,505.289,-24.66,0.0,534.421,-21.89,22.18,29.264,4.751,0
222,11.1,505.289,-24.66,0.0,534.12,-21.924,21.61,28.96,4.825,0
223,11.15,505.289,-24.66,0.0,533.822,-21.963,21.62,28.66,4.773,0
224,11.2,505.289,-24.66,0.0,533.53,-22.001,20.98,28.366,4.868,0
225,11.25,505.289,-24.66,0.0,533.242,-22.043,20.88,28.076,4.841,0
226,11.3,505.289,-24.66,0.0,532.962,-22.093,20.24,27.792,4.944,0
227,11.35,505.289,-24.66,0.0,532.687,-22.153,20.45,27.513,4.843,0
228,11.4,505.289,-24.66,0.0,532.414,-22.223,20.32,27.234,4.826,0
229,11.45,505.289,-24.66,0.0,532.139,-22.303,20.89,26.954,4.645,0
230,11.5,505.289,-24.66,0.0,531.864,-22.391,20.74,26.672,4.63,0
231,11.55,505.289,-24.66,0.0,531.589,-22.484,21.16,26.39,4.49,0
232,11.6,505.289,-24.66,0.0,531.315,-22.58,20.79,26.109,4.522,0
233,11.65,505.289,-24.66,0.0,531.045,-22.679,20.69,25.832,4.495,0
234,11.7,505.289,-24.66,0.0,530.784,-22.778,19.79,25.564,4.65,0
235,11.75,505.289,-24.66,0.0,530.557,-22.865,15.65,25.331,5.829,0
236,11.8,505.289,-24.66,0.0,530.392,-22.929,10.8,25.163,8.387,0
237,11.85,505.289,-24.66,0.0,530.29,-22.969,5.99,25.059,15.071,0
238,11.9,505.289,-24.66,0.0,530.25,-22.985,1.24,25.018,72.497,0
239,11.95,505.289,-24.66,0.0,530.225,-22.996,2.42,24.992,37.193,0
240,12.0,505.289,-24.66,0.0,530.186,-23.012,3.47,24.951,25.855,0
241,12.05,505.289,-24.66,0.0,530.134,-23.033,4.46,24.898,20.106,0
242,12.1,505.289,-24.66,0.0,530.07,-23.06,5.31,24.833,16.848,0
243,12.15,505.289,-24.66,0.0,529.993,-23.091,6.41,24.754,13.912,0
244,12.2,505.289,-24.66,0.0,529.904,-23.128,7.24,24.663,12.27,0
245,12.25,505.289,-24.66,0.0,529.804,-23.17,8.23,24.56,10.745,0
246,12.3,505.289,-24.66,0.0,529.692,-23.216,9.07,24.446,9.7,0
247,12.35,505.289,-24.66,0.0,529.567,-23.266,10.07,24.318,8.69,0
248,12.4,505.289,-24.66,0.0,529.43,-23.321,10.96,24.179,7.944,0
249,12.45,505.289,-24.66,0.0,529.282,-23.381,11.84,24.027,7.305,0
250,12.5,505.289,-24.66,0.0,529.125,-23.441,12.27,23.867,7.003,0
251,12.55,505.289,-24.66,0.0,528.965,-23.502,12.34,23.704,6.913,0
252,12.6,505.289,-24.66,0.0,528.806,-23.561,12.04,23.543,7.04,0
253,12.65,505.289,-24.66,0.0,528.653,-23.616,11.5,23.387,7.32,0
254,12.7,505.289,-24.66,0.0,528.507,-23.668,10.97,23.239,7.628,0
255,12.75,505.289,-24.66,0.0,528.365,-23.716,10.74,23.095,7.745,0
256,12.8,505.289,-24.66,0.0,528.224,-23.763,10.59,22.953,7.806,0
257,12.85,505.289,-24.66,0.0,528.085,-23.808,10.57,22.812,7.77,0
258,12.9,505.289,-24.66,0.0,527.944,-23.852,10.66,22.67,7.654,0
259,12.95,505.289,-24.66,0.0,527.801,-23.895,10.84,22.525,7.482,0
260,13.0,505.289,-24.66,0.0,527.656,-23.937,10.9,22.379,7.389,0
261,13.05,505.289,-24.66,0.0,527.51,-23.977,10.88,22.232,7.358,0
262,13.1,505.289,-24.66,0.0,527.365,-24.015,10.76,22.086,7.387,0
263,13.15,505.289,-24.66,0.0,527.221,-24.052,10.67,21.941,7.404,0
264,13.2,505.289,-24.66,0.0,527.078,-24.087,10.6,21.797,7.402,0
265,13.25,505.289,-24.66,0.0,526.935,-24.121,10.67,21.653,7.305,0
266,13.3,505.289,-24.66,0.0,526.789,-24.153,10.76,21.507,7.196,0
267,13.35,505.289,-24.66,0.0,526.643,-24.184,10.83,21.359,7.097,0
268,13.4,505.289,-24.66,0.0,526.496,-24.213,10.79,21.212,7.078,0
269,13.45,505.289,-24.66,0.0,526.349,-24.241,10.71,21.065,7.079,0
270,13.5,505.289,-24.66,0.0,526.204,-24.268,10.63,20.919,7.086,0
271,13.55,505.289,-24.66,0.0,526.059,-24.293,10.65,20.773,7.02,0
272,13.6,505.289,-24.66,0.0,525.912,-24.318,10.72,20.627,6.925,0
273,13.65,505.289,-24.66,0.0,525.765,-24.341,10.81,20.479,6.817,0
274,13.7,505.289,-24.66,0.0,525.616,-24.364,10.8,20.33,6.775,0
275,13.75,505.289,-24.66,0.0,525.469,-24.385,10.74,20.182,6.762,0
276,13.8,505.289,-24.66,0.0,525.322,-24.406,10.65,20.035,6.772,0
277,13.85,505.289,-24.66,0.0,525.176,-24.425,10.64,19.888,6.728,0
278,13.9,505.289,-24.66,0.0,525.029,-24.443,10.68,19.741,6.654,0
279,13.95,505.289,-24.66,0.0,524.881,-24.46,10.77,19.593,6.548,0
280,14.0,505.289,-24.66,0.0,524.732,-24.477,10.79,19.444,6.486,0
281,14.05,505.289,-24.66,0.0,524.583,-24.493,10.77,19.295,6.45,0
282,14.1,505.289,-24.66,0.0,524.436,-24.509,10.68,19.147,6.454,0
283,14.15,505.289,-24.66,0.0,524.288,-24.523,10.64,19.0,6.428,0
284,14.2,505.289,-24.66,0.0,524.142,-24.537,10.64,18.853,6.377,0
285,14.25,505.289,-24.66,0.0,523.994,-24.55,10.73,18.705,6.276,0
286,14.3,505.289,-24.66,0.0,523.845,-24.563,10.77,18.556,6.203,0
287,14.35,505.289,-24.66,0.0,523.696,-24.575,10.77,18.407,6.151,0
