step	score	x	y	w	h	class
0	0.0000					
1	0.7448	9.83	-0.05	2.31	0.97	0
2	0.7431	9.84	-0.04	2.31	0.98	0
3	0.7504	9.85	-0.05	2.26	1.00	0
4	0.8005	10.22	0.06	2.46	0.93	0
5	0.8908	10.30	0.08	2.43	0.93	0
6	0.9074	10.61	0.08	2.40	0.94	0
7	0.8601	10.75	0.08	2.46	0.95	0
8	0.8258	10.83	0.08	2.45	0.94	0
9	0.8756	11.34	0.07	2.48	0.94	0
10	0.8826	11.45	0.08	2.44	0.94	0
11	0.8708	11.74	0.08	2.45	0.94	0
12	0.7918	12.13	0.07	2.44	0.96	0
13	0.8894	12.42	0.08	2.46	0.95	0
14	0.8396	12.72	0.07	2.42	0.95	0
15	0.8258	12.77	0.07	2.45	0.95	0
16	0.8630	13.27	0.10	2.43	0.96	0
17	0.8586	13.30	0.10	2.40	0.97	0
18	0.8653	13.70	0.10	2.40	0.96	0
19	0.8084	13.81	0.09	2.40	0.94	0
20	0.8655	14.36	0.10	2.43	0.94	0
21	0.8791	14.54	0.11	2.42	0.94	0
22	0.8502	14.52	0.10	2.40	0.95	0
23	0.8474	14.62	0.09	2.36	0.96	0
24	0.8526	14.58	0.11	2.38	0.96	0
25	0.8099	15.20	0.12	2.43	0.94	0
26	0.8435	15.41	0.12	2.43	0.94	0
27	0.8658	15.29	0.11	2.43	0.93	0
28	0.8738	15.36	0.09	2.42	0.93	0
29	0.8833	15.39	0.08	2.36	0.97	0
30	0.8207	15.18	0.08	2.43	0.94	0
31	0.8832	15.50	0.09	2.41	0.94	0
32	0.8412	15.32	0.10	2.46	0.95	0
33	0.8656	15.38	0.10	2.41	0.94	0
34	0.8623	15.47	0.10	2.40	0.94	0
35	0.8608	15.53	0.09	2.38	0.94	0
36	0.8704	15.42	0.11	2.40	0.95	0
37	0.8284	15.55	0.10	2.45	0.95	0
38	0.8460	15.59	0.10	2.43	0.93	0
39	0.8375	15.68	0.12	2.45	0.93	0
40	0.8696	15.55	0.13	2.44	0.93	0
41	0.8698	15.36	0.14	2.45	0.95	0
42	0.8780	15.40	0.12	2.44	0.94	0
43	0.8436	15.31	0.10	2.44	0.95	0
44	0.7992	15.20	0.09	2.40	0.95	0
45	0.7771	15.16	0.08	2.38	0.96	0
46	0.7913	15.18	0.08	2.45	0.95	0
47	0.8030	14.72	0.06	2.47	0.94	0
48	0.7670	14.80	0.08	2.41	0.95	0
49	0.7898	14.67	0.07	2.39	0.95	0
50	0.7866	14.55	0.06	2.38	0.95	0
51	0.6771	14.17	0.05	2.41	0.95	0
52	0.7154	14.30	-0.06	2.42	0.94	0
53	0.6821	14.16	0.06	2.43	0.94	0
54	0.7926	13.68	0.06	2.43	0.94	0
55	0.8245	13.46	0.07	2.44	0.95	0
56	0.8113	13.39	0.07	2.43	0.95	0
57	0.7647	12.80	0.07	2.33	0.99	0
58	0.7385	13.30	-0.08	2.45	0.94	0
59	0.6522	13.19	0.07	2.46	0.95	0
60	0.6817	12.88	0.07	2.38	0.96	0
61	0.7225	12.84	0.06	2.47	0.95	0
62	0.8263	12.68	0.07	2.46	0.95	0
63	0.8030	12.52	0.07	2.47	0.95	0
64	0.7995	12.53	0.06	2.47	0.95	0
65	0.8239	12.37	0.09	2.47	0.95	0
66	0.8340	12.47	0.07	2.44	0.94	0
67	0.7901	12.39	0.06	2.48	0.94	0
68	0.8189	12.33	0.09	2.43	0.95	0
69	0.8009	12.28	0.07	2.48	0.94	0
70	0.7845	12.15	0.11	2.45	0.94	0
71	0.8027	12.30	0.07	2.48	0.94	0
72	0.7263	11.87	0.09	2.44	0.93	0
73	0.7778	11.85	0.10	2.46	0.94	0
74	0.8249	11.78	0.10	2.44	0.94	0
75	0.8167	11.81	0.10	2.44	0.94	0
76	0.8455	11.65	0.09	2.41	0.96	0
77	0.8202	11.82	0.11	2.46	0.94	0
78	0.8245	11.71	0.10	2.45	0.94	0
79	0.8232	11.51	0.10	2.46	0.94	0
80	0.8174	11.65	0.09	2.48	0.95	0
81	0.8218	11.52	0.10	2.46	0.94	0
82	0.8112	11.71	0.09	2.48	0.95	0
83	0.8021	11.58	0.09	2.45	0.94	0
84	0.8019	11.46	0.08	2.45	0.94	0
85	0.8006	11.50	0.08	2.44	0.94	0
86	0.7765	11.33	0.07	2.44	0.94	0
87	0.7585	11.26	0.07	2.45	0.94	0
88	0.8072	11.33	0.08	2.44	0.94	0
89	0.8097	11.31	0.08	2.43	0.94	0
90	0.8105	11.40	0.09	2.43	0.94	0
91	0.8083	11.35	0.09	2.42	0.94	0
92	0.8190	11.43	0.06	2.48	0.93	0
93	0.8207	11.35	0.07	2.33	1.01	0
94	0.7133	11.19	0.05	2.48	0.93	0
95	0.8104	11.29	0.09	2.42	0.95	0
96	0.7769	11.38	0.08	2.33	0.97	0
97	0.7580	11.27	0.08	2.44	0.94	0
98	0.7294	11.14	0.09	2.43	0.94	0
99	0.7547	11.37	-0.07	2.48	0.94	0
100	0.7791	11.33	0.08	2.43	0.95	0
101	0.7461	11.27	0.08	2.44	0.94	0
102	0.7744	11.31	0.09	2.42	0.95	0
103	0.7924	11.33	0.10	2.45	0.94	0
104	0.7708	11.19	0.09	2.45	0.94	0
105	0.7701	11.18	0.08	2.47	0.93	0
106	0.8174	11.34	0.06	2.47	0.93	0
107	0.8361	11.33	0.07	2.47	0.93	0
108	0.8373	11.27	0.08	2.47	0.93	0
109	0.8492	11.28	0.10	2.44	0.93	0
110	0.7928	11.16	0.11	2.43	0.94	0
111	0.7990	11.11	0.15	2.48	0.95	0
112	0.8016	11.18	0.10	2.42	0.93	0
113	0.7519	11.13	0.07	2.43	0.93	0
114	0.7267	11.11	0.07	2.43	0.92	0
115	0.7681	10.82	0.10	2.41	0.94	0
116	0.7167	10.86	0.10	2.44	0.93	0
117	0.7846	11.22	0.06	2.45	0.93	0
118	0.6702	11.11	0.05	2.43	0.93	0
119	0.6958	11.10	0.09	2.43	0.94	0
120	0.6417	11.08	0.09	2.42	0.94	0
121	0.6762	10.87	0.08	2.43	0.94	0
122	0.6786	10.88	0.10	2.44	0.94	0
123	0.7240	10.84	0.09	2.46	0.94	0
124	0.6971	11.11	0.06	2.41	0.93	0
125	0.7283	11.14	0.06	2.42	0.93	0
126	0.7324	10.84	0.09	2.47	0.95	0
127	0.7679	10.81	0.09	2.49	0.95	0
128	0.7986	10.75	0.09	2.47	0.95	0
129	0.7196	10.83	0.08	2.47	0.95	0
130	0.7797	10.80	0.09	2.45	0.94	0
131	0.7980	10.77	0.09	2.46	0.95	0
132	0.7290	10.84	0.08	2.46	0.94	0
133	0.6912	10.86	0.09	2.47	0.95	0
134	0.6820	10.87	0.09	2.45	0.94	0
135	0.7217	10.85	0.09	2.46	0.95	0
136	0.7434	11.14	0.07	2.43	0.93	0
137	0.7406	11.12	0.11	2.44	0.95	0
138	0.8065	11.33	0.07	2.42	0.93	0
139	0.8436	11.38	0.08	2.42	0.93	0
140	0.8474	11.32	0.10	2.41	0.94	0
141	0.8831	11.38	0.13	2.40	0.95	0
142	0.8827	11.33	0.14	2.41	0.95	0
143	0.8980	11.37	0.16	2.44	0.93	0
144	0.8374	11.21	0.14	2.42	0.94	0
145	0.8498	11.18	0.18	2.41	0.93	0
146	0.8960	11.41	0.17	2.42	0.93	0
147	0.8989	11.38	0.17	2.42	0.93	0
148	0.8662	11.23	0.18	2.41	0.93	0
149	0.8789	11.28	0.17	2.40	0.94	0
150	0.8603	11.23	0.18	2.38	0.95	0
151	0.8860	11.31	0.17	2.40	0.93	0
152	0.8970	11.32	0.19	2.42	0.93	0
153	0.8942	11.42	0.16	2.42	0.92	0
154	0.9078	11.48	0.20	2.41	0.93	0
155	0.9081	11.53	0.16	2.41	0.93	0
156	0.9104	11.43	0.26	2.43	0.94	0
157	0.9087	11.48	0.25	2.42	0.95	0
158	0.9010	11.40	0.18	2.40	0.95	0
159	0.9076	11.48	0.16	2.43	0.93	0
160	0.9066	11.44	0.21	2.42	0.95	0
161	0.9030	11.43	0.22	2.43	0.94	0
162	0.9076	11.46	0.23	2.42	0.94	0
163	0.9039	11.56	0.16	2.44	0.95	0
164	0.9053	11.45	0.16	2.45	0.95	0
165	0.8951	11.72	0.19	2.45	0.95	0
166	0.8972	11.74	0.18	2.43	0.95	0
167	0.9030	11.66	0.18	2.43	0.94	0
168	0.8804	11.81	0.18	2.44	0.95	0
169	0.8814	11.81	0.18	2.43	0.96	0
170	0.8973	11.78	0.20	2.42	0.96	0
171	0.8799	11.81	0.17	2.43	0.96	0
172	0.8681	11.81	0.16	2.42	0.96	0
173	0.8510	11.82	0.15	2.37	0.97	0
174	0.8378	11.84	0.15	2.40	0.97	0
175	0.8347	11.83	0.12	2.41	0.96	0
176	0.8362	11.80	0.11	2.37	0.98	0
177	0.7863	11.86	0.11	2.40	0.96	0
178	0.8489	11.82	0.13	2.39	0.97	0
179	0.8091	11.86	0.14	2.38	0.96	0
180	0.8768	11.73	0.15	2.46	0.93	0
181	0.8790	11.74	0.14	2.40	0.96	0
182	0.8920	11.66	0.17	2.46	0.93	0
183	0.8952	11.71	0.17	2.46	0.93	0
184	0.8949	11.62	0.16	2.45	0.93	0
185	0.8904	11.41	0.14	2.40	0.96	0
186	0.9016	11.43	0.15	2.45	0.93	0
187	0.9006	11.41	0.15	2.46	0.93	0
188	0.8990	11.32	0.16	2.46	0.93	0
189	0.9070	11.42	0.17	2.46	0.93	0
190	0.9037	11.37	0.18	2.45	0.93	0
191	0.9003	11.34	0.16	2.47	0.93	0
192	0.8922	11.28	0.15	2.44	0.93	0
193	0.7638	11.09	0.15	2.45	0.93	0
194	0.8971	11.30	0.15	2.44	0.93	0
195	0.8749	11.20	0.18	2.44	0.93	0
196	0.8867	11.24	0.19	2.45	0.93	0
197	0.8870	11.23	0.17	2.43	0.94	0
