tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.246,-24.09,20.48,593.246,-24.016,20.49,10.0,4083.135,0
3,0.15,582.978,-24.092,19.77,593.062,-24.014,10.42,10.084,-1,0
4,0.2,582.709,-24.094,19.61,592.987,-24.013,2.77,10.278,-1,0
5,0.25,582.441,-24.096,19.27,592.981,-24.013,0.3,10.541,-1,0
6,0.3,582.172,-24.098,19.4,592.981,-24.013,0.65,10.81,-1,0
7,0.35,581.903,-24.1,19.36,592.981,-24.013,0.7,11.078,-1,0
8,0.4,581.632,-24.101,19.74,592.98,-24.013,0.62,11.348,-1,0
9,0.45,581.352,-24.104,20.56,592.98,-24.013,0.51,11.629,-1,0
10,0.5,581.057,-24.106,21.7,592.98,-24.013,0.39,11.923,-1,0
11,0.55,580.747,-24.108,22.76,592.98,-24.013,0.29,12.233,-1,0
12,0.6,580.42,-24.11,24.06,592.973,-24.013,1.53,12.553,-1,0
13,0.65,580.076,-24.113,25.21,592.924,-24.013,4.66,12.848,-1,0
14,0.7,579.716,-24.116,26.4,592.839,-24.013,7.14,13.123,-1,0
15,0.75,579.342,-24.118,27.24,592.722,-24.012,9.14,13.38,-1,0
16,0.8,578.957,-24.121,27.98,592.581,-24.012,10.82,13.624,-1,0
17,0.85,578.565,-24.124,28.35,592.418,-24.012,12.31,13.853,-1,0
18,0.9,578.169,-24.127,28.66,592.235,-24.012,13.69,14.067,-1,0
19,0.95,577.771,-24.13,28.69,592.034,-24.012,15.01,14.264,-1,0
20,1.0,577.372,-24.133,28.72,591.815,-24.012,16.29,14.444,-1,0
21,1.05,576.974,-24.136,28.55,591.578,-24.013,17.54,14.604,-1,0
22,1.1,576.579,-24.138,28.44,591.324,-24.014,18.79,14.746,-1,0
23,1.15,576.186,-24.141,28.18,591.054,-24.015,19.84,14.868,-1,0
24,1.2,575.796,-24.144,28.05,590.777,-24.016,20.06,14.982,-1,0
25,1.25,575.408,-24.147,27.79,590.493,-24.018,20.83,15.085,-1,0
26,1.3,575.023,-24.15,27.68,590.197,-24.02,21.66,15.174,-1,0
27,1.35,574.641,-24.153,27.47,589.886,-24.022,22.87,15.246,-1,0
28,1.4,574.26,-24.155,27.42,589.558,-24.024,24.17,15.299,-1,0
29,1.45,573.88,-24.158,27.27,589.213,-24.026,25.31,15.334,-1,0
30,1.5,573.501,-24.161,27.29,588.855,-24.028,26.07,15.355,-1,0
31,1.55,573.123,-24.164,27.2,588.487,-24.03,26.74,15.365,-1,0
32,1.6,572.745,-24.167,27.27,588.114,-24.032,26.91,15.37,-1,0
33,1.65,572.366,-24.169,27.22,587.74,-24.033,26.97,15.374,-1,0
34,1.7,571.987,-24.172,27.32,587.366,-24.034,26.9,15.379,-1,0
35,1.75,571.608,-24.175,27.29,586.991,-24.035,27.07,15.384,-1,0
36,1.8,571.228,-24.178,27.4,586.613,-24.035,27.37,15.386,-1,0
37,1.85,570.848,-24.18,27.37,586.228,-24.035,28.08,15.38,78.632,0
38,1.9,570.467,-24.183,27.47,585.831,-24.035,28.87,15.365,39.566,0
39,1.95,570.086,-24.186,27.44,585.421,-24.036,29.98,15.336,21.764,0
40,2.0,569.704,-24.189,27.53,584.996,-24.038,31.07,15.293,15.565,0
41,2.05,569.322,-24.192,27.48,584.553,-24.04,32.39,15.232,11.171,0
42,2.1,568.94,-24.194,27.56,584.093,-24.044,33.68,15.154,8.915,0
43,2.15,568.557,-24.197,27.5,583.613,-24.049,35.15,15.056,7.084,0
44,2.2,568.175,-24.2,27.56,583.113,-24.054,36.43,14.939,6.065,0
45,2.25,567.793,-24.203,27.49,582.599,-24.059,37.34,14.807,5.416,0
46,2.3,567.41,-24.206,27.55,582.077,-24.065,37.78,14.667,5.163,0
47,2.35,567.028,-24.208,27.48,581.551,-24.07,37.96,14.523,4.986,0
48,2.4,566.646,-24.211,27.53,581.023,-24.076,37.95,14.378,4.97,0
49,2.45,566.264,-24.214,27.46,580.496,-24.082,37.95,14.233,4.883,0
50,2.5,565.883,-24.217,27.52,579.97,-24.088,37.83,14.088,4.919,0
51,2.55,565.501,-24.219,27.45,579.446,-24.094,37.76,13.945,4.868,0
52,2.6,565.119,-24.222,27.51,578.923,-24.099,37.58,13.804,4.932,0
53,2.65,564.738,-24.225,27.44,578.402,-24.103,37.48,13.664,4.898,0
54,2.7,564.356,-24.228,27.5,577.883,-24.107,37.28,13.527,4.98,0
55,2.75,563.975,-24.231,27.44,577.367,-24.112,37.06,13.392,5.008,0
56,2.8,563.593,-24.233,27.5,576.857,-24.116,36.45,13.264,5.334,0
57,2.85,563.212,-24.236,27.44,576.356,-24.12,35.87,13.144,5.609,0
58,2.9,562.83,-24.239,27.5,575.862,-24.124,35.25,13.033,6.059,0
59,2.95,562.449,-24.242,27.44,575.378,-24.128,34.7,12.93,6.407,0
60,3.0,562.067,-24.245,27.51,574.9,-24.132,34.2,12.834,6.9,0
61,3.05,561.686,-24.247,27.44,574.428,-24.136,33.89,12.743,7.11,0
62,3.1,561.304,-24.25,27.51,573.96,-24.14,33.53,12.656,7.564,0
63,3.15,560.922,-24.253,27.45,573.496,-24.144,33.32,12.574,7.703,0
64,3.2,560.541,-24.256,27.51,573.036,-24.148,33.03,12.496,8.155,0
65,3.25,560.159,-24.259,27.45,572.578,-24.152,32.86,12.42,8.255,0
66,3.3,559.777,-24.261,27.51,572.124,-24.155,32.6,12.347,8.737,0
67,3.35,559.396,-24.264,27.45,571.673,-24.159,32.46,12.277,8.82,0
68,3.4,559.014,-24.267,27.51,571.224,-24.161,32.21,12.21,9.356,0
69,3.45,558.633,-24.27,27.45,570.778,-24.164,32.08,12.145,9.436,0
70,3.5,558.251,-24.272,27.51,570.334,-24.167,31.84,12.084,10.051,0
71,3.55,557.869,-24.275,27.45,569.893,-24.169,31.72,12.024,10.137,0
72,3.6,557.488,-24.278,27.51,569.454,-24.172,31.48,11.967,10.86,0
73,3.65,557.106,-24.281,27.45,569.018,-24.175,31.36,11.913,10.962,0
74,3.7,556.724,-24.284,27.51,568.585,-24.178,31.12,11.861,11.828,0
75,3.75,556.343,-24.286,27.45,568.153,-24.182,31.0,11.811,11.955,0
76,3.8,555.961,-24.289,27.51,567.725,-24.185,30.76,11.764,13.014,0
77,3.85,555.579,-24.292,27.45,567.298,-24.189,30.65,11.719,13.177,0
78,3.9,555.198,-24.295,27.51,566.875,-24.192,30.41,11.677,14.503,0
79,3.95,554.816,-24.298,27.45,566.453,-24.196,30.29,11.638,14.716,0
80,4.0,554.434,-24.3,27.51,566.035,-24.2,30.05,11.601,16.425,0
81,4.05,554.053,-24.303,27.45,565.618,-24.204,29.94,11.566,16.713,0
82,4.1,553.671,-24.306,27.51,565.204,-24.207,29.7,11.534,18.995,0
83,4.15,553.29,-24.309,27.45,564.793,-24.211,29.58,11.504,19.399,0
84,4.2,552.908,-24.312,27.51,564.384,-24.215,29.34,11.477,22.6,0
85,4.25,552.526,-24.314,27.45,563.978,-24.219,29.22,11.452,23.194,0
86,4.3,552.145,-24.317,27.51,563.574,-24.223,28.98,11.43,28.0,0
87,4.35,551.763,-24.32,27.45,563.172,-24.226,28.86,11.41,28.946,0
88,4.4,551.381,-24.323,27.51,562.773,-24.23,28.62,11.393,36.955,0
89,4.45,551.0,-24.325,27.45,562.377,-24.234,28.53,11.378,37.868,0
90,4.5,550.618,-24.328,27.51,561.982,-24.237,28.4,11.364,46.016,0
91,4.55,550.236,-24.331,27.45,561.586,-24.241,28.54,11.35,37.501,0
92,4.6,549.855,-24.334,27.51,561.189,-24.244,28.65,11.335,35.883,0
93,4.65,549.473,-24.337,27.45,560.789,-24.248,28.89,11.316,28.187,0
94,4.7,549.091,-24.339,27.51,560.388,-24.251,28.94,11.296,28.516,0
95,4.75,548.71,-24.342,27.45,559.985,-24.255,29.02,11.275,25.766,0
96,4.8,548.328,-24.345,27.51,559.583,-24.258,28.92,11.255,28.702,0
97,4.85,547.947,-24.348,27.45,559.181,-24.261,28.91,11.235,27.676,0
98,4.9,547.565,-24.351,27.51,558.781,-24.265,28.74,11.216,32.942,0
99,4.95,547.183,-24.353,27.45,558.382,-24.268,28.67,11.199,32.804,0
100,5.0,546.802,-24.356,27.51,557.986,-24.271,28.48,11.184,41.325,0
101,5.05,546.42,-24.359,27.45,557.59,-24.273,28.46,11.171,39.75,0
102,5.1,546.038,-24.362,27.51,557.196,-24.275,28.38,11.158,46.373,0
103,5.15,545.657,-24.365,27.45,556.801,-24.275,28.49,11.144,38.4,0
104,5.2,545.275,-24.367,27.51,556.405,-24.275,28.53,11.13,39.396,0
105,5.25,544.893,-24.37,27.45,556.008,-24.276,28.62,11.114,34.064,0
106,5.3,544.512,-24.373,27.51,555.611,-24.276,28.53,11.099,39.354,0
107,5.35,544.13,-24.376,27.45,555.215,-24.277,28.52,11.085,37.076,0
108,5.4,543.748,-24.378,27.51,554.82,-24.278,28.37,11.072,46.503,0
109,5.45,543.367,-24.381,27.45,554.426,-24.279,28.34,11.06,44.703,0
110,5.5,542.985,-24.384,27.51,554.034,-24.28,28.19,11.049,58.172,0
111,5.55,542.604,-24.387,27.45,553.642,-24.282,28.17,11.039,54.95,0
112,5.6,542.222,-24.39,27.51,553.252,-24.284,28.05,11.031,74.021,0
113,5.65,541.84,-24.392,27.45,552.862,-24.287,28.11,11.022,59.879,0
114,5.7,541.459,-24.395,27.51,552.472,-24.29,28.1,11.014,67.667,0
115,5.75,541.077,-24.398,27.45,552.081,-24.292,28.23,11.004,50.506,0
116,5.8,540.695,-24.401,27.51,551.689,-24.295,28.22,10.994,55.745,0
117,5.85,540.314,-24.404,27.45,551.295,-24.297,28.36,10.982,43.339,0
118,5.9,539.932,-24.406,27.51,550.901,-24.3,28.43,10.97,42.882,0
119,5.95,539.55,-24.409,27.45,550.504,-24.303,28.7,10.954,31.327,0
120,6.0,539.169,-24.412,27.51,550.104,-24.305,28.9,10.936,28.388,0
121,6.05,538.787,-24.415,27.45,549.7,-24.308,29.24,10.913,21.948,0
122,6.1,538.406,-24.418,27.51,549.292,-24.311,29.43,10.887,20.426,0
123,6.15,538.024,-24.42,27.45,548.881,-24.314,29.68,10.858,17.469,0
124,6.2,537.642,-24.423,27.51,548.468,-24.316,29.7,10.827,17.766,0
125,6.25,537.261,-24.426,27.45,548.056,-24.319,29.68,10.796,17.415,0
126,6.3,536.879,-24.429,27.51,547.647,-24.322,29.23,10.769,22.599,0
127,6.35,536.497,-24.431,27.45,547.246,-24.325,28.69,10.749,31.028,0
128,6.4,536.116,-24.434,27.51,546.854,-24.327,27.81,10.739,129.867,0
129,6.45,535.734,-24.437,27.45,546.475,-24.33,27.03,10.741,-1,0
130,6.5,535.352,-24.44,27.51,546.108,-24.332,26.0,10.756,-1,0
131,6.55,534.971,-24.443,27.45,545.754,-24.334,25.17,10.783,-1,0
132,6.6,534.589,-24.445,27.51,545.413,-24.337,24.17,10.824,-1,0
133,6.65,534.208,-24.448,27.45,545.082,-24.339,23.63,10.875,-1,0
134,6.7,533.826,-24.451,27.51,544.758,-24.34,23.2,10.932,-1,0
135,6.75,533.444,-24.454,27.45,544.435,-24.342,23.21,10.992,-1,0
136,6.8,533.062,-24.457,27.51,544.112,-24.343,23.41,11.05,-1,0
137,6.85,532.681,-24.459,27.45,543.781,-24.344,24.05,11.101,-1,0
138,6.9,532.299,-24.462,27.51,543.441,-24.344,24.78,11.143,-1,0
139,6.95,531.918,-24.465,27.45,543.089,-24.345,25.78,11.172,-1,0
140,7.0,531.536,-24.468,27.51,542.725,-24.344,26.49,11.189,-1,0
141,7.05,531.154,-24.471,27.45,542.351,-24.343,27.16,11.197,-1,0
142,7.1,530.773,-24.473,27.51,541.971,-24.342,27.48,11.199,-1,0
143,7.15,530.391,-24.476,27.45,541.585,-24.341,27.93,11.195,82.538,0
144,7.2,530.009,-24.479,27.51,541.194,-24.341,28.36,11.185,47.352,0
145,7.25,529.628,-24.482,27.45,540.797,-24.34,28.69,11.17,32.386,0
146,7.3,529.246,-24.484,27.51,540.4,-24.339,28.47,11.155,41.821,0
147,7.35,528.865,-24.487,27.45,540.007,-24.339,28.1,11.144,61.384,0
148,7.4,528.483,-24.49,27.51,539.623,-24.338,27.34,11.141,-1,0
149,7.45,528.101,-24.493,27.45,539.249,-24.338,26.66,11.149,-1,0
150,7.5,527.72,-24.496,27.51,538.887,-24.338,25.71,11.168,-1,0
151,7.55,527.338,-24.498,27.45,538.536,-24.338,24.99,11.199,-1,0
152,7.6,526.956,-24.501,27.51,538.195,-24.339,24.31,11.24,-1,0
153,7.65,526.575,-24.504,27.45,537.859,-24.339,24.09,11.286,-1,0
154,7.7,526.193,-24.507,27.51,537.526,-24.339,23.99,11.334,-1,0
155,7.75,525.811,-24.51,27.45,537.19,-24.339,24.35,11.38,-1,0
156,7.8,525.43,-24.512,27.51,536.848,-24.34,24.8,11.42,-1,0
157,7.85,525.048,-24.515,27.45,536.498,-24.34,25.51,11.451,-1,0
158,7.9,524.666,-24.518,27.51,536.138,-24.34,26.06,11.473,-1,0
159,7.95,524.285,-24.521,27.45,535.772,-24.341,26.59,11.488,-1,0
160,8.0,523.903,-24.524,27.51,535.401,-24.341,26.68,11.5,-1,0
161,8.05,523.522,-24.526,27.45,535.032,-24.341,26.55,11.511,-1,0
162,8.1,523.14,-24.529,27.51,534.667,-24.342,26.0,11.529,-1,0
163,8.15,522.758,-24.532,27.45,534.311,-24.342,25.44,11.554,-1,0
164,8.2,522.377,-24.535,27.51,533.964,-24.342,24.65,11.589,-1,0
165,8.25,521.995,-24.537,27.45,533.625,-24.343,24.26,11.632,-1,0
166,8.3,521.613,-24.54,27.51,533.291,-24.343,23.98,11.68,-1,0
167,8.35,521.232,-24.543,27.45,532.957,-24.344,24.14,11.727,-1,0
168,8.4,520.85,-24.546,27.51,532.62,-24.345,24.43,11.771,-1,0
169,8.45,520.468,-24.549,27.45,532.276,-24.345,24.94,11.809,-1,0
170,8.5,520.087,-24.551,27.51,531.927,-24.346,25.19,11.842,-1,0
171,8.55,519.705,-24.554,27.45,531.574,-24.347,25.59,11.871,-1,0
172,8.6,519.323,-24.557,27.51,531.215,-24.348,26.05,11.893,-1,0
173,8.65,518.942,-24.56,27.45,530.846,-24.35,26.91,11.906,-1,0
174,8.7,518.56,-24.563,27.51,530.465,-24.351,27.8,11.907,146.687,0
175,8.75,518.179,-24.565,27.45,530.069,-24.352,28.99,11.893,27.787,0
176,8.8,517.797,-24.568,27.51,529.658,-24.354,30.05,11.863,16.835,0
177,8.85,517.415,-24.571,27.45,529.232,-24.356,31.0,11.819,11.964,0
178,8.9,517.034,-24.574,27.51,528.797,-24.358,31.51,11.765,10.601,0
179,8.95,516.652,-24.577,27.45,528.356,-24.36,31.88,11.706,9.504,0
180,9.0,516.27,-24.579,27.51,527.912,-24.362,31.98,11.644,9.368,0
181,9.05,515.889,-24.582,27.45,527.467,-24.364,32.1,11.58,8.959,0
182,9.1,515.507,-24.585,27.51,527.022,-24.366,31.93,11.517,9.383,0
183,9.15,515.125,-24.588,27.45,526.581,-24.368,31.58,11.458,9.973,0
184,9.2,514.744,-24.59,27.51,526.148,-24.371,31.0,11.406,11.764,0
185,9.25,514.362,-24.593,27.45,525.72,-24.373,30.72,11.36,12.476,0
186,9.3,513.98,-24.596,27.51,525.296,-24.375,30.37,11.318,14.251,0
187,9.35,513.599,-24.599,27.45,524.876,-24.377,30.17,11.279,14.883,0
188,9.4,513.217,-24.602,27.51,524.459,-24.379,29.88,11.244,17.114,0
189,9.45,512.836,-24.604,27.45,524.046,-24.381,29.72,11.212,17.75,0
190,9.5,512.454,-24.607,27.51,523.635,-24.384,29.45,11.184,20.771,0
191,9.55,512.072,-24.61,27.45,523.227,-24.386,29.31,11.157,21.512,0
192,9.6,511.691,-24.613,27.51,522.822,-24.388,29.06,11.134,25.952,0
193,9.65,511.309,-24.616,27.45,522.42,-24.39,28.93,11.113,26.966,0
194,9.7,510.927,-24.618,27.51,522.02,-24.392,28.68,11.095,34.228,0
195,9.75,510.546,-24.621,27.45,521.623,-24.394,28.56,11.079,35.89,0
196,9.8,510.164,-24.624,27.51,521.228,-24.396,28.31,11.067,49.994,0
197,9.85,509.783,-24.627,27.45,520.836,-24.396,28.2,11.056,52.465,0
198,9.9,509.401,-24.63,27.51,520.446,-24.396,27.99,11.048,82.207,0
199,9.95,509.019,-24.632,27.45,520.058,-24.395,27.91,11.041,86.506,0
200,10.0,508.638,-24.635,27.42,519.672,-24.394,27.69,11.037,143.78,0
201,10.05,508.261,-24.638,26.98,519.288,-24.393,27.65,11.03,59.289,0
202,10.1,507.89,-24.641,26.49,518.905,-24.392,27.52,11.018,38.682,0
203,10.15,507.528,-24.643,25.71,518.523,-24.392,27.58,10.997,21.124,0
204,10.2,507.177,-24.646,25.05,518.14,-24.391,27.59,10.966,15.548,0
205,10.25,506.836,-24.648,24.15,517.755,-24.391,27.74,10.922,10.946,0
206,10.3,506.507,-24.651,23.44,517.37,-24.391,27.69,10.866,9.21,0
207,10.35,506.189,-24.653,22.5,516.985,-24.391,27.71,10.799,7.461,0
208,10.4,505.885,-24.655,20.85,516.602,-24.392,27.47,10.72,5.834,0
209,10.45,505.636,-24.657,16.02,516.223,-24.393,27.13,10.59,3.434,0
210,10.5,505.455,-24.658,11.17,515.852,-24.393,26.42,10.401,2.456,0
211,10.55,505.34,-24.659,6.35,515.491,-24.394,25.75,10.154,1.884,0
212,10.6,505.292,-24.66,1.59,515.141,-24.395,24.8,9.853,1.528,0
213,10.65,505.29,-24.66,0.0,514.803,-24.395,24.03,9.517,1.426,0
214,10.7,505.29,-24.66,0.0,514.478,-24.396,23.01,9.192,1.438,0
215,10.75,505.29,-24.66,0.0,514.179,-24.396,19.72,8.893,1.624,0
216,10.8,505.289,-24.66,0.0,513.946,-24.396,14.9,8.66,2.093,0
217,10.85,505.289,-24.66,0.0,513.779,-24.396,10.05,8.494,3.043,0
218,10.9,505.289,-24.66,0.0,513.68,-24.396,5.24,8.395,5.773,0
219,10.95,505.289,-24.66,0.0,513.647,-24.396,0.54,8.363,56.276,0
220,11.0,505.289,-24.66,0.0,513.647,-24.396,0.0,8.363,18132.527,0
221,11.05,505.289,-24.66,0.0,513.647,-24.396,0.0,8.362,10701.562,0
222,11.1,505.289,-24.66,0.0,513.647,-24.396,0.0,8.362,11833.51,0
223,11.15,505.289,-24.66,0.0,513.646,-24.396,0.0,8.362,14596.105,0
224,11.2,505.289,-24.66,0.0,513.646,-24.396,0.0,8.362,18978.075,0
225,11.25,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,25324.906,0
226,11.3,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,34291.796,0
227,11.35,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,47085.305,0
228,11.4,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
229,11.45,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
230,11.5,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
231,11.55,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
232,11.6,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
233,11.65,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
234,11.7,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
235,11.75,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
236,11.8,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
237,11.85,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
238,11.9,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
239,11.95,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
240,12.0,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
241,12.05,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
242,12.1,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
243,12.15,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
244,12.2,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
245,12.25,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
246,12.3,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
247,12.35,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
248,12.4,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
249,12.45,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
250,12.5,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
251,12.55,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
252,12.6,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
253,12.65,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
254,12.7,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
255,12.75,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
256,12.8,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
257,12.85,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
258,12.9,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
259,12.95,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
260,13.0,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
261,13.05,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
262,13.1,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
263,13.15,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
264,13.2,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
265,13.25,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
266,13.3,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
267,13.35,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
268,13.4,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
269,13.45,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
270,13.5,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
271,13.55,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
272,13.6,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
273,13.65,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
274,13.7,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
275,13.75,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
276,13.8,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
277,13.85,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
278,13.9,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
279,13.95,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
280,14.0,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
281,14.05,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
282,14.1,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
283,14.15,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
284,14.2,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
285,14.25,505.289,-24.66,0.0,513.646,-24.396,0.0,8.361,-1,0
