tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.246,-24.09,20.48,593.246,-24.017,20.48,10.0,-1,0
3,0.15,582.978,-24.092,19.77,592.978,-24.021,19.76,10.0,-1,0
4,0.2,582.709,-24.094,19.61,592.709,-24.026,19.59,10.0,-1,0
5,0.25,582.441,-24.096,19.27,592.441,-24.031,19.26,10.0,-1,0
6,0.3,582.172,-24.098,19.4,592.172,-24.036,19.39,10.0,-1,0
7,0.35,581.903,-24.1,19.36,591.903,-24.041,19.35,10.001,-1,0
8,0.4,581.632,-24.101,19.74,591.634,-24.046,19.42,10.002,-1,0
9,0.45,581.352,-24.104,20.56,591.364,-24.05,19.65,10.013,-1,0
10,0.5,581.057,-24.106,21.7,591.083,-24.054,20.7,10.026,-1,0
11,0.55,580.747,-24.108,22.76,590.789,-24.059,21.62,10.042,-1,0
12,0.6,580.42,-24.11,24.06,590.479,-24.064,22.83,10.058,-1,0
13,0.65,580.076,-24.113,25.21,590.152,-24.069,23.97,10.076,-1,0
14,0.7,579.716,-24.116,26.4,589.807,-24.074,25.48,10.091,-1,0
15,0.75,579.342,-24.118,27.24,589.443,-24.078,26.69,10.101,-1,0
16,0.8,578.957,-24.121,27.98,589.06,-24.081,28.17,10.102,191.278,0
17,0.85,578.565,-24.124,28.35,588.658,-24.083,29.34,10.093,36.602,0
18,0.9,578.169,-24.127,28.66,588.24,-24.084,30.65,10.071,18.253,0
19,0.95,577.771,-24.13,28.69,587.805,-24.084,31.86,10.034,11.386,0
20,1.0,577.372,-24.133,28.72,587.351,-24.081,33.08,9.98,8.236,0
21,1.05,576.974,-24.136,28.55,586.886,-24.078,33.83,9.912,6.757,0
22,1.1,576.579,-24.138,28.44,586.409,-24.077,34.65,9.83,5.701,0
23,1.15,576.186,-24.141,28.18,585.923,-24.078,35.14,9.738,5.037,0
24,1.2,575.796,-24.144,28.05,585.433,-24.082,35.38,9.637,4.736,0
25,1.25,575.408,-24.147,27.79,584.944,-24.086,35.07,9.536,4.715,0
26,1.3,575.023,-24.15,27.68,584.461,-24.089,34.55,9.438,4.948,0
27,1.35,574.641,-24.153,27.47,583.988,-24.091,33.65,9.348,5.447,0
28,1.4,574.26,-24.155,27.42,583.528,-24.091,32.78,9.269,6.23,0
29,1.45,573.88,-24.158,27.27,583.082,-24.09,31.68,9.203,7.524,0
30,1.5,573.501,-24.161,27.29,582.651,-24.09,30.71,9.15,9.62,0
31,1.55,573.123,-24.164,27.2,582.234,-24.088,29.54,9.111,13.99,0
32,1.6,572.745,-24.167,27.27,581.832,-24.086,28.57,9.087,25.112,0
33,1.65,572.366,-24.169,27.22,581.445,-24.084,27.4,9.079,184.365,0
34,1.7,571.987,-24.172,27.32,581.072,-24.082,26.45,9.085,-1,0
35,1.75,571.608,-24.175,27.29,580.714,-24.081,25.3,9.106,-1,0
36,1.8,571.228,-24.178,27.4,580.37,-24.079,24.46,9.142,-1,0
37,1.85,570.848,-24.18,27.37,580.037,-24.077,23.7,9.19,-1,0
38,1.9,570.467,-24.183,27.47,579.711,-24.074,23.44,9.244,-1,0
39,1.95,570.086,-24.186,27.44,579.386,-24.071,23.32,9.301,-1,0
40,2.0,569.704,-24.189,27.53,579.06,-24.071,23.68,9.357,-1,0
41,2.05,569.322,-24.192,27.48,578.727,-24.073,24.18,9.406,-1,0
42,2.1,568.94,-24.194,27.56,578.384,-24.078,25.08,9.445,-1,0
43,2.15,568.557,-24.197,27.5,578.028,-24.083,26.01,9.471,-1,0
44,2.2,568.175,-24.2,27.56,577.656,-24.088,27.22,9.482,-1,0
45,2.25,567.793,-24.203,27.49,577.269,-24.092,28.19,9.477,49.038,0
46,2.3,567.41,-24.206,27.55,576.872,-24.097,28.78,9.463,27.795,0
47,2.35,567.028,-24.208,27.48,576.472,-24.101,28.87,9.444,24.444,0
48,2.4,566.646,-24.211,27.53,576.07,-24.105,28.95,9.424,23.925,0
49,2.45,566.264,-24.214,27.46,575.671,-24.11,28.56,9.407,30.753,0
50,2.5,565.883,-24.217,27.52,575.278,-24.114,28.07,9.396,61.801,0
51,2.55,565.501,-24.219,27.45,574.895,-24.116,27.23,9.395,-1,0
52,2.6,565.119,-24.222,27.51,574.523,-24.118,26.49,9.405,-1,0
53,2.65,564.738,-24.225,27.44,574.164,-24.119,25.5,9.426,-1,0
54,2.7,564.356,-24.228,27.5,573.816,-24.119,24.69,9.461,-1,0
55,2.75,563.975,-24.231,27.44,573.482,-24.116,23.71,9.508,-1,0
56,2.8,563.593,-24.233,27.5,573.157,-24.113,23.19,9.565,-1,0
57,2.85,563.212,-24.236,27.44,572.839,-24.111,22.79,9.628,-1,0
58,2.9,562.83,-24.239,27.5,572.522,-24.108,22.85,9.693,-1,0
59,2.95,562.449,-24.242,27.44,572.203,-24.106,23.08,9.755,-1,0
60,3.0,562.067,-24.245,27.51,571.877,-24.104,23.76,9.811,-1,0
61,3.05,561.686,-24.247,27.44,571.541,-24.105,24.52,9.856,-1,0
62,3.1,561.304,-24.25,27.51,571.191,-24.106,25.61,9.889,-1,0
63,3.15,560.922,-24.253,27.45,570.827,-24.108,26.68,9.906,-1,0
64,3.2,560.541,-24.256,27.51,570.445,-24.109,27.98,9.906,75.403,0
65,3.25,560.159,-24.259,27.45,570.047,-24.11,29.2,9.889,20.304,0
66,3.3,559.777,-24.261,27.51,569.629,-24.113,30.62,9.853,11.423,0
67,3.35,559.396,-24.264,27.45,569.193,-24.116,31.91,9.799,7.909,0
68,3.4,559.014,-24.267,27.51,568.739,-24.121,33.15,9.726,6.214,0
69,3.45,558.633,-24.27,27.45,568.275,-24.127,33.57,9.643,5.667,0
70,3.5,558.251,-24.272,27.51,567.808,-24.132,33.54,9.558,5.708,0
71,3.55,557.869,-24.275,27.45,567.347,-24.135,33.0,9.478,6.149,0
72,3.6,557.488,-24.278,27.51,566.893,-24.137,32.38,9.407,6.953,0
73,3.65,557.106,-24.281,27.45,566.451,-24.138,31.47,9.346,8.364,0
74,3.7,556.724,-24.284,27.51,566.021,-24.139,30.63,9.298,10.732,0
75,3.75,556.343,-24.286,27.45,565.605,-24.14,29.55,9.263,15.851,0
76,3.8,555.961,-24.289,27.51,565.202,-24.14,28.62,9.242,29.917,0
77,3.85,555.579,-24.292,27.45,564.814,-24.139,27.49,9.236,774.137,0
78,3.9,555.198,-24.295,27.51,564.44,-24.139,26.56,9.244,-1,0
79,3.95,554.816,-24.298,27.45,564.081,-24.142,25.5,9.266,-1,0
80,4.0,554.434,-24.3,27.51,563.732,-24.147,24.91,9.299,-1,0
81,4.05,554.053,-24.303,27.45,563.391,-24.154,24.34,9.339,-1,0
82,4.1,553.671,-24.306,27.51,563.055,-24.162,24.04,9.385,-1,0
83,4.15,553.29,-24.309,27.45,562.724,-24.169,23.74,9.436,-1,0
84,4.2,552.908,-24.312,27.51,562.394,-24.177,23.87,9.487,-1,0
85,4.25,552.526,-24.314,27.45,562.06,-24.187,24.16,9.535,-1,0
86,4.3,552.145,-24.317,27.51,561.719,-24.198,24.89,9.575,-1,0
87,4.35,551.763,-24.32,27.45,561.367,-24.209,25.69,9.605,-1,0
88,4.4,551.381,-24.323,27.51,561.001,-24.221,26.74,9.621,-1,0
89,4.45,551.0,-24.325,27.45,560.624,-24.232,27.37,9.625,-1,0
90,4.5,550.618,-24.328,27.51,560.24,-24.243,27.84,9.623,105.12,0
91,4.55,550.236,-24.331,27.45,559.852,-24.255,28.02,9.616,60.105,0
92,4.6,549.855,-24.334,27.51,559.461,-24.264,28.35,9.606,41.368,0
93,4.65,549.473,-24.337,27.45,559.064,-24.269,28.68,9.591,27.943,0
94,4.7,549.091,-24.339,27.51,558.663,-24.271,28.94,9.572,24.075,0
95,4.75,548.71,-24.342,27.45,558.263,-24.27,28.69,9.553,27.68,0
96,4.8,548.328,-24.345,27.51,557.867,-24.267,28.42,9.539,37.631,0
97,4.85,547.947,-24.348,27.45,557.475,-24.262,28.16,9.529,47.805,0
98,4.9,547.565,-24.351,27.51,557.084,-24.256,28.19,9.519,50.457,0
99,4.95,547.183,-24.353,27.45,556.692,-24.25,28.22,9.509,44.238,0
100,5.0,546.802,-24.356,27.51,556.299,-24.245,28.36,9.498,40.476,0
101,5.05,546.42,-24.359,27.45,555.906,-24.241,28.22,9.486,43.902,0
102,5.1,546.038,-24.362,27.51,555.516,-24.238,27.94,9.478,78.908,0
103,5.15,545.657,-24.365,27.45,555.133,-24.236,27.28,9.477,-1,0
104,5.2,545.275,-24.367,27.51,554.76,-24.233,26.62,9.486,-1,0
105,5.25,544.893,-24.37,27.45,554.398,-24.232,25.68,9.505,-1,0
106,5.3,544.512,-24.373,27.51,554.048,-24.23,24.9,9.537,-1,0
107,5.35,544.13,-24.376,27.45,553.71,-24.228,23.95,9.581,-1,0
108,5.4,543.748,-24.378,27.51,553.382,-24.225,23.44,9.635,-1,0
109,5.45,543.367,-24.381,27.45,553.06,-24.222,23.05,9.695,-1,0
110,5.5,542.985,-24.384,27.51,552.74,-24.22,23.1,9.756,-1,0
111,5.55,542.604,-24.387,27.45,552.417,-24.218,23.33,9.815,-1,0
112,5.6,542.222,-24.39,27.51,552.088,-24.218,24.01,9.867,-1,0
113,5.65,541.84,-24.392,27.45,551.748,-24.22,24.77,9.909,-1,0
114,5.7,541.459,-24.395,27.51,551.395,-24.224,25.86,9.938,-1,0
115,5.75,541.077,-24.398,27.45,551.027,-24.231,26.92,9.952,-1,0
116,5.8,540.695,-24.401,27.51,550.643,-24.239,28.23,9.949,50.049,0
117,5.85,540.314,-24.404,27.45,550.241,-24.248,29.44,9.928,17.91,0
118,5.9,539.932,-24.406,27.51,549.82,-24.259,30.85,9.889,10.659,0
119,5.95,539.55,-24.409,27.45,549.381,-24.271,32.16,9.831,7.504,0
120,6.0,539.169,-24.412,27.51,548.923,-24.286,33.49,9.755,5.877,0
121,6.05,538.787,-24.415,27.45,548.453,-24.302,33.97,9.667,5.336,0
122,6.1,538.406,-24.418,27.51,547.982,-24.319,33.94,9.576,5.358,0
123,6.15,538.024,-24.42,27.45,547.515,-24.336,33.41,9.491,5.733,0
124,6.2,537.642,-24.423,27.51,547.056,-24.354,32.79,9.414,6.421,0
125,6.25,537.261,-24.426,27.45,546.609,-24.37,31.87,9.348,7.601,0
126,6.3,536.879,-24.429,27.51,546.173,-24.384,31.02,9.295,9.532,0
127,6.35,536.497,-24.431,27.45,545.752,-24.398,29.93,9.255,13.384,0
128,6.4,536.116,-24.434,27.51,545.344,-24.411,29.0,9.228,22.248,0
129,6.45,535.734,-24.437,27.45,544.951,-24.422,27.86,9.217,80.409,0
130,6.5,535.352,-24.44,27.51,544.572,-24.43,26.91,9.22,-1,0
131,6.55,534.971,-24.443,27.45,544.208,-24.434,25.76,9.237,-1,0
132,6.6,534.589,-24.445,27.51,543.858,-24.436,24.85,9.269,-1,0
133,6.65,534.208,-24.448,27.45,543.522,-24.436,23.73,9.315,-1,0
134,6.7,533.826,-24.451,27.51,543.2,-24.435,22.85,9.374,-1,0
135,6.75,533.444,-24.454,27.45,542.909,-24.434,19.1,9.465,-1,0
136,6.8,533.062,-24.457,27.51,542.684,-24.434,14.28,9.622,-1,0
137,6.85,532.681,-24.459,27.45,542.483,-24.432,14.86,9.802,-1,0
138,6.9,532.299,-24.462,27.51,542.268,-24.428,15.86,9.969,-1,0
139,6.95,531.918,-24.465,27.45,542.039,-24.425,16.94,10.121,-1,0
140,7.0,531.536,-24.468,27.51,541.794,-24.423,18.08,10.258,-1,0
141,7.05,531.154,-24.471,27.45,541.533,-24.418,19.22,10.379,-1,0
142,7.1,530.773,-24.473,27.51,541.261,-24.412,19.78,10.488,-1,0
143,7.15,530.391,-24.476,27.45,540.983,-24.405,20.4,10.592,-1,0
144,7.2,530.009,-24.479,27.51,540.689,-24.399,21.72,10.68,-1,0
145,7.25,529.628,-24.482,27.45,540.381,-24.394,22.47,10.754,-1,0
146,7.3,529.246,-24.484,27.51,540.062,-24.39,23.43,10.816,-1,0
147,7.35,528.865,-24.487,27.45,539.724,-24.387,24.98,10.86,-1,0
148,7.4,528.483,-24.49,27.51,539.366,-24.384,26.21,10.884,-1,0
149,7.45,528.101,-24.493,27.45,538.993,-24.382,27.35,10.892,-1,0
150,7.5,527.72,-24.496,27.51,538.604,-24.381,28.46,10.885,41.447,0
151,7.55,527.338,-24.498,27.45,538.197,-24.378,29.79,10.86,16.665,0
152,7.6,526.956,-24.501,27.51,537.774,-24.376,30.97,10.818,11.272,0
153,7.65,526.575,-24.504,27.45,537.335,-24.372,31.95,10.761,8.592,0
154,7.7,526.193,-24.507,27.51,536.888,-24.366,32.21,10.696,8.192,0
155,7.75,525.811,-24.51,27.45,536.442,-24.359,32.09,10.631,8.246,0
156,7.8,525.43,-24.512,27.51,536.001,-24.353,31.49,10.572,9.569,0
157,7.85,525.048,-24.515,27.45,535.569,-24.348,30.86,10.522,11.108,0
158,7.9,524.666,-24.518,27.51,535.148,-24.345,29.93,10.483,15.589,0
159,7.95,524.285,-24.521,27.45,534.739,-24.342,29.19,10.456,21.551,0
160,8.0,523.903,-24.524,27.51,534.339,-24.341,28.55,10.438,36.128,0
161,8.05,523.522,-24.526,27.45,533.944,-24.339,28.38,10.425,40.197,0
162,8.1,523.14,-24.529,27.51,533.551,-24.337,28.38,10.413,42.981,0
163,8.15,522.758,-24.532,27.45,533.153,-24.336,28.79,10.397,27.851,0
164,8.2,522.377,-24.535,27.51,532.751,-24.336,29.05,10.376,24.329,0
165,8.25,521.995,-24.537,27.45,532.346,-24.337,29.23,10.353,20.906,0
166,8.3,521.613,-24.54,27.51,531.941,-24.336,29.08,10.33,23.648,0
167,8.35,521.232,-24.543,27.45,531.537,-24.335,29.07,10.308,22.784,0
168,8.4,520.85,-24.546,27.51,531.134,-24.333,29.06,10.286,23.872,0
169,8.45,520.468,-24.549,27.45,530.727,-24.332,29.41,10.261,18.779,0
170,8.5,520.087,-24.551,27.51,530.315,-24.331,29.9,10.231,15.386,0
171,8.55,519.705,-24.554,27.45,529.893,-24.328,30.65,10.191,11.459,0
172,8.6,519.323,-24.557,27.51,529.464,-24.323,30.98,10.144,10.516,0
173,8.65,518.942,-24.56,27.45,529.034,-24.316,30.97,10.095,10.32,0
174,8.7,518.56,-24.563,27.51,528.608,-24.31,30.47,10.051,12.218,0
175,8.75,518.179,-24.565,27.45,528.189,-24.303,29.99,10.013,14.18,0
176,8.8,517.797,-24.568,27.51,527.776,-24.298,29.54,9.983,17.721,0
177,8.85,517.415,-24.571,27.45,527.368,-24.294,29.35,9.956,18.804,0
178,8.9,517.034,-24.574,27.51,526.962,-24.292,29.2,9.932,21.108,0
179,8.95,516.652,-24.577,27.45,526.554,-24.292,29.46,9.906,17.679,0
180,9.0,516.27,-24.579,27.51,526.142,-24.293,29.87,9.876,15.095,0
181,9.05,515.889,-24.582,27.45,525.722,-24.295,30.48,9.837,11.67,0
182,9.1,515.507,-24.585,27.51,525.296,-24.296,30.69,9.793,11.097,0
183,9.15,515.125,-24.588,27.45,524.87,-24.297,30.59,9.749,11.169,0
184,9.2,514.744,-24.59,27.51,524.45,-24.298,30.04,9.71,13.829,0
185,9.25,514.362,-24.593,27.45,524.037,-24.297,29.52,9.679,16.801,0
186,9.3,513.98,-24.596,27.51,523.631,-24.296,29.07,9.656,22.323,0
187,9.35,513.599,-24.599,27.45,523.228,-24.295,29.0,9.634,22.324,0
188,9.4,513.217,-24.602,27.51,522.825,-24.293,29.09,9.613,21.888,0
189,9.45,512.836,-24.604,27.45,522.417,-24.29,29.62,9.587,15.862,0
190,9.5,512.454,-24.607,27.51,522.001,-24.285,30.22,9.552,12.675,0
191,9.55,512.072,-24.61,27.45,521.576,-24.282,30.8,9.509,10.218,0
192,9.6,511.691,-24.613,27.51,521.147,-24.28,30.91,9.462,10.007,0
193,9.65,511.309,-24.616,27.45,520.718,-24.281,30.75,9.415,10.251,0
194,9.7,510.927,-24.618,27.51,520.296,-24.284,30.15,9.374,12.774,0
195,9.75,510.546,-24.621,27.45,519.882,-24.29,29.61,9.342,15.562,0
196,9.8,510.164,-24.624,27.51,519.475,-24.295,29.13,9.317,20.678,0
197,9.85,509.783,-24.627,27.45,519.072,-24.3,29.05,9.295,20.896,0
198,9.9,509.401,-24.63,27.51,518.668,-24.305,29.06,9.273,21.533,0
199,9.95,509.019,-24.632,27.45,518.264,-24.308,29.12,9.25,19.941,0
200,10.0,508.638,-24.635,27.42,517.862,-24.31,28.73,9.23,25.277,0
201,10.05,508.261,-24.638,26.98,517.467,-24.31,28.25,9.212,26.223,0
202,10.1,507.89,-24.641,26.49,517.082,-24.31,27.41,9.198,36.322,0
203,10.15,507.528,-24.643,25.71,516.707,-24.308,26.66,9.185,34.605,0
204,10.2,507.177,-24.646,25.05,516.345,-24.305,25.66,9.175,54.311,0
205,10.25,506.836,-24.648,24.15,515.996,-24.301,24.85,9.166,47.398,0
206,10.3,506.507,-24.651,23.44,515.659,-24.297,23.79,9.159,93.926,0
207,10.35,506.189,-24.653,22.5,515.336,-24.292,23.02,9.154,63.5,0
208,10.4,505.885,-24.655,20.85,515.023,-24.286,22.29,9.145,22.968,0
209,10.45,505.636,-24.657,16.02,514.715,-24.28,22.05,9.087,5.434,0
210,10.5,505.455,-24.658,11.17,514.411,-24.274,21.93,8.964,3.001,0
211,10.55,505.34,-24.659,6.35,514.103,-24.268,22.29,8.772,1.981,0
212,10.6,505.292,-24.66,1.59,513.79,-24.262,22.8,8.507,1.444,0
213,10.65,505.29,-24.66,0.0,513.466,-24.255,23.71,8.186,1.243,0
214,10.7,505.29,-24.66,0.0,513.129,-24.249,24.64,7.85,1.147,0
215,10.75,505.29,-24.66,0.0,512.778,-24.243,25.67,7.5,1.052,0
216,10.8,505.289,-24.66,0.0,512.417,-24.237,26.08,7.14,0.986,0
217,10.85,505.289,-24.66,0.0,512.054,-24.228,26.11,6.779,0.935,0
218,10.9,505.289,-24.66,0.0,511.695,-24.216,25.67,6.422,0.901,0
219,10.95,505.289,-24.66,0.0,511.343,-24.204,25.23,6.071,0.866,0
220,11.0,505.289,-24.66,0.0,510.999,-24.19,24.54,5.729,0.84,0
221,11.05,505.289,-24.66,0.0,510.661,-24.176,24.2,5.394,0.802,0
222,11.1,505.289,-24.66,0.0,510.328,-24.162,23.84,5.064,0.765,0
223,11.15,505.289,-24.66,0.0,509.998,-24.149,23.78,4.737,0.717,0
224,11.2,505.297,-24.656,0.34,510.035,-24.12,2.99,4.768,6.473,1
225,11.25,505.298,-24.656,0.05,510.046,-24.113,0.21,4.778,106.263,0
226,11.3,505.297,-24.657,0.08,510.043,-24.112,1.04,4.777,17.814,0
227,11.35,505.295,-24.657,0.12,510.016,-24.111,2.97,4.753,6.003,0
228,11.4,505.294,-24.658,0.08,509.997,-24.107,0.2,4.736,139.744,1
229,11.45,505.294,-24.658,0.08,509.997,-24.105,0.12,4.736,473.083,1
230,11.5,505.293,-24.658,0.07,509.998,-24.103,0.12,4.738,357.343,1
231,11.55,505.292,-24.659,0.06,509.999,-24.1,0.12,4.739,295.98,1
232,11.6,505.292,-24.659,0.05,509.999,-24.098,0.12,4.741,237.979,1
233,11.65,505.292,-24.659,0.03,510.0,-24.098,0.03,4.741,-1,1
234,11.7,505.291,-24.659,0.02,510.0,-24.097,0.03,4.742,1240.692,1
235,11.75,505.291,-24.659,0.01,510.0,-24.096,0.03,4.742,1090.392,1
236,11.8,505.291,-24.659,0.01,510.0,-24.096,0.03,4.742,925.526,1
237,11.85,505.291,-24.659,0.01,510.0,-24.095,0.03,4.742,900.799,1
238,11.9,505.291,-24.66,0.01,510.0,-24.095,0.03,4.743,875.337,1
239,11.95,505.291,-24.66,0.01,510.0,-24.094,0.03,4.743,866.375,1
240,12.0,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,1
241,12.05,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
242,12.1,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
243,12.15,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
244,12.2,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
245,12.25,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
246,12.3,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
247,12.35,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
248,12.4,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
249,12.45,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
250,12.5,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
251,12.55,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
252,12.6,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
253,12.65,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
254,12.7,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
255,12.75,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
256,12.8,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
257,12.85,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
258,12.9,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
259,12.95,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
260,13.0,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
261,13.05,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
262,13.1,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
263,13.15,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
264,13.2,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
265,13.25,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
266,13.3,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
267,13.35,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
268,13.4,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
269,13.45,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
270,13.5,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
271,13.55,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
272,13.6,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
273,13.65,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
274,13.7,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
275,13.75,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
276,13.8,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
277,13.85,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
278,13.9,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
279,13.95,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
280,14.0,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
281,14.05,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
282,14.1,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
283,14.15,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
284,14.2,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
285,14.25,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
286,14.3,505.291,-24.66,0.0,510.0,-24.094,0.0,4.743,-1,0
