tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.246,-24.09,20.48,593.246,-24.016,20.5,10.0,1942.541,0
3,0.15,582.978,-24.092,19.77,593.062,-24.018,10.44,10.084,-1,0
4,0.2,582.709,-24.094,19.61,592.986,-24.018,2.79,10.277,-1,0
5,0.25,582.441,-24.096,19.27,592.98,-24.018,0.3,10.54,-1,0
6,0.3,582.172,-24.098,19.4,592.98,-24.018,0.65,10.809,-1,0
7,0.35,581.903,-24.1,19.36,592.98,-24.018,0.7,11.078,-1,0
8,0.4,581.632,-24.101,19.74,592.98,-24.018,0.62,11.348,-1,0
9,0.45,581.352,-24.104,20.56,592.979,-24.018,0.51,11.628,-1,0
10,0.5,581.057,-24.106,21.7,592.979,-24.018,0.39,11.923,-1,0
11,0.55,580.747,-24.108,22.76,592.979,-24.018,0.29,12.232,-1,0
12,0.6,580.42,-24.11,24.06,592.972,-24.018,1.53,12.552,-1,0
13,0.65,580.076,-24.113,25.21,592.924,-24.019,4.65,12.848,-1,0
14,0.7,579.716,-24.116,26.4,592.837,-24.02,7.06,13.122,-1,0
15,0.75,579.342,-24.118,27.24,592.721,-24.022,9.11,13.379,-1,0
16,0.8,578.957,-24.121,27.98,592.58,-24.024,10.81,13.623,-1,0
17,0.85,578.565,-24.124,28.35,592.417,-24.026,12.3,13.852,-1,0
18,0.9,578.169,-24.127,28.66,592.235,-24.028,13.69,14.066,-1,0
19,0.95,577.771,-24.13,28.69,592.034,-24.031,15.01,14.263,-1,0
20,1.0,577.372,-24.133,28.72,591.815,-24.033,16.28,14.443,-1,0
21,1.05,576.974,-24.136,28.55,591.578,-24.037,17.54,14.604,-1,0
22,1.1,576.579,-24.138,28.44,591.324,-24.041,18.78,14.746,-1,0
23,1.15,576.186,-24.141,28.18,591.054,-24.046,19.83,14.868,-1,0
24,1.2,575.796,-24.144,28.05,590.777,-24.051,20.06,14.982,-1,0
25,1.25,575.408,-24.147,27.79,590.493,-24.056,20.83,15.085,-1,0
26,1.3,575.023,-24.15,27.68,590.197,-24.062,21.66,15.174,-1,0
27,1.35,574.641,-24.153,27.47,589.886,-24.068,22.94,15.245,-1,0
28,1.4,574.26,-24.155,27.42,589.557,-24.075,24.15,15.297,-1,0
29,1.45,573.88,-24.158,27.27,589.211,-24.083,25.4,15.331,-1,0
30,1.5,573.501,-24.161,27.29,588.849,-24.091,26.56,15.348,-1,0
31,1.55,573.123,-24.164,27.2,588.469,-24.1,27.94,15.346,74.507,0
32,1.6,572.745,-24.167,27.27,588.07,-24.11,29.21,15.326,28.44,0
33,1.65,572.366,-24.169,27.22,587.653,-24.119,30.65,15.286,16.035,0
34,1.7,571.987,-24.172,27.32,587.216,-24.127,31.88,15.229,12.002,0
35,1.75,571.608,-24.175,27.29,586.765,-24.134,32.84,15.157,9.835,0
36,1.8,571.228,-24.178,27.4,586.305,-24.142,33.33,15.077,9.152,0
37,1.85,570.848,-24.18,27.37,585.838,-24.151,33.82,14.99,8.373,0
38,1.9,570.467,-24.183,27.47,585.366,-24.159,34.08,14.899,8.123,0
39,1.95,570.086,-24.186,27.44,584.89,-24.167,34.49,14.804,7.556,0
40,2.0,569.704,-24.189,27.53,584.408,-24.174,34.86,14.704,7.218,0
41,2.05,569.322,-24.192,27.48,583.919,-24.182,35.34,14.598,6.686,0
42,2.1,568.94,-24.194,27.56,583.426,-24.188,35.69,14.486,6.413,0
43,2.15,568.557,-24.197,27.5,582.927,-24.195,36.08,14.369,6.028,0
44,2.2,568.175,-24.2,27.56,582.424,-24.201,36.3,14.249,5.869,0
45,2.25,567.793,-24.203,27.49,581.918,-24.206,36.44,14.125,5.684,0
46,2.3,567.41,-24.206,27.55,581.415,-24.211,36.09,14.004,5.906,0
47,2.35,567.028,-24.208,27.48,580.917,-24.215,35.68,13.889,6.096,0
48,2.4,566.646,-24.211,27.53,580.425,-24.219,35.3,13.779,6.386,0
49,2.45,566.264,-24.214,27.46,579.937,-24.223,35.03,13.672,6.501,0
50,2.5,565.883,-24.217,27.52,579.454,-24.226,34.63,13.571,6.87,0
51,2.55,565.501,-24.219,27.45,578.976,-24.229,34.29,13.475,7.085,0
52,2.6,565.119,-24.222,27.51,578.503,-24.232,33.79,13.384,7.664,0
53,2.65,564.738,-24.225,27.44,578.038,-24.235,33.36,13.3,8.09,0
54,2.7,564.356,-24.228,27.5,577.579,-24.237,32.75,13.223,9.064,0
55,2.75,563.975,-24.231,27.44,577.129,-24.24,32.24,13.154,9.849,0
56,2.8,563.593,-24.233,27.5,576.686,-24.243,31.58,13.093,11.557,0
57,2.85,563.212,-24.236,27.44,576.252,-24.246,31.04,13.041,13.031,0
58,2.9,562.83,-24.239,27.5,575.827,-24.25,30.35,12.997,16.421,0
59,2.95,562.449,-24.242,27.44,575.41,-24.253,29.81,12.961,19.681,0
60,3.0,562.067,-24.245,27.51,575.002,-24.256,29.12,12.935,28.817,0
61,3.05,561.686,-24.247,27.44,574.602,-24.26,28.59,12.916,40.51,0
62,3.1,561.304,-24.25,27.51,574.21,-24.264,27.91,12.906,116.04,0
63,3.15,560.922,-24.253,27.45,573.827,-24.269,27.42,12.904,-1,0
64,3.2,560.541,-24.256,27.51,573.451,-24.273,26.84,12.91,-1,0
65,3.25,560.159,-24.259,27.45,573.082,-24.277,26.42,12.923,-1,0
66,3.3,559.777,-24.261,27.51,572.719,-24.28,25.92,12.942,-1,0
67,3.35,559.396,-24.264,27.45,572.361,-24.284,25.64,12.966,-1,0
68,3.4,559.014,-24.267,27.51,572.008,-24.288,25.36,12.994,-1,0
69,3.45,558.633,-24.27,27.45,571.655,-24.292,25.45,13.023,-1,0
70,3.5,558.251,-24.272,27.51,571.3,-24.296,25.67,13.049,-1,0
71,3.55,557.869,-24.275,27.45,570.94,-24.3,26.08,13.071,-1,0
72,3.6,557.488,-24.278,27.51,570.575,-24.304,26.51,13.087,-1,0
73,3.65,557.106,-24.281,27.45,570.2,-24.306,27.27,13.094,-1,0
74,3.7,556.724,-24.284,27.51,569.817,-24.309,27.75,13.093,197.24,0
75,3.75,556.343,-24.286,27.45,569.428,-24.312,28.13,13.085,68.79,0
76,3.8,555.961,-24.289,27.51,569.037,-24.315,28.16,13.076,71.989,0
77,3.85,555.579,-24.292,27.45,568.645,-24.318,28.27,13.065,56.739,0
78,3.9,555.198,-24.295,27.51,568.253,-24.321,28.21,13.055,66.98,0
79,3.95,554.816,-24.298,27.45,567.861,-24.323,28.22,13.045,60.785,0
80,4.0,554.434,-24.3,27.51,567.469,-24.326,28.15,13.035,73.451,0
81,4.05,554.053,-24.303,27.45,567.078,-24.33,28.23,13.025,59.451,0
82,4.1,553.671,-24.306,27.51,566.686,-24.335,28.16,13.015,72.149,0
83,4.15,553.29,-24.309,27.45,566.294,-24.338,28.31,13.005,54.079,0
84,4.2,552.908,-24.312,27.51,565.9,-24.342,28.45,12.992,49.826,0
85,4.25,552.526,-24.314,27.45,565.503,-24.342,28.62,12.977,39.773,0
86,4.3,552.145,-24.317,27.51,565.105,-24.342,28.66,12.961,40.694,0
87,4.35,551.763,-24.32,27.45,564.707,-24.343,28.69,12.944,37.304,0
88,4.4,551.381,-24.323,27.51,564.309,-24.345,28.62,12.928,42.127,0
89,4.45,551.0,-24.325,27.45,563.911,-24.348,28.74,12.911,35.917,0
90,4.5,550.618,-24.328,27.51,563.511,-24.351,28.83,12.893,35.071,0
91,4.55,550.236,-24.331,27.45,563.109,-24.354,28.98,12.873,30.297,0
92,4.6,549.855,-24.334,27.51,562.706,-24.358,29.02,12.852,30.655,0
93,4.65,549.473,-24.337,27.45,562.301,-24.362,29.27,12.828,25.25,0
94,4.7,549.091,-24.339,27.51,561.894,-24.366,29.26,12.803,26.325,0
95,4.75,548.71,-24.342,27.45,561.489,-24.37,29.2,12.779,26.287,0
96,4.8,548.328,-24.345,27.51,561.085,-24.374,28.94,12.757,32.202,0
97,4.85,547.947,-24.348,27.45,560.685,-24.379,28.72,12.739,36.025,0
98,4.9,547.565,-24.351,27.51,560.289,-24.384,28.36,12.724,54.142,0
99,4.95,547.183,-24.353,27.45,559.898,-24.388,28.11,12.714,68.629,0
100,5.0,546.802,-24.356,27.51,559.51,-24.393,27.77,12.708,177.943,0
101,5.05,546.42,-24.359,27.45,559.126,-24.398,27.58,12.706,348.268,0
102,5.1,546.038,-24.362,27.51,558.746,-24.403,27.25,12.707,-1,0
103,5.15,545.657,-24.365,27.45,558.369,-24.406,27.06,12.712,-1,0
104,5.2,545.275,-24.367,27.51,557.995,-24.409,26.85,12.72,-1,0
105,5.25,544.893,-24.37,27.45,557.622,-24.411,26.92,12.728,-1,0
106,5.3,544.512,-24.373,27.51,557.247,-24.412,26.98,12.736,-1,0
107,5.35,544.13,-24.376,27.45,556.871,-24.414,27.12,12.741,-1,0
108,5.4,543.748,-24.378,27.51,556.496,-24.417,27.0,12.747,-1,0
109,5.45,543.367,-24.381,27.45,556.12,-24.42,27.05,12.753,-1,0
110,5.5,542.985,-24.384,27.51,555.744,-24.423,27.06,12.759,-1,0
111,5.55,542.604,-24.387,27.45,555.368,-24.426,27.16,12.764,-1,0
112,5.6,542.222,-24.39,27.51,554.991,-24.429,27.03,12.77,-1,0
113,5.65,541.84,-24.392,27.45,554.617,-24.432,26.93,12.776,-1,0
114,5.7,541.459,-24.395,27.51,554.245,-24.435,26.67,12.786,-1,0
115,5.75,541.077,-24.398,27.45,553.876,-24.438,26.48,12.799,-1,0
116,5.8,540.695,-24.401,27.51,553.511,-24.441,26.17,12.816,-1,0
117,5.85,540.314,-24.404,27.45,553.149,-24.445,26.02,12.835,-1,0
118,5.9,539.932,-24.406,27.51,552.79,-24.449,25.7,12.858,-1,0
119,5.95,539.55,-24.409,27.45,552.434,-24.453,25.59,12.884,-1,0
120,6.0,539.169,-24.412,27.51,552.08,-24.459,25.42,12.912,-1,0
121,6.05,538.787,-24.415,27.45,551.727,-24.464,25.52,12.939,-1,0
122,6.1,538.406,-24.418,27.51,551.373,-24.468,25.42,12.968,-1,0
123,6.15,538.024,-24.42,27.45,551.02,-24.472,25.37,12.996,-1,0
124,6.2,537.642,-24.423,27.51,550.67,-24.476,25.12,13.028,-1,0
125,6.25,537.261,-24.426,27.45,550.322,-24.479,24.96,13.062,-1,0
126,6.3,536.879,-24.429,27.51,549.979,-24.478,24.62,13.1,-1,0
127,6.35,536.497,-24.431,27.45,549.638,-24.472,24.51,13.141,-1,0
128,6.4,536.116,-24.434,27.51,549.298,-24.467,24.43,13.183,-1,0
129,6.45,535.734,-24.437,27.45,548.958,-24.464,24.62,13.224,-1,0
130,6.5,535.352,-24.44,27.51,548.614,-24.461,24.91,13.261,-1,0
131,6.55,534.971,-24.443,27.45,548.262,-24.459,25.62,13.291,-1,0
132,6.6,534.589,-24.445,27.51,547.9,-24.458,26.34,13.311,-1,0
133,6.65,534.208,-24.448,27.45,547.528,-24.456,27.01,13.321,-1,0
134,6.7,533.826,-24.451,27.51,547.151,-24.456,27.27,13.325,-1,0
135,6.75,533.444,-24.454,27.45,546.769,-24.456,27.62,13.325,271.117,0
136,6.8,533.062,-24.457,27.51,546.383,-24.457,27.93,13.32,113.421,0
137,6.85,532.681,-24.459,27.45,545.991,-24.459,28.39,13.31,50.493,0
138,6.9,532.299,-24.462,27.51,545.595,-24.461,28.58,13.296,44.897,0
139,6.95,531.918,-24.465,27.45,545.197,-24.464,28.75,13.279,36.542,0
140,7.0,531.536,-24.468,27.51,544.797,-24.467,28.73,13.261,39.24,0
141,7.05,531.154,-24.471,27.45,544.398,-24.47,28.76,13.244,36.393,0
142,7.1,530.773,-24.473,27.51,544.0,-24.473,28.59,13.227,44.11,0
143,7.15,530.391,-24.476,27.45,543.604,-24.476,28.53,13.212,43.953,0
144,7.2,530.009,-24.479,27.51,543.209,-24.478,28.32,13.2,58.9,0
145,7.25,529.628,-24.482,27.45,542.817,-24.48,28.24,13.189,59.914,0
146,7.3,529.246,-24.484,27.51,542.426,-24.481,28.08,13.18,82.737,0
147,7.35,528.865,-24.487,27.45,542.036,-24.483,28.05,13.171,78.774,0
148,7.4,528.483,-24.49,27.51,541.648,-24.485,27.85,13.165,140.578,0
149,7.45,528.101,-24.493,27.45,541.262,-24.486,27.71,13.161,176.436,0
150,7.5,527.72,-24.496,27.51,540.88,-24.487,27.41,13.16,-1,0
151,7.55,527.338,-24.498,27.45,540.501,-24.489,27.19,13.163,-1,0
152,7.6,526.956,-24.501,27.51,540.127,-24.49,26.78,13.171,-1,0
153,7.65,526.575,-24.504,27.45,539.758,-24.49,26.49,13.183,-1,0
154,7.7,526.193,-24.507,27.51,539.393,-24.49,26.13,13.2,-1,0
155,7.75,525.811,-24.51,27.45,539.031,-24.491,25.94,13.22,-1,0
156,7.8,525.43,-24.512,27.51,538.674,-24.492,25.54,13.245,-1,0
157,7.85,525.048,-24.515,27.45,538.322,-24.493,25.24,13.274,-1,0
158,7.9,524.666,-24.518,27.51,537.976,-24.495,24.77,13.309,-1,0
159,7.95,524.285,-24.521,27.45,537.634,-24.498,24.5,13.349,-1,0
160,8.0,523.903,-24.524,27.51,537.297,-24.501,24.04,13.394,-1,0
161,8.05,523.522,-24.526,27.45,536.966,-24.504,23.75,13.444,-1,0
162,8.1,523.14,-24.529,27.51,536.64,-24.506,23.28,13.5,-1,0
163,8.15,522.758,-24.532,27.45,536.319,-24.508,23.05,13.561,-1,0
164,8.2,522.377,-24.535,27.51,536.001,-24.509,22.85,13.624,-1,0
165,8.25,521.995,-24.537,27.45,535.682,-24.51,23.08,13.687,-1,0
166,8.3,521.613,-24.54,27.51,535.358,-24.511,23.47,13.745,-1,0
167,8.35,521.232,-24.543,27.45,535.026,-24.512,24.29,13.794,-1,0
168,8.4,520.85,-24.546,27.51,534.681,-24.512,25.15,13.831,-1,0
169,8.45,520.468,-24.549,27.45,534.322,-24.513,26.32,13.854,-1,0
170,8.5,520.087,-24.551,27.51,533.948,-24.514,27.35,13.861,-1,0
171,8.55,519.705,-24.554,27.45,533.56,-24.515,28.27,13.855,60.77,0
172,8.6,519.323,-24.557,27.51,533.163,-24.516,28.8,13.839,38.572,0
173,8.65,518.942,-24.56,27.45,532.76,-24.516,29.14,13.818,29.35,0
174,8.7,518.56,-24.563,27.51,532.354,-24.517,29.25,13.794,28.606,0
175,8.75,518.179,-24.565,27.45,531.946,-24.517,29.47,13.767,24.517,0
176,8.8,517.797,-24.568,27.51,531.536,-24.518,29.56,13.739,24.1,0
177,8.85,517.415,-24.571,27.45,531.124,-24.519,29.74,13.709,21.493,0
178,8.9,517.034,-24.574,27.51,530.71,-24.52,29.78,13.677,21.737,0
179,8.95,516.652,-24.577,27.45,530.296,-24.521,29.9,13.644,20.012,0
180,9.0,516.27,-24.579,27.51,529.881,-24.522,29.89,13.61,20.572,0
181,9.05,515.889,-24.582,27.45,529.464,-24.523,30.03,13.576,18.92,0
182,9.1,515.507,-24.585,27.51,529.047,-24.524,30.05,13.54,19.177,0
183,9.15,515.125,-24.588,27.45,528.629,-24.524,30.12,13.504,18.185,0
184,9.2,514.744,-24.59,27.51,528.212,-24.524,30.01,13.468,19.416,0
185,9.25,514.362,-24.593,27.45,527.795,-24.523,29.95,13.433,19.283,0
186,9.3,513.98,-24.596,27.51,527.381,-24.523,29.71,13.401,21.928,0
187,9.35,513.599,-24.599,27.45,526.97,-24.523,29.53,13.371,23.142,0
188,9.4,513.217,-24.602,27.51,526.563,-24.523,29.18,13.346,28.841,0
189,9.45,512.836,-24.604,27.45,526.159,-24.524,29.05,13.323,29.927,0
190,9.5,512.454,-24.607,27.51,525.756,-24.525,28.94,13.303,33.481,0
191,9.55,512.072,-24.61,27.45,525.354,-24.525,28.95,13.282,31.777,0
192,9.6,511.691,-24.613,27.51,524.954,-24.526,28.68,13.264,40.815,0
193,9.65,511.309,-24.616,27.45,524.558,-24.527,28.45,13.249,47.331,0
194,9.7,510.927,-24.618,27.51,524.166,-24.527,28.07,13.239,84.597,0
195,9.75,510.546,-24.621,27.45,523.778,-24.528,27.78,13.233,141.241,0
196,9.8,510.164,-24.624,27.51,523.396,-24.529,27.42,13.232,-1,0
197,9.85,509.783,-24.627,27.45,523.016,-24.53,27.35,13.233,-1,0
198,9.9,509.401,-24.63,27.51,522.636,-24.532,27.32,13.236,-1,0
199,9.95,509.019,-24.632,27.45,522.255,-24.534,27.55,13.236,452.469,0
200,10.0,508.638,-24.635,27.42,521.87,-24.535,27.77,13.233,134.516,0
201,10.05,508.261,-24.638,26.98,521.482,-24.536,28.01,13.222,46.262,0
202,10.1,507.89,-24.641,26.49,521.093,-24.537,28.02,13.204,31.161,0
203,10.15,507.528,-24.643,25.71,520.703,-24.538,28.11,13.175,19.753,0
204,10.2,507.177,-24.646,25.05,520.313,-24.54,28.03,13.137,15.865,0
205,10.25,506.836,-24.648,24.15,519.923,-24.541,28.12,13.087,11.859,0
206,10.3,506.507,-24.651,23.44,519.534,-24.543,28.03,13.027,10.211,0
207,10.35,506.189,-24.653,22.5,519.144,-24.544,28.12,12.955,8.301,0
208,10.4,505.885,-24.655,20.85,518.753,-24.545,28.17,12.868,6.333,0
209,10.45,505.636,-24.657,16.02,518.361,-24.547,28.28,12.725,3.739,0
210,10.5,505.455,-24.658,11.17,517.969,-24.549,28.15,12.514,2.655,0
211,10.55,505.34,-24.659,6.35,517.579,-24.55,28.02,12.239,2.034,0
212,10.6,505.292,-24.66,1.59,517.192,-24.552,27.77,11.9,1.636,0
213,10.65,505.29,-24.66,0.0,516.807,-24.553,27.7,11.517,1.497,0
214,10.7,505.29,-24.66,0.0,516.424,-24.555,27.42,11.135,1.462,0
215,10.75,505.29,-24.66,0.0,516.045,-24.557,27.21,10.756,1.423,0
216,10.8,505.289,-24.66,0.0,515.67,-24.559,26.94,10.381,1.387,0
217,10.85,505.289,-24.66,0.0,515.296,-24.561,26.86,10.008,1.341,0
218,10.9,505.289,-24.66,0.0,514.926,-24.563,26.57,9.637,1.306,0
219,10.95,505.289,-24.66,0.0,514.559,-24.565,26.3,9.27,1.269,0
220,11.0,505.289,-24.66,0.0,514.198,-24.567,25.69,8.91,1.249,0
221,11.05,505.289,-24.66,0.0,513.846,-24.568,25.11,8.558,1.227,0
222,11.1,505.289,-24.66,0.0,513.505,-24.569,24.2,8.217,1.223,0
223,11.15,505.289,-24.66,0.0,513.175,-24.569,23.46,7.887,1.21,0
224,11.2,505.289,-24.66,0.0,512.862,-24.568,21.33,7.574,1.278,0
225,11.25,505.289,-24.66,0.0,512.607,-24.568,16.5,7.319,1.596,0
226,11.3,505.289,-24.66,0.0,512.418,-24.569,11.65,7.13,2.203,0
227,11.35,505.289,-24.66,0.0,512.297,-24.569,6.82,7.009,3.698,0
228,11.4,505.289,-24.66,0.0,512.242,-24.569,2.05,6.954,12.226,0
229,11.45,505.289,-24.66,0.0,512.238,-24.569,0.0,6.95,13671.886,0
230,11.5,505.289,-24.66,0.0,512.238,-24.569,0.0,6.95,9037.435,0
231,11.55,505.289,-24.66,0.0,512.237,-24.569,0.0,6.949,9273.634,0
232,11.6,505.289,-24.66,0.0,512.237,-24.569,0.0,6.949,11110.281,0
233,11.65,505.289,-24.66,0.0,512.237,-24.569,0.0,6.949,14118.042,0
234,11.7,505.289,-24.66,0.0,512.237,-24.569,0.0,6.949,18818.519,0
235,11.75,505.289,-24.66,0.0,512.237,-24.569,0.0,6.949,25406.628,0
236,11.8,505.289,-24.66,0.0,512.237,-24.569,0.0,6.948,34853.301,0
237,11.85,505.289,-24.66,0.0,512.237,-24.569,0.0,6.948,131508.102,0
238,11.9,505.289,-24.66,0.0,512.237,-24.569,0.0,6.948,78200.159,0
239,11.95,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,82053.124,0
240,12.0,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,98363.735,0
241,12.05,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,125492.247,0
242,12.1,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,163468.226,0
243,12.15,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,221040.87,0
244,12.2,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,297727.086,0
245,12.25,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,393145.218,0
246,12.3,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,787735.708,0
247,12.35,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,731060.684,0
248,12.4,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,865945.38,0
249,12.45,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,1106803.976,0
250,12.5,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,1360614.947,0
251,12.55,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,1905953.681,0
252,12.6,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,2688967.225,0
253,12.65,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,2774968.701,0
254,12.7,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,8456416.081,0
255,12.75,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,3844965.156,0
256,12.8,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,4664051.662,0
257,12.85,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,6062974.983,0
258,12.9,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,5552290.965,0
259,12.95,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,6082016.843,0
260,13.0,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,5076686.357,0
261,13.05,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,7734393.637,0
262,13.1,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,-1,0
263,13.15,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,22969574.844,0
264,13.2,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,17498804.231,0
265,13.25,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,8617080.7,0
266,13.3,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,14122794.671,0
267,13.35,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,14056859.465,0
268,13.4,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,76732428.922,0
269,13.45,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,16164586.17,0
270,13.5,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,12964311.303,0
271,13.55,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,308949770.746,0
272,13.6,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,20789367.982,0
273,13.65,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,10711802.134,0
274,13.7,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,12432258.101,0
275,13.75,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,24135194.636,0
276,13.8,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,31228660.876,0
277,13.85,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,25710262.192,0
278,13.9,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,21256598.807,0
279,13.95,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,728059409.095,0
280,14.0,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,363823349.313,0
281,14.05,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,17527506.439,0
282,14.1,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,161144048.595,0
283,14.15,505.289,-24.66,0.0,512.236,-24.569,0.0,6.948,23583539.3,0
