tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,82.584,6.418,21.21,92.38,6.458,21.21,9.797,-1,0
1,0.05,82.307,6.417,21.51,92.103,6.457,21.86,9.796,101.475,0
2,0.1,82.034,6.416,21.03,91.829,6.455,20.64,9.797,-1,0
3,0.15,81.762,6.414,20.31,91.646,6.454,10.32,9.885,-1,0
4,0.2,81.491,6.413,19.63,91.57,6.452,3.62,10.08,-1,0
5,0.25,81.22,6.413,19.76,91.52,6.451,3.76,10.3,-1,0
6,0.3,80.95,6.411,19.25,91.47,6.452,3.58,10.52,-1,0
7,0.35,80.68,6.41,19.56,91.419,6.452,3.73,10.74,-1,0
8,0.4,80.425,6.408,17.88,91.37,6.453,3.54,10.945,-1,0
9,0.45,80.184,6.407,17.47,91.321,6.454,3.64,11.137,-1,0
10,0.5,79.946,6.405,17.34,91.272,6.454,3.45,11.327,-1,0
11,0.55,79.708,6.404,17.41,91.213,6.455,5.48,11.506,-1,0
12,0.6,79.467,6.403,17.59,91.112,6.454,8.3,11.647,-1,0
13,0.65,79.222,6.402,17.86,90.978,6.448,10.45,11.758,-1,0
14,0.7,78.972,6.401,18.18,90.818,6.444,12.21,11.848,-1,0
15,0.75,78.717,6.4,18.35,90.636,6.442,13.75,11.92,-1,0
16,0.8,78.464,6.4,18.24,90.433,6.437,15.15,11.97,-1,0
17,0.85,78.211,6.399,18.53,90.212,6.427,16.41,12.003,-1,0
18,0.9,77.956,6.398,18.52,89.974,6.411,17.69,12.02,-1,0
19,0.95,77.703,6.397,17.96,89.719,6.396,18.94,12.018,43.923,0
20,1.0,77.448,6.396,18.63,89.446,6.386,20.14,12.0,28.739,0
21,1.05,77.185,6.395,19.1,89.165,6.374,20.38,11.981,33.788,0
22,1.1,76.915,6.394,19.68,88.877,6.361,21.08,11.963,30.805,0
23,1.15,76.641,6.393,19.82,88.579,6.346,21.85,11.939,21.127,0
24,1.2,76.361,6.392,20.25,88.266,6.328,23.02,11.906,15.468,0
25,1.25,76.075,6.391,20.76,87.935,6.314,24.55,11.861,11.286,0
26,1.3,75.781,6.39,21.39,87.583,6.304,25.75,11.804,9.73,0
27,1.35,75.481,6.389,21.6,87.222,6.293,26.14,11.742,9.317,0
28,1.4,75.176,6.387,21.99,86.86,6.284,26.02,11.684,10.455,0
29,1.45,74.868,6.386,22.24,86.502,6.277,25.59,11.635,12.512,0
30,1.5,74.555,6.385,22.59,86.151,6.271,25.01,11.597,17.292,0
31,1.55,74.239,6.385,22.8,85.81,6.267,24.31,11.572,27.678,0
32,1.6,73.918,6.384,23.26,85.479,6.266,23.6,11.562,120.642,0
33,1.65,73.592,6.383,23.54,85.155,6.266,23.09,11.565,-1,0
34,1.7,73.262,6.382,23.95,84.837,6.268,22.85,11.576,-1,0
35,1.75,72.927,6.381,24.19,84.52,6.27,22.88,11.593,-1,0
36,1.8,72.589,6.38,24.55,84.199,6.272,23.24,11.612,-1,0
37,1.85,72.245,6.378,24.85,83.872,6.275,23.74,11.628,-1,0
38,1.9,71.898,6.376,25.16,83.539,6.278,24.23,11.642,-1,0
39,1.95,71.547,6.375,25.45,83.198,6.281,24.7,11.652,-1,0
40,2.0,71.191,6.373,25.78,82.852,6.283,25.05,11.662,-1,0
41,2.05,70.83,6.371,26.1,82.501,6.285,25.46,11.671,-1,0
42,2.1,70.465,6.369,26.47,82.143,6.286,25.91,11.679,-1,0
43,2.15,70.096,6.368,26.76,81.782,6.288,26.05,11.687,-1,0
44,2.2,69.723,6.365,26.89,81.422,6.289,25.81,11.7,-1,0
45,2.25,69.35,6.363,26.91,81.068,6.291,25.31,11.718,-1,0
46,2.3,68.977,6.36,26.98,80.721,6.292,24.75,11.745,-1,0
47,2.35,68.597,6.358,27.58,80.382,6.293,24.23,11.785,-1,0
48,2.4,68.211,6.355,27.95,80.051,6.294,23.57,11.841,-1,0
49,2.45,67.82,6.353,28.27,79.731,6.295,22.86,11.911,-1,0
50,2.5,67.425,6.35,28.56,79.418,6.297,22.34,11.994,-1,0
51,2.55,67.026,6.347,28.83,79.111,6.299,22.09,12.085,-1,0
52,2.6,66.624,6.344,29.09,78.805,6.302,22.11,12.181,-1,0
53,2.65,66.217,6.342,29.34,78.496,6.304,22.46,12.278,-1,0
54,2.7,65.808,6.339,29.59,78.179,6.307,23.09,12.371,-1,0
55,2.75,65.395,6.336,29.83,77.853,6.311,23.8,12.458,-1,0
56,2.8,64.979,6.333,30.06,77.519,6.315,24.16,12.541,-1,0
57,2.85,64.559,6.331,30.3,77.184,6.318,24.08,12.625,-1,0
58,2.9,64.136,6.328,30.54,76.852,6.322,23.7,12.716,-1,0
59,2.95,63.71,6.325,30.77,76.527,6.324,23.24,12.817,-1,0
60,3.0,63.281,6.322,31.01,76.208,6.328,22.79,12.927,-1,0
61,3.05,62.848,6.319,31.24,75.896,6.33,22.28,13.047,-1,0
62,3.1,62.412,6.316,31.48,75.589,6.333,21.94,13.177,-1,0
63,3.15,61.973,6.314,31.71,75.286,6.334,21.75,13.313,-1,0
64,3.2,61.531,6.311,31.95,74.985,6.336,21.57,13.454,-1,0
65,3.25,61.086,6.308,32.18,74.687,6.337,21.39,13.602,-1,0
66,3.3,60.637,6.305,32.42,74.392,6.339,21.16,13.755,-1,0
67,3.35,60.185,6.302,32.65,74.1,6.34,20.98,13.915,-1,0
68,3.4,59.73,6.299,32.89,73.809,6.341,20.94,14.079,-1,0
69,3.45,59.271,6.296,33.12,73.516,6.341,21.17,14.245,-1,0
70,3.5,58.809,6.293,33.35,73.218,6.341,21.71,14.409,-1,0
71,3.55,58.344,6.29,33.59,72.911,6.342,22.34,14.567,-1,0
72,3.6,57.876,6.287,33.82,72.596,6.343,22.94,14.72,-1,0
73,3.65,57.404,6.284,34.04,72.272,6.344,23.67,14.867,-1,0
74,3.7,56.93,6.281,34.26,71.935,6.345,24.6,15.006,-1,0
75,3.75,56.453,6.278,34.46,71.585,6.347,25.69,15.132,-1,0
76,3.8,55.972,6.274,34.65,71.218,6.349,26.89,15.246,-1,0
77,3.85,55.49,6.271,34.83,70.834,6.35,28.07,15.345,-1,0
78,3.9,55.005,6.268,35.0,70.437,6.351,28.96,15.433,-1,0
79,3.95,54.517,6.265,35.16,70.028,6.351,29.75,15.511,-1,0
80,4.0,54.028,6.262,35.3,69.61,6.351,30.28,15.583,-1,0
81,4.05,53.537,6.259,35.44,69.186,6.351,30.78,15.65,-1,0
82,4.1,53.043,6.255,35.57,68.754,6.351,31.33,15.711,-1,0
83,4.15,52.549,6.252,35.68,68.315,6.35,31.8,15.766,-1,0
