tick,sim_time_s,throttle,steer,brake
0,0.0,0.0,0.0,1.0
1,0.05,0.0,0.107,1.0
2,0.1,0.0,0.096,1.0
3,0.15,1.0,0.01,0.0
4,0.2,0.0,-0.078,1.0
5,0.25,1.0,0.025,0.0
6,0.3,0.0,-0.03,1.0
7,0.35,0.0,-0.05,1.0
8,0.4,0.0,-0.042,1.0
9,0.45,0.0,-0.08,1.0
10,0.5,0.0,0.003,1.0
11,0.55,0.0,0.023,1.0
12,0.6,0.0,0.062,1.0
13,0.65,0.0,-0.006,1.0
14,0.7,0.0,-0.01,1.0
15,0.75,0.0,-0.041,1.0
16,0.8,1.0,-0.057,0.0
17,0.85,0.0,-0.05,1.0
18,0.9,0.0,-0.029,1.0
19,0.95,0.0,0.019,1.0
20,1.0,1.0,-0.069,0.0
21,1.05,1.0,-0.02,0.0
22,1.1,1.0,-0.016,0.0
23,1.15,0.0,-0.012,1.0
24,1.2,1.0,0.03,0.0
25,1.25,1.0,-0.011,0.0
26,1.3,1.0,0.002,0.0
27,1.35,1.0,0.012,0.0
28,1.4,0.0,0.025,1.0
29,1.45,0.0,0.013,1.0
30,1.5,1.0,0.062,0.0
31,1.55,0.0,0.019,1.0
32,1.6,1.0,0.037,0.0
33,1.65,1.0,0.041,0.0
34,1.7,1.0,0.066,0.0
35,1.75,1.0,0.05,0.0
36,1.8,1.0,0.084,0.0
37,1.85,1.0,0.089,0.0
38,1.9,1.0,0.094,0.0
39,1.95,1.0,0.079,0.0
40,2.0,1.0,0.138,0.0
41,2.05,1.0,0.129,0.0
42,2.1,1.0,0.1,0.0
43,2.15,1.0,0.168,0.0
44,2.2,1.0,0.041,0.0
45,2.25,1.0,-0.043,0.0
46,2.3,1.0,-0.011,0.0
47,2.35,1.0,-0.044,0.0
48,2.4,1.0,0.025,0.0
49,2.45,1.0,0.006,0.0
50,2.5,1.0,0.015,0.0
51,2.55,1.0,-0.014,0.0
52,2.6,1.0,-0.008,0.0
53,2.65,1.0,-0.026,0.0
54,2.7,1.0,-0.049,0.0
55,2.75,1.0,-0.046,0.0
56,2.8,1.0,-0.051,0.0
57,2.85,1.0,-0.045,0.0
58,2.9,1.0,-0.029,0.0
59,2.95,1.0,-0.044,0.0
60,3.0,1.0,-0.014,0.0
61,3.05,1.0,-0.016,0.0
62,3.1,1.0,-0.016,0.0
63,3.15,1.0,-0.021,0.0
64,3.2,0.1717,-0.004,0.0
65,3.25,0.4507,0.0,0.0
66,3.3,0.8519,-0.0,0.0
67,3.35,0.8019,0.004,0.0
68,3.4,0.7519,0.002,0.0
69,3.45,0.7019,0.0,0.0
70,3.5,0.0,-0.014,1.0
71,3.55,1.0,-0.001,0.0
72,3.6,0.0,-0.004,1.0
73,3.65,1.0,0.008,0.0
74,3.7,0.0,-0.01,1.0
75,3.75,0.0,-0.004,1.0
76,3.8,0.0,-0.001,1.0
77,3.85,0.3716,0.004,0.0
78,3.9,0.3216,0.006,0.0
79,3.95,0.2716,0.006,0.0
80,4.0,0.2216,0.004,0.0
81,4.05,0.1716,0.008,0.0
82,4.1,0.3832,0.005,0.0
83,4.15,0.3508,0.005,0.0
84,4.2,1.0,0.003,0.0
85,4.25,0.0,0.008,0.0
86,4.3,0.3624,0.006,0.0
87,4.35,0.4484,0.006,0.0
88,4.4,0.9743,0.004,0.0
89,4.45,0.4397,0.007,0.0
90,4.5,0.6957,0.004,0.0
91,4.55,0.5085,0.009,0.0
92,4.6,0.0844,0.006,0.0
93,4.65,0.4215,0.005,0.0
94,4.7,0.3659,0.007,0.0
95,4.75,0.3735,0.003,0.0
96,4.8,0.6177,0.003,0.0
97,4.85,0.7644,0.006,0.0
98,4.9,0.736,0.007,0.0
99,4.95,0.2255,0.001,0.0
100,5.0,0.1044,0.013,0.0
101,5.05,0.902,0.008,0.0
102,5.1,0.5975,0.02,0.0
103,5.15,0.7227,0.009,0.0
104,5.2,0.5403,0.018,0.0
105,5.25,0.4692,0.006,0.0
106,5.3,1.0,-0.003,0.0
107,5.35,1.0,0.001,0.0
108,5.4,0.0373,-0.008,0.0
109,5.45,0.5081,-0.01,0.0
110,5.5,1.0,-0.011,0.0
111,5.55,0.0,-0.013,0.0
112,5.6,0.9224,-0.018,0.0
113,5.65,0.6565,-0.011,0.0
114,5.7,0.0,-0.005,0.0
115,5.75,0.2308,-0.004,0.0
116,5.8,0.2205,0.011,0.0
117,5.85,0.2067,0.002,0.0
118,5.9,0.1917,0.003,0.0
119,5.95,0.0,0.004,1.0
120,6.0,0.1792,0.009,0.0
121,6.05,0.1677,-0.004,0.0
122,6.1,0.1561,0.004,0.0
123,6.15,0.143,-0.002,0.0
124,6.2,0.1314,0.003,0.0
125,6.25,1.0,0.002,0.0
126,6.3,0.5794,0.001,0.0
127,6.35,1.0,-0.005,0.0
128,6.4,1.0,-0.016,0.0
129,6.45,1.0,0.0,0.0
130,6.5,0.0,0.002,0.0
131,6.55,0.0,-0.0,0.0
132,6.6,0.1426,0.003,0.0
133,6.65,0.1323,0.007,0.0
134,6.7,0.1323,-0.006,0.0
135,6.75,0.1323,-0.012,0.0
136,6.8,0.3474,-0.01,0.0
137,6.85,0.0219,-0.014,0.0
138,6.9,1.0,-0.008,0.0
139,6.95,0.6243,-0.006,0.0
140,7.0,0.1284,-0.001,0.0
141,7.05,1.0,-0.012,0.0
142,7.1,1.0,-0.007,0.0
143,7.15,1.0,-0.002,0.0
144,7.2,1.0,-0.005,0.0
145,7.25,0.192,0.002,0.0
146,7.3,1.0,0.006,0.0
147,7.35,0.0,-0.003,0.0
148,7.4,0.2396,0.006,0.0
149,7.45,0.2121,-0.001,0.0
150,7.5,0.2008,0.005,0.0
151,7.55,0.2008,0.002,0.0
152,7.6,0.2008,0.008,0.0
153,7.65,0.2008,0.002,0.0
154,7.7,0.2008,-0.001,0.0
155,7.75,0.9381,-0.0,0.0
156,7.8,0.9369,-0.003,0.0
157,7.85,0.3959,-0.001,0.0
158,7.9,0.453,-0.0,0.0
159,7.95,0.3864,0.005,0.0
160,8.0,1.0,0.0,0.0
161,8.05,0.4798,0.002,0.0
162,8.1,0.7018,-0.0,0.0
163,8.15,0.1234,0.005,0.0
164,8.2,0.7206,0.002,0.0
165,8.25,0.0,0.001,0.0
166,8.3,0.1071,0.009,0.0
167,8.35,0.4882,0.001,0.0
168,8.4,1.0,0.002,0.0
169,8.45,1.0,-0.003,0.0
170,8.5,0.6049,0.0,0.0
171,8.55,0.4302,-0.006,0.0
172,8.6,0.0,-0.001,0.0
173,8.65,0.1813,0.005,0.0
174,8.7,0.1813,0.0,0.0
175,8.75,1.0,0.003,0.0
176,8.8,1.0,-0.0,0.0
177,8.85,1.0,-0.005,0.0
178,8.9,0.7913,-0.0,0.0
179,8.95,0.0,0.004,0.0
180,9.0,0.4154,-0.002,0.0
181,9.05,0.0774,0.005,0.0
182,9.1,0.1778,0.005,0.0
183,9.15,1.0,0.006,0.0
184,9.2,0.0,-0.002,0.0
185,9.25,1.0,0.001,0.0
186,9.3,0.0,0.002,0.0
187,9.35,0.0141,0.005,0.0
188,9.4,1.0,-0.005,0.0
189,9.45,1.0,-0.0,0.0
190,9.5,1.0,-0.005,0.0
191,9.55,1.0,-0.012,0.0
192,9.6,1.0,-0.006,0.0
193,9.65,1.0,-0.006,0.0
194,9.7,0.5729,-0.001,0.0
195,9.75,1.0,0.007,0.0
196,9.8,0.0277,0.005,0.0
197,9.85,1.0,-0.0,0.0
198,9.9,0.0,0.003,0.0
199,9.95,1.0,0.001,0.0
200,10.0,0.4692,0.003,0.0
201,10.05,0.4556,0.003,0.0
202,10.1,1.0,0.004,0.0
203,10.15,0.0,-0.018,1.0
204,10.2,1.0,0.002,0.0
205,10.25,0.0,-0.021,1.0
206,10.3,1.0,0.001,0.0
207,10.35,0.0,0.006,0.0
208,10.4,1.0,0.0,0.0
209,10.45,1.0,0.009,0.0
210,10.5,0.5887,0.004,0.0
211,10.55,1.0,-0.002,0.0
212,10.6,0.8033,0.002,0.0
213,10.65,0.9683,-0.002,0.0
214,10.7,0.1951,0.002,0.0
215,10.75,0.0,-0.037,1.0
216,10.8,0.0,-0.014,1.0
217,10.85,0.0,-0.029,1.0
218,10.9,0.0,0.024,1.0
219,10.95,0.2586,0.004,0.0
220,11.0,0.2474,0.01,0.0
221,11.05,0.2424,0.013,0.0
222,11.1,0.1924,0.009,0.0
223,11.15,0.1924,0.011,0.0
224,11.2,1.0,0.027,0.0
225,11.25,1.0,0.021,0.0
226,11.3,0.0,0.01,0.0
227,11.35,1.0,0.016,0.0
228,11.4,0.1634,0.012,0.0
229,11.45,0.0,-0.004,0.0
230,11.5,0.5419,0.004,0.0
231,11.55,0.2445,0.007,0.0
232,11.6,0.0,0.008,0.0
233,11.65,0.7289,0.007,0.0
234,11.7,0.0,-0.0,0.0
235,11.75,0.1128,-0.016,0.0
236,11.8,0.1128,-0.019,0.0
237,11.85,1.0,-0.021,0.0
238,11.9,0.0,-0.013,1.0
239,11.95,0.0,-0.028,1.0
240,12.0,0.0,-0.034,1.0
241,12.05,0.0,-0.056,1.0
242,12.1,0.0,-0.048,1.0
243,12.15,0.0,-0.08,1.0
244,12.2,0.0,-0.12,1.0
245,12.25,0.0,-0.021,1.0
246,12.3,0.0,-0.244,1.0
247,12.35,0.0,-0.155,1.0
248,12.4,1.0,-0.372,0.0
249,12.45,1.0,-0.047,0.0
250,12.5,1.0,-0.222,0.0
251,12.55,1.0,-0.51,0.0
252,12.6,1.0,-0.304,0.0
253,12.65,1.0,-0.396,0.0
254,12.7,1.0,-0.118,0.0
255,12.75,1.0,-0.195,0.0
256,12.8,0.0,-0.243,1.0
257,12.85,0.0,-0.156,1.0
258,12.9,0.0,-0.196,1.0
259,12.95,0.0,-0.158,1.0
260,13.0,0.0,-0.17,1.0
261,13.05,0.0,-0.152,1.0
262,13.1,0.0,-0.204,1.0
263,13.15,0.0,-0.186,1.0
264,13.2,0.0,-0.155,1.0
265,13.25,0.0,-0.164,1.0
266,13.3,0.0,-0.204,1.0
267,13.35,0.0,-0.149,1.0
268,13.4,0.0,-0.183,1.0
269,13.45,0.0,-0.15,1.0
270,13.5,0.0,-0.197,1.0
271,13.55,0.0,-0.205,1.0
272,13.6,0.0,-0.184,1.0
273,13.65,0.0,-0.142,1.0
274,13.7,0.0,-0.156,1.0
275,13.75,0.0,-0.143,1.0
276,13.8,0.0,-0.198,1.0
277,13.85,0.0,-0.116,1.0
278,13.9,0.0,-0.185,1.0
279,13.95,0.0,-0.178,1.0
280,14.0,0.0,-0.147,1.0
281,14.05,0.0,-0.158,1.0
282,14.1,0.0,-0.166,1.0
283,14.15,0.0,-0.16,1.0
