tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,82.584,6.418,21.21,92.38,6.458,21.21,9.797,-1,0
1,0.05,82.307,6.417,21.51,92.103,6.457,21.86,9.796,101.475,0
2,0.1,82.034,6.416,21.03,91.829,6.455,20.64,9.797,-1,0
3,0.15,81.762,6.414,20.31,91.646,6.453,10.32,9.885,-1,0
4,0.2,81.491,6.413,19.63,91.574,6.453,2.51,10.083,-1,0
5,0.25,81.22,6.413,19.76,91.569,6.453,0.32,10.349,-1,0
6,0.3,80.95,6.411,19.25,91.569,6.453,0.69,10.619,-1,0
7,0.35,80.68,6.41,19.56,91.569,6.453,0.74,10.889,-1,0
8,0.4,80.425,6.408,17.88,91.568,6.453,0.66,11.143,-1,0
9,0.45,80.184,6.407,17.47,91.568,6.453,0.53,11.385,-1,0
10,0.5,79.946,6.405,17.34,91.568,6.453,0.41,11.623,-1,0
11,0.55,79.708,6.404,17.41,91.568,6.453,0.31,11.862,-1,0
12,0.6,79.467,6.403,17.59,91.568,6.453,0.22,12.103,-1,0
13,0.65,79.222,6.402,17.86,91.568,6.453,0.16,12.348,-1,0
14,0.7,78.972,6.401,18.18,91.568,6.453,0.11,12.598,-1,0
15,0.75,78.717,6.4,18.35,91.568,6.453,0.08,12.853,-1,0
16,0.8,78.464,6.4,18.24,91.568,6.453,0.05,13.106,-1,0
17,0.85,78.211,6.399,18.53,91.568,6.453,0.04,13.359,-1,0
18,0.9,77.956,6.398,18.52,91.568,6.453,0.02,13.614,-1,0
19,0.95,77.703,6.397,17.96,91.568,6.453,0.02,13.867,-1,0
20,1.0,77.448,6.396,18.63,91.568,6.453,0.01,14.122,-1,0
21,1.05,77.185,6.395,19.1,91.568,6.453,0.0,14.385,-1,0
22,1.1,76.915,6.394,19.68,91.568,6.453,0.0,14.654,-1,0
23,1.15,76.641,6.393,19.82,91.568,6.453,0.0,14.928,-1,0
24,1.2,76.361,6.392,20.25,91.568,6.453,0.0,15.208,-1,0
25,1.25,76.075,6.391,20.76,91.568,6.453,0.0,15.494,-1,0
26,1.3,75.781,6.39,21.39,91.568,6.453,0.0,15.788,-1,0
27,1.35,75.481,6.389,21.6,91.568,6.453,0.0,16.088,-1,0
28,1.4,75.176,6.387,21.99,91.568,6.453,0.0,16.393,-1,0
29,1.45,74.868,6.386,22.24,91.568,6.453,0.0,16.701,-1,0
30,1.5,74.555,6.385,22.59,91.568,6.453,0.0,17.014,-1,0
31,1.55,74.239,6.385,22.8,91.568,6.453,0.0,17.33,-1,0
32,1.6,73.918,6.384,23.26,91.568,6.453,0.0,17.651,-1,0
33,1.65,73.592,6.383,23.54,91.56,6.453,0.84,17.969,-1,0
34,1.7,73.262,6.382,23.95,91.543,6.453,1.38,18.282,-1,0
35,1.75,72.927,6.381,24.19,91.515,6.452,2.35,18.589,-1,0
36,1.8,72.589,6.38,24.55,91.475,6.45,3.29,18.888,-1,0
37,1.85,72.245,6.378,24.85,91.42,6.447,4.43,19.176,-1,0
38,1.9,71.898,6.376,25.16,91.348,6.443,5.59,19.451,-1,0
39,1.95,71.547,6.375,25.45,91.26,6.438,6.9,19.714,-1,0
40,2.0,71.191,6.373,25.78,91.154,6.43,8.17,19.964,-1,0
41,2.05,70.83,6.371,26.1,91.03,6.419,9.51,20.2,-1,0
42,2.1,70.465,6.369,26.47,90.887,6.407,10.92,20.422,-1,0
43,2.15,70.096,6.368,26.76,90.725,6.391,12.25,20.63,-1,0
44,2.2,69.723,6.365,26.89,90.544,6.375,13.56,20.823,-1,0
45,2.25,69.35,6.363,26.91,90.346,6.364,14.8,20.997,-1,0
46,2.3,68.977,6.36,26.98,90.13,6.356,16.05,21.154,-1,0
47,2.35,68.597,6.358,27.58,89.897,6.349,17.27,21.301,-1,0
48,2.4,68.211,6.355,27.95,89.648,6.339,18.48,21.438,-1,0
49,2.45,67.82,6.353,28.27,89.381,6.327,19.69,21.562,-1,0
50,2.5,67.425,6.35,28.56,89.105,6.313,20.05,21.68,-1,0
51,2.55,67.026,6.347,28.83,88.822,6.301,20.69,21.796,-1,0
52,2.6,66.624,6.344,29.09,88.529,6.289,21.4,21.906,-1,0
53,2.65,66.217,6.342,29.34,88.223,6.278,22.5,22.007,-1,0
54,2.7,65.808,6.339,29.59,87.902,6.269,23.72,22.094,-1,0
55,2.75,65.395,6.336,29.83,87.562,6.262,24.94,22.168,-1,0
56,2.8,64.979,6.333,30.06,87.205,6.258,26.22,22.227,-1,0
57,2.85,64.559,6.331,30.3,86.83,6.255,27.56,22.271,-1,0
58,2.9,64.136,6.328,30.54,86.437,6.253,28.78,22.301,-1,0
59,2.95,63.71,6.325,30.77,86.026,6.253,30.16,22.316,-1,0
60,3.0,63.281,6.322,31.01,85.597,6.254,31.42,22.316,195.701,0
61,3.05,62.848,6.319,31.24,85.148,6.255,32.84,22.301,50.158,0
62,3.1,62.412,6.316,31.48,84.681,6.257,34.22,22.269,29.176,0
63,3.15,61.973,6.314,31.71,84.194,6.261,35.64,22.221,20.376,0
64,3.2,61.531,6.311,31.95,83.688,6.265,36.88,22.157,16.176,0
65,3.25,61.086,6.308,32.18,83.168,6.269,37.77,22.083,14.227,0
66,3.3,60.637,6.305,32.42,82.639,6.273,38.37,22.002,13.298,0
67,3.35,60.185,6.302,32.65,82.101,6.278,38.97,21.916,12.481,0
68,3.4,59.73,6.299,32.89,81.555,6.282,39.53,21.826,11.827,0
69,3.45,59.271,6.296,33.12,81.001,6.286,40.12,21.73,11.17,0
70,3.5,58.809,6.293,33.35,80.441,6.291,40.5,21.631,10.901,0
71,3.55,58.344,6.29,33.59,79.878,6.297,40.68,21.533,10.937,0
72,3.6,57.876,6.287,33.82,79.314,6.303,40.65,21.438,11.292,0
73,3.65,57.404,6.284,34.04,78.752,6.308,40.47,21.347,11.947,0
74,3.7,56.93,6.281,34.26,78.193,6.314,40.09,21.263,13.111,0
75,3.75,56.453,6.278,34.46,77.642,6.321,39.51,21.19,15.106,0
76,3.8,55.972,6.274,34.65,77.101,6.327,38.57,21.129,19.426,0
77,3.85,55.49,6.271,34.83,76.573,6.333,37.7,21.084,26.417,0
78,3.9,55.005,6.268,35.0,76.056,6.339,37.03,21.051,37.381,0
79,3.95,54.517,6.265,35.16,75.545,6.344,36.62,21.028,51.631,0
80,4.0,54.028,6.262,35.3,75.04,6.348,36.16,21.012,88.268,0
81,4.05,53.537,6.259,35.44,74.54,6.352,35.8,21.004,208.949,0
82,4.1,53.043,6.255,35.57,74.047,6.355,35.36,21.004,-1,0
83,4.15,52.549,6.252,35.68,73.558,6.359,35.1,21.01,-1,0
