tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,82.584,6.418,21.21,92.38,6.458,21.21,9.797,-1,0
1,0.05,82.307,6.417,21.51,92.103,6.457,21.86,9.796,101.475,0
2,0.1,82.034,6.416,21.03,91.829,6.455,20.63,9.797,-1,0
3,0.15,81.762,6.414,20.31,91.563,6.454,19.43,9.802,-1,0
4,0.2,81.491,6.413,19.63,91.297,6.454,19.35,9.806,-1,0
5,0.25,81.22,6.413,19.76,91.031,6.453,19.26,9.811,-1,0
6,0.3,80.95,6.411,19.25,90.766,6.453,19.06,9.816,-1,0
7,0.35,80.68,6.41,19.56,90.5,6.451,19.15,9.821,-1,0
8,0.4,80.425,6.408,17.88,90.235,6.449,19.05,9.81,30.408,0
9,0.45,80.184,6.407,17.47,89.971,6.447,19.09,9.787,21.755,0
10,0.5,79.946,6.405,17.34,89.707,6.445,18.97,9.762,21.585,0
11,0.55,79.708,6.404,17.41,89.442,6.443,19.33,9.735,18.253,0
12,0.6,79.467,6.403,17.59,89.169,6.441,19.96,9.703,14.749,0
13,0.65,79.222,6.402,17.86,88.885,6.44,20.74,9.665,12.076,0
14,0.7,78.972,6.401,18.18,88.592,6.439,21.37,9.621,10.858,0
15,0.75,78.717,6.4,18.35,88.288,6.437,22.19,9.572,8.976,0
16,0.8,78.464,6.4,18.24,87.975,6.436,22.81,9.512,7.496,0
17,0.85,78.211,6.399,18.53,87.653,6.434,23.29,9.444,7.142,0
18,0.9,77.956,6.398,18.52,87.329,6.432,23.34,9.375,7.014,0
19,0.95,77.703,6.397,17.96,87.005,6.429,23.37,9.304,6.193,0
20,1.0,77.448,6.396,18.63,86.682,6.427,23.14,9.236,7.37,0
21,1.05,77.185,6.395,19.1,86.362,6.424,23.02,9.178,8.444,0
22,1.1,76.915,6.394,19.68,86.045,6.421,22.78,9.13,10.608,0
23,1.15,76.641,6.393,19.82,85.728,6.417,22.78,9.088,11.07,0
24,1.2,76.361,6.392,20.25,85.412,6.414,22.77,9.052,12.903,0
25,1.25,76.075,6.391,20.76,85.094,6.41,23.09,9.019,13.94,0
26,1.3,75.781,6.39,21.39,84.77,6.406,23.41,8.99,16.01,0
27,1.35,75.481,6.389,21.6,84.441,6.402,23.98,8.96,13.591,0
28,1.4,75.176,6.387,21.99,84.104,6.398,24.48,8.928,12.954,0
29,1.45,74.868,6.386,22.24,83.758,6.393,25.18,8.89,10.893,0
30,1.5,74.555,6.385,22.59,83.404,6.388,25.71,8.848,10.204,0
31,1.55,74.239,6.385,22.8,83.043,6.382,26.12,8.804,9.564,0
32,1.6,73.918,6.384,23.26,82.68,6.376,26.1,8.762,11.083,0
33,1.65,73.592,6.383,23.54,82.318,6.369,26.06,8.726,12.462,0
34,1.7,73.262,6.382,23.95,81.959,6.36,25.76,8.697,17.303,0
35,1.75,72.927,6.381,24.19,81.603,6.351,25.52,8.676,23.404,0
36,1.8,72.589,6.38,24.55,81.253,6.34,25.07,8.664,59.925,0
37,1.85,72.245,6.378,24.85,80.907,6.329,24.76,8.662,-1,0
38,1.9,71.898,6.376,25.16,80.567,6.317,24.4,8.67,-1,0
39,1.95,71.547,6.375,25.45,80.23,6.304,24.34,8.684,-1,0
40,2.0,71.191,6.373,25.78,79.893,6.291,24.35,8.702,-1,0
41,2.05,70.83,6.371,26.1,79.553,6.277,24.67,8.723,-1,0
42,2.1,70.465,6.369,26.47,79.208,6.263,24.99,8.744,-1,0
43,2.15,70.096,6.368,26.76,78.858,6.248,25.55,8.763,-1,0
44,2.2,69.723,6.365,26.89,78.5,6.232,26.01,8.778,-1,0
45,2.25,69.35,6.363,26.91,78.136,6.215,26.44,8.787,-1,0
46,2.3,68.977,6.36,26.98,77.769,6.198,26.47,8.794,-1,0
47,2.35,68.597,6.358,27.58,77.402,6.179,26.48,8.807,-1,0
48,2.4,68.211,6.355,27.95,77.037,6.16,26.2,8.829,-1,0
49,2.45,67.82,6.353,28.27,76.675,6.14,25.98,8.858,-1,0
50,2.5,67.425,6.35,28.56,76.319,6.12,25.55,8.897,-1,0
51,2.55,67.026,6.347,28.83,75.967,6.1,25.23,8.944,-1,0
52,2.6,66.624,6.344,29.09,75.621,6.08,24.72,9.002,-1,0
53,2.65,66.217,6.342,29.34,75.281,6.063,24.35,9.068,-1,0
54,2.7,65.808,6.339,29.59,74.948,6.045,23.81,9.145,-1,0
55,2.75,65.395,6.336,29.83,74.621,6.027,23.43,9.231,-1,0
56,2.8,64.979,6.333,30.06,74.301,6.01,22.83,9.328,-1,0
57,2.85,64.559,6.331,30.3,73.989,5.992,22.31,9.435,-1,0
58,2.9,64.136,6.328,30.54,73.686,5.976,21.5,9.556,-1,0
59,2.95,63.71,6.325,30.77,73.429,5.961,16.65,9.725,-1,0
60,3.0,63.281,6.322,31.01,73.237,5.949,12.55,9.963,-1,0
61,3.05,62.848,6.319,31.24,73.057,5.938,13.17,10.216,-1,0
62,3.1,62.412,6.316,31.48,72.869,5.927,13.78,10.464,-1,0
63,3.15,61.973,6.314,31.71,72.672,5.915,14.51,10.706,-1,0
64,3.2,61.531,6.311,31.95,72.464,5.903,15.27,10.941,-1,0
65,3.25,61.086,6.308,32.18,72.246,5.89,16.05,11.168,-1,0
66,3.3,60.637,6.305,32.42,72.017,5.876,16.84,11.388,-1,0
67,3.35,60.185,6.302,32.65,71.777,5.861,17.63,11.6,-1,0
68,3.4,59.73,6.299,32.89,71.526,5.844,18.41,11.805,-1,0
69,3.45,59.271,6.296,33.12,71.265,5.827,19.09,12.003,-1,0
70,3.5,58.809,6.293,33.35,71.0,5.809,19.12,12.201,-1,0
71,3.55,58.344,6.29,33.59,70.735,5.789,19.23,12.401,-1,0
72,3.6,57.876,6.287,33.82,70.465,5.769,19.67,12.6,-1,0
73,3.65,57.404,6.284,34.04,70.189,5.746,20.08,12.796,-1,0
74,3.7,56.93,6.281,34.26,69.906,5.722,20.74,12.988,-1,0
75,3.75,56.453,6.278,34.46,69.615,5.696,21.25,13.175,-1,0
76,3.8,55.972,6.274,34.65,69.317,5.668,21.68,13.359,-1,0
77,3.85,55.49,6.271,34.83,69.017,5.639,21.72,13.542,-1,0
78,3.9,55.005,6.268,35.0,68.717,5.608,21.76,13.728,-1,0
79,3.95,54.517,6.265,35.16,68.418,5.576,21.56,13.918,-1,0
80,4.0,54.028,6.262,35.3,68.121,5.545,21.39,14.112,-1,0
81,4.05,53.537,6.259,35.44,67.83,5.515,20.87,14.313,-1,0
82,4.1,53.043,6.255,35.57,67.546,5.486,20.43,14.523,-1,0
83,4.15,52.549,6.252,35.68,67.294,5.46,16.33,14.767,-1,0
