tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,82.584,6.418,21.21,92.38,6.458,21.21,9.797,-1,0
1,0.05,82.307,6.417,21.51,92.103,6.457,21.86,9.796,101.475,0
2,0.1,82.034,6.416,21.03,91.829,6.456,20.63,9.797,-1,0
3,0.15,81.762,6.414,20.31,91.563,6.455,19.43,9.802,-1,0
4,0.2,81.491,6.413,19.63,91.297,6.454,19.36,9.806,-1,0
5,0.25,81.22,6.413,19.76,91.031,6.454,19.26,9.811,-1,0
6,0.3,80.95,6.411,19.25,90.766,6.453,19.06,9.816,-1,0
7,0.35,80.68,6.41,19.56,90.5,6.452,19.15,9.821,-1,0
8,0.4,80.425,6.408,17.88,90.235,6.451,19.05,9.81,30.401,0
9,0.45,80.184,6.407,17.47,89.971,6.449,19.09,9.787,21.751,0
10,0.5,79.946,6.405,17.34,89.707,6.448,18.97,9.762,21.584,0
11,0.55,79.708,6.404,17.41,89.442,6.447,19.32,9.735,18.257,0
12,0.6,79.467,6.403,17.59,89.169,6.447,19.96,9.703,14.75,0
13,0.65,79.222,6.402,17.86,88.885,6.447,20.74,9.665,12.077,0
14,0.7,78.972,6.401,18.18,88.592,6.447,21.37,9.621,10.859,0
15,0.75,78.717,6.4,18.35,88.288,6.448,22.2,9.572,8.966,0
16,0.8,78.464,6.4,18.24,87.974,6.448,22.88,9.511,7.38,0
17,0.85,78.211,6.399,18.53,87.649,6.447,23.85,9.439,6.389,0
18,0.9,77.956,6.398,18.52,87.316,6.445,24.08,9.361,6.066,0
19,0.95,77.703,6.397,17.96,86.98,6.443,24.24,9.278,5.316,0
20,1.0,77.448,6.396,18.63,86.644,6.44,24.12,9.197,6.04,0
21,1.05,77.185,6.395,19.1,86.31,6.437,24.03,9.126,6.674,0
22,1.1,76.915,6.394,19.68,85.979,6.435,23.72,9.064,8.09,0
23,1.15,76.641,6.393,19.82,85.651,6.431,23.5,9.011,8.808,0
24,1.2,76.361,6.392,20.25,85.328,6.428,23.09,8.968,11.35,0
25,1.25,76.075,6.391,20.76,85.01,6.425,22.83,8.935,15.57,0
26,1.3,75.781,6.39,21.39,84.696,6.422,22.47,8.915,29.512,0
27,1.35,75.481,6.389,21.6,84.384,6.419,22.43,8.904,38.783,0
28,1.4,75.176,6.387,21.99,84.073,6.417,22.43,8.897,72.8,0
29,1.45,74.868,6.386,22.24,83.759,6.414,22.76,8.891,61.057,0
30,1.5,74.555,6.385,22.59,83.44,6.412,23.08,8.885,65.226,0
31,1.55,74.239,6.385,22.8,83.115,6.41,23.66,8.876,37.343,0
32,1.6,73.918,6.384,23.26,82.782,6.407,24.16,8.865,35.272,0
33,1.65,73.592,6.383,23.54,82.441,6.403,24.81,8.849,25.011,0
34,1.7,73.262,6.382,23.95,82.094,6.399,25.06,8.833,28.511,0
35,1.75,72.927,6.381,24.19,81.745,6.394,25.19,8.818,31.515,0
36,1.8,72.589,6.38,24.55,81.396,6.389,25.01,8.808,68.864,0
37,1.85,72.245,6.378,24.85,81.05,6.383,24.86,8.805,2424.255,0
38,1.9,71.898,6.376,25.16,80.708,6.375,24.48,8.81,-1,0
39,1.95,71.547,6.375,25.45,80.371,6.367,24.22,8.824,-1,0
40,2.0,71.191,6.373,25.78,80.039,6.358,23.77,8.848,-1,0
41,2.05,70.83,6.371,26.1,79.712,6.347,23.46,8.882,-1,0
42,2.1,70.465,6.369,26.47,79.39,6.336,23.09,8.925,-1,0
43,2.15,70.096,6.368,26.76,79.071,6.325,23.05,8.975,-1,0
44,2.2,69.723,6.365,26.89,78.752,6.314,23.06,9.029,-1,0
45,2.25,69.35,6.363,26.91,78.429,6.303,23.4,9.08,-1,0
46,2.3,68.977,6.36,26.98,78.103,6.291,23.73,9.126,-1,0
47,2.35,68.597,6.358,27.58,77.769,6.279,24.26,9.173,-1,0
48,2.4,68.211,6.355,27.95,77.431,6.267,24.49,9.22,-1,0
49,2.45,67.82,6.353,28.27,77.089,6.254,24.64,9.27,-1,0
50,2.5,67.425,6.35,28.56,76.748,6.241,24.46,9.324,-1,0
51,2.55,67.026,6.347,28.83,76.41,6.228,24.33,9.385,-1,0
52,2.6,66.624,6.344,29.09,76.075,6.214,23.97,9.452,-1,0
53,2.65,66.217,6.342,29.34,75.745,6.201,23.71,9.528,-1,0
54,2.7,65.808,6.339,29.59,75.419,6.187,23.24,9.613,-1,0
55,2.75,65.395,6.336,29.83,75.1,6.172,22.92,9.706,-1,0
56,2.8,64.979,6.333,30.06,74.786,6.158,22.41,9.808,-1,0
57,2.85,64.559,6.331,30.3,74.477,6.145,22.08,9.92,-1,0
58,2.9,64.136,6.328,30.54,74.175,6.131,21.67,10.04,-1,0
59,2.95,63.71,6.325,30.77,73.875,6.117,21.6,10.167,-1,0
60,3.0,63.281,6.322,31.01,73.575,6.103,21.58,10.297,-1,0
61,3.05,62.848,6.319,31.24,73.274,6.088,21.9,10.428,-1,0
62,3.1,62.412,6.316,31.48,72.967,6.075,22.21,10.558,-1,0
63,3.15,61.973,6.314,31.71,72.654,6.061,22.78,10.684,-1,0
64,3.2,61.531,6.311,31.95,72.334,6.047,23.29,10.806,-1,0
65,3.25,61.086,6.308,32.18,72.005,6.032,24.01,10.923,-1,0
66,3.3,60.637,6.305,32.42,71.667,6.016,24.62,11.034,-1,0
67,3.35,60.185,6.302,32.65,71.319,5.999,25.4,11.138,-1,0
68,3.4,59.73,6.299,32.89,70.961,5.98,26.0,11.236,-1,0
69,3.45,59.271,6.296,33.12,70.597,5.96,26.44,11.331,-1,0
70,3.5,58.809,6.293,33.35,70.23,5.937,26.47,11.426,-1,0
71,3.55,58.344,6.29,33.59,69.863,5.913,26.46,11.525,-1,0
72,3.6,57.876,6.287,33.82,69.499,5.889,26.13,11.63,-1,0
73,3.65,57.404,6.284,34.04,69.14,5.865,25.75,11.743,-1,0
74,3.7,56.93,6.281,34.26,68.789,5.843,25.01,11.867,-1,0
75,3.75,56.453,6.278,34.46,68.448,5.819,24.41,12.004,-1,0
76,3.8,55.972,6.274,34.65,68.116,5.796,23.64,12.153,-1,0
77,3.85,55.49,6.271,34.83,67.794,5.773,22.98,12.314,-1,0
78,3.9,55.005,6.268,35.0,67.484,5.75,22.06,12.49,-1,0
79,3.95,54.517,6.265,35.16,67.183,5.725,21.5,12.677,-1,0
80,4.0,54.028,6.262,35.3,66.891,5.7,20.88,12.875,-1,0
81,4.05,53.537,6.259,35.44,66.606,5.673,20.49,13.082,-1,0
82,4.1,53.043,6.255,35.57,66.327,5.645,19.92,13.298,-1,0
83,4.15,52.549,6.252,35.68,66.055,5.616,19.55,13.522,-1,0
