step	idx	score	x	y	w	h	class
1	0	0.9892	-32.00	-40.00	-0.00	-0.00	0
1	1	0.9891	-32.00	-40.00	-0.00	-0.00	0
1	2	0.9881	-32.00	-40.00	0.00	0.00	0
2	0	0.9907	-32.00	-40.00	0.00	0.00	0
2	1	0.9898	-32.00	-40.00	-0.00	-0.00	0
2	2	0.9887	-32.00	-40.00	0.00	0.00	0
3	0	0.9910	-32.00	-40.00	0.00	0.00	0
3	1	0.9909	-32.00	-40.00	-0.00	-0.00	0
3	2	0.9894	-32.00	-40.00	0.00	0.00	0
4	0	0.9928	-32.00	-40.00	0.00	0.00	0
4	1	0.9922	-32.00	-40.00	-0.00	-0.00	0
4	2	0.9900	-32.00	-40.00	0.00	0.00	0
5	0	0.9936	-32.00	-40.00	-0.00	-0.00	0
5	1	0.9925	-32.00	-40.00	0.00	0.00	0
6	0	0.9923	-32.00	-40.00	-0.00	-0.00	0
6	1	0.9922	-32.00	-40.00	0.00	0.00	0
6	2	0.9905	-32.00	-40.00	0.00	0.00	0
7	0	0.9924	-32.00	-40.00	0.00	0.00	0
7	1	0.9911	-32.00	-40.00	-0.00	-0.00	0
7	2	0.9885	-32.00	-40.00	0.00	0.00	0
8	0	0.9927	-32.00	-40.00	0.00	0.00	0
8	1	0.9912	-32.00	-40.00	-0.00	-0.00	0
9	0	0.9923	-32.00	-40.00	0.00	0.00	0
9	1	0.9914	-32.00	-40.00	-0.00	-0.00	0
9	2	0.9893	-32.00	-40.00	0.00	0.00	0
10	0	0.9921	-32.00	-40.00	-0.00	-0.00	0
10	1	0.9911	-32.00	-40.00	-0.00	-0.00	0
10	2	0.9901	-32.00	-40.00	0.00	0.00	0
11	0	0.9930	-32.00	-40.00	-0.00	-0.00	0
11	1	0.9900	-32.00	-40.00	-0.00	-0.00	0
11	2	0.9896	-32.00	-40.00	0.00	0.01	0
12	0	0.9915	-32.00	-40.00	0.00	0.00	0
12	1	0.9903	-32.00	-40.00	-0.00	-0.00	0
12	2	0.9901	-32.00	-40.00	0.00	0.00	0
13	0	0.9927	-32.00	-40.00	-0.00	-0.00	0
