tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,82.584,6.418,21.21,92.38,6.458,21.21,9.797,-1,0
1,0.05,82.307,6.417,21.51,92.103,6.457,21.86,9.796,101.475,0
2,0.1,82.034,6.416,21.03,91.829,6.455,20.63,9.797,-1,0
3,0.15,81.762,6.414,20.31,91.57,6.454,16.88,9.809,-1,0
4,0.2,81.491,6.413,19.63,91.404,6.454,9.09,9.914,-1,0
5,0.25,81.22,6.413,19.76,91.332,6.454,2.91,10.112,-1,0
6,0.3,80.95,6.411,19.25,91.324,6.454,0.72,10.374,-1,0
7,0.35,80.68,6.41,19.56,91.324,6.454,0.75,10.644,-1,0
8,0.4,80.425,6.408,17.88,91.324,6.454,0.66,10.899,-1,0
9,0.45,80.184,6.407,17.47,91.324,6.454,0.53,11.14,-1,0
10,0.5,79.946,6.405,17.34,91.324,6.454,0.41,11.378,-1,0
11,0.55,79.708,6.404,17.41,91.323,6.454,0.3,11.617,-1,0
12,0.6,79.467,6.403,17.59,91.323,6.454,0.22,11.858,-1,0
13,0.65,79.222,6.402,17.86,91.323,6.454,0.15,12.103,-1,0
14,0.7,78.972,6.401,18.18,91.323,6.454,0.11,12.353,-1,0
15,0.75,78.717,6.4,18.35,91.323,6.454,0.07,12.608,-1,0
16,0.8,78.464,6.4,18.24,91.323,6.454,0.05,12.861,-1,0
17,0.85,78.211,6.399,18.53,91.323,6.454,0.04,13.114,-1,0
18,0.9,77.956,6.398,18.52,91.323,6.454,0.02,13.369,-1,0
19,0.95,77.703,6.397,17.96,91.323,6.454,0.02,13.622,-1,0
20,1.0,77.448,6.396,18.63,91.318,6.454,1.25,13.872,-1,0
21,1.05,77.185,6.395,19.1,91.273,6.453,4.32,14.09,-1,0
22,1.1,76.915,6.394,19.68,91.195,6.451,6.53,14.281,-1,0
23,1.15,76.641,6.393,19.82,91.087,6.449,8.52,14.448,-1,0
24,1.2,76.361,6.392,20.25,90.955,6.447,10.15,14.596,-1,0
25,1.25,76.075,6.391,20.76,90.802,6.444,11.66,14.728,-1,0
26,1.3,75.781,6.39,21.39,90.628,6.44,13.07,14.848,-1,0
27,1.35,75.481,6.389,21.6,90.435,6.436,14.4,14.955,-1,0
28,1.4,75.176,6.387,21.99,90.225,6.435,15.65,15.05,-1,0
29,1.45,74.868,6.386,22.24,89.997,6.436,16.9,15.13,-1,0
30,1.5,74.555,6.385,22.59,89.752,6.436,18.13,15.198,-1,0
31,1.55,74.239,6.385,22.8,89.491,6.434,19.29,15.252,-1,0
32,1.6,73.918,6.384,23.26,89.219,6.43,19.72,15.302,-1,0
33,1.65,73.592,6.383,23.54,88.937,6.426,20.98,15.346,-1,0
34,1.7,73.262,6.382,23.95,88.641,6.42,21.53,15.38,-1,0
35,1.75,72.927,6.381,24.19,88.335,6.414,22.34,15.408,-1,0
36,1.8,72.589,6.38,24.55,88.01,6.406,23.83,15.422,-1,0
37,1.85,72.245,6.378,24.85,87.672,6.399,24.74,15.427,-1,0
38,1.9,71.898,6.376,25.16,87.318,6.39,25.98,15.421,67.756,0
39,1.95,71.547,6.375,25.45,86.948,6.38,27.14,15.402,32.747,0
40,2.0,71.191,6.373,25.78,86.56,6.369,28.5,15.37,20.318,0
41,2.05,70.83,6.371,26.1,86.154,6.356,29.64,15.325,15.591,0
42,2.1,70.465,6.369,26.47,85.735,6.342,30.6,15.27,13.315,0
43,2.15,70.096,6.368,26.76,85.304,6.327,31.4,15.208,11.805,0
44,2.2,69.723,6.365,26.89,84.859,6.31,32.49,15.137,9.739,0
45,2.25,69.35,6.363,26.91,84.399,6.29,33.58,15.05,8.12,0
46,2.3,68.977,6.36,26.98,83.922,6.268,34.93,14.946,6.768,0
47,2.35,68.597,6.358,27.58,83.427,6.243,36.23,14.831,6.166,0
48,2.4,68.211,6.355,27.95,82.914,6.216,37.52,14.704,5.532,0
49,2.45,67.82,6.353,28.27,82.383,6.187,38.76,14.564,5.003,0
50,2.5,67.425,6.35,28.56,81.836,6.157,39.97,14.412,4.548,0
51,2.55,67.026,6.347,28.83,81.272,6.123,41.09,14.248,4.185,0
52,2.6,66.624,6.344,29.09,80.696,6.087,41.76,14.075,4.0,0
53,2.65,66.217,6.342,29.34,80.118,6.048,41.73,13.903,4.04,0
54,2.7,65.808,6.339,29.59,79.545,6.007,41.17,13.741,4.27,0
55,2.75,65.395,6.336,29.83,78.983,5.964,40.25,13.593,4.695,0
56,2.8,64.979,6.333,30.06,78.436,5.92,39.19,13.463,5.311,0
57,2.85,64.559,6.331,30.3,77.904,5.875,38.06,13.352,6.195,0
58,2.9,64.136,6.328,30.54,77.388,5.83,36.89,13.261,7.516,0
59,2.95,63.71,6.325,30.77,76.888,5.783,35.69,13.189,9.654,0
60,3.0,63.281,6.322,31.01,76.405,5.734,34.5,13.137,13.522,0
61,3.05,62.848,6.319,31.24,75.938,5.686,33.31,13.105,22.759,0
62,3.1,62.412,6.316,31.48,75.486,5.639,32.26,13.091,60.398,0
63,3.15,61.973,6.314,31.71,75.047,5.59,31.52,13.094,-1,0
64,3.2,61.531,6.311,31.95,74.618,5.536,30.91,13.11,-1,0
65,3.25,61.086,6.308,32.18,74.198,5.481,30.17,13.139,-1,0
66,3.3,60.637,6.305,32.42,73.789,5.428,29.32,13.182,-1,0
67,3.35,60.185,6.302,32.65,73.394,5.378,28.33,13.241,-1,0
68,3.4,59.73,6.299,32.89,73.012,5.328,27.32,13.318,-1,0
69,3.45,59.271,6.296,33.12,72.644,5.28,26.3,13.412,-1,0
70,3.5,58.809,6.293,33.35,72.29,5.234,25.28,13.523,-1,0
71,3.55,58.344,6.29,33.59,71.95,5.193,24.25,13.65,-1,0
72,3.6,57.876,6.287,33.82,71.624,5.155,23.32,13.794,-1,0
73,3.65,57.404,6.284,34.04,71.308,5.12,22.68,13.952,-1,0
74,3.7,56.93,6.281,34.26,70.997,5.087,22.33,14.118,-1,0
75,3.75,56.453,6.278,34.46,70.69,5.057,22.28,14.289,-1,0
76,3.8,55.972,6.274,34.65,70.38,5.025,22.54,14.461,-1,0
77,3.85,55.49,6.271,34.83,70.064,4.994,23.11,14.63,-1,0
78,3.9,55.005,6.268,35.0,69.738,4.961,23.92,14.791,-1,0
79,3.95,54.517,6.265,35.16,69.399,4.929,24.93,14.941,-1,0
80,4.0,54.028,6.262,35.3,69.045,4.892,26.06,15.08,-1,0
81,4.05,53.537,6.259,35.44,68.676,4.857,27.08,15.204,-1,0
82,4.1,53.043,6.255,35.57,68.296,4.826,27.58,15.32,-1,0
83,4.15,52.549,6.252,35.68,67.914,4.801,27.51,15.434,-1,0
