tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,82.584,6.418,21.21,92.38,6.458,21.21,9.797,-1,0
1,0.05,82.307,6.417,21.51,92.103,6.457,21.86,9.796,101.475,0
2,0.1,82.034,6.416,21.03,91.829,6.455,20.64,9.797,-1,0
3,0.15,81.762,6.414,20.31,91.646,6.452,10.32,9.885,-1,0
4,0.2,81.491,6.413,19.63,91.57,6.45,3.63,10.08,-1,0
5,0.25,81.22,6.413,19.76,91.519,6.449,3.77,10.3,-1,0
6,0.3,80.95,6.411,19.25,91.469,6.45,3.59,10.519,-1,0
7,0.35,80.68,6.41,19.56,91.419,6.45,3.75,10.739,-1,0
8,0.4,80.425,6.408,17.88,91.369,6.451,3.55,10.944,-1,0
9,0.45,80.184,6.407,17.47,91.32,6.452,3.65,11.136,-1,0
10,0.5,79.946,6.405,17.34,91.271,6.452,3.46,11.326,-1,0
11,0.55,79.708,6.404,17.41,91.212,6.452,5.5,11.505,-1,0
12,0.6,79.467,6.403,17.59,91.111,6.45,8.32,11.645,-1,0
13,0.65,79.222,6.402,17.86,90.976,6.446,10.49,11.756,-1,0
14,0.7,78.972,6.401,18.18,90.816,6.446,12.24,11.845,-1,0
15,0.75,78.717,6.4,18.35,90.633,6.445,13.77,11.917,-1,0
16,0.8,78.464,6.4,18.24,90.43,6.44,15.16,11.967,-1,0
17,0.85,78.211,6.399,18.53,90.209,6.429,16.45,11.999,-1,0
18,0.9,77.956,6.398,18.52,89.971,6.411,17.7,12.017,-1,0
19,0.95,77.703,6.397,17.96,89.715,6.393,18.95,12.014,43.541,0
20,1.0,77.448,6.396,18.63,89.443,6.381,20.12,11.997,29.108,0
21,1.05,77.185,6.395,19.1,89.161,6.37,20.45,11.977,32.048,0
22,1.1,76.915,6.394,19.68,88.871,6.357,21.23,11.957,27.898,0
23,1.15,76.641,6.393,19.82,88.568,6.343,22.14,11.929,18.54,0
24,1.2,76.361,6.392,20.25,88.252,6.326,23.24,11.892,14.31,0
25,1.25,76.075,6.391,20.76,87.918,6.312,24.47,11.844,11.521,0
26,1.3,75.781,6.39,21.39,87.575,6.302,24.82,11.795,12.379,0
27,1.35,75.481,6.389,21.6,87.231,6.292,24.7,11.751,13.675,0
28,1.4,75.176,6.387,21.99,86.892,6.285,24.29,11.717,18.4,0
29,1.45,74.868,6.386,22.24,86.559,6.279,23.72,11.692,28.378,0
30,1.5,74.555,6.385,22.59,86.235,6.274,23.07,11.681,88.464,0
31,1.55,74.239,6.385,22.8,85.921,6.271,22.33,11.683,-1,0
32,1.6,73.918,6.384,23.26,85.618,6.269,21.59,11.701,-1,0
33,1.65,73.592,6.383,23.54,85.323,6.268,21.05,11.732,-1,0
34,1.7,73.262,6.382,23.95,85.033,6.269,20.77,11.772,-1,0
35,1.75,72.927,6.381,24.19,84.745,6.272,20.74,11.819,-1,0
36,1.8,72.589,6.38,24.55,84.455,6.275,21.05,11.867,-1,0
37,1.85,72.245,6.378,24.85,84.158,6.277,21.65,11.913,-1,0
38,1.9,71.898,6.376,25.16,83.85,6.28,22.5,11.953,-1,0
39,1.95,71.547,6.375,25.45,83.529,6.283,23.51,11.983,-1,0
40,2.0,71.191,6.373,25.78,83.193,6.285,24.65,12.003,-1,0
41,2.05,70.83,6.371,26.1,82.84,6.286,25.89,12.011,-1,0
42,2.1,70.465,6.369,26.47,82.47,6.288,27.19,12.005,59.683,0
43,2.15,70.096,6.368,26.76,82.081,6.289,28.45,11.986,25.496,0
44,2.2,69.723,6.365,26.89,81.679,6.29,29.25,11.956,18.255,0
45,2.25,69.35,6.363,26.91,81.268,6.29,29.72,11.919,15.295,0
46,2.3,68.977,6.36,26.98,80.853,6.29,30.1,11.876,13.736,0
47,2.35,68.597,6.358,27.58,80.432,6.289,30.48,11.835,14.672,0
48,2.4,68.211,6.355,27.95,80.006,6.289,30.84,11.796,14.723,0
49,2.45,67.82,6.353,28.27,79.576,6.288,31.18,11.756,14.568,0
50,2.5,67.425,6.35,28.56,79.141,6.287,31.39,11.717,14.89,0
51,2.55,67.026,6.347,28.83,78.706,6.286,31.41,11.68,16.309,0
52,2.6,66.624,6.344,29.09,78.271,6.286,31.31,11.648,18.901,0
53,2.65,66.217,6.342,29.34,77.84,6.285,30.92,11.623,26.562,0
54,2.7,65.808,6.339,29.59,77.415,6.285,30.44,11.608,48.989,0
55,2.75,65.395,6.336,29.83,76.995,6.284,30.13,11.601,138.901,0
56,2.8,64.979,6.333,30.06,76.579,6.284,29.87,11.601,-1,0
57,2.85,64.559,6.331,30.3,76.166,6.283,29.64,11.607,-1,0
58,2.9,64.136,6.328,30.54,75.756,6.282,29.4,11.62,-1,0
59,2.95,63.71,6.325,30.77,75.35,6.281,29.13,11.64,-1,0
60,3.0,63.281,6.322,31.01,74.948,6.28,28.82,11.667,-1,0
61,3.05,62.848,6.319,31.24,74.55,6.279,28.47,11.702,-1,0
62,3.1,62.412,6.316,31.48,74.158,6.279,28.06,11.746,-1,0
63,3.15,61.973,6.314,31.71,73.772,6.279,27.63,11.799,-1,0
64,3.2,61.531,6.311,31.95,73.392,6.279,27.17,11.861,-1,0
65,3.25,61.086,6.308,32.18,73.019,6.28,26.7,11.933,-1,0
66,3.3,60.637,6.305,32.42,72.651,6.281,26.33,12.014,-1,0
67,3.35,60.185,6.302,32.65,72.288,6.283,26.09,12.103,-1,0
68,3.4,59.73,6.299,32.89,71.927,6.286,25.88,12.198,-1,0
69,3.45,59.271,6.296,33.12,71.569,6.288,25.78,12.298,-1,0
70,3.5,58.809,6.293,33.35,71.211,6.291,25.8,12.401,-1,0
71,3.55,58.344,6.29,33.59,70.853,6.294,25.76,12.508,-1,0
72,3.6,57.876,6.287,33.82,70.495,6.296,25.74,12.619,-1,0
73,3.65,57.404,6.284,34.04,70.138,6.296,25.71,12.733,-1,0
74,3.7,56.93,6.281,34.26,69.78,6.297,25.78,12.85,-1,0
75,3.75,56.453,6.278,34.46,69.421,6.297,26.01,12.968,-1,0
76,3.8,55.972,6.274,34.65,69.056,6.296,26.47,13.083,-1,0
77,3.85,55.49,6.271,34.83,68.682,6.294,27.21,13.193,-1,0
78,3.9,55.005,6.268,35.0,68.297,6.292,28.07,13.293,-1,0
79,3.95,54.517,6.265,35.16,67.902,6.29,28.7,13.385,-1,0
80,4.0,54.028,6.262,35.3,67.5,6.289,29.03,13.472,-1,0
81,4.05,53.537,6.259,35.44,67.096,6.286,29.18,13.559,-1,0
82,4.1,53.043,6.255,35.57,66.689,6.283,29.35,13.646,-1,0
83,4.15,52.549,6.252,35.68,66.28,6.279,29.65,13.731,-1,0
