tick,sim_time_s,throttle,steer,brake
0,0.0,0.0,0.0,1.0
1,0.05,0.0,-0.022,1.0
2,0.1,0.0,-0.03,0.0
3,0.15,0.0,0.061,1.0
4,0.2,1.0,0.134,0.0
5,0.25,1.0,0.147,0.0
6,0.3,1.0,0.153,0.0
7,0.35,1.0,0.095,0.0
8,0.4,1.0,0.081,0.0
9,0.45,1.0,0.063,0.0
10,0.5,1.0,0.07,0.0
11,0.55,1.0,0.123,0.0
12,0.6,1.0,0.154,0.0
13,0.65,1.0,0.082,0.0
14,0.7,1.0,0.105,0.0
15,0.75,1.0,0.103,0.0
16,0.8,1.0,0.112,0.0
17,0.85,1.0,0.077,0.0
18,0.9,1.0,0.063,0.0
19,0.95,1.0,0.062,0.0
20,1.0,1.0,0.054,0.0
21,1.05,1.0,0.088,0.0
22,1.1,1.0,0.134,0.0
23,1.15,1.0,0.049,0.0
24,1.2,1.0,-0.044,0.0
25,1.25,1.0,-0.044,0.0
26,1.3,1.0,-0.024,0.0
27,1.35,1.0,-0.038,0.0
28,1.4,1.0,0.047,0.0
29,1.45,1.0,0.101,0.0
30,1.5,1.0,0.188,0.0
31,1.55,1.0,0.157,0.0
32,1.6,1.0,0.19,0.0
33,1.65,1.0,0.228,0.0
34,1.7,1.0,0.21,0.0
35,1.75,1.0,0.192,0.0
36,1.8,1.0,0.134,0.0
37,1.85,0.0,0.09,1.0
38,1.9,0.9,0.025,0.0
39,1.95,0.85,0.007,0.0
40,2.0,0.8,0.004,0.0
41,2.05,1.0,-0.025,0.0
42,2.1,1.0,-0.005,0.0
43,2.15,1.0,-0.043,0.0
44,2.2,1.0,-0.077,0.0
45,2.25,1.0,0.036,0.0
46,2.3,1.0,0.055,0.0
47,2.35,1.0,0.071,0.0
48,2.4,1.0,0.082,0.0
49,2.45,1.0,0.103,0.0
50,2.5,1.0,0.111,0.0
51,2.55,1.0,0.1,0.0
52,2.6,1.0,0.108,0.0
53,2.65,1.0,0.094,0.0
54,2.7,1.0,0.084,0.0
55,2.75,1.0,0.098,0.0
56,2.8,1.0,0.088,0.0
57,2.85,1.0,0.077,0.0
58,2.9,1.0,0.051,0.0
59,2.95,0.0,0.049,0.0
60,3.0,0.9644,0.066,0.0
61,3.05,0.8121,0.056,0.0
62,3.1,1.0,0.044,0.0
63,3.15,0.005,0.054,0.0
64,3.2,0.8613,0.06,0.0
65,3.25,0.6677,0.07,0.0
66,3.3,0.5682,0.065,0.0
67,3.35,0.6261,0.069,0.0
68,3.4,0.5043,0.064,0.0
69,3.45,1.0,0.073,0.0
70,3.5,0.0,0.072,0.0
71,3.55,0.6905,0.06,0.0
72,3.6,0.1976,0.061,0.0
73,3.65,0.5488,0.068,0.0
74,3.7,0.4305,0.069,0.0
75,3.75,0.0481,0.06,0.0
76,3.8,1.0,0.078,0.0
77,3.85,1.0,0.067,0.0
78,3.9,0.0,0.053,0.0
79,3.95,0.0978,0.067,0.0
80,4.0,0.0969,0.053,0.0
81,4.05,0.0969,0.041,0.0
82,4.1,0.0731,0.052,0.0
83,4.15,0.2554,0.066,0.0
84,4.2,0.0,0.032,0.0
85,4.25,0.1615,0.036,0.0
86,4.3,1.0,0.032,0.0
87,4.35,1.0,0.065,0.0
88,4.4,1.0,0.054,0.0
89,4.45,1.0,0.065,0.0
90,4.5,1.0,0.09,0.0
91,4.55,1.0,0.084,0.0
92,4.6,1.0,0.089,0.0
93,4.65,1.0,0.094,0.0
94,4.7,0.0,0.082,0.0
95,4.75,1.0,0.08,0.0
96,4.8,0.0,0.068,0.0
97,4.85,1.0,0.055,0.0
98,4.9,0.0,0.07,0.0
99,4.95,1.0,0.062,0.0
100,5.0,0.0,0.071,0.0
101,5.05,0.538,0.063,0.0
102,5.1,0.4857,0.059,0.0
103,5.15,0.743,0.07,0.0
104,5.2,0.6419,0.055,0.0
105,5.25,0.7856,0.055,0.0
106,5.3,0.572,0.066,0.0
107,5.35,0.2437,0.064,0.0
108,5.4,1.0,0.061,0.0
109,5.45,0.1481,0.058,0.0
110,5.5,0.2173,0.072,0.0
111,5.55,0.5653,0.045,0.0
112,5.6,0.0521,0.069,0.0
113,5.65,0.1324,0.036,0.0
114,5.7,0.1328,0.045,0.0
115,5.75,0.4608,0.048,0.0
116,5.8,0.8236,0.047,0.0
117,5.85,0.0187,0.028,0.0
118,5.9,1.0,0.048,0.0
