tick,sim_time_s,throttle,steer,brake
0,0.0,0.0,0.0,1.0
1,0.05,0.0,0.0,1.0
2,0.1,0.0,0.0,1.0
3,0.15,0.0,0.0,1.0
4,0.2,0.6347,-0.1108,0.0
5,0.25,0.75,-0.1534,0.0
6,0.3,0.75,0.0258,0.0
7,0.35,0.75,-0.0067,0.0
8,0.4,0.75,-0.0067,0.0
9,0.45,0.75,-0.0067,0.0
10,0.5,0.75,-0.0067,0.0
11,0.55,0.75,-0.0067,0.0
12,0.6,0.75,-0.0067,0.0
13,0.65,0.75,-0.0067,0.0
14,0.7,0.75,-0.0067,0.0
15,0.75,0.75,-0.1988,0.0
16,0.8,0.75,-0.1472,0.0
17,0.85,0.75,-0.1112,0.0
18,0.9,0.75,-0.1072,0.0
19,0.95,0.75,-0.0841,0.0
20,1.0,0.75,-0.0884,0.0
21,1.05,0.75,-0.0968,0.0
22,1.1,0.75,-0.102,0.0
23,1.15,0.75,-0.1061,0.0
24,1.2,0.75,-0.1061,0.0
25,1.25,0.75,-0.0735,0.0
26,1.3,0.0,-0.0969,0.0
27,1.35,0.1115,-0.0984,0.0
28,1.4,0.0,-0.0166,1.0
29,1.45,0.099,-0.1276,0.0
30,1.5,0.0928,-0.1289,0.0
31,1.55,0.0865,-0.1297,0.0
32,1.6,0.0803,-0.1197,0.0
33,1.65,0.074,-0.1061,0.0
34,1.7,0.2212,-0.1038,0.0
35,1.75,0.6853,-0.1064,0.0
36,1.8,0.7139,-0.0934,0.0
37,1.85,0.435,-0.0714,0.0
38,1.9,0.6575,-0.0677,0.0
39,1.95,0.1974,-0.0727,0.0
40,2.0,0.1889,-0.06,0.0
41,2.05,0.7485,-0.0638,0.0
42,2.1,0.75,-0.0748,0.0
43,2.15,0.75,-0.0842,0.0
44,2.2,0.75,-0.1333,0.0
45,2.25,0.75,-0.1302,0.0
46,2.3,0.75,-0.1307,0.0
47,2.35,0.75,-0.1075,0.0
48,2.4,0.75,-0.0853,0.0
49,2.45,0.75,-0.0618,0.0
50,2.5,0.1771,-0.0659,0.0
51,2.55,0.0076,-0.1003,0.0
52,2.6,0.0675,-0.0877,0.0
53,2.65,0.0675,-0.0751,0.0
54,2.7,0.2511,-0.0861,0.0
55,2.75,0.0344,-0.0918,0.0
56,2.8,0.0618,-0.0532,0.0
57,2.85,0.0597,-0.1042,0.0
58,2.9,0.0568,-0.1013,0.0
59,2.95,0.0557,-0.0495,0.0
60,3.0,0.055,-0.0586,0.0
61,3.05,0.0519,-0.0791,0.0
62,3.1,0.0,-0.0215,1.0
63,3.15,0.0398,-0.2116,0.0
64,3.2,0.0335,-0.2179,0.0
65,3.25,0.0273,-0.1064,0.0
66,3.3,0.021,-0.1087,0.0
67,3.35,0.0148,-0.1151,0.0
68,3.4,0.0085,-0.1109,0.0
69,3.45,0.75,-0.1049,0.0
70,3.5,0.4445,-0.1236,0.0
71,3.55,0.6938,-0.1619,0.0
72,3.6,0.351,-0.1696,0.0
73,3.65,0.0,-0.1325,0.0
74,3.7,0.011,-0.0975,0.0
75,3.75,0.011,-0.055,0.0
76,3.8,0.011,-0.0429,0.0
77,3.85,0.011,-0.0656,0.0
78,3.9,0.027,-0.0537,0.0
79,3.95,0.5521,-0.0455,0.0
80,4.0,0.6514,-0.023,0.0
81,4.05,0.6006,0.0052,0.0
82,4.1,0.2277,0.0126,0.0
83,4.15,0.75,0.0029,0.0
84,4.2,0.6506,0.0114,0.0
85,4.25,0.1213,0.0536,0.0
86,4.3,0.0,0.0676,0.0
87,4.35,0.0286,0.0592,0.0
88,4.4,0.0286,0.0583,0.0
89,4.45,0.0252,0.051,0.0
90,4.5,0.0228,0.0515,0.0
91,4.55,0.4462,0.0484,0.0
92,4.6,0.737,0.0538,0.0
93,4.65,0.75,0.0603,0.0
94,4.7,0.0898,0.0449,0.0
95,4.75,0.0,0.0339,0.0
96,4.8,0.75,0.0378,0.0
97,4.85,0.75,0.016,0.0
98,4.9,0.75,0.0275,0.0
99,4.95,0.5511,0.0218,0.0
100,5.0,0.0,0.0001,0.0
101,5.05,0.75,-0.0128,0.0
102,5.1,0.75,-0.0244,0.0
103,5.15,0.0,-0.0063,0.0
104,5.2,0.045,-0.0208,0.0
105,5.25,0.0298,-0.0364,0.0
106,5.3,0.0346,-0.0608,0.0
107,5.35,0.75,-0.0862,0.0
108,5.4,0.75,-0.0822,0.0
109,5.45,0.75,-0.1391,0.0
110,5.5,0.75,-0.119,0.0
111,5.55,0.75,-0.1265,0.0
112,5.6,0.75,-0.136,0.0
113,5.65,0.75,-0.1425,0.0
114,5.7,0.75,-0.1464,0.0
115,5.75,0.75,-0.143,0.0
