tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,-10.748,84.554,21.21,-0.748,84.566,21.21,10.0,-1,0
1,0.05,-11.025,84.554,21.86,-1.025,84.565,21.86,10.0,-1,0
2,0.1,-11.298,84.554,21.11,-1.298,84.565,20.48,10.0,-1,0
3,0.15,-11.571,84.553,20.45,-1.566,84.566,19.77,10.005,-1,0
4,0.2,-11.844,84.553,20.19,-1.835,84.568,19.6,10.009,-1,0
5,0.25,-12.116,84.553,19.92,-2.104,84.571,19.26,10.013,-1,0
6,0.3,-12.39,84.552,19.32,-2.373,84.573,19.39,10.018,467.094,0
7,0.35,-12.665,84.552,20.09,-2.642,84.576,19.36,10.024,-1,0
8,0.4,-12.931,84.552,18.76,-2.911,84.58,19.43,10.02,54.191,0
9,0.45,-13.184,84.551,18.19,-3.18,84.584,19.33,10.005,31.524,0
10,0.5,-13.429,84.551,17.77,-3.449,84.589,19.4,9.98,21.985,0
11,0.55,-13.673,84.551,17.78,-3.718,84.594,19.31,9.956,23.47,0
12,0.6,-13.92,84.551,17.94,-3.986,84.601,19.38,9.933,24.768,0
13,0.65,-14.17,84.55,18.19,-4.255,84.607,19.34,9.915,31.152,0
14,0.7,-14.423,84.55,18.3,-4.531,84.614,20.19,9.893,18.819,0
15,0.75,-14.676,84.55,18.2,-4.817,84.62,20.83,9.859,13.489,0
16,0.8,-14.928,84.549,18.47,-5.113,84.628,21.65,9.816,11.137,0
17,0.85,-15.189,84.549,18.84,-5.419,84.637,22.27,9.771,10.233,0
18,0.9,-15.448,84.549,18.46,-5.733,84.647,22.9,9.715,7.88,0
19,0.95,-15.706,84.549,18.77,-6.051,84.658,22.93,9.655,8.348,0
20,1.0,-15.965,84.548,18.78,-6.37,84.67,22.97,9.595,8.244,0
21,1.05,-16.231,84.548,19.32,-6.687,84.682,22.77,9.544,9.965,0
22,1.1,-16.504,84.548,19.8,-7.003,84.696,22.75,9.502,11.593,0
23,1.15,-16.783,84.548,20.38,-7.318,84.71,22.71,9.466,14.638,0
24,1.2,-17.068,84.548,20.63,-7.635,84.725,22.94,9.435,14.726,0
25,1.25,-17.359,84.547,21.08,-7.954,84.741,23.06,9.407,17.129,0
26,1.3,-17.655,84.547,21.33,-8.275,84.757,23.22,9.382,17.898,0
27,1.35,-17.956,84.546,21.71,-8.597,84.773,23.11,9.362,24.132,0
28,1.4,-18.262,84.545,22.23,-8.917,84.79,23.03,9.348,42.401,0
29,1.45,-18.573,84.544,22.57,-9.233,84.807,22.71,9.343,230.678,0
30,1.5,-18.889,84.543,22.89,-9.547,84.824,22.52,9.346,-1,0
31,1.55,-19.208,84.543,23.03,-9.856,84.842,22.19,9.357,-1,0
32,1.6,-19.532,84.543,23.54,-10.162,84.86,22.04,9.375,-1,0
33,1.65,-19.861,84.542,23.81,-10.466,84.877,21.84,9.401,-1,0
34,1.7,-20.196,84.542,24.35,-10.77,84.894,21.99,9.433,-1,0
35,1.75,-20.537,84.541,24.66,-11.076,84.912,22.12,9.468,-1,0
36,1.8,-20.883,84.541,25.01,-11.385,84.93,22.3,9.506,-1,0
37,1.85,-21.232,84.541,25.28,-11.693,84.948,22.17,9.548,-1,0
38,1.9,-21.585,84.54,25.58,-12.0,84.965,22.07,9.595,-1,0
39,1.95,-21.943,84.54,25.9,-12.303,84.982,21.74,9.65,-1,0
40,2.0,-22.305,84.539,26.22,-12.602,84.999,21.47,9.713,-1,0
41,2.05,-22.671,84.538,26.58,-12.895,85.016,20.89,9.788,-1,0
42,2.1,-23.042,84.537,26.87,-13.181,85.032,20.41,9.874,-1,0
43,2.15,-23.418,84.536,27.18,-13.433,85.046,16.3,9.997,-1,0
44,2.2,-23.796,84.534,27.28,-13.621,85.056,12.19,10.189,-1,0
45,2.25,-24.175,84.533,27.29,-13.794,85.066,12.59,10.395,-1,0
46,2.3,-24.554,84.532,27.55,-13.97,85.078,12.87,10.597,-1,0
47,2.35,-24.94,84.531,28.07,-14.153,85.089,13.35,10.802,-1,0
48,2.4,-25.333,84.529,28.4,-14.343,85.102,14.0,11.004,-1,0
49,2.45,-25.73,84.528,28.71,-14.543,85.114,14.56,11.203,-1,0
50,2.5,-26.131,84.526,29.0,-14.746,85.126,14.62,11.401,-1,0
51,2.55,-26.536,84.524,29.28,-14.946,85.138,14.25,11.607,-1,0
52,2.6,-26.945,84.522,29.54,-15.138,85.149,13.58,11.824,-1,0
53,2.65,-27.358,84.521,29.78,-15.32,85.16,12.85,12.055,-1,0
54,2.7,-27.774,84.519,30.03,-15.491,85.171,12.05,12.3,-1,0
55,2.75,-28.193,84.517,30.27,-15.652,85.18,11.29,12.558,-1,0
56,2.8,-28.616,84.515,30.51,-15.802,85.191,10.61,12.831,-1,0
57,2.85,-29.042,84.513,30.75,-15.946,85.202,10.27,13.113,-1,0
58,2.9,-29.471,84.511,30.99,-16.086,85.214,10.06,13.403,-1,0
59,2.95,-29.903,84.509,31.23,-16.225,85.226,10.06,13.697,-1,0
60,3.0,-30.339,84.507,31.46,-16.366,85.238,10.32,13.992,-1,0
61,3.05,-30.778,84.505,31.7,-16.513,85.251,10.84,14.284,-1,0
62,3.1,-31.22,84.503,31.94,-16.668,85.265,11.38,14.572,-1,0
63,3.15,-31.666,84.501,32.17,-16.829,85.279,11.8,14.857,-1,0
64,3.2,-32.114,84.499,32.41,-16.995,85.294,12.12,15.14,-1,0
65,3.25,-32.566,84.497,32.64,-17.165,85.308,12.39,15.422,-1,0
66,3.3,-33.021,84.495,32.88,-17.339,85.323,12.75,15.704,-1,0
67,3.35,-33.48,84.493,33.11,-17.52,85.338,13.26,15.982,-1,0
68,3.4,-33.942,84.491,33.34,-17.706,85.354,13.54,16.258,-1,0
69,3.45,-34.407,84.489,33.58,-17.895,85.37,13.64,16.535,-1,0
70,3.5,-34.875,84.486,33.81,-18.085,85.385,13.8,16.814,-1,0
71,3.55,-35.346,84.484,34.03,-18.279,85.402,14.2,17.092,-1,0
72,3.6,-35.821,84.482,34.24,-18.48,85.419,14.79,17.366,-1,0
73,3.65,-36.298,84.481,34.44,-18.69,85.437,15.48,17.634,-1,0
74,3.7,-36.778,84.479,34.63,-18.911,85.456,16.23,17.894,-1,0
75,3.75,-37.261,84.475,34.77,-19.142,85.475,16.99,18.147,-1,0
76,3.8,-37.746,84.472,34.93,-19.383,85.495,17.77,18.391,-1,0
77,3.85,-38.233,84.47,35.09,-19.636,85.517,18.55,18.627,-1,0
78,3.9,-38.722,84.468,35.17,-19.898,85.539,19.1,18.854,-1,0
79,3.95,-39.213,84.466,35.31,-20.161,85.561,18.99,19.083,-1,0
80,4.0,-39.706,84.464,35.44,-20.425,85.583,19.11,19.314,-1,0
81,4.05,-40.2,84.461,35.56,-20.689,85.605,19.14,19.544,-1,0
82,4.1,-40.695,84.459,35.67,-20.957,85.626,19.51,19.773,-1,0
83,4.15,-41.192,84.457,35.77,-21.23,85.646,19.86,19.997,-1,0
84,4.2,-41.689,84.455,35.86,-21.51,85.666,20.48,20.215,-1,0
85,4.25,-42.186,84.453,35.96,-21.798,85.687,20.96,20.426,-1,0
86,4.3,-42.685,84.451,36.05,-22.092,85.708,21.38,20.631,-1,0
87,4.35,-43.185,84.449,36.13,-22.389,85.729,21.41,20.836,-1,0
88,4.4,-43.686,84.446,36.21,-22.686,85.75,21.39,21.041,-1,0
89,4.45,-44.188,84.444,36.29,-22.979,85.771,20.98,21.251,-1,0
90,4.5,-44.691,84.442,36.36,-23.266,85.791,20.6,21.467,-1,0
91,4.55,-45.195,84.439,36.42,-23.532,85.81,17.44,21.707,-1,0
92,4.6,-45.7,84.437,36.48,-23.733,85.824,12.62,22.011,-1,0
93,4.65,-46.207,84.435,36.54,-23.868,85.833,7.79,22.383,-1,0
94,4.7,-46.714,84.432,36.59,-23.98,85.84,8.45,22.777,-1,0
95,4.75,-47.222,84.43,36.64,-24.104,85.846,9.24,23.161,-1,0
96,4.8,-47.731,84.427,36.68,-24.24,85.852,10.13,23.534,-1,0
97,4.85,-48.24,84.425,36.72,-24.388,85.859,11.01,23.896,-1,0
98,4.9,-48.751,84.422,36.76,-24.549,85.866,11.94,24.245,-1,0
99,4.95,-49.262,84.42,36.8,-24.722,85.872,12.86,24.583,-1,0
100,5.0,-49.774,84.417,36.84,-24.909,85.877,13.78,24.908,-1,0
101,5.05,-50.286,84.415,36.87,-25.107,85.881,14.64,25.221,-1,0
102,5.1,-50.799,84.413,36.9,-25.317,85.884,15.47,25.524,-1,0
103,5.15,-51.312,84.41,36.93,-25.538,85.885,16.15,25.816,-1,0
104,5.2,-51.825,84.408,36.95,-25.766,85.885,16.53,26.101,-1,0
105,5.25,-52.339,84.405,36.98,-25.997,85.884,16.65,26.384,-1,0
106,5.3,-52.854,84.403,37.0,-26.227,85.885,16.47,26.668,-1,0
107,5.35,-53.368,84.401,37.02,-26.452,85.888,16.01,26.957,-1,0
108,5.4,-53.883,84.398,37.04,-26.668,85.891,15.31,27.255,-1,0
109,5.45,-54.397,84.396,37.05,-26.874,85.893,14.46,27.564,-1,0
110,5.5,-54.913,84.393,37.07,-27.068,85.895,13.61,27.885,-1,0
