tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,82.584,6.418,21.21,92.38,6.458,21.21,9.797,-1,0
1,0.05,82.307,6.417,21.51,92.103,6.457,21.86,9.796,101.475,0
2,0.1,82.034,6.416,21.03,91.829,6.455,20.63,9.797,-1,0
3,0.15,81.762,6.414,20.31,91.563,6.455,19.43,9.802,-1,0
4,0.2,81.491,6.413,19.63,91.297,6.454,19.36,9.806,-1,0
5,0.25,81.22,6.413,19.76,91.031,6.454,19.26,9.811,-1,0
6,0.3,80.95,6.411,19.25,90.766,6.454,19.06,9.816,-1,0
7,0.35,80.68,6.41,19.56,90.5,6.453,19.15,9.821,-1,0
8,0.4,80.425,6.408,17.88,90.235,6.452,19.05,9.81,30.389,0
9,0.45,80.184,6.407,17.47,89.971,6.45,19.09,9.787,21.746,0
10,0.5,79.946,6.405,17.34,89.707,6.449,18.97,9.762,21.579,0
11,0.55,79.708,6.404,17.41,89.442,6.449,19.33,9.735,18.254,0
12,0.6,79.467,6.403,17.59,89.169,6.449,19.96,9.703,14.749,0
13,0.65,79.222,6.402,17.86,88.885,6.449,20.74,9.665,12.075,0
14,0.7,78.972,6.401,18.18,88.592,6.449,21.38,9.621,10.851,0
15,0.75,78.717,6.4,18.35,88.288,6.449,22.23,9.572,8.887,0
16,0.8,78.464,6.4,18.24,87.973,6.449,22.97,9.51,7.238,0
17,0.85,78.211,6.399,18.53,87.646,6.448,23.78,9.436,6.469,0
18,0.9,77.956,6.398,18.52,87.313,6.447,24.07,9.359,6.079,0
19,0.95,77.703,6.397,17.96,86.977,6.445,24.25,9.276,5.311,0
20,1.0,77.448,6.396,18.63,86.642,6.442,24.13,9.195,6.024,0
21,1.05,77.185,6.395,19.1,86.307,6.439,24.05,9.123,6.647,0
22,1.1,76.915,6.394,19.68,85.976,6.436,23.74,9.061,8.043,0
23,1.15,76.641,6.393,19.82,85.648,6.433,23.53,9.008,8.748,0
24,1.2,76.361,6.392,20.25,85.325,6.43,23.12,8.964,11.246,0
25,1.25,76.075,6.391,20.76,85.006,6.427,22.85,8.931,15.387,0
26,1.3,75.781,6.39,21.39,84.692,6.423,22.47,8.911,29.509,0
27,1.35,75.481,6.389,21.6,84.381,6.421,22.38,8.9,41.116,0
28,1.4,75.176,6.387,21.99,84.07,6.418,22.34,8.895,93.095,0
29,1.45,74.868,6.386,22.24,83.758,6.415,22.63,8.89,82.487,0
30,1.5,74.555,6.385,22.59,83.441,6.412,22.91,8.886,99.206,0
31,1.55,74.239,6.385,22.8,83.119,6.409,23.47,8.88,48.115,0
32,1.6,73.918,6.384,23.26,82.789,6.406,23.95,8.871,45.842,0
33,1.65,73.592,6.383,23.54,82.451,6.402,24.59,8.859,30.233,0
34,1.7,73.262,6.382,23.95,82.107,6.397,24.84,8.845,35.846,0
35,1.75,72.927,6.381,24.19,81.761,6.391,24.96,8.834,41.231,0
36,1.8,72.589,6.38,24.55,81.416,6.384,24.77,8.827,145.285,0
37,1.85,72.245,6.378,24.85,81.073,6.376,24.62,8.828,-1,0
38,1.9,71.898,6.376,25.16,80.734,6.367,24.24,8.837,-1,0
39,1.95,71.547,6.375,25.45,80.4,6.357,24.0,8.854,-1,0
40,2.0,71.191,6.373,25.78,80.071,6.346,23.67,8.88,-1,0
41,2.05,70.83,6.371,26.1,79.743,6.334,23.59,8.913,-1,0
42,2.1,70.465,6.369,26.47,79.417,6.322,23.54,8.952,-1,0
43,2.15,70.096,6.368,26.76,79.089,6.31,23.82,8.993,-1,0
44,2.2,69.723,6.365,26.89,78.757,6.298,24.08,9.034,-1,0
45,2.25,69.35,6.363,26.91,78.419,6.285,24.51,9.07,-1,0
46,2.3,68.977,6.36,26.98,78.079,6.272,24.63,9.102,-1,0
47,2.35,68.597,6.358,27.58,77.737,6.259,24.68,9.141,-1,0
48,2.4,68.211,6.355,27.95,77.396,6.246,24.47,9.186,-1,0
49,2.45,67.82,6.353,28.27,77.058,6.232,24.31,9.238,-1,0
50,2.5,67.425,6.35,28.56,76.723,6.218,23.93,9.299,-1,0
51,2.55,67.026,6.347,28.83,76.394,6.204,23.65,9.369,-1,0
52,2.6,66.624,6.344,29.09,76.069,6.191,23.17,9.447,-1,0
53,2.65,66.217,6.342,29.34,75.751,6.177,22.83,9.535,-1,0
54,2.7,65.808,6.339,29.59,75.438,6.163,22.32,9.632,-1,0
55,2.75,65.395,6.336,29.83,75.131,6.149,22.07,9.737,-1,0
56,2.8,64.979,6.333,30.06,74.827,6.134,21.83,9.85,-1,0
57,2.85,64.559,6.331,30.3,74.523,6.12,21.95,9.966,-1,0
58,2.9,64.136,6.328,30.54,74.217,6.105,22.11,10.083,-1,0
59,2.95,63.71,6.325,30.77,73.907,6.091,22.56,10.199,-1,0
60,3.0,63.281,6.322,31.01,73.59,6.076,22.98,10.312,-1,0
61,3.05,62.848,6.319,31.24,73.266,6.061,23.63,10.421,-1,0
62,3.1,62.412,6.316,31.48,72.933,6.047,24.2,10.524,-1,0
63,3.15,61.973,6.314,31.71,72.591,6.032,24.95,10.622,-1,0
64,3.2,61.531,6.311,31.95,72.24,6.016,25.59,10.713,-1,0
65,3.25,61.086,6.308,32.18,71.879,5.999,26.32,10.797,-1,0
66,3.3,60.637,6.305,32.42,71.511,5.981,26.63,10.879,-1,0
67,3.35,60.185,6.302,32.65,71.14,5.962,26.77,10.96,-1,0
68,3.4,59.73,6.299,32.89,70.77,5.942,26.61,11.046,-1,0
69,3.45,59.271,6.296,33.12,70.402,5.92,26.46,11.137,-1,0
70,3.5,58.809,6.293,33.35,70.039,5.898,26.04,11.236,-1,0
71,3.55,58.344,6.29,33.59,69.681,5.877,25.6,11.344,-1,0
72,3.6,57.876,6.287,33.82,69.333,5.856,24.82,11.465,-1,0
73,3.65,57.404,6.284,34.04,68.994,5.835,24.19,11.598,-1,0
74,3.7,56.93,6.281,34.26,68.665,5.811,23.5,11.745,-1,0
75,3.75,56.453,6.278,34.46,68.343,5.787,23.08,11.901,-1,0
76,3.8,55.972,6.274,34.65,68.029,5.761,22.5,12.067,-1,0
77,3.85,55.49,6.271,34.83,67.721,5.735,22.12,12.243,-1,0
78,3.9,55.005,6.268,35.0,67.419,5.708,21.55,12.427,-1,0
79,3.95,54.517,6.265,35.16,67.125,5.679,21.19,12.621,-1,0
80,4.0,54.028,6.262,35.3,66.836,5.649,20.7,12.823,-1,0
81,4.05,53.537,6.259,35.44,66.553,5.618,20.38,13.032,-1,0
82,4.1,53.043,6.255,35.57,66.276,5.586,19.86,13.25,-1,0
83,4.15,52.549,6.252,35.68,66.005,5.552,19.53,13.475,-1,0
