tick,sim_time_s,throttle,steer,brake
0,0.0,0.0,0.0,1.0
1,0.05,0.0,-0.2168,0.0
2,0.1,0.1071,-0.1977,0.0
3,0.15,0.0,-0.1348,0.0
4,0.2,0.0004,-0.162,0.0
5,0.25,0.0004,-0.1765,0.0
6,0.3,0.0004,-0.1784,0.0
7,0.35,0.0004,-0.1849,0.0
8,0.4,0.0004,-0.1928,0.0
9,0.45,0.0004,-0.2022,0.0
10,0.5,0.0004,-0.2053,0.0
11,0.55,0.0004,-0.2196,0.0
12,0.6,0.0,-0.0117,1.0
13,0.65,0.0,-0.0516,1.0
14,0.7,0.0004,-0.2647,0.0
15,0.75,0.0,-0.0164,1.0
16,0.8,0.0004,-0.1688,0.0
17,0.85,0.0004,-0.1539,0.0
18,0.9,0.0004,-0.1557,0.0
19,0.95,0.0004,-0.1563,0.0
20,1.0,0.0004,-0.1532,0.0
21,1.05,0.0004,-0.1515,0.0
22,1.1,0.0,-0.1517,0.0
23,1.15,0.75,-0.1441,0.0
24,1.2,0.75,-0.1371,0.0
25,1.25,0.75,-0.131,0.0
26,1.3,0.75,-0.1666,0.0
27,1.35,0.75,-0.1348,0.0
28,1.4,0.75,-0.1624,0.0
29,1.45,0.75,-0.1459,0.0
30,1.5,0.75,-0.1336,0.0
31,1.55,0.75,-0.1256,0.0
32,1.6,0.75,-0.1217,0.0
33,1.65,0.75,-0.1195,0.0
34,1.7,0.75,-0.1089,0.0
35,1.75,0.75,-0.0825,0.0
36,1.8,0.75,-0.0871,0.0
37,1.85,0.75,-0.0862,0.0
38,1.9,0.75,-0.0856,0.0
39,1.95,0.1264,-0.0883,0.0
40,2.0,0.0581,-0.0145,0.0
41,2.05,0.0966,-0.0353,0.0
42,2.1,0.0966,-0.0412,0.0
43,2.15,0.0935,-0.0304,0.0
44,2.2,0.0873,-0.0339,0.0
45,2.25,0.081,-0.0131,0.0
46,2.3,0.0,-0.0278,1.0
47,2.35,0.0685,-0.0453,0.0
48,2.4,0.391,-0.03,0.0
49,2.45,0.1273,-0.0478,0.0
50,2.5,0.031,-0.0665,0.0
51,2.55,0.0454,-0.0858,0.0
52,2.6,0.0391,-0.1072,0.0
53,2.65,0.0329,-0.1119,0.0
54,2.7,0.0266,-0.0765,0.0
55,2.75,0.0,-0.0007,1.0
56,2.8,0.0,-0.0153,1.0
57,2.85,0.75,-0.1229,0.0
58,2.9,0.75,-0.1176,0.0
59,2.95,0.75,-0.1193,0.0
60,3.0,0.75,-0.1193,0.0
61,3.05,0.75,-0.127,0.0
62,3.1,0.75,-0.136,0.0
63,3.15,0.75,-0.1112,0.0
64,3.2,0.75,-0.1208,0.0
65,3.25,0.75,-0.1206,0.0
66,3.3,0.4184,-0.1283,0.0
67,3.35,0.0,-0.1271,0.0
68,3.4,0.058,-0.1257,0.0
69,3.45,0.0575,-0.1282,0.0
70,3.5,0.0575,-0.1204,0.0
71,3.55,0.0575,-0.1283,0.0
72,3.6,0.0575,-0.1322,0.0
73,3.65,0.0969,-0.1312,0.0
74,3.7,0.75,-0.1367,0.0
75,3.75,0.6223,-0.1254,0.0
76,3.8,0.75,-0.1385,0.0
77,3.85,0.4126,-0.1216,0.0
78,3.9,0.0,-0.1306,0.0
79,3.95,0.055,-0.1216,0.0
80,4.0,0.0487,-0.0946,0.0
81,4.05,0.0425,-0.0791,0.0
82,4.1,0.0362,-0.0661,0.0
83,4.15,0.1037,-0.054,0.0
84,4.2,0.4924,-0.0506,0.0
85,4.25,0.75,-0.066,0.0
86,4.3,0.75,-0.0631,0.0
87,4.35,0.0876,-0.0455,0.0
88,4.4,0.0,-0.0314,0.0
89,4.45,0.0288,-0.0209,0.0
90,4.5,0.0288,-0.0239,0.0
91,4.55,0.0288,-0.0204,0.0
92,4.6,0.0288,-0.0388,0.0
93,4.65,0.0286,-0.0298,0.0
94,4.7,0.2637,-0.0334,0.0
95,4.75,0.6784,-0.0326,0.0
96,4.8,0.75,-0.0237,0.0
97,4.85,0.75,-0.0245,0.0
98,4.9,0.1164,-0.0296,0.0
99,4.95,0.0,-0.032,0.0
100,5.0,0.0282,-0.0243,0.0
101,5.05,0.0282,-0.0163,0.0
102,5.1,0.2177,-0.0193,0.0
103,5.15,0.5981,-0.028,0.0
104,5.2,0.5615,-0.033,0.0
105,5.25,0.0,-0.0421,0.0
106,5.3,0.0212,-0.0342,0.0
107,5.35,0.0202,-0.0272,0.0
108,5.4,0.0202,-0.0324,0.0
109,5.45,0.2053,-0.0385,0.0
110,5.5,0.345,-0.0564,0.0
111,5.55,0.3376,-0.0474,0.0
112,5.6,0.0,-0.04,0.0
113,5.65,0.024,-0.0479,0.0
114,5.7,0.2209,-0.0693,0.0
115,5.75,0.216,-0.0684,0.0
116,5.8,0.4033,-0.07,0.0
117,5.85,0.75,-0.0653,0.0
118,5.9,0.61,-0.0653,0.0
119,5.95,0.1957,-0.0596,0.0
120,6.0,0.0,-0.0467,0.0
121,6.05,0.0214,-0.0524,0.0
122,6.1,0.0207,-0.0596,0.0
123,6.15,0.0182,-0.0666,0.0
124,6.2,0.2782,-0.0719,0.0
125,6.25,0.6918,-0.082,0.0
126,6.3,0.75,-0.0582,0.0
127,6.35,0.1924,-0.0567,0.0
128,6.4,0.0,-0.042,0.0
129,6.45,0.0251,-0.0325,0.0
130,6.5,0.0236,-0.0285,0.0
131,6.55,0.0221,-0.04,0.0
132,6.6,0.0221,-0.0327,0.0
133,6.65,0.2228,-0.0413,0.0
134,6.7,0.608,-0.028,0.0
135,6.75,0.6434,-0.0301,0.0
136,6.8,0.5429,-0.0153,0.0
137,6.85,0.0913,-0.01,0.0
138,6.9,0.0,-0.0273,0.0
139,6.95,0.0201,-0.021,0.0
140,7.0,0.0201,-0.0189,0.0
141,7.05,0.0201,-0.0077,0.0
142,7.1,0.0386,0.007,0.0
143,7.15,0.3564,0.0083,0.0
144,7.2,0.75,0.0155,0.0
145,7.25,0.713,0.0222,0.0
146,7.3,0.1429,0.0306,0.0
147,7.35,0.0,0.0378,0.0
148,7.4,0.0197,0.0455,0.0
149,7.45,0.0197,0.0422,0.0
150,7.5,0.1272,0.0438,0.0
151,7.55,0.6171,0.0405,0.0
152,7.6,0.75,0.0424,0.0
153,7.65,0.5,0.0496,0.0
154,7.7,0.7472,0.0528,0.0
155,7.75,0.2912,0.0651,0.0
156,7.8,0.0,0.0687,0.0
157,7.85,0.0242,0.0645,0.0
158,7.9,0.0242,0.0748,0.0
159,7.95,0.0242,0.1001,0.0
160,8.0,0.115,0.1182,0.0
161,8.05,0.0095,0.1092,0.0
162,8.1,0.75,0.1017,0.0
163,8.15,0.3457,0.1071,0.0
164,8.2,0.75,0.1048,0.0
165,8.25,0.75,0.1201,0.0
166,8.3,0.1892,0.1209,0.0
167,8.35,0.75,0.0931,0.0
168,8.4,0.75,0.1108,0.0
169,8.45,0.0,0.122,0.0
170,8.5,0.0462,0.114,0.0
171,8.55,0.0437,0.1082,0.0
172,8.6,0.0401,0.1197,0.0
173,8.65,0.75,0.1368,0.0
174,8.7,0.0918,0.1056,0.0
175,8.75,0.75,0.0887,0.0
176,8.8,0.75,0.102,0.0
177,8.85,0.75,0.1003,0.0
178,8.9,0.75,0.0903,0.0
179,8.95,0.75,0.0747,0.0
180,9.0,0.75,0.0874,0.0
181,9.05,0.75,0.0786,0.0
182,9.1,0.75,0.0828,0.0
183,9.15,0.75,0.0717,0.0
184,9.2,0.75,0.0707,0.0
185,9.25,0.75,0.0591,0.0
186,9.3,0.75,0.0425,0.0
187,9.35,0.75,0.0313,0.0
188,9.4,0.75,0.0226,0.0
189,9.45,0.75,0.0147,0.0
190,9.5,0.75,0.0202,0.0
191,9.55,0.75,0.0073,0.0
192,9.6,0.75,0.0017,0.0
193,9.65,0.75,-0.0117,0.0
194,9.7,0.6623,-0.0227,0.0
