tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,16.79,-4.492,21.21,23.431,-7.933,21.21,7.479,-1,0
1,0.05,16.512,-4.491,21.86,23.332,-7.674,21.86,7.526,-1,0
2,0.1,16.239,-4.49,21.11,23.234,-7.419,20.48,7.583,-1,0
3,0.15,15.967,-4.49,20.45,23.161,-7.251,10.3,7.707,-1,0
4,0.2,15.694,-4.489,20.19,23.128,-7.186,2.64,7.908,-1,0
5,0.25,15.422,-4.488,19.92,23.126,-7.182,0.3,8.162,-1,0
6,0.3,15.148,-4.488,19.32,23.125,-7.181,0.65,8.421,-1,0
7,0.35,14.873,-4.487,20.09,23.125,-7.181,0.7,8.682,-1,0
8,0.4,14.607,-4.486,18.76,23.125,-7.181,0.62,8.935,-1,0
9,0.45,14.354,-4.486,18.19,23.125,-7.181,0.51,9.177,-1,0
10,0.5,14.109,-4.485,17.77,23.125,-7.181,0.39,9.411,-1,0
11,0.55,13.865,-4.485,17.78,23.125,-7.181,0.29,9.645,-1,0
12,0.6,13.618,-4.484,17.94,23.125,-7.18,0.21,9.882,-1,0
13,0.65,13.368,-4.483,18.19,23.125,-7.18,0.15,10.123,-1,0
14,0.7,13.114,-4.483,18.3,23.125,-7.18,0.1,10.368,-1,0
15,0.75,12.862,-4.482,18.2,23.125,-7.18,0.07,10.612,-1,0
16,0.8,12.609,-4.482,18.47,23.125,-7.18,0.05,10.857,-1,0
17,0.85,12.349,-4.481,18.75,23.125,-7.18,0.03,11.109,-1,0
18,0.9,12.088,-4.48,18.6,23.125,-7.18,0.02,11.362,-1,0
19,0.95,11.828,-4.48,18.9,23.125,-7.18,0.02,11.616,-1,0
20,1.0,11.567,-4.479,19.12,23.125,-7.18,0.0,11.87,-1,0
21,1.05,11.298,-4.479,19.65,23.125,-7.18,0.0,12.132,-1,0
22,1.1,11.023,-4.478,20.02,23.125,-7.18,0.0,12.4,-1,0
23,1.15,10.739,-4.477,20.46,23.125,-7.18,0.0,12.677,-1,0
24,1.2,10.447,-4.476,21.1,23.125,-7.18,0.0,12.963,-1,0
25,1.25,10.151,-4.475,21.54,23.125,-7.18,0.01,13.253,-1,0
26,1.3,9.849,-4.474,21.92,23.125,-7.18,0.0,13.549,-1,0
27,1.35,9.542,-4.474,22.15,23.125,-7.18,0.01,13.85,-1,0
28,1.4,9.23,-4.474,22.55,23.125,-7.18,0.01,14.157,-1,0
29,1.45,8.913,-4.473,22.85,23.125,-7.18,0.01,14.468,-1,0
30,1.5,8.59,-4.473,23.42,23.125,-7.18,0.0,14.785,-1,0
31,1.55,8.262,-4.472,23.63,23.125,-7.18,0.0,15.107,-1,0
32,1.6,7.932,-4.471,23.85,23.125,-7.18,0.0,15.432,-1,0
33,1.65,7.598,-4.47,24.21,23.125,-7.18,0.0,15.761,-1,0
34,1.7,7.261,-4.468,24.47,23.125,-7.18,0.0,16.094,-1,0
35,1.75,6.918,-4.467,24.86,23.125,-7.18,0.0,16.432,-1,0
36,1.8,6.572,-4.465,25.09,23.125,-7.18,0.0,16.774,-1,0
37,1.85,6.221,-4.464,25.38,23.125,-7.18,0.0,17.12,-1,0
38,1.9,5.866,-4.462,25.74,23.118,-7.169,2.35,17.463,-1,0
39,1.95,5.506,-4.461,26.11,23.091,-7.121,5.02,17.785,-1,0
40,2.0,5.142,-4.459,26.4,23.046,-7.043,7.34,18.09,-1,0
41,2.05,4.773,-4.457,26.71,22.985,-6.941,9.37,18.381,-1,0
42,2.1,4.4,-4.456,27.03,22.915,-6.815,11.06,18.666,-1,0
43,2.15,4.022,-4.454,27.38,22.841,-6.666,12.54,18.95,-1,0
44,2.2,3.643,-4.452,27.31,22.758,-6.501,13.88,19.225,-1,0
45,2.25,3.264,-4.45,27.3,22.661,-6.322,15.17,19.487,-1,0
46,2.3,2.881,-4.448,27.8,22.549,-6.133,16.34,19.74,-1,0
47,2.35,2.491,-4.447,28.23,22.422,-5.933,17.58,19.986,-1,0
