tick,sim_time_s,throttle,steer,brake
0,0.0,0.0,0.0,1.0
1,0.05,1.0,0.061,0.0
2,0.1,1.0,0.067,0.0
3,0.15,1.0,0.093,0.0
4,0.2,1.0,0.056,0.0
5,0.25,1.0,0.036,0.0
6,0.3,1.0,0.065,0.0
7,0.35,1.0,0.061,0.0
8,0.4,1.0,0.081,0.0
9,0.45,1.0,0.075,0.0
10,0.5,1.0,0.072,0.0
11,0.55,1.0,0.048,0.0
12,0.6,1.0,0.064,0.0
13,0.65,1.0,0.081,0.0
14,0.7,1.0,0.064,0.0
15,0.75,0.2534,0.12,0.0
16,0.8,0.0,0.106,1.0
17,0.85,0.0,0.026,1.0
18,0.9,0.0,-0.064,1.0
19,0.95,0.0,-0.143,1.0
20,1.0,0.0,-0.054,1.0
21,1.05,0.0,0.006,1.0
22,1.1,0.3659,-0.047,0.0
23,1.15,1.0,0.0,0.0
24,1.2,1.0,-0.032,0.0
25,1.25,1.0,-0.02,0.0
26,1.3,1.0,-0.069,0.0
27,1.35,1.0,-0.131,0.0
28,1.4,1.0,-0.142,0.0
29,1.45,0.252,-0.044,0.0
30,1.5,0.0,-0.187,1.0
31,1.55,0.0,-0.137,1.0
32,1.6,0.0,-0.05,1.0
33,1.65,0.0,-0.083,1.0
34,1.7,0.0,-0.036,1.0
35,1.75,0.2532,0.019,0.0
36,1.8,1.0,0.021,0.0
37,1.85,1.0,0.048,0.0
38,1.9,1.0,-0.05,0.0
39,1.95,1.0,-0.077,0.0
40,2.0,1.0,-0.031,0.0
41,2.05,0.9949,-0.026,0.0
42,2.1,0.0,-0.074,1.0
43,2.15,0.0,-0.009,1.0
44,2.2,0.0,0.03,1.0
45,2.25,0.0,0.03,1.0
46,2.3,0.0,0.006,1.0
47,2.35,0.0,-0.004,1.0
48,2.4,0.2523,0.014,0.0
49,2.45,0.71,-0.004,0.0
50,2.5,1.0,0.071,0.0
51,2.55,1.0,0.044,0.0
52,2.6,1.0,0.053,0.0
53,2.65,1.0,0.018,0.0
54,2.7,0.2488,0.069,0.0
55,2.75,0.0,0.09,1.0
56,2.8,0.0,0.08,1.0
57,2.85,0.0,0.056,1.0
58,2.9,0.0,0.068,1.0
59,2.95,0.0,-0.057,1.0
60,3.0,0.2467,-0.02,0.0
61,3.05,0.8092,-0.033,0.0
