tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,-86.43,5.831,21.21,-76.43,5.845,21.21,10.001,-1,0
1,0.05,-86.707,5.831,21.86,-76.707,5.844,21.86,10.001,-1,0
2,0.1,-86.982,5.831,21.44,-76.985,5.844,22.62,9.998,30.419,0
3,0.15,-87.255,5.83,20.85,-77.201,5.844,13.15,10.056,-1,0
4,0.2,-87.53,5.83,20.64,-77.308,5.844,4.99,10.225,-1,0
5,0.25,-87.805,5.83,20.17,-77.328,5.844,0.11,10.482,-1,0
6,0.3,-88.083,5.829,19.77,-77.328,5.844,0.6,10.759,-1,0
7,0.35,-88.362,5.829,20.25,-77.328,5.844,0.71,11.038,-1,0
8,0.4,-88.63,5.828,18.81,-77.329,5.844,0.66,11.305,-1,0
9,0.45,-88.883,5.827,18.05,-77.329,5.844,0.55,11.557,-1,0
10,0.5,-89.13,5.827,17.94,-77.33,5.844,0.43,11.803,-1,0
11,0.55,-89.378,5.827,18.02,-77.33,5.844,0.32,12.05,-1,0
12,0.6,-89.628,5.826,18.23,-77.33,5.844,0.23,12.3,-1,0
13,0.65,-89.882,5.826,18.27,-77.33,5.844,0.17,12.553,-1,0
14,0.7,-90.135,5.826,18.2,-77.33,5.844,0.12,12.806,-1,0
15,0.75,-90.387,5.825,18.45,-77.33,5.844,0.08,13.058,-1,0
16,0.8,-90.646,5.825,18.52,-77.331,5.844,0.06,13.317,-1,0
17,0.85,-90.904,5.825,18.33,-77.331,5.844,0.04,13.574,-1,0
18,0.9,-91.162,5.825,18.39,-77.331,5.844,0.03,13.833,-1,0
19,0.95,-91.421,5.824,18.98,-77.331,5.844,0.02,14.092,-1,0
20,1.0,-91.691,5.824,19.73,-77.331,5.844,0.0,14.362,-1,0
21,1.05,-91.968,5.824,20.05,-77.331,5.844,0.01,14.639,-1,0
22,1.1,-92.251,5.823,20.4,-77.331,5.844,0.01,14.923,-1,0
23,1.15,-92.54,5.822,20.84,-77.331,5.844,0.01,15.211,-1,0
24,1.2,-92.833,5.822,21.41,-77.337,5.844,1.34,15.499,-1,0
25,1.25,-93.134,5.822,21.67,-77.385,5.844,4.5,15.752,-1,0
26,1.3,-93.439,5.822,22.2,-77.47,5.844,7.15,15.972,-1,0
27,1.35,-93.749,5.823,22.35,-77.587,5.844,9.19,16.165,-1,0
28,1.4,-94.063,5.823,22.72,-77.729,5.843,10.89,16.336,-1,0
29,1.45,-94.381,5.823,22.87,-77.894,5.843,12.46,16.489,-1,0
30,1.5,-94.706,5.823,23.54,-78.08,5.842,13.9,16.63,-1,0
31,1.55,-95.035,5.822,23.79,-78.284,5.841,15.26,16.754,-1,0
32,1.6,-95.369,5.822,24.11,-78.507,5.84,16.57,16.865,-1,0
33,1.65,-95.71,5.823,24.74,-78.748,5.839,17.86,16.965,-1,0
34,1.7,-96.055,5.823,25.07,-79.007,5.837,19.13,17.051,-1,0
35,1.75,-96.406,5.824,25.41,-79.28,5.835,19.81,17.129,-1,0
36,1.8,-96.764,5.824,26.02,-79.56,5.832,20.4,17.207,-1,0
37,1.85,-97.128,5.825,26.41,-79.849,5.827,20.97,17.281,-1,0
38,1.9,-97.497,5.826,26.8,-80.158,5.819,22.83,17.341,-1,0
39,1.95,-97.87,5.827,27.03,-80.481,5.81,23.61,17.392,-1,0
40,2.0,-98.248,5.828,27.34,-80.818,5.798,24.78,17.433,-1,0
41,2.05,-98.629,5.829,27.66,-81.17,5.783,25.75,17.462,-1,0
42,2.1,-99.015,5.83,27.9,-81.533,5.767,26.41,17.485,-1,0
43,2.15,-99.402,5.831,27.91,-81.899,5.749,26.32,17.506,-1,0
44,2.2,-99.789,5.831,27.95,-82.262,5.73,26.06,17.53,-1,0
45,2.25,-100.183,5.831,28.57,-82.619,5.71,25.45,17.567,-1,0
46,2.3,-100.583,5.831,29.01,-82.967,5.69,24.91,17.62,-1,0
47,2.35,-100.989,5.83,29.39,-83.305,5.671,24.08,17.687,-1,0
48,2.4,-101.399,5.83,29.72,-83.634,5.651,23.47,17.769,-1,0
49,2.45,-101.815,5.829,30.04,-83.954,5.631,22.86,17.865,-1,0
50,2.5,-102.234,5.829,30.33,-84.269,5.613,22.71,17.969,-1,0
51,2.55,-102.658,5.828,30.62,-84.584,5.596,22.69,18.079,-1,0
52,2.6,-103.085,5.827,30.9,-84.901,5.576,23.14,18.189,-1,0
53,2.65,-103.517,5.826,31.18,-85.227,5.553,23.72,18.296,-1,0
54,2.7,-103.953,5.825,31.45,-85.562,5.523,24.66,18.396,-1,0
55,2.75,-104.392,5.824,31.73,-85.909,5.483,25.51,18.49,-1,0
56,2.8,-104.836,5.823,32.0,-86.266,5.431,26.18,18.578,-1,0
57,2.85,-105.283,5.822,32.27,-86.626,5.376,26.23,18.666,-1,0
58,2.9,-105.734,5.821,32.53,-86.984,5.321,26.05,18.76,-1,0
59,2.95,-106.188,5.82,32.8,-87.336,5.264,25.45,18.864,-1,0
60,3.0,-106.646,5.819,33.07,-87.681,5.209,24.91,18.979,-1,0
61,3.05,-107.108,5.817,33.33,-88.016,5.156,24.09,19.107,-1,0
62,3.1,-107.574,5.816,33.6,-88.341,5.105,23.48,19.249,-1,0
63,3.15,-108.043,5.815,33.86,-88.657,5.053,22.86,19.404,-1,0
64,3.2,-108.515,5.813,34.12,-88.969,5.0,22.71,19.567,-1,0
65,3.25,-108.991,5.812,34.36,-89.279,4.946,22.68,19.735,-1,0
66,3.3,-109.47,5.811,34.6,-89.593,4.89,23.13,19.903,-1,0
67,3.35,-109.952,5.81,34.82,-89.914,4.833,23.73,20.066,-1,0
68,3.4,-110.437,5.808,35.03,-90.246,4.776,24.7,20.221,-1,0
69,3.45,-110.925,5.807,35.22,-90.592,4.717,25.68,20.365,-1,0
70,3.5,-111.415,5.806,35.4,-90.953,4.655,26.75,20.498,-1,0
71,3.55,-111.907,5.804,35.57,-91.324,4.592,27.2,20.623,-1,0
72,3.6,-112.402,5.803,35.73,-91.697,4.53,27.27,20.748,-1,0
73,3.65,-112.899,5.802,35.88,-92.068,4.474,26.82,20.877,-1,0
74,3.7,-113.398,5.801,36.04,-92.433,4.422,26.37,21.014,-1,0
75,3.75,-113.898,5.799,36.18,-92.79,4.375,25.6,21.161,-1,0
76,3.8,-114.401,5.798,36.32,-93.138,4.333,24.97,21.318,-1,0
77,3.85,-114.905,5.796,36.44,-93.475,4.294,24.13,21.487,-1,0
78,3.9,-115.41,5.795,36.56,-93.804,4.257,23.71,21.666,-1,0
79,3.95,-115.917,5.794,36.67,-94.128,4.223,23.39,21.85,-1,0
80,4.0,-116.425,5.792,36.78,-94.452,4.191,23.53,22.036,-1,0
81,4.05,-116.935,5.791,36.89,-94.78,4.159,23.84,22.221,-1,0
82,4.1,-117.447,5.79,36.98,-95.115,4.126,24.59,22.399,-1,0
83,4.15,-117.96,5.788,37.08,-95.462,4.093,25.4,22.567,-1,0
84,4.2,-118.474,5.787,37.17,-95.822,4.062,26.36,22.724,-1,0
85,4.25,-118.99,5.785,37.26,-96.19,4.032,26.75,22.873,-1,0
