step	idx	score	x	y	w	h	class
1	0	0.9926	-32.00	-40.00	0.00	0.00	0
1	1	0.9560	-32.00	-40.00	0.00	0.00	0
2	0	0.9913	-32.00	-40.00	0.00	0.00	0
3	0	0.9935	-32.00	-40.00	0.00	0.00	0
3	1	0.9594	-32.00	-40.00	0.00	0.00	0
4	0	0.9928	-32.00	-40.00	0.00	0.00	0
5	0	0.9933	-32.00	-40.00	0.00	0.00	0
6	0	0.9921	-32.00	-40.00	0.00	0.00	0
7	0	0.9913	-32.00	-40.00	0.00	0.00	0
8	0	0.9899	-32.00	-40.00	0.00	0.00	0
8	1	0.9732	-32.00	-40.00	0.01	0.01	0
9	0	0.9888	-32.00	-40.00	0.00	0.00	0
9	1	0.9736	-32.00	-40.00	0.01	0.01	0
10	0	0.9900	-32.00	-40.00	0.00	0.00	0
10	1	0.9776	-32.00	-40.00	0.01	0.01	0
11	0	0.9913	-32.00	-40.00	0.00	0.00	0
12	0	0.9908	-32.00	-40.00	0.00	0.00	0
12	1	0.9766	-32.00	-40.00	0.01	0.00	0
13	0	0.9911	-32.00	-40.00	0.00	0.00	0
13	1	0.9762	-32.00	-40.00	0.01	0.01	0
14	0	0.9928	-32.00	-40.00	0.00	0.00	0
14	1	0.9747	-32.00	-40.00	0.01	0.01	0
15	0	0.9922	-32.00	-40.00	0.00	0.00	0
15	1	0.9719	-32.00	-40.00	0.01	0.01	0
16	0	0.9926	-32.00	-40.00	0.00	0.00	0
16	1	0.9730	-32.00	-40.00	0.01	0.01	0
17	0	0.9935	-32.00	-40.00	0.00	-0.00	0
17	1	0.9755	-32.00	-40.00	0.01	0.01	0
18	0	0.9928	-32.00	-40.00	-0.00	-0.00	0
18	1	0.9755	-32.00	-40.00	0.01	0.01	0
19	0	0.9933	-32.00	-40.00	0.00	-0.00	0
19	1	0.9778	-32.00	-40.00	0.00	0.01	0
20	0	0.9928	-32.00	-40.00	0.00	-0.00	0
20	1	0.9795	-32.00	-40.00	0.00	0.00	0
21	0	0.9928	-32.00	-40.00	0.00	0.00	0
21	1	0.9756	-32.00	-40.00	0.00	0.00	0
22	0	0.9925	-32.00	-40.00	0.00	-0.00	0
22	1	0.9747	-32.00	-40.00	0.00	0.00	0
23	0	0.9927	-32.00	-40.00	0.00	0.00	0
