tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,85.538,6.43,21.21,95.392,6.47,21.21,9.854,-1,0
1,0.05,85.26,6.429,21.86,95.114,6.467,21.86,9.854,-1,0
2,0.1,84.988,6.428,20.72,94.841,6.465,20.73,9.854,4075.355,0
3,0.15,84.715,6.427,20.81,94.657,6.463,10.38,9.943,-1,0
4,0.2,84.445,6.425,19.72,94.545,6.462,8.24,10.1,-1,0
5,0.25,84.175,6.424,19.3,94.433,6.461,7.94,10.259,-1,0
6,0.3,83.901,6.423,19.61,94.322,6.46,8.13,10.42,-1,0
7,0.35,83.63,6.422,19.62,94.211,6.458,7.94,10.58,-1,0
8,0.4,83.367,6.421,18.65,94.1,6.457,8.07,10.733,-1,0
9,0.45,83.118,6.419,17.77,93.99,6.456,7.88,10.872,-1,0
10,0.5,82.876,6.418,17.53,93.879,6.455,8.0,11.004,-1,0
11,0.55,82.636,6.417,17.51,93.77,6.454,7.81,11.135,-1,0
12,0.6,82.394,6.416,17.64,93.661,6.453,7.94,11.268,-1,0
13,0.65,82.149,6.416,17.87,93.552,6.452,7.75,11.405,-1,0
14,0.7,81.899,6.415,18.17,93.429,6.451,9.9,11.532,-1,0
15,0.75,81.645,6.414,18.35,93.273,6.45,12.01,11.63,-1,0
16,0.8,81.392,6.413,18.21,93.093,6.448,13.57,11.702,-1,0
17,0.85,81.14,6.413,18.49,92.893,6.445,14.81,11.756,-1,0
18,0.9,80.883,6.412,18.42,92.679,6.443,15.87,11.797,-1,0
19,0.95,80.63,6.411,18.15,92.451,6.439,16.8,11.822,-1,0
20,1.0,80.376,6.41,18.5,92.21,6.436,17.68,11.835,-1,0
21,1.05,80.121,6.41,18.67,91.958,6.433,18.51,11.838,-1,0
22,1.1,79.856,6.409,19.29,91.695,6.429,19.01,11.841,-1,0
23,1.15,79.584,6.408,19.91,91.434,6.425,18.71,11.851,-1,0
24,1.2,79.305,6.407,20.18,91.175,6.422,18.57,11.871,-1,0
25,1.25,79.022,6.406,20.57,90.921,6.418,18.21,11.899,-1,0
26,1.3,78.733,6.405,21.09,90.669,6.414,18.12,11.937,-1,0
27,1.35,78.439,6.404,21.43,90.418,6.411,17.9,11.98,-1,0
28,1.4,78.138,6.404,21.72,90.168,6.407,18.05,12.031,-1,0
29,1.45,77.831,6.403,22.26,89.919,6.403,18.0,12.088,-1,0
30,1.5,77.519,6.402,22.68,89.669,6.4,17.96,12.15,-1,0
31,1.55,77.202,6.402,22.92,89.42,6.396,17.82,12.219,-1,0
32,1.6,76.879,6.402,23.38,89.174,6.393,17.67,12.296,-1,0
33,1.65,76.553,6.402,23.62,88.929,6.389,17.64,12.377,-1,0
34,1.7,76.221,6.401,23.99,88.684,6.385,17.73,12.464,-1,0
35,1.75,75.886,6.4,24.23,88.436,6.381,17.99,12.551,-1,0
36,1.8,75.547,6.399,24.59,88.183,6.377,18.27,12.637,-1,0
37,1.85,75.204,6.398,24.83,87.929,6.373,18.23,12.726,-1,0
38,1.9,74.856,6.396,25.16,87.68,6.369,17.93,12.824,-1,0
39,1.95,74.505,6.394,25.43,87.431,6.366,17.85,12.927,-1,0
40,2.0,74.149,6.392,25.79,87.185,6.361,17.73,13.037,-1,0
41,2.05,73.789,6.39,26.06,86.939,6.357,17.68,13.151,-1,0
42,2.1,73.424,6.388,26.36,86.693,6.353,17.73,13.27,-1,0
