tick,sim_time_s,throttle,steer,brake
0,0.0,0.0,0.0487,1.0
1,0.05,0.0,0.044,1.0
2,0.1,0.0,0.0416,1.0
3,0.15,0.0,0.0469,1.0
4,0.2,0.75,0.0402,0.0
5,0.25,0.75,0.0402,0.0
6,0.3,0.75,-0.0051,0.0
7,0.35,0.75,-0.0051,0.0
8,0.4,0.75,0.0036,0.0
9,0.45,0.75,0.0036,0.0
10,0.5,0.75,0.0036,0.0
11,0.55,0.75,0.0036,0.0
12,0.6,0.75,0.0036,0.0
13,0.65,0.75,0.0036,0.0
14,0.7,0.75,0.0036,0.0
15,0.75,0.75,0.0036,0.0
16,0.8,0.75,0.0431,0.0
17,0.85,0.75,0.0431,0.0
18,0.9,0.75,0.0407,0.0
19,0.95,0.75,0.0407,0.0
20,1.0,0.75,0.0432,0.0
21,1.05,0.75,0.0432,0.0
22,1.1,0.75,0.0451,0.0
23,1.15,0.75,0.0451,0.0
24,1.2,0.75,0.0438,0.0
25,1.25,0.75,0.0438,0.0
26,1.3,0.75,0.0547,0.0
27,1.35,0.75,0.0547,0.0
28,1.4,0.0,0.0505,0.0
29,1.45,0.0,0.0505,0.0
30,1.5,0.1041,0.0594,0.0
31,1.55,0.1041,0.0594,0.0
32,1.6,0.1041,0.0537,0.0
33,1.65,0.1041,0.0537,0.0
34,1.7,0.1041,0.059,0.0
35,1.75,0.1041,0.059,0.0
36,1.8,0.1702,0.0545,0.0
37,1.85,0.1702,0.0545,0.0
38,1.9,0.4067,0.0553,0.0
39,1.95,0.4067,0.0553,0.0
40,2.0,0.3023,0.0628,0.0
41,2.05,0.3023,0.0628,0.0
42,2.1,0.0967,0.0574,0.0
43,2.15,0.0967,0.0574,0.0
44,2.2,0.3058,0.0748,0.0
45,2.25,0.3058,0.0748,0.0
46,2.3,0.1839,0.0824,0.0
47,2.35,0.1839,0.0824,0.0
48,2.4,0.095,0.0831,0.0
49,2.45,0.095,0.0831,0.0
50,2.5,0.3165,0.0873,0.0
51,2.55,0.3165,0.0873,0.0
52,2.6,0.7171,0.0748,0.0
53,2.65,0.7171,0.0748,0.0
54,2.7,0.1622,0.0732,0.0
55,2.75,0.1622,0.0732,0.0
56,2.8,0.0558,0.0717,0.0
57,2.85,0.0558,0.0717,0.0
58,2.9,0.2506,0.0752,0.0
59,2.95,0.2506,0.0752,0.0
60,3.0,0.057,0.0775,0.0
61,3.05,0.057,0.0775,0.0
62,3.1,0.3396,0.0749,0.0
63,3.15,0.3396,0.0749,0.0
64,3.2,0.543,0.07,0.0
65,3.25,0.543,0.07,0.0
66,3.3,0.0,0.0696,0.0
67,3.35,0.0,0.0696,0.0
68,3.4,0.0135,0.0748,0.0
69,3.45,0.0135,0.0748,0.0
