tick,sim_time_s,throttle,steer,brake
0,0.0,0.0,0.0,0.0
1,0.05,0.0,0.0293,1.0
2,0.1,0.0,0.0455,1.0
3,0.15,0.0,0.0511,1.0
4,0.2,0.0,0.0321,1.0
5,0.25,0.0,0.048,1.0
6,0.3,0.75,0.0284,0.0
7,0.35,0.75,0.0548,0.0
8,0.4,0.75,0.0481,0.0
9,0.45,0.75,0.0626,0.0
10,0.5,0.75,0.04,0.0
11,0.55,0.75,0.031,0.0
12,0.6,0.75,0.0389,0.0
13,0.65,0.75,0.0402,0.0
14,0.7,0.75,0.031,0.0
15,0.75,0.75,0.0393,0.0
16,0.8,0.75,0.0318,0.0
17,0.85,0.75,0.0505,0.0
18,0.9,0.75,0.0361,0.0
19,0.95,0.75,0.0373,0.0
20,1.0,0.75,0.0396,0.0
21,1.05,0.75,0.0328,0.0
22,1.1,0.75,0.0394,0.0
23,1.15,0.2383,0.0544,0.0
24,1.2,0.0,0.0507,0.0
25,1.25,0.054,0.0759,0.0
26,1.3,0.0,0.0587,1.0
27,1.35,0.0,0.0617,1.0
28,1.4,0.054,0.0663,0.0
29,1.45,0.2468,0.0479,0.0
30,1.5,0.3698,0.0595,0.0
31,1.55,0.534,0.0611,0.0
32,1.6,0.1176,0.0639,0.0
33,1.65,0.034,0.0596,0.0
34,1.7,0.75,0.0728,0.0
35,1.75,0.0,0.0582,0.0
36,1.8,0.0584,0.0612,0.0
37,1.85,0.75,0.0678,0.0
38,1.9,0.75,0.0813,0.0
39,1.95,0.0,0.0761,0.0
40,2.0,0.7424,0.1031,0.0
41,2.05,0.0,0.1182,0.0
42,2.1,0.0647,0.0865,0.0
43,2.15,0.0647,0.0754,0.0
44,2.2,0.75,0.0738,0.0
45,2.25,0.0639,0.0807,0.0
46,2.3,0.75,0.0904,0.0
47,2.35,0.75,0.0696,0.0
48,2.4,0.75,0.1066,0.0
49,2.45,0.75,0.0841,0.0
50,2.5,0.0,0.0699,0.0
51,2.55,0.75,0.0939,0.0
52,2.6,0.5234,0.0797,0.0
53,2.65,0.0,0.0759,0.0
54,2.7,0.0568,0.0912,0.0
55,2.75,0.75,0.0905,0.0
56,2.8,0.0,0.0969,0.0
57,2.85,0.75,0.1134,0.0
58,2.9,0.75,0.0957,0.0
59,2.95,0.75,0.1052,0.0
60,3.0,0.75,0.1059,0.0
61,3.05,0.75,0.103,0.0
62,3.1,0.75,0.1142,0.0
63,3.15,0.75,0.1076,0.0
64,3.2,0.75,0.1007,0.0
65,3.25,0.75,0.0961,0.0
66,3.3,0.75,0.0938,0.0
67,3.35,0.75,0.0868,0.0
68,3.4,0.75,0.0838,0.0
69,3.45,0.75,0.0798,0.0
70,3.5,0.75,0.0754,0.0
71,3.55,0.736,0.0708,0.0
72,3.6,0.75,0.071,0.0
73,3.65,0.0,0.0692,0.0
74,3.7,0.0745,0.0647,0.0
75,3.75,0.0745,0.059,0.0
76,3.8,0.0745,0.0584,0.0
77,3.85,0.0,0.0524,1.0
78,3.9,0.0696,0.0489,0.0
79,3.95,0.0696,0.0534,0.0
80,4.0,0.0682,0.0545,0.0
81,4.05,0.0682,0.0506,0.0
82,4.1,0.4368,0.0517,0.0
83,4.15,0.75,0.0535,0.0
84,4.2,0.75,0.0491,0.0
85,4.25,0.75,0.049,0.0
86,4.3,0.75,0.0498,0.0
87,4.35,0.75,0.051,0.0
88,4.4,0.75,0.0523,0.0
89,4.45,0.2034,0.0512,0.0
90,4.5,0.0231,0.047,0.0
91,4.55,0.0684,0.0501,0.0
92,4.6,0.0669,0.0433,0.0
93,4.65,0.0669,0.0455,0.0
94,4.7,0.0669,0.0468,0.0
95,4.75,0.0653,0.0491,0.0
