tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,-16.794,-186.618,21.21,-16.832,-196.337,21.21,9.719,-1,0
1,0.05,-16.793,-186.34,21.86,-16.831,-196.059,21.86,9.719,-1,0
2,0.1,-16.792,-186.067,21.11,-16.83,-195.786,20.5,9.719,-1,0
3,0.15,-16.791,-185.794,20.45,-16.829,-195.602,10.44,9.807,-1,0
4,0.2,-16.79,-185.522,20.19,-16.829,-195.526,2.79,10.005,-1,0
5,0.25,-16.789,-185.25,19.92,-16.829,-195.52,0.3,10.271,-1,0
6,0.3,-16.788,-184.976,19.32,-16.829,-195.52,0.65,10.545,-1,0
7,0.35,-16.787,-184.7,20.09,-16.829,-195.52,0.7,10.82,-1,0
8,0.4,-16.786,-184.435,18.76,-16.829,-195.52,0.62,11.085,-1,0
9,0.45,-16.785,-184.181,18.19,-16.829,-195.519,0.51,11.338,-1,0
10,0.5,-16.784,-183.937,17.77,-16.829,-195.519,0.39,11.583,-1,0
11,0.55,-16.783,-183.692,17.78,-16.829,-195.519,0.29,11.827,-1,0
12,0.6,-16.782,-183.446,17.94,-16.829,-195.519,0.21,12.073,-1,0
13,0.65,-16.781,-183.196,18.19,-16.829,-195.519,0.15,12.323,-1,0
14,0.7,-16.78,-182.942,18.3,-16.829,-195.519,0.1,12.577,-1,0
15,0.75,-16.779,-182.69,18.2,-16.829,-195.519,0.07,12.829,-1,0
16,0.8,-16.778,-182.437,18.47,-16.829,-195.506,2.0,13.069,-1,0
17,0.85,-16.777,-182.177,18.74,-16.829,-195.454,4.7,13.277,-1,0
18,0.9,-16.776,-181.919,18.36,-16.829,-195.373,6.47,13.454,-1,0
19,0.95,-16.775,-181.66,18.74,-16.828,-195.269,8.09,13.608,-1,0
20,1.0,-16.774,-181.402,18.79,-16.828,-195.146,9.28,13.744,-1,0
21,1.05,-16.774,-181.135,19.42,-16.828,-195.008,10.34,13.873,-1,0
22,1.1,-16.773,-180.862,19.76,-16.828,-194.856,11.37,13.994,-1,0
23,1.15,-16.772,-180.581,20.43,-16.828,-194.69,12.36,14.108,-1,0
24,1.2,-16.771,-180.296,20.54,-16.828,-194.51,13.31,14.214,-1,0
25,1.25,-16.769,-180.006,21.01,-16.828,-194.318,14.21,14.312,-1,0
26,1.3,-16.767,-179.709,21.63,-16.828,-194.114,15.0,14.405,-1,0
27,1.35,-16.765,-179.407,21.72,-16.828,-193.901,15.42,14.494,-1,0
28,1.4,-16.762,-179.101,22.23,-16.828,-193.686,15.54,14.585,-1,0
29,1.45,-16.76,-178.788,22.74,-16.827,-193.471,15.49,14.683,-1,0
30,1.5,-16.757,-178.469,23.02,-16.827,-193.256,15.36,14.788,-1,0
31,1.55,-16.754,-178.147,23.28,-16.827,-193.045,15.19,14.898,-1,0
32,1.6,-16.751,-177.819,23.78,-16.827,-192.835,14.99,15.016,-1,0
33,1.65,-16.748,-177.486,24.1,-16.827,-192.629,14.78,15.143,-1,0
34,1.7,-16.745,-177.147,24.55,-16.827,-192.426,14.57,15.278,-1,0
35,1.75,-16.741,-176.805,24.76,-16.827,-192.225,14.4,15.42,-1,0
36,1.8,-16.737,-176.46,25.0,-16.827,-192.025,14.42,15.565,-1,0
37,1.85,-16.733,-176.11,25.32,-16.827,-191.822,14.73,15.712,-1,0
38,1.9,-16.729,-175.757,25.64,-16.827,-191.613,15.28,15.857,-1,0
39,1.95,-16.725,-175.398,26.0,-16.827,-191.396,15.85,15.998,-1,0
40,2.0,-16.72,-175.036,26.28,-16.827,-191.173,16.16,16.138,-1,0
41,2.05,-16.715,-174.669,26.59,-16.828,-190.948,16.23,16.28,-1,0
42,2.1,-16.71,-174.297,26.91,-16.829,-190.723,16.15,16.427,-1,0
43,2.15,-16.706,-173.921,27.26,-16.828,-190.5,16.05,16.579,-1,0
44,2.2,-16.7,-173.541,27.37,-16.829,-190.277,15.99,16.737,-1,0
45,2.25,-16.695,-173.161,27.36,-16.829,-190.056,15.88,16.895,-1,0
46,2.3,-16.69,-172.781,27.45,-16.828,-189.836,15.9,17.055,-1,0
47,2.35,-16.684,-172.394,28.06,-16.828,-189.613,16.19,17.219,-1,0
48,2.4,-16.679,-172.002,28.45,-16.827,-189.384,16.62,17.383,-1,0
49,2.45,-16.674,-171.604,28.77,-16.825,-189.151,16.84,17.548,-1,0
50,2.5,-16.668,-171.202,29.05,-16.823,-188.917,16.84,17.716,-1,0
51,2.55,-16.663,-170.796,29.33,-16.821,-188.684,16.72,17.889,-1,0
52,2.6,-16.657,-170.386,29.59,-16.819,-188.453,16.59,18.068,-1,0
53,2.65,-16.652,-169.973,29.85,-16.818,-188.223,16.63,18.251,-1,0
54,2.7,-16.647,-169.556,30.09,-16.815,-187.99,16.94,18.434,-1,0
55,2.75,-16.642,-169.136,30.33,-16.812,-187.751,17.37,18.616,-1,0
56,2.8,-16.636,-168.712,30.58,-16.811,-187.507,17.58,18.796,-1,0
57,2.85,-16.631,-168.286,30.81,-16.809,-187.263,17.58,18.978,-1,0
58,2.9,-16.625,-167.856,31.05,-16.809,-187.019,17.5,19.165,-1,0
59,2.95,-16.62,-167.422,31.29,-16.809,-186.778,17.36,19.356,-1,0
60,3.0,-16.614,-166.986,31.53,-16.807,-186.537,17.3,19.552,-1,0
61,3.05,-16.609,-166.546,31.76,-16.806,-186.296,17.47,19.751,-1,0
62,3.1,-16.603,-166.103,32.0,-16.805,-186.05,17.82,19.948,-1,0
63,3.15,-16.598,-165.657,32.23,-16.804,-185.801,17.98,20.145,-1,0
64,3.2,-16.592,-165.207,32.47,-16.802,-185.551,17.98,20.345,-1,0
65,3.25,-16.586,-164.754,32.7,-16.801,-185.301,18.02,20.548,-1,0
66,3.3,-16.581,-164.298,32.94,-16.799,-185.049,18.35,20.752,-1,0
67,3.35,-16.575,-163.839,33.17,-16.797,-184.796,18.09,20.958,-1,0
68,3.4,-16.569,-163.376,33.41,-16.796,-184.545,18.12,21.17,-1,0
69,3.45,-16.563,-162.911,33.64,-16.794,-184.293,17.99,21.384,-1,0
70,3.5,-16.557,-162.442,33.87,-16.792,-184.042,18.04,21.602,-1,0
71,3.55,-16.552,-161.969,34.09,-16.791,-183.792,18.14,21.824,-1,0
72,3.6,-16.545,-161.494,34.3,-16.788,-183.54,18.17,22.047,-1,0
73,3.65,-16.54,-161.016,34.5,-16.786,-183.284,18.32,22.269,-1,0
74,3.7,-16.533,-160.536,34.69,-16.784,-183.022,19.07,22.488,-1,0
75,3.75,-16.528,-160.052,34.87,-16.782,-182.757,19.22,22.706,-1,0
76,3.8,-16.521,-159.567,35.03,-16.78,-182.483,20.04,22.918,-1,0
77,3.85,-16.515,-159.079,35.19,-16.777,-182.201,20.42,23.123,-1,0
78,3.9,-16.509,-158.589,35.33,-16.774,-181.908,21.53,23.32,-1,0
79,3.95,-16.503,-158.098,35.47,-16.771,-181.604,22.12,23.508,-1,0
80,4.0,-16.497,-157.604,35.59,-16.767,-181.291,22.91,23.688,-1,0
81,4.05,-16.491,-157.109,35.71,-16.763,-180.969,23.26,23.862,-1,0
82,4.1,-16.484,-156.613,35.82,-16.759,-180.639,24.03,24.028,-1,0
83,4.15,-16.478,-156.114,35.92,-16.754,-180.306,23.96,24.193,-1,0
84,4.2,-16.472,-155.615,36.01,-16.75,-179.972,24.13,24.359,-1,0
85,4.25,-16.466,-155.114,36.1,-16.745,-179.64,23.67,24.528,-1,0
86,4.3,-16.459,-154.612,36.18,-16.74,-179.312,23.7,24.701,-1,0
87,4.35,-16.453,-154.109,36.26,-16.736,-178.986,23.27,24.878,-1,0
88,4.4,-16.447,-153.605,36.33,-16.731,-178.661,23.59,25.057,-1,0
89,4.45,-16.441,-153.1,36.4,-16.726,-178.333,23.61,25.234,-1,0
90,4.5,-16.434,-152.595,36.46,-16.721,-178.0,24.22,25.407,-1,0
91,4.55,-16.428,-152.088,36.52,-16.716,-177.663,24.2,25.577,-1,0
92,4.6,-16.421,-151.58,36.57,-16.71,-177.325,24.46,25.746,-1,0
93,4.65,-16.415,-151.072,36.62,-16.705,-176.988,24.19,25.917,-1,0
94,4.7,-16.409,-150.563,36.67,-16.699,-176.649,24.58,26.087,-1,0
95,4.75,-16.402,-150.054,36.71,-16.693,-176.307,24.62,26.255,-1,0
96,4.8,-16.396,-149.544,36.75,-16.687,-175.961,25.13,26.419,-1,0
97,4.85,-16.39,-149.033,36.79,-16.681,-175.612,25.03,26.581,-1,0
98,4.9,-16.383,-148.522,36.82,-16.674,-175.263,25.2,26.743,-1,0
99,4.95,-16.377,-148.01,36.86,-16.668,-174.917,24.75,26.909,-1,0
100,5.0,-16.37,-147.498,36.89,-16.661,-174.573,24.75,27.077,-1,0
101,5.05,-16.364,-146.985,36.92,-16.655,-174.234,24.28,27.25,-1,0
102,5.1,-16.357,-146.472,36.95,-16.648,-173.896,24.4,27.425,-1,0
103,5.15,-16.351,-145.959,36.97,-16.642,-173.559,24.15,27.602,-1,0
104,5.2,-16.345,-145.445,36.99,-16.637,-173.22,24.57,27.777,-1,0
105,5.25,-16.338,-144.932,37.02,-16.632,-172.879,24.64,27.949,-1,0
106,5.3,-16.332,-144.417,37.04,-16.625,-172.533,25.02,28.117,-1,0
107,5.35,-16.325,-143.903,37.06,-16.62,-172.188,24.72,28.287,-1,0
108,5.4,-16.319,-143.388,37.07,-16.614,-171.844,24.78,28.458,-1,0
109,5.45,-16.313,-142.873,37.09,-16.609,-171.504,24.24,28.633,-1,0
110,5.5,-16.306,-142.358,37.11,-16.605,-171.168,24.19,28.812,-1,0
111,5.55,-16.3,-141.842,37.12,-16.6,-170.836,23.72,28.996,-1,0
112,5.6,-16.293,-141.327,37.14,-16.596,-170.505,24.01,29.18,-1,0
113,5.65,-16.287,-140.811,37.15,-16.593,-170.172,23.95,29.362,-1,0
114,5.7,-16.28,-140.295,37.16,-16.59,-169.836,24.34,29.543,-1,0
115,5.75,-16.274,-139.779,37.17,-16.588,-169.499,24.23,29.722,-1,0
116,5.8,-16.267,-139.262,37.18,-16.586,-169.158,24.72,29.898,-1,0
117,5.85,-16.261,-138.746,37.19,-16.584,-168.814,24.85,30.07,-1,0
118,5.9,-16.254,-138.229,37.2,-16.581,-168.465,25.28,30.237,-1,0
119,5.95,-16.248,-137.713,37.21,-16.579,-168.115,25.04,30.405,-1,0
120,6.0,-16.241,-137.196,37.22,-16.577,-167.767,25.12,30.573,-1,0
121,6.05,-16.235,-136.679,37.23,-16.575,-167.423,24.59,30.746,-1,0
122,6.1,-16.228,-136.162,37.23,-16.574,-167.082,24.52,30.922,-1,0
123,6.15,-16.222,-135.645,37.24,-16.573,-166.745,24.04,31.103,-1,0
124,6.2,-16.215,-135.127,37.25,-16.572,-166.409,24.3,31.284,-1,0
125,6.25,-16.209,-134.61,37.25,-16.571,-166.072,24.28,31.465,-1,0
126,6.3,-16.202,-134.093,37.26,-16.571,-165.73,24.9,31.64,-1,0
127,6.35,-16.196,-133.575,37.26,-16.57,-165.382,25.14,31.809,-1,0
128,6.4,-16.19,-133.058,37.27,-16.57,-165.029,25.59,31.974,-1,0
129,6.45,-16.183,-132.54,37.27,-16.571,-164.676,25.32,32.138,-1,0
130,6.5,-16.177,-132.022,37.28,-16.571,-164.323,25.38,32.304,-1,0
131,6.55,-16.17,-131.504,37.28,-16.571,-163.975,24.85,32.473,-1,0
132,6.6,-16.164,-130.987,37.29,-16.572,-163.631,24.75,32.647,-1,0
133,6.65,-16.157,-130.469,37.29,-16.573,-163.292,24.16,32.826,-1,0
134,6.7,-16.151,-129.951,37.29,-16.573,-162.956,24.23,33.008,-1,0
135,6.75,-16.144,-129.433,37.3,-16.574,-162.622,23.95,33.192,-1,0
136,6.8,-16.138,-128.915,37.3,-16.575,-162.287,24.3,33.375,-1,0
137,6.85,-16.131,-128.397,37.3,-16.576,-161.949,24.34,33.555,-1,0
138,6.9,-16.125,-127.879,37.3,-16.577,-161.606,24.99,33.73,-1,0
139,6.95,-16.118,-127.361,37.31,-16.578,-161.257,25.19,33.899,-1,0
140,7.0,-16.112,-126.843,37.31,-16.579,-160.903,25.6,34.064,-1,0
141,7.05,-16.105,-126.325,37.31,-16.58,-160.549,25.35,34.228,-1,0
142,7.1,-16.099,-125.807,37.31,-16.582,-160.197,25.42,34.394,-1,0
143,7.15,-16.092,-125.288,37.31,-16.584,-159.848,24.89,34.563,-1,0
144,7.2,-16.086,-124.77,37.32,-16.585,-159.503,24.81,34.737,-1,0
145,7.25,-16.079,-124.252,37.32,-16.587,-159.163,24.3,34.915,-1,0
146,7.3,-16.073,-123.734,37.32,-16.589,-158.825,24.41,35.095,-1,0
147,7.35,-16.066,-123.215,37.32,-16.591,-158.488,24.19,35.276,-1,0
148,7.4,-16.06,-122.697,37.32,-16.592,-158.148,24.69,35.455,-1,0
149,7.45,-16.054,-122.179,37.32,-16.594,-157.803,24.85,35.629,-1,0
150,7.5,-16.047,-121.66,37.32,-16.595,-157.453,25.45,35.797,-1,0
151,7.55,-16.041,-121.142,37.32,-16.596,-157.098,25.6,35.961,-1,0
152,7.6,-16.034,-120.624,37.33,-16.597,-156.74,25.94,36.12,-1,0
153,7.65,-16.028,-120.105,37.33,-16.598,-156.382,25.6,36.281,-1,0
154,7.7,-16.021,-119.587,37.33,-16.599,-156.026,25.61,36.444,-1,0
155,7.75,-16.015,-119.068,37.33,-16.6,-155.675,25.04,36.611,-1,0
156,7.8,-16.008,-118.55,37.33,-16.601,-155.329,24.91,36.783,-1,0
157,7.85,-16.002,-118.032,37.33,-16.602,-154.988,24.24,36.961,-1,0
158,7.9,-15.995,-117.513,37.33,-16.603,-154.653,24.08,37.145,-1,0
159,7.95,-15.989,-116.995,37.33,-16.604,-154.323,23.53,37.334,-1,0
160,8.0,-15.982,-116.476,37.33,-16.604,-153.995,23.75,37.524,-1,0
161,8.05,-15.976,-115.958,37.33,-16.605,-153.666,23.68,37.713,-1,0
162,8.1,-15.969,-115.439,37.33,-16.606,-153.332,24.29,37.898,-1,0
163,8.15,-15.963,-114.921,37.33,-16.606,-152.992,24.58,38.077,-1,0
164,8.2,-15.956,-114.402,37.33,-16.606,-152.644,25.32,38.248,-1,0
165,8.25,-15.95,-113.884,37.33,-16.607,-152.291,25.43,38.413,-1,0
166,8.3,-15.943,-113.365,37.33,-16.607,-151.936,25.7,38.576,-1,0
167,8.35,-15.937,-112.847,37.33,-16.607,-151.582,25.32,38.741,-1,0
