tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,15.896,95.206,21.21,15.946,105.206,21.21,10.0,-1,0
1,0.05,15.894,94.928,21.86,15.945,104.928,21.86,10.0,-1,0
2,0.1,15.893,94.655,21.11,15.944,104.655,20.5,10.0,-1,0
3,0.15,15.892,94.383,20.45,15.944,104.471,10.44,10.089,-1,0
4,0.2,15.89,94.11,20.19,15.945,104.395,2.79,10.286,-1,0
5,0.25,15.889,93.838,19.92,15.945,104.39,0.3,10.552,-1,0
6,0.3,15.887,93.564,19.32,15.945,104.389,0.65,10.826,-1,0
7,0.35,15.886,93.289,20.09,15.945,104.389,0.7,11.101,-1,0
8,0.4,15.885,93.023,18.76,15.945,104.389,0.62,11.367,-1,0
9,0.45,15.884,92.77,18.19,15.945,104.389,0.51,11.62,-1,0
10,0.5,15.882,92.525,17.77,15.945,104.389,0.39,11.864,-1,0
11,0.55,15.881,92.28,17.78,15.945,104.388,0.29,12.108,-1,0
12,0.6,15.88,92.034,17.94,15.945,104.388,0.21,12.354,-1,0
13,0.65,15.879,91.784,18.19,15.945,104.388,0.15,12.604,-1,0
14,0.7,15.877,91.53,18.3,15.945,104.388,0.1,12.858,-1,0
15,0.75,15.876,91.278,18.2,15.945,104.388,0.07,13.11,-1,0
16,0.8,15.875,91.025,18.47,15.945,104.376,2.0,13.351,-1,0
17,0.85,15.873,90.764,18.79,15.945,104.323,4.7,13.559,-1,0
18,0.9,15.872,90.504,18.79,15.945,104.242,6.62,13.738,-1,0
19,0.95,15.871,90.244,18.74,15.946,104.137,8.04,13.894,-1,0
20,1.0,15.869,89.984,18.86,15.946,104.016,9.21,14.032,-1,0
21,1.05,15.868,89.718,19.24,15.947,103.878,10.32,14.161,-1,0
22,1.1,15.867,89.443,19.85,15.947,103.727,11.32,14.284,-1,0
23,1.15,15.865,89.163,20.24,15.948,103.561,12.35,14.398,-1,0
24,1.2,15.863,88.878,20.64,15.949,103.381,13.3,14.504,-1,0
25,1.25,15.862,88.587,21.01,15.949,103.189,14.21,14.602,-1,0
26,1.3,15.861,88.29,21.54,15.948,102.985,14.99,14.695,-1,0
27,1.35,15.86,87.988,21.84,15.947,102.773,15.42,14.785,-1,0
28,1.4,15.859,87.68,22.37,15.945,102.557,15.54,14.877,-1,0
29,1.45,15.858,87.367,22.58,15.945,102.342,15.49,14.975,-1,0
30,1.5,15.857,87.049,23.04,15.945,102.129,15.25,15.08,-1,0
31,1.55,15.855,86.728,23.26,15.946,101.919,15.0,15.192,-1,0
32,1.6,15.854,86.401,23.75,15.948,101.713,14.79,15.312,-1,0
33,1.65,15.852,86.069,23.96,15.95,101.509,14.62,15.44,-1,0
34,1.7,15.851,85.734,24.34,15.952,101.306,14.64,15.573,-1,0
35,1.75,15.849,85.393,24.65,15.954,101.101,14.95,15.708,-1,0
36,1.8,15.847,85.049,24.93,15.956,100.889,15.41,15.84,-1,0
37,1.85,15.845,84.701,25.27,15.958,100.673,15.66,15.972,-1,0
38,1.9,15.842,84.348,25.56,15.96,100.455,15.7,16.107,-1,0
39,1.95,15.84,83.99,25.94,15.962,100.237,15.62,16.248,-1,0
40,2.0,15.838,83.627,26.3,15.964,100.021,15.47,16.395,-1,0
41,2.05,15.835,83.26,26.6,15.965,99.808,15.32,16.549,-1,0
42,2.1,15.833,82.888,26.9,15.967,99.596,15.18,16.709,-1,0
43,2.15,15.83,82.512,27.23,15.967,99.387,14.99,16.876,-1,0
44,2.2,15.827,82.134,27.28,15.968,99.18,14.8,17.048,-1,0
45,2.25,15.825,81.756,27.25,15.969,98.976,14.64,17.221,-1,0
46,2.3,15.822,81.375,27.67,15.97,98.774,14.55,17.399,-1,0
47,2.35,15.819,80.988,28.11,15.971,98.573,14.4,17.586,-1,0
48,2.4,15.816,80.594,28.45,15.972,98.374,14.22,17.781,-1,0
49,2.45,15.813,80.196,28.77,15.973,98.178,14.07,17.983,-1,0
50,2.5,15.811,79.794,29.06,15.974,97.983,14.11,18.189,-1,0
51,2.55,15.808,79.388,29.32,15.974,97.785,14.32,18.397,-1,0
52,2.6,15.805,78.979,29.58,15.975,97.584,14.52,18.606,-1,0
53,2.65,15.802,78.566,29.82,15.975,97.38,14.86,18.815,-1,0
54,2.7,15.799,78.149,30.07,15.975,97.169,15.41,19.021,-1,0
55,2.75,15.796,77.73,30.31,15.975,96.95,16.06,19.221,-1,0
56,2.8,15.793,77.306,30.55,15.975,96.721,16.67,19.416,-1,0
57,2.85,15.79,76.88,30.79,15.975,96.487,16.96,19.608,-1,0
58,2.9,15.788,76.45,31.03,15.974,96.252,16.87,19.802,-1,0
59,2.95,15.785,76.017,31.27,15.973,96.021,16.45,20.004,-1,0
60,3.0,15.782,75.581,31.5,15.972,95.796,16.04,20.216,-1,0
61,3.05,15.779,75.142,31.74,15.97,95.575,15.85,20.434,-1,0
62,3.1,15.776,74.699,31.98,15.969,95.355,15.83,20.657,-1,0
63,3.15,15.772,74.253,32.21,15.968,95.135,15.87,20.883,-1,0
64,3.2,15.769,73.804,32.45,15.966,94.915,15.77,21.113,-1,0
65,3.25,15.766,73.351,32.68,15.964,94.698,15.59,21.347,-1,0
66,3.3,15.763,72.895,32.92,15.963,94.483,15.41,21.588,-1,0
67,3.35,15.76,72.436,33.15,15.961,94.269,15.41,21.834,-1,0
68,3.4,15.757,71.974,33.38,15.959,94.053,15.68,22.08,-1,0
69,3.45,15.754,71.508,33.62,15.956,93.832,16.11,22.324,-1,0
70,3.5,15.751,71.04,33.85,15.954,93.605,16.44,22.566,-1,0
71,3.55,15.747,70.568,34.07,15.952,93.374,16.85,22.807,-1,0
72,3.6,15.744,70.093,34.28,15.949,93.135,17.34,23.043,-1,0
73,3.65,15.741,69.615,34.48,15.946,92.892,17.59,23.278,-1,0
74,3.7,15.738,69.135,34.67,15.943,92.648,17.58,23.514,-1,0
75,3.75,15.734,68.652,34.85,15.94,92.405,17.44,23.754,-1,0
76,3.8,15.731,68.166,35.02,15.937,92.164,17.22,23.999,-1,0
