tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,-16.891,-211.218,21.21,-16.925,-221.189,21.21,9.971,-1,0
1,0.05,-16.89,-210.94,21.86,-16.928,-220.911,21.86,9.971,-1,0
2,0.1,-16.888,-210.667,21.11,-16.931,-220.638,20.45,9.971,-1,0
3,0.15,-16.887,-210.394,20.45,-16.925,-220.455,10.33,10.061,-1,0
4,0.2,-16.886,-210.121,20.19,-16.921,-220.381,2.69,10.26,-1,0
5,0.25,-16.885,-209.85,19.92,-16.921,-220.376,0.3,10.527,-1,0
6,0.3,-16.884,-209.576,19.32,-16.921,-220.376,0.65,10.801,-1,0
7,0.35,-16.883,-209.3,20.09,-16.921,-220.376,0.7,11.076,-1,0
8,0.4,-16.882,-209.035,18.76,-16.921,-220.375,0.62,11.341,-1,0
9,0.45,-16.881,-208.781,18.19,-16.921,-220.375,0.51,11.594,-1,0
10,0.5,-16.88,-208.537,17.77,-16.921,-220.375,0.39,11.839,-1,0
11,0.55,-16.879,-208.292,17.78,-16.921,-220.375,0.29,12.083,-1,0
12,0.6,-16.878,-208.046,17.94,-16.921,-220.375,0.21,12.329,-1,0
13,0.65,-16.877,-207.796,18.19,-16.921,-220.375,0.15,12.579,-1,0
14,0.7,-16.876,-207.542,18.3,-16.921,-220.375,0.1,12.833,-1,0
15,0.75,-16.875,-207.29,18.2,-16.921,-220.375,0.07,13.085,-1,0
16,0.8,-16.874,-207.037,18.47,-16.921,-220.375,0.05,13.338,-1,0
17,0.85,-16.873,-206.776,18.69,-16.921,-220.375,0.03,13.598,-1,0
18,0.9,-16.872,-206.516,18.69,-16.921,-220.375,0.02,13.858,-1,0
19,0.95,-16.871,-206.256,18.96,-16.921,-220.375,0.02,14.119,-1,0
20,1.0,-16.87,-205.996,18.9,-16.921,-220.375,0.0,14.379,-1,0
21,1.05,-16.869,-205.727,19.53,-16.921,-220.375,0.0,14.647,-1,0
22,1.1,-16.868,-205.451,20.08,-16.921,-220.375,0.0,14.923,-1,0
23,1.15,-16.867,-205.168,20.43,-16.92,-220.361,2.34,15.194,-1,0
24,1.2,-16.866,-204.88,20.78,-16.919,-220.306,5.13,15.426,-1,0
25,1.25,-16.865,-204.587,21.34,-16.916,-220.215,7.5,15.628,-1,0
26,1.3,-16.864,-204.287,21.77,-16.912,-220.094,9.48,15.807,-1,0
27,1.35,-16.863,-203.98,22.26,-16.908,-219.948,11.12,15.968,-1,0
28,1.4,-16.861,-203.668,22.6,-16.904,-219.781,12.6,16.114,-1,0
29,1.45,-16.86,-203.352,22.79,-16.9,-219.595,13.97,16.243,-1,0
30,1.5,-16.858,-203.031,23.24,-16.896,-219.39,15.28,16.359,-1,0
31,1.55,-16.857,-202.706,23.43,-16.892,-219.167,16.56,16.461,-1,0
32,1.6,-16.856,-202.377,23.76,-16.89,-218.926,17.81,16.549,-1,0
33,1.65,-16.854,-202.045,24.1,-16.888,-218.669,19.05,16.624,-1,0
34,1.7,-16.852,-201.708,24.41,-16.886,-218.396,19.73,16.688,-1,0
35,1.75,-16.85,-201.367,24.68,-16.886,-218.118,20.27,16.751,-1,0
36,1.8,-16.848,-201.022,25.08,-16.886,-217.831,20.95,16.809,-1,0
37,1.85,-16.845,-200.672,25.32,-16.887,-217.531,22.01,16.859,-1,0
38,1.9,-16.843,-200.318,25.69,-16.887,-217.216,23.32,16.898,-1,0
39,1.95,-16.842,-199.959,26.04,-16.887,-216.883,24.43,16.924,-1,0
40,2.0,-16.84,-199.595,26.34,-16.887,-216.536,25.4,16.941,-1,0
41,2.05,-16.838,-199.227,26.65,-16.887,-216.173,26.66,16.946,4532.508,0
42,2.1,-16.836,-198.854,26.98,-16.883,-215.793,27.85,16.938,70.57,0
43,2.15,-16.834,-198.477,27.33,-16.875,-215.395,29.17,16.918,33.072,0
44,2.2,-16.831,-198.099,27.26,-16.867,-214.982,30.03,16.884,21.905,0
45,2.25,-16.83,-197.721,27.25,-16.86,-214.557,31.05,16.836,15.913,0
46,2.3,-16.827,-197.339,27.75,-16.855,-214.117,32.08,16.778,13.927,0
47,2.35,-16.825,-196.95,28.17,-16.852,-213.661,33.37,16.711,11.582,0
48,2.4,-16.823,-196.556,28.52,-16.85,-213.188,34.46,16.633,10.08,0
49,2.45,-16.821,-196.157,28.83,-16.848,-212.704,35.03,16.547,9.615,0
50,2.5,-16.818,-195.754,29.11,-16.847,-212.218,34.87,16.465,10.294,0
51,2.55,-16.816,-195.347,29.37,-16.847,-211.738,34.43,16.39,11.66,0
52,2.6,-16.813,-194.937,29.62,-16.848,-211.266,33.64,16.329,14.634,0
53,2.65,-16.811,-194.523,29.87,-16.849,-210.805,32.86,16.282,19.663,0
54,2.7,-16.808,-194.106,30.12,-16.851,-210.357,31.92,16.251,32.517,0
55,2.75,-16.805,-193.686,30.36,-16.853,-209.918,31.41,16.233,55.511,0
56,2.8,-16.802,-193.262,30.6,-16.855,-209.485,31.11,16.223,113.832,0
57,2.85,-16.8,-192.835,30.84,-16.856,-209.052,31.22,16.218,151.33,0
58,2.9,-16.797,-192.404,31.08,-16.857,-208.617,31.49,16.212,141.82,0
59,2.95,-16.794,-191.971,31.31,-16.854,-208.174,32.15,16.203,69.859,0
60,3.0,-16.791,-191.534,31.55,-16.849,-207.721,32.93,16.187,42.259,0
61,3.05,-16.788,-191.094,31.79,-16.843,-207.255,33.97,16.161,26.605,0
62,3.1,-16.785,-190.65,32.02,-16.837,-206.776,34.77,16.126,21.094,0
63,3.15,-16.782,-190.204,32.26,-16.831,-206.289,35.14,16.086,20.08,0
64,3.2,-16.779,-189.754,32.49,-16.826,-205.803,34.87,16.049,24.283,0
65,3.25,-16.776,-189.301,32.73,-16.822,-205.323,34.36,16.022,35.253,0
66,3.3,-16.773,-188.844,32.96,-16.819,-204.853,33.52,16.008,103.129,0
67,3.35,-16.77,-188.385,33.2,-16.818,-204.393,32.8,16.009,-1,0
68,3.4,-16.767,-187.922,33.43,-16.818,-203.943,32.19,16.022,-1,0
69,3.45,-16.764,-187.456,33.66,-16.818,-203.498,32.05,16.042,-1,0
70,3.5,-16.761,-186.986,33.89,-16.819,-203.052,32.1,16.066,-1,0
71,3.55,-16.758,-186.514,34.11,-16.821,-202.603,32.6,16.089,-1,0
72,3.6,-16.754,-186.038,34.32,-16.823,-202.145,33.24,16.107,-1,0
73,3.65,-16.751,-185.56,34.52,-16.825,-201.675,34.22,16.115,-1,0
74,3.7,-16.748,-185.079,34.71,-16.827,-201.191,35.26,16.112,105.642,0
75,3.75,-16.745,-184.596,34.89,-16.826,-200.691,36.48,16.096,36.289,0
76,3.8,-16.742,-184.11,35.05,-16.821,-200.177,37.25,16.068,26.255,0
77,3.85,-16.738,-183.622,35.2,-16.816,-199.657,37.59,16.035,24.235,0
78,3.9,-16.735,-183.132,35.35,-16.811,-199.135,37.56,16.003,26.044,0
79,3.95,-16.732,-182.64,35.48,-16.805,-198.616,37.23,15.976,32.789,0
80,4.0,-16.728,-182.146,35.61,-16.799,-198.105,36.49,15.958,64.827,0
81,4.05,-16.725,-181.651,35.72,-16.794,-197.605,35.64,15.954,-1,0
82,4.1,-16.722,-181.154,35.83,-16.791,-197.119,34.54,15.965,-1,0
83,4.15,-16.719,-180.656,35.93,-16.789,-196.647,33.64,15.991,-1,0
84,4.2,-16.715,-180.156,36.02,-16.788,-196.186,32.93,16.03,-1,0
85,4.25,-16.712,-179.656,36.11,-16.79,-195.731,32.71,16.076,-1,0
86,4.3,-16.709,-179.153,36.19,-16.792,-195.277,32.71,16.124,-1,0
87,4.35,-16.705,-178.65,36.27,-16.795,-194.82,33.15,16.17,-1,0
88,4.4,-16.702,-178.146,36.34,-16.798,-194.354,33.76,16.208,-1,0
89,4.45,-16.699,-177.641,36.4,-16.8,-193.878,34.71,16.237,-1,0
90,4.5,-16.695,-177.135,36.46,-16.799,-193.387,35.74,16.252,-1,0
91,4.55,-16.692,-176.628,36.52,-16.797,-192.88,37.02,16.252,116.458,0
92,4.6,-16.688,-176.121,36.57,-16.792,-192.356,38.19,16.235,36.154,0
93,4.65,-16.685,-175.612,36.62,-16.787,-191.818,38.93,16.206,25.305,0
94,4.7,-16.682,-175.103,36.67,-16.781,-191.277,38.89,16.174,26.191,0
95,4.75,-16.678,-174.594,36.71,-16.776,-190.741,38.43,16.147,33.813,0
96,4.8,-16.675,-174.084,36.76,-16.77,-190.214,37.56,16.131,72.014,0
97,4.85,-16.672,-173.573,36.79,-16.766,-189.7,36.66,16.127,-1,0
98,4.9,-16.668,-173.062,36.83,-16.763,-189.2,35.52,16.139,-1,0
99,4.95,-16.665,-172.55,36.86,-16.761,-188.715,34.6,16.166,-1,0
100,5.0,-16.661,-172.038,36.89,-16.761,-188.241,33.87,16.204,-1,0
101,5.05,-16.658,-171.525,36.92,-16.763,-187.773,33.64,16.248,-1,0
102,5.1,-16.655,-171.012,36.95,-16.764,-187.306,33.64,16.294,-1,0
103,5.15,-16.651,-170.499,36.97,-16.765,-186.835,34.09,16.337,-1,0
104,5.2,-16.648,-169.985,37.0,-16.766,-186.357,34.7,16.372,-1,0
105,5.25,-16.644,-169.471,37.02,-16.765,-185.867,35.65,16.397,-1,0
106,5.3,-16.641,-168.957,37.04,-16.762,-185.364,36.62,16.408,-1,0
107,5.35,-16.638,-168.442,37.06,-16.758,-184.848,37.37,16.407,189.787,0
108,5.4,-16.634,-167.927,37.08,-16.753,-184.327,37.55,16.4,124.6,0
109,5.45,-16.631,-167.412,37.09,-16.749,-183.807,37.34,16.395,235.956,0
110,5.5,-16.627,-166.897,37.11,-16.744,-183.294,36.68,16.397,-1,0
111,5.55,-16.624,-166.381,37.12,-16.74,-182.791,35.88,16.41,-1,0
