step	idx	score	x	y	w	h	class
1	0	0.9960	-32.00	-40.00	-0.00	-0.00	0
1	1	0.9955	-32.00	-40.00	-0.00	-0.00	0
1	2	0.8174	9.73	0.07	2.84	1.09	0
2	0	0.9963	-32.00	-40.00	-0.00	-0.00	0
2	1	0.9952	-32.00	-40.00	-0.00	-0.00	0
2	2	0.8225	9.77	0.08	2.77	1.07	0
3	0	0.9965	-32.00	-40.00	-0.00	-0.00	0
3	1	0.9962	-32.00	-40.00	-0.00	-0.00	0
3	2	0.7965	9.76	0.07	2.80	1.08	0
4	0	0.9970	-32.00	-40.00	-0.00	-0.00	0
4	1	0.9966	-32.00	-40.00	-0.00	-0.00	0
4	2	0.6893	10.12	-0.16	2.82	1.09	0
5	0	0.9981	-32.00	-40.00	-0.00	-0.00	0
5	1	0.9960	-32.00	-40.00	-0.00	-0.00	0
5	2	0.8676	10.29	-0.25	2.84	1.10	0
6	0	0.9979	-32.00	-40.00	-0.00	-0.00	0
6	1	0.9959	-32.00	-40.00	-0.00	-0.00	0
6	2	0.8967	10.63	-0.34	2.85	1.10	0
7	0	0.9979	-32.00	-40.00	-0.00	-0.00	0
7	1	0.8371	10.81	-0.33	2.84	1.10	0
8	0	0.9985	-32.00	-40.00	-0.00	-0.00	0
8	1	0.9975	-32.00	-40.00	-0.00	-0.00	0
8	2	0.7672	11.14	-0.27	2.76	1.06	0
9	0	0.9975	-32.00	-40.00	-0.00	-0.00	0
9	1	0.9975	-32.00	-40.00	-0.00	-0.00	0
9	2	0.9165	11.33	-0.36	2.84	1.10	0
10	0	0.9973	-32.00	-40.00	-0.00	-0.00	0
10	1	0.9962	-32.00	-40.00	-0.00	-0.00	0
10	2	0.9212	11.44	-0.34	2.84	1.10	0
11	0	0.9974	-32.00	-40.00	-0.00	-0.00	0
11	1	0.9962	-32.00	-40.00	-0.00	-0.00	0
11	2	0.9095	11.53	-0.32	2.81	1.09	0
12	0	0.9984	-32.00	-40.00	-0.00	-0.00	0
12	1	0.9967	-32.00	-40.00	-0.00	-0.00	0
12	2	0.8248	11.80	-0.29	2.76	1.06	0
13	0	0.9982	-32.00	-40.00	-0.00	-0.00	0
13	1	0.9977	-32.00	-40.00	-0.00	-0.00	0
13	2	0.8533	12.20	-0.35	2.75	1.06	0
14	0	0.9981	-32.00	-40.00	-0.00	-0.00	0
14	1	0.9976	-32.00	-40.00	-0.00	-0.00	0
14	2	0.9160	12.42	-0.30	2.82	1.09	0
15	0	0.9980	-32.00	-40.00	-0.00	-0.00	0
15	1	0.9973	-32.00	-40.00	-0.00	-0.00	0
15	2	0.8964	12.63	-0.37	2.81	1.09	0
16	0	0.9984	-32.00	-40.00	-0.00	-0.00	0
16	1	0.9978	-32.00	-40.00	-0.00	-0.00	0
16	2	0.8353	12.79	-0.31	2.79	1.07	0
17	0	0.9979	-32.00	-40.00	-0.00	-0.00	0
17	1	0.9974	-32.00	-40.00	-0.00	-0.00	0
17	2	0.8413	13.20	-0.37	2.77	1.07	0
18	0	0.9978	-32.00	-40.00	-0.00	-0.00	0
18	1	0.9961	-32.00	-40.00	-0.00	-0.00	0
18	2	0.9213	13.41	-0.44	2.78	1.07	0
19	0	0.9967	-32.00	-40.00	-0.00	-0.00	0
19	1	0.9953	-32.00	-40.00	-0.00	-0.00	0
19	2	0.9949	-32.00	-40.00	-0.00	-0.00	0
19	3	0.8933	13.73	-0.60	2.82	1.09	0
20	0	0.9968	-32.00	-40.00	-0.00	-0.00	0
20	1	0.9949	-32.00	-40.00	-0.00	-0.00	0
20	2	0.9946	-32.00	-40.00	-0.00	-0.00	0
20	3	0.8919	13.71	-0.76	2.81	1.09	0
21	0	0.9967	-32.00	-40.00	-0.00	-0.00	0
21	1	0.9951	-32.00	-40.00	-0.00	-0.00	0
21	2	0.7608	14.20	-1.11	2.78	1.08	0
22	0	0.9960	-32.00	-40.00	-0.00	-0.00	0
22	1	0.9958	-32.00	-40.00	-0.00	-0.00	0
22	2	0.8625	14.18	-1.34	2.82	1.08	0
23	0	0.9963	-32.00	-40.00	-0.00	-0.00	0
23	1	0.9962	-32.00	-40.00	-0.00	-0.00	0
23	2	0.8625	14.28	-1.72	2.80	1.09	0
24	0	0.9959	-32.00	-40.00	-0.00	-0.00	0
24	1	0.9942	-32.00	-40.00	0.00	-0.00	0
24	2	0.7902	14.17	-2.19	2.83	1.08	0
25	0	0.9962	-32.00	-40.00	-0.00	-0.00	0
25	1	0.9941	-32.00	-40.00	0.00	-0.00	0
25	2	0.7833	14.15	-2.47	2.83	1.09	0
26	0	0.9966	-32.00	-40.00	-0.00	-0.00	0
