step	score	x	y	w	h	class
0	0.0000					
1	0.6020	9.53	0.15	2.84	1.10	0
2	0.7182	9.60	0.16	2.84	1.09	0
3	0.7427	9.68	0.20	2.82	1.09	0
4	0.6788	9.69	0.16	2.83	1.09	0
5	0.7462	9.76	0.22	2.82	1.09	0
6	0.7869	10.36	0.13	2.84	1.09	0
7	0.7369	10.54	0.09	2.84	1.09	0
8	0.7085	10.82	0.09	2.84	1.09	0
9	0.6963	11.39	-0.22	2.81	1.08	0
10	0.7532	11.42	0.08	2.83	1.09	0
11	0.7635	11.56	-0.06	2.84	1.10	0
12	0.7484	11.79	-0.16	2.73	1.06	0
13	0.7286	12.24	-0.22	2.76	1.08	0
14	0.8020	12.46	-0.19	2.78	1.07	0
15	0.7944	12.43	0.07	2.81	1.09	0
16	0.7535	13.31	-0.25	2.78	1.07	0
17	0.7876	12.69	0.10	2.79	1.08	0
18	0.8149	13.36	-0.28	2.78	1.07	0
19	0.7961	13.29	-0.23	2.79	1.07	0
20	0.8116	13.51	-0.17	2.78	1.07	0
21	0.8494	13.55	-0.17	2.79	1.08	0
22	0.8281	13.64	-0.12	2.79	1.08	0
23	0.7916	13.70	-0.09	2.79	1.08	0
24	0.7857	13.73	-0.09	2.77	1.07	0
25	0.7651	13.74	0.10	2.77	1.07	0
26	0.8394	13.65	0.11	2.78	1.07	0
27	0.8101	13.79	0.09	2.76	1.07	0
28	0.8118	13.79	-0.26	2.77	1.06	0
29	0.8123	13.71	-0.13	2.79	1.08	0
30	0.7702	13.80	-0.11	2.79	1.08	0
31	0.7477	14.27	-0.15	2.78	1.08	0
32	0.7725	13.65	0.09	2.78	1.08	0
33	0.8173	13.74	-0.27	2.78	1.06	0
34	0.8100	13.72	0.09	2.79	1.08	0
35	0.8074	13.75	-0.28	2.77	1.07	0
36	0.8312	13.67	0.09	2.80	1.09	0
37	0.8447	13.52	0.10	2.80	1.09	0
38	0.8262	13.76	0.09	2.81	1.09	0
39	0.8494	13.45	0.10	2.81	1.09	0
40	0.8623	13.45	0.13	2.82	1.09	0
41	0.7840	13.28	0.14	2.77	1.08	0
42	0.7976	13.30	0.12	2.77	1.08	0
43	0.8378	13.23	0.18	2.77	1.08	0
44	0.8342	13.20	0.27	2.77	1.08	0
45	0.8196	13.16	0.35	2.78	1.08	0
46	0.8269	12.80	0.33	2.82	1.09	0
47	0.8651	12.74	0.43	2.76	1.08	0
48	0.8592	12.78	0.36	2.76	1.07	0
49	0.8509	12.83	0.27	2.77	1.06	0
50	0.8077	12.84	0.31	2.76	1.07	0
51	0.8324	12.81	0.17	2.78	1.06	0
52	0.8557	13.23	0.23	2.79	1.08	0
53	0.8617	13.25	0.24	2.79	1.08	0
54	0.8662	13.21	0.25	2.78	1.08	0
55	0.8651	13.25	0.23	2.79	1.08	0
56	0.8888	13.42	0.16	2.82	1.10	0
57	0.8834	13.39	0.22	2.83	1.10	0
58	0.8754	13.78	0.18	2.81	1.09	0
59	0.8730	13.70	0.24	2.75	1.07	0
60	0.8627	13.78	0.25	2.75	1.07	0
61	0.8444	14.16	0.24	2.82	1.10	0
62	0.8594	14.17	0.21	2.82	1.10	0
63	0.8642	14.27	0.17	2.83	1.10	0
64	0.8811	14.35	0.18	2.83	1.10	0
65	0.8944	14.54	0.16	2.75	1.07	0
66	0.8516	14.72	0.10	2.74	1.07	0
67	0.8793	14.55	0.11	2.75	1.07	0
68	0.8591	14.35	0.10	2.76	1.07	0
69	0.8456	14.45	0.09	2.83	1.10	0
70	0.8563	14.50	0.10	2.81	1.09	0
71	0.8542	14.38	-0.14	2.80	1.07	0
72	0.8276	14.66	-0.15	2.80	1.08	0
