step	score	x	y	w	h	class
0	0.0000					
1	0.7518	9.74	0.08	2.80	1.09	0
2	0.8195	9.75	0.06	2.82	1.08	0
3	0.7538	9.79	-0.07	2.82	1.09	0
4	0.7668	10.21	-0.06	2.86	1.10	0
5	0.8587	10.32	-0.15	2.83	1.09	0
6	0.8879	10.59	-0.34	2.83	1.09	0
7	0.8148	10.83	-0.38	2.79	1.07	0
8	0.8481	11.21	-0.35	2.77	1.07	0
9	0.9108	11.29	-0.47	2.80	1.08	0
10	0.9233	11.37	-0.45	2.82	1.09	0
11	0.9237	11.46	-0.45	2.80	1.07	0
12	0.8786	11.76	-0.41	2.81	1.08	0
13	0.8433	12.17	-0.37	2.80	1.07	0
14	0.9240	12.40	-0.36	2.81	1.08	0
15	0.9127	12.40	-0.46	2.81	1.09	0
16	0.8962	12.61	-0.66	2.82	1.09	0
17	0.8373	12.78	-0.87	2.82	1.09	0
18	0.7432	13.22	-1.11	2.83	1.09	0
19	0.8798	13.22	-1.40	2.83	1.09	0
20	0.9026	13.29	-1.63	2.83	1.09	0
21	0.9095	13.43	-1.70	2.85	1.09	0
22	0.9065	13.46	-1.80	2.83	1.08	0
23	0.9156	13.39	-1.49	2.80	1.08	0
24	0.9231	13.62	-1.53	2.81	1.08	0
25	0.9167	13.53	-1.37	2.82	1.08	0
26	0.8322	13.35	-1.13	2.73	1.05	0
27	0.9080	13.47	-0.77	2.82	1.08	0
28	0.9201	13.43	-0.42	2.82	1.08	0
29	0.9122	13.41	-0.12	2.80	1.07	0
30	0.8305	13.37	0.08	2.74	1.07	0
31	0.8927	13.44	0.12	2.79	1.07	0
32	0.8820	13.39	0.40	2.71	1.05	0
33	0.8861	13.39	0.49	2.72	1.06	0
34	0.8996	13.34	0.43	2.80	1.08	0
35	0.8901	13.26	0.45	2.80	1.07	0
36	0.8930	13.63	0.40	2.80	1.07	0
37	0.8891	13.68	0.43	2.79	1.07	0
38	0.8822	13.74	0.40	2.79	1.07	0
39	0.8963	13.50	0.52	2.81	1.09	0
40	0.8923	13.57	0.40	2.80	1.08	0
41	0.9079	13.54	0.34	2.81	1.08	0
42	0.9008	13.53	0.29	2.80	1.09	0
43	0.8949	13.58	0.14	2.79	1.07	0
44	0.8878	13.67	0.13	2.78	1.07	0
45	0.8877	13.69	0.12	2.79	1.07	0
46	0.8692	13.71	0.11	2.79	1.07	0
47	0.8486	13.74	0.09	2.79	1.07	0
48	0.8132	13.83	0.10	2.79	1.07	0
49	0.8688	13.71	0.11	2.80	1.07	0
50	0.8282	13.82	0.12	2.79	1.07	0
51	0.8909	13.66	0.13	2.79	1.07	0
52	0.8883	13.69	0.22	2.79	1.07	0
53	0.8228	13.84	0.30	2.78	1.06	0
54	0.8854	13.75	0.31	2.79	1.07	0
55	0.8727	13.77	0.27	2.79	1.07	0
56	0.8219	14.14	0.36	2.79	1.08	0
57	0.8878	13.74	0.26	2.80	1.07	0
58	0.8603	13.79	0.20	2.78	1.07	0
59	0.8504	14.15	0.28	2.68	1.03	0
60	0.8567	14.22	0.21	2.80	1.09	0
