step	idx	score	x	y	w	h	class
1	0	0.9967	-32.00	-40.00	-0.00	-0.00	0
1	1	0.9954	-32.00	-40.00	-0.00	-0.00	0
1	2	0.9939	-32.00	-40.00	-0.00	-0.00	0
1	3	0.4279	9.45	0.17	3.19	1.21	5
2	0	0.9970	-32.00	-40.00	-0.00	-0.00	0
2	1	0.9954	-32.00	-40.00	0.00	-0.00	0
2	2	0.9937	-32.00	-40.00	-0.00	-0.00	0
2	3	0.4489	9.45	0.09	2.95	1.14	0
3	0	0.9986	-32.00	-40.00	-0.00	-0.00	0
3	1	0.9970	-32.00	-40.00	0.00	-0.00	0
3	2	0.9962	-32.00	-40.00	-0.00	-0.00	0
3	3	0.6004	9.70	0.09	2.89	1.12	0
4	0	0.9978	-32.00	-40.00	-0.00	-0.00	0
4	1	0.9966	-32.00	-40.00	-0.00	-0.00	0
4	2	0.9963	-32.00	-40.00	-0.00	-0.00	0
4	3	0.6946	9.83	0.09	2.85	1.10	0
5	0	0.9975	-32.00	-40.00	-0.00	-0.00	0
5	1	0.9961	-32.00	-40.00	-0.00	-0.00	0
5	2	0.7395	10.21	0.16	2.80	1.08	0
6	0	0.9981	-32.00	-40.00	-0.00	-0.00	0
6	1	0.9967	-32.00	-40.00	0.00	-0.00	0
6	2	0.9960	-32.00	-40.00	-0.00	-0.00	0
6	3	0.7940	10.50	0.17	2.79	1.08	0
7	0	0.9980	-32.00	-40.00	-0.00	-0.00	0
7	1	0.9970	-32.00	-40.00	0.00	-0.00	0
7	2	0.9962	-32.00	-40.00	-0.00	-0.00	0
7	3	0.8041	10.84	0.17	2.79	1.07	0
8	0	0.9986	-32.00	-40.00	-0.00	-0.00	0
8	1	0.9968	-32.00	-40.00	0.00	-0.00	0
8	2	0.9967	-32.00	-40.00	-0.00	-0.00	0
8	3	0.7302	10.89	0.19	2.78	1.07	0
9	0	0.9992	-32.00	-40.00	-0.00	-0.00	0
9	1	0.9976	-32.00	-40.00	0.00	-0.00	0
9	2	0.8161	11.30	0.16	2.78	1.06	0
10	0	0.9991	-32.00	-40.00	-0.00	-0.00	0
10	1	0.9974	-32.00	-40.00	-0.00	-0.00	0
10	2	0.9971	-32.00	-40.00	0.00	-0.00	0
10	3	0.8162	11.36	0.17	2.77	1.06	0
11	0	0.9993	-32.00	-40.00	-0.00	-0.00	0
11	1	0.9978	-32.00	-40.00	0.00	0.00	0
11	2	0.9975	-32.00	-40.00	-0.00	-0.00	0
11	3	0.8467	11.59	0.18	2.78	1.07	0
11	4	0.3459	-30.55	-33.37	2.40	0.97	0
12	0	0.9992	-32.00	-40.00	-0.00	-0.00	0
12	1	0.9976	-32.00	-40.00	-0.00	-0.00	0
12	2	0.9975	-32.00	-40.00	0.00	-0.00	0
12	3	0.7959	11.65	0.13	2.76	1.06	0
12	4	0.3192	-30.67	-33.42	2.41	0.97	0
13	0	0.9993	-32.00	-40.00	-0.00	-0.00	0
13	1	0.9981	-32.00	-40.00	0.00	-0.00	0
13	2	0.9973	-32.00	-40.00	-0.00	-0.00	0
13	3	0.8066	12.29	0.11	2.77	1.06	0
14	0	0.9993	-32.00	-40.00	-0.00	-0.00	0
14	1	0.9983	-32.00	-40.00	0.00	-0.00	0
14	2	0.9972	-32.00	-40.00	-0.00	-0.00	0
14	3	0.8557	12.45	0.13	2.78	1.07	0
15	0	0.9993	-32.00	-40.00	0.00	-0.00	0
15	1	0.9978	-32.00	-40.00	0.00	-0.00	0
15	2	0.9971	-32.00	-40.00	-0.00	-0.00	0
15	3	0.8632	12.59	0.17	2.79	1.08	0
16	0	0.9992	-32.00	-40.00	-0.00	-0.00	0
16	1	0.9978	-32.00	-40.00	0.00	-0.00	0
16	2	0.9971	-32.00	-40.00	-0.00	-0.00	0
16	3	0.8264	12.80	0.17	2.79	1.08	0
17	0	0.9992	-32.00	-40.00	-0.00	-0.00	0
17	1	0.9974	-32.00	-40.00	-0.00	-0.00	0
17	2	0.9973	-32.00	-40.00	0.00	-0.00	0
17	3	0.8539	13.29	0.16	2.79	1.07	0
18	0	0.9992	-32.00	-40.00	0.00	-0.00	0
18	1	0.9977	-32.00	-40.00	0.00	0.00	0
18	2	0.9973	-32.00	-40.00	-0.00	-0.00	0
18	3	0.8655	13.39	0.18	2.80	1.09	0
19	0	0.9980	-32.00	-40.00	-0.00	-0.00	0
19	1	0.9969	-32.00	-40.00	0.00	-0.00	0
19	2	0.9964	-32.00	-40.00	-0.00	-0.00	0
19	3	0.8678	13.63	0.18	2.80	1.09	0
20	0	0.9979	-32.00	-40.00	-0.00	-0.00	0
20	1	0.9966	-32.00	-40.00	0.00	-0.00	0
20	2	0.9963	-32.00	-40.00	-0.00	-0.00	0
20	3	0.8827	13.61	0.21	2.80	1.09	0
21	0	0.9982	-32.00	-40.00	-0.00	-0.00	0
21	1	0.9970	-32.00	-40.00	0.00	-0.00	0
21	2	0.8527	13.78	0.22	2.78	1.08	0
22	0	0.9985	-32.00	-40.00	-0.00	-0.00	0
22	1	0.9977	-32.00	-40.00	0.00	-0.00	0
22	2	0.9973	-32.00	-40.00	-0.00	-0.00	0
22	3	0.8765	13.76	0.32	2.79	1.09	0
23	0	0.9979	-32.00	-40.00	-0.00	-0.00	0
23	1	0.8230	14.22	0.34	2.76	1.07	0
24	0	0.9993	-32.00	-40.00	0.00	0.00	0
24	1	0.9976	-32.00	-40.00	-0.00	-0.00	0
24	2	0.9972	-32.00	-40.00	0.00	-0.00	0
