tick,sim_time_s,throttle,steer,brake
0,0.0,0.0,0.0,1.0
1,0.05,0.0,0.473,1.0
2,0.1,0.0,0.442,1.0
3,0.15,0.0,0.293,1.0
4,0.2,0.0,0.182,1.0
5,0.25,0.0,0.081,1.0
6,0.3,0.0,0.0,1.0
7,0.35,0.0,0.0,1.0
8,0.4,1.0,0.15,0.0
9,0.45,0.0,0.0,1.0
10,0.5,1.0,0.14,0.0
11,0.55,1.0,0.172,0.0
12,0.6,1.0,0.157,0.0
13,0.65,1.0,0.171,0.0
14,0.7,1.0,0.17,0.0
15,0.75,1.0,0.173,0.0
16,0.8,1.0,0.18,0.0
17,0.85,1.0,0.156,0.0
18,0.9,1.0,0.161,0.0
19,0.95,1.0,0.178,0.0
20,1.0,1.0,0.172,0.0
21,1.05,1.0,0.219,0.0
22,1.1,1.0,0.208,0.0
23,1.15,1.0,0.353,0.0
24,1.2,1.0,0.44,0.0
25,1.25,1.0,0.431,0.0
26,1.3,1.0,0.339,0.0
27,1.35,1.0,0.179,0.0
28,1.4,1.0,0.124,0.0
29,1.45,1.0,-0.017,0.0
30,1.5,1.0,-0.145,0.0
31,1.55,1.0,-0.218,0.0
32,1.6,1.0,-0.337,0.0
33,1.65,1.0,-0.373,0.0
34,1.7,0.3206,-0.409,0.0
35,1.75,0.2361,-0.327,0.0
36,1.8,0.0,-0.309,1.0
37,1.85,0.0,-0.229,1.0
38,1.9,0.2426,-0.133,0.0
39,1.95,0.8043,-0.046,0.0
40,2.0,0.691,0.004,0.0
41,2.05,0.7438,0.05,0.0
42,2.1,0.3307,0.084,0.0
43,2.15,0.2414,0.086,0.0
44,2.2,0.5124,0.074,0.0
45,2.25,0.2428,0.055,0.0
46,2.3,0.2433,0.022,0.0
47,2.35,0.2433,0.011,0.0
48,2.4,0.2427,0.004,0.0
49,2.45,0.3362,-0.006,0.0
50,2.5,0.3145,-0.039,0.0
51,2.55,0.2398,-0.085,0.0
52,2.6,0.5124,-0.057,0.0
53,2.65,0.5536,-0.024,0.0
54,2.7,0.8688,0.009,0.0
55,2.75,0.8126,0.022,0.0
56,2.8,0.4863,0.047,0.0
57,2.85,0.6048,0.052,0.0
58,2.9,0.6759,0.068,0.0
59,2.95,0.3217,0.056,0.0
60,3.0,0.0,0.049,1.0
61,3.05,0.0,0.042,1.0
62,3.1,0.4641,0.029,0.0
63,3.15,1.0,0.014,0.0
64,3.2,0.9399,0.015,0.0
65,3.25,1.0,0.015,0.0
66,3.3,1.0,0.011,0.0
67,3.35,1.0,0.013,0.0
68,3.4,1.0,0.007,0.0
69,3.45,1.0,-0.001,0.0
70,3.5,1.0,0.003,0.0
71,3.55,1.0,0.012,0.0
72,3.6,1.0,0.01,0.0
73,3.65,1.0,0.011,0.0
74,3.7,0.938,0.008,0.0
75,3.75,0.3564,0.007,0.0
76,3.8,0.3295,0.008,0.0
77,3.85,0.0,0.003,1.0
78,3.9,0.0,0.003,1.0
79,3.95,0.0,-0.001,1.0
80,4.0,0.0,-0.014,1.0
81,4.05,0.0,-0.01,1.0
82,4.1,0.3187,-0.002,0.0
83,4.15,0.7759,-0.002,0.0
84,4.2,0.9295,-0.004,0.0
85,4.25,1.0,0.002,0.0
86,4.3,1.0,0.001,0.0
87,4.35,1.0,0.002,0.0
88,4.4,0.7788,0.004,0.0
89,4.45,0.3859,0.004,0.0
90,4.5,0.3239,0.006,0.0
91,4.55,0.3268,0.007,0.0
92,4.6,0.0,0.004,1.0
93,4.65,0.0,0.003,1.0
94,4.7,0.0,0.001,1.0
95,4.75,0.3217,-0.005,0.0
96,4.8,1.0,-0.003,0.0
97,4.85,1.0,-0.002,0.0
98,4.9,1.0,-0.001,0.0
99,4.95,1.0,-0.014,0.0
100,5.0,1.0,0.002,0.0
101,5.05,1.0,0.001,0.0
102,5.1,0.3199,0.002,0.0
103,5.15,0.0,0.002,1.0
104,5.2,0.0,0.003,1.0
105,5.25,0.0,0.003,1.0
106,5.3,0.0,0.005,1.0
107,5.35,0.0,0.003,1.0
108,5.4,0.3155,0.002,0.0
109,5.45,1.0,-0.0,0.0
110,5.5,1.0,-0.02,0.0
111,5.55,1.0,-0.013,0.0
112,5.6,1.0,0.002,0.0
113,5.65,1.0,0.0,0.0
114,5.7,0.3117,0.003,0.0
115,5.75,0.0,0.001,1.0
116,5.8,0.0,0.006,1.0
117,5.85,0.0,0.005,1.0
118,5.9,0.0,0.006,1.0
119,5.95,0.0,0.006,1.0
120,6.0,0.0,0.008,1.0
121,6.05,0.0,0.008,1.0
122,6.1,1.0,0.005,0.0
123,6.15,1.0,0.003,0.0
124,6.2,1.0,0.001,0.0
125,6.25,1.0,-0.004,0.0
126,6.3,0.9195,-0.028,0.0
127,6.35,1.0,-0.022,0.0
128,6.4,1.0,0.003,0.0
129,6.45,1.0,0.002,0.0
130,6.5,0.508,0.001,0.0
131,6.55,0.5418,-0.001,0.0
