tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,82.584,6.418,21.21,92.38,6.458,21.21,9.797,-1,0
1,0.05,82.307,6.417,21.51,92.103,6.457,21.86,9.796,101.475,0
2,0.1,82.034,6.416,21.03,91.83,6.455,20.58,9.797,-1,0
3,0.15,81.762,6.414,20.31,91.65,6.442,10.06,9.889,-1,0
4,0.2,81.491,6.413,19.63,91.581,6.435,2.31,10.091,-1,0
5,0.25,81.22,6.413,19.76,91.578,6.434,0.32,10.358,-1,0
6,0.3,80.95,6.411,19.25,91.577,6.434,0.69,10.628,-1,0
7,0.35,80.68,6.41,19.56,91.577,6.434,0.74,10.898,-1,0
8,0.4,80.425,6.408,17.88,91.577,6.434,0.66,11.152,-1,0
9,0.45,80.184,6.407,17.47,91.577,6.434,0.53,11.394,-1,0
10,0.5,79.946,6.405,17.34,91.577,6.434,0.41,11.632,-1,0
11,0.55,79.708,6.404,17.41,91.577,6.434,0.31,11.87,-1,0
12,0.6,79.467,6.403,17.59,91.577,6.434,0.22,12.112,-1,0
13,0.65,79.222,6.402,17.86,91.577,6.434,0.16,12.357,-1,0
14,0.7,78.972,6.401,18.18,91.577,6.434,0.11,12.607,-1,0
15,0.75,78.717,6.4,18.35,91.577,6.434,0.08,12.861,-1,0
16,0.8,78.464,6.4,18.24,91.577,6.434,0.05,13.114,-1,0
17,0.85,78.211,6.399,18.53,91.577,6.434,0.04,13.367,-1,0
18,0.9,77.956,6.398,18.52,91.577,6.434,0.02,13.623,-1,0
19,0.95,77.703,6.397,17.96,91.564,6.433,2.31,13.863,-1,0
20,1.0,77.448,6.396,18.63,91.509,6.428,5.1,14.062,-1,0
21,1.05,77.185,6.395,19.1,91.417,6.418,7.52,14.234,-1,0
22,1.1,76.915,6.394,19.68,91.298,6.404,9.32,14.384,-1,0
23,1.15,76.641,6.393,19.82,91.157,6.384,10.9,14.518,-1,0
24,1.2,76.361,6.392,20.25,90.997,6.358,12.34,14.637,-1,0
25,1.25,76.075,6.391,20.76,90.819,6.322,13.59,14.745,-1,0
26,1.3,75.781,6.39,21.39,90.629,6.272,14.68,14.85,-1,0
27,1.35,75.481,6.389,21.6,90.426,6.209,16.0,14.947,-1,0
28,1.4,75.176,6.387,21.99,90.204,6.143,17.31,15.03,-1,0
29,1.45,74.868,6.386,22.24,89.962,6.079,18.56,15.098,-1,0
30,1.5,74.555,6.385,22.59,89.701,6.019,19.74,15.151,-1,0
31,1.55,74.239,6.385,22.8,89.427,5.967,20.32,15.194,-1,0
32,1.6,73.918,6.384,23.26,89.144,5.924,21.06,15.233,-1,0
33,1.65,73.592,6.383,23.54,88.849,5.892,21.69,15.265,-1,0
34,1.7,73.262,6.382,23.95,88.545,5.876,22.27,15.292,-1,0
35,1.75,72.927,6.381,24.19,88.228,5.877,23.26,15.309,-1,0
36,1.8,72.589,6.38,24.55,87.901,5.891,23.95,15.32,-1,0
37,1.85,72.245,6.378,24.85,87.566,5.917,24.45,15.328,-1,0
38,1.9,71.898,6.376,25.16,87.229,5.951,24.49,15.337,-1,0
39,1.95,71.547,6.375,25.45,86.893,5.99,24.37,15.351,-1,0
40,2.0,71.191,6.373,25.78,86.561,6.027,23.83,15.375,-1,0
41,2.05,70.83,6.371,26.1,86.236,6.06,23.34,15.409,-1,0
42,2.1,70.465,6.369,26.47,85.918,6.088,22.85,15.456,-1,0
43,2.15,70.096,6.368,26.76,85.603,6.109,22.73,15.509,-1,0
44,2.2,69.723,6.365,26.89,85.288,6.125,22.75,15.567,-1,0
45,2.25,69.35,6.363,26.91,84.968,6.137,23.25,15.62,-1,0
46,2.3,68.977,6.36,26.98,84.641,6.147,23.83,15.666,-1,0
47,2.35,68.597,6.358,27.58,84.304,6.158,24.53,15.709,-1,0
48,2.4,68.211,6.355,27.95,83.96,6.169,24.91,15.751,-1,0
49,2.45,67.82,6.353,28.27,83.611,6.181,25.23,15.793,-1,0
50,2.5,67.425,6.35,28.56,83.261,6.194,25.17,15.837,-1,0
51,2.55,67.026,6.347,28.83,82.914,6.209,24.95,15.888,-1,0
52,2.6,66.624,6.344,29.09,82.573,6.227,24.32,15.95,-1,0
53,2.65,66.217,6.342,29.34,82.24,6.248,23.82,16.023,-1,0
54,2.7,65.808,6.339,29.59,81.915,6.27,23.33,16.107,-1,0
55,2.75,65.395,6.336,29.83,81.592,6.292,23.22,16.198,-1,0
56,2.8,64.979,6.333,30.06,81.271,6.313,23.17,16.293,-1,0
57,2.85,64.559,6.331,30.3,80.947,6.331,23.5,16.388,-1,0
58,2.9,64.136,6.328,30.54,80.619,6.346,23.83,16.483,-1,0
59,2.95,63.71,6.325,30.77,80.283,6.357,24.53,16.573,-1,0
60,3.0,63.281,6.322,31.01,79.937,6.365,25.33,16.656,-1,0
61,3.05,62.848,6.319,31.24,79.577,6.371,26.36,16.729,-1,0
62,3.1,62.412,6.316,31.48,79.206,6.376,26.9,16.794,-1,0
63,3.15,61.973,6.314,31.71,78.831,6.38,27.21,16.858,-1,0
64,3.2,61.531,6.311,31.95,78.453,6.384,27.31,16.922,-1,0
65,3.25,61.086,6.308,32.18,78.072,6.388,27.61,16.987,-1,0
66,3.3,60.637,6.305,32.42,77.686,6.391,28.0,17.05,-1,0
67,3.35,60.185,6.302,32.65,77.291,6.393,28.81,17.106,-1,0
68,3.4,59.73,6.299,32.89,76.885,6.394,29.55,17.155,-1,0
69,3.45,59.271,6.296,33.12,76.468,6.394,30.33,17.197,-1,0
70,3.5,58.809,6.293,33.35,76.04,6.394,31.03,17.231,-1,0
71,3.55,58.344,6.29,33.59,75.602,6.394,31.91,17.258,-1,0
72,3.6,57.876,6.287,33.82,75.151,6.393,32.83,17.276,-1,0
73,3.65,57.404,6.284,34.04,74.685,6.392,34.04,17.281,-1,0
74,3.7,56.93,6.281,34.26,74.203,6.391,35.18,17.273,66.95,0
75,3.75,56.453,6.278,34.46,73.705,6.39,36.21,17.253,35.437,0
76,3.8,55.972,6.274,34.65,73.198,6.388,36.67,17.226,30.757,0
77,3.85,55.49,6.271,34.83,72.686,6.386,36.93,17.197,29.546,0
78,3.9,55.005,6.268,35.0,72.174,6.384,36.86,17.17,33.277,0
79,3.95,54.517,6.265,35.16,71.664,6.382,36.51,17.148,45.542,0
80,4.0,54.028,6.262,35.3,71.163,6.38,35.92,17.135,99.461,0
81,4.05,53.537,6.259,35.44,70.666,6.381,35.62,17.13,348.669,0
82,4.1,53.043,6.255,35.57,70.175,6.381,35.26,17.132,-1,0
83,4.15,52.549,6.252,35.68,69.687,6.381,35.05,17.139,-1,0
