tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,follower_throttle,follower_steer,follower_brake,collision_detected
0,0.0,581.373,-13.603,49.18,596.36,-13.493,50.75,14.988,34.345,0.0,0.0,1.0,0
1,0.05,580.695,-13.608,48.77,595.67,-13.498,49.15,14.976,142.509,0.0,0.0,1.0,0
2,0.1,580.015,-13.613,48.99,595.071,-13.503,39.96,15.056,-1,0.0,0.0,1.0,0
3,0.15,579.337,-13.618,48.77,594.584,-13.506,32.12,15.248,-1,0.0,0.0,1.0,0
4,0.2,578.658,-13.623,48.94,594.192,-13.509,25.83,15.535,-1,0.0,0.0,1.0,0
5,0.25,577.98,-13.628,48.75,593.879,-13.512,20.53,15.9,-1,0.0,0.038,1.0,0
6,0.3,577.302,-13.633,48.91,593.634,-13.516,15.91,16.332,-1,0.75,0.015,0.0,0
7,0.35,576.624,-13.638,48.73,593.452,-13.518,11.18,16.829,-1,0.75,0.035,0.0,0
8,0.4,575.948,-13.643,48.38,593.301,-13.521,10.86,17.353,-1,0.75,0.02,0.0,0
9,0.45,575.282,-13.648,47.75,593.149,-13.528,10.96,17.867,-1,0.75,0.217,0.0,0
10,0.5,574.62,-13.653,47.62,592.998,-13.536,10.81,18.378,-1,0.75,0.064,0.0,0
11,0.55,573.958,-13.657,47.78,592.847,-13.547,10.93,18.89,-1,0.75,0.128,0.0,0
12,0.6,573.291,-13.662,48.17,592.696,-13.557,10.79,19.406,-1,0.75,0.057,0.0,0
13,0.65,572.618,-13.667,48.69,592.546,-13.569,10.89,19.929,-1,0.75,0.254,0.0,0
14,0.7,571.937,-13.672,49.3,592.397,-13.586,10.72,20.461,-1,0.75,0.169,0.0,0
15,0.75,571.246,-13.677,49.97,592.249,-13.608,10.83,21.003,-1,0.75,0.239,0.0,0
16,0.8,570.546,-13.682,50.67,592.091,-13.638,12.54,21.545,-1,0.75,0.321,0.0,0
17,0.85,569.836,-13.688,51.4,591.907,-13.679,14.38,22.07,-1,0.75,0.321,0.0,0
18,0.9,569.116,-13.693,52.15,591.7,-13.726,15.87,22.584,-1,0.75,0.223,0.0,0
19,0.95,568.386,-13.698,52.9,591.474,-13.77,17.0,23.089,-1,0.75,-0.062,0.0,0
20,1.0,567.645,-13.704,53.66,591.233,-13.802,17.93,23.588,-1,0.75,-0.082,0.0,0
21,1.05,566.893,-13.709,54.42,590.977,-13.827,18.85,24.084,-1,0.75,-0.078,0.0,0
22,1.1,566.131,-13.715,55.18,590.711,-13.85,19.07,24.581,-1,0.75,-0.078,0.0,0
23,1.15,565.358,-13.72,55.94,590.44,-13.871,20.01,25.082,-1,0.75,-0.094,0.0,0
24,1.2,564.575,-13.726,56.7,590.162,-13.889,20.1,25.588,-1,0.75,-0.09,0.0,0
25,1.25,563.781,-13.732,57.46,589.88,-13.905,20.51,26.1,-1,0.75,-0.09,0.0,0
