tick,sim_time_s,throttle,steer,brake
0,0.0,0.0,0.0,1.0
1,0.05,0.0,0.0,1.0
2,0.1,0.0,-0.002,1.0
3,0.15,0.0,-0.001,1.0
4,0.2,0.0,0.009,1.0
5,0.25,0.0,-0.003,1.0
6,0.3,0.0,-0.005,1.0
7,0.35,0.0,-0.002,1.0
8,0.4,0.0,-0.004,1.0
9,0.45,0.0,0.002,1.0
10,0.5,0.0,-0.002,1.0
11,0.55,0.0,-0.008,1.0
12,0.6,0.0,-0.005,1.0
13,0.65,0.0,-0.004,1.0
14,0.7,0.0,-0.007,1.0
15,0.75,0.0,-0.002,1.0
16,0.8,0.0,-0.005,1.0
17,0.85,0.0,-0.002,1.0
18,0.9,0.0,-0.0,1.0
19,0.95,0.0,-0.004,1.0
20,1.0,0.0,0.002,1.0
21,1.05,0.0,-0.0,1.0
22,1.1,0.0,-0.002,1.0
23,1.15,0.0,-0.002,1.0
24,1.2,0.0,-0.002,1.0
25,1.25,0.0,-0.001,1.0
26,1.3,0.0,-0.002,1.0
