tick,sim_time_s,throttle,steer,brake
0,0.0,0.0,0.0,1.0
1,0.05,0.0,0.0,1.0
2,0.1,0.0,0.0,1.0
3,0.15,0.0,0.0,1.0
4,0.2,0.0,0.0,1.0
5,0.25,0.75,0.074,0.0
6,0.3,0.75,0.043,0.0
7,0.35,0.75,0.056,0.0
8,0.4,0.75,0.057,0.0
9,0.45,0.75,0.05,0.0
10,0.5,0.75,0.051,0.0
11,0.55,0.0,0.055,0.0
12,0.6,0.0375,0.045,0.0
13,0.65,0.0,0.047,1.0
14,0.7,0.0,0.048,1.0
15,0.75,0.0,0.043,1.0
16,0.8,0.0,0.054,1.0
17,0.85,0.0,0.068,1.0
18,0.9,0.0,0.06,1.0
19,0.95,0.0,0.062,1.0
20,1.0,0.0,0.066,1.0
21,1.05,0.0,0.025,1.0
22,1.1,0.0,0.048,1.0
23,1.15,0.0,0.08,1.0
24,1.2,0.0,0.081,1.0
25,1.25,0.0,0.075,1.0
26,1.3,0.0,0.075,1.0
27,1.35,0.0,0.06,1.0
28,1.4,0.0,0.066,1.0
29,1.45,0.0,0.061,1.0
30,1.5,0.0,0.058,1.0
31,1.55,0.0,0.053,1.0
32,1.6,0.0,0.058,1.0
33,1.65,0.0,0.049,1.0
34,1.7,0.0,0.041,1.0
35,1.75,0.0,0.052,1.0
36,1.8,0.0,0.057,1.0
37,1.85,0.0,0.057,1.0
38,1.9,0.0,0.052,1.0
39,1.95,0.0,0.045,1.0
40,2.0,0.0,0.053,1.0
41,2.05,0.0,0.049,1.0
42,2.1,0.0,0.071,1.0
43,2.15,0.0,0.071,1.0
44,2.2,0.0,0.075,1.0
45,2.25,0.0,0.068,1.0
46,2.3,0.0,0.069,1.0
47,2.35,0.0,0.06,1.0
48,2.4,0.0,0.061,1.0
49,2.45,0.0,0.061,1.0
50,2.5,0.0,0.053,1.0
