tick,sim_time_s,phase,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,cruise,583.246,-24.09,20.48,593.246,-24.016,20.48,10.0,-1,0
1,0.05,cruise,582.978,-24.092,19.77,592.978,-24.018,19.77,10.0,-1,0
2,0.1,cruise,582.709,-24.094,19.61,592.709,-24.02,19.61,10.0,-1,0
3,0.15,cruise,582.441,-24.096,19.27,592.441,-24.022,19.27,10.0,-1,0
4,0.2,cruise,582.172,-24.098,19.4,592.172,-24.024,19.4,10.0,-1,0
5,0.25,cruise,581.903,-24.1,19.36,591.902,-24.026,19.36,10.0,-1,0
6,0.3,cruise,581.633,-24.101,19.43,591.633,-24.028,19.43,10.0,-1,0
7,0.35,cruise,581.364,-24.103,19.34,591.364,-24.03,19.34,10.0,-1,0
8,0.4,cruise,581.094,-24.105,19.72,591.094,-24.032,19.72,10.0,-1,0
9,0.45,cruise,580.814,-24.107,20.54,590.814,-24.034,20.54,10.0,-1,0
10,0.5,cruise,580.52,-24.11,21.66,590.519,-24.036,21.66,10.0,-1,0
11,0.55,cruise,580.21,-24.112,22.71,590.21,-24.039,22.71,10.0,-1,0
12,0.6,cruise,579.884,-24.114,24.02,589.884,-24.041,24.02,10.0,-1,0
13,0.65,cruise,579.541,-24.117,25.17,589.541,-24.044,25.17,10.0,-1,0
14,0.7,cruise,579.181,-24.119,26.41,589.18,-24.046,26.41,10.0,-1,0
15,0.75,cruise,578.806,-24.122,27.29,588.806,-24.049,27.29,10.0,-1,0
16,0.8,cruise,578.421,-24.125,28.03,588.421,-24.052,28.03,10.0,-1,0
17,0.85,cruise,578.028,-24.128,28.39,588.028,-24.055,28.39,10.0,-1,0
18,0.9,cruise,577.631,-24.131,28.68,587.631,-24.058,28.68,10.0,-1,0
19,0.95,cruise,577.233,-24.134,28.7,587.232,-24.06,28.7,10.0,-1,0
20,1.0,cruise,576.834,-24.137,28.73,586.834,-24.063,28.73,10.0,-1,0
21,1.05,cruise,576.436,-24.14,28.54,586.436,-24.066,28.54,10.0,-1,0
22,1.1,cruise,576.041,-24.142,28.44,586.041,-24.069,28.44,10.0,-1,0
23,1.15,cruise,575.648,-24.145,28.17,585.648,-24.072,28.17,10.0,-1,0
24,1.2,cruise,575.258,-24.148,28.04,585.258,-24.075,28.04,10.0,-1,0
25,1.25,cruise,574.871,-24.151,27.78,584.871,-24.078,27.78,10.0,-1,0
26,1.3,cruise,574.486,-24.154,27.67,584.486,-24.081,27.67,10.0,-1,0
27,1.35,cruise,574.104,-24.157,27.46,584.103,-24.083,27.46,10.0,-1,0
28,1.4,cruise,573.723,-24.159,27.41,583.722,-24.086,27.41,10.0,-1,0
29,1.45,cruise,573.343,-24.162,27.27,583.343,-24.089,27.27,10.0,-1,0
30,1.5,cruise,572.964,-24.165,27.28,582.964,-24.092,27.28,10.0,-1,0
31,1.55,cruise,572.586,-24.168,27.2,582.586,-24.094,27.2,10.0,-1,0
32,1.6,cruise,572.208,-24.17,27.26,582.208,-24.097,27.26,10.0,-1,0
33,1.65,cruise,571.83,-24.173,27.22,581.829,-24.1,27.22,10.0,-1,0
34,1.7,cruise,571.451,-24.176,27.32,581.451,-24.103,27.32,10.0,-1,0
35,1.75,cruise,571.072,-24.179,27.29,581.071,-24.106,27.29,10.0,-1,0
36,1.8,cruise,570.692,-24.182,27.4,580.691,-24.108,27.4,10.0,-1,0
37,1.85,cruise,570.311,-24.184,27.38,580.311,-24.111,27.38,10.0,-1,0
38,1.9,cruise,569.93,-24.187,27.48,579.93,-24.114,27.48,10.0,-1,0
39,1.95,cruise,569.549,-24.19,27.44,579.549,-24.117,27.44,10.0,-1,0
40,2.0,cruise,569.167,-24.193,27.53,579.167,-24.12,27.53,10.0,-1,0
41,2.05,cruise,568.785,-24.196,27.48,578.785,-24.122,27.48,10.0,-1,0
42,2.1,cruise,568.403,-24.198,27.56,578.402,-24.125,27.56,10.0,-1,0
43,2.15,cruise,568.02,-24.201,27.5,578.02,-24.128,27.5,10.0,-1,0
44,2.2,cruise,567.638,-24.204,27.56,577.638,-24.131,27.56,10.0,-1,0
45,2.25,cruise,567.256,-24.207,27.49,577.255,-24.134,27.49,10.0,-1,0
46,2.3,cruise,566.873,-24.21,27.55,576.873,-24.136,27.55,10.0,2251805170703951.0,0
47,2.35,cruise,566.491,-24.212,27.48,576.491,-24.139,27.48,10.0,366554712704.636,0
48,2.4,cruise,566.109,-24.215,27.53,576.109,-24.142,27.53,10.0,10486065.896,0
49,2.45,cruise,565.727,-24.218,27.46,575.727,-24.145,27.46,10.0,20968539.55,0
50,2.5,cruise,565.346,-24.221,27.52,575.345,-24.148,27.52,10.0,-1,0
