tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.246,-24.09,20.48,593.246,-24.016,20.5,10.0,1940.438,0
3,0.15,582.978,-24.092,19.77,593.062,-24.018,10.44,10.084,-1,0
4,0.2,582.709,-24.094,19.61,592.986,-24.018,2.79,10.277,-1,0
5,0.25,582.441,-24.096,19.27,592.98,-24.018,0.3,10.54,-1,0
6,0.3,582.172,-24.098,19.4,592.98,-24.018,0.65,10.809,-1,0
7,0.35,581.903,-24.1,19.36,592.98,-24.018,0.7,11.078,-1,0
8,0.4,581.632,-24.101,19.74,592.98,-24.018,0.62,11.348,-1,0
9,0.45,581.352,-24.104,20.56,592.979,-24.018,0.51,11.628,-1,0
10,0.5,581.057,-24.106,21.7,592.979,-24.018,0.39,11.923,-1,0
11,0.55,580.747,-24.108,22.76,592.979,-24.018,0.29,12.232,-1,0
12,0.6,580.42,-24.11,24.06,592.979,-24.018,0.21,12.559,-1,0
13,0.65,580.076,-24.113,25.21,592.979,-24.018,0.15,12.903,-1,0
14,0.7,579.716,-24.116,26.4,592.979,-24.018,0.1,13.263,-1,0
15,0.75,579.342,-24.118,27.24,592.966,-24.018,1.97,13.625,-1,0
16,0.8,578.957,-24.121,27.98,592.914,-24.017,4.7,13.957,-1,0
17,0.85,578.565,-24.124,28.35,592.833,-24.01,6.53,14.268,-1,0
18,0.9,578.169,-24.127,28.66,592.733,-23.995,7.88,14.565,-1,0
19,0.95,577.771,-24.13,28.69,592.617,-23.972,9.02,14.848,-1,0
20,1.0,577.372,-24.133,28.72,592.488,-23.943,10.09,15.117,-1,0
21,1.05,576.974,-24.136,28.55,592.345,-23.909,11.07,15.372,-1,0
22,1.1,576.579,-24.138,28.44,592.19,-23.867,12.03,15.614,-1,0
23,1.15,576.186,-24.141,28.18,592.024,-23.817,12.95,15.842,-1,0
24,1.2,575.796,-24.144,28.05,591.849,-23.76,13.81,16.058,-1,0
25,1.25,575.408,-24.147,27.79,591.663,-23.694,14.67,16.261,-1,0
26,1.3,575.023,-24.15,27.68,591.469,-23.618,15.48,16.454,-1,0
27,1.35,574.641,-24.153,27.47,591.266,-23.533,16.31,16.637,-1,0
28,1.4,574.26,-24.155,27.42,591.055,-23.438,17.11,16.811,-1,0
29,1.45,573.88,-24.158,27.27,590.837,-23.332,17.91,16.977,-1,0
30,1.5,573.501,-24.161,27.29,590.612,-23.217,18.72,17.137,-1,0
31,1.55,573.123,-24.164,27.2,590.38,-23.09,19.37,17.29,-1,0
32,1.6,572.745,-24.167,27.27,590.147,-22.956,19.58,17.445,-1,0
33,1.65,572.366,-24.169,27.22,589.914,-22.817,19.76,17.6,-1,0
34,1.7,571.987,-24.172,27.32,589.678,-22.67,20.43,17.754,-1,0
35,1.75,571.608,-24.175,27.29,589.435,-22.516,20.93,17.904,-1,0
36,1.8,571.228,-24.178,27.4,589.186,-22.356,21.62,18.05,-1,0
37,1.85,570.848,-24.18,27.37,588.925,-22.192,22.57,18.186,-1,0
38,1.9,570.467,-24.183,27.47,588.656,-22.028,22.74,18.317,-1,0
39,1.95,570.086,-24.186,27.44,588.385,-21.866,22.76,18.445,-1,0
40,2.0,569.704,-24.189,27.53,588.111,-21.71,22.63,18.574,-1,0
41,2.05,569.322,-24.192,27.48,587.836,-21.562,22.39,18.7,-1,0
42,2.1,568.94,-24.194,27.56,587.561,-21.425,22.07,18.826,-1,0
43,2.15,568.557,-24.197,27.5,587.285,-21.298,21.73,18.951,-1,0
44,2.2,568.175,-24.2,27.56,587.01,-21.182,21.39,19.076,-1,0
45,2.25,567.793,-24.203,27.49,586.737,-21.076,21.02,19.201,-1,0
46,2.3,567.41,-24.206,27.55,586.465,-20.982,20.75,19.325,-1,0
47,2.35,567.028,-24.208,27.48,586.192,-20.898,20.61,19.447,-1,0
48,2.4,566.646,-24.211,27.53,585.916,-20.824,20.71,19.565,-1,0
49,2.45,566.264,-24.214,27.46,585.635,-20.759,20.96,19.676,-1,0
50,2.5,565.883,-24.217,27.52,585.347,-20.703,21.37,19.779,-1,0
51,2.55,565.501,-24.219,27.45,585.052,-20.656,21.83,19.873,-1,0
52,2.6,565.119,-24.222,27.51,584.749,-20.617,22.25,19.957,-1,0
53,2.65,564.738,-24.225,27.44,584.441,-20.588,22.39,20.036,-1,0
54,2.7,564.356,-24.228,27.5,584.131,-20.567,22.43,20.111,-1,0
55,2.75,563.975,-24.231,27.44,583.822,-20.553,22.31,20.185,-1,0
56,2.8,563.593,-24.233,27.5,583.515,-20.546,22.11,20.26,-1,0
57,2.85,563.212,-24.236,27.44,583.211,-20.546,21.81,20.337,-1,0
58,2.9,562.83,-24.239,27.5,582.912,-20.553,21.52,20.417,-1,0
59,2.95,562.449,-24.242,27.44,582.617,-20.566,21.17,20.5,-1,0
60,3.0,562.067,-24.245,27.51,582.326,-20.584,20.93,20.587,-1,0
61,3.05,561.686,-24.247,27.44,582.038,-20.608,20.8,20.676,-1,0
62,3.1,561.304,-24.25,27.51,581.751,-20.637,20.91,20.763,-1,0
63,3.15,560.922,-24.253,27.45,581.46,-20.668,21.18,20.848,-1,0
64,3.2,560.541,-24.256,27.51,581.165,-20.702,21.57,20.928,-1,0
65,3.25,560.159,-24.259,27.45,580.864,-20.737,21.95,21.002,-1,0
66,3.3,559.777,-24.261,27.51,580.559,-20.772,22.14,21.073,-1,0
67,3.35,559.396,-24.264,27.45,580.254,-20.805,22.12,21.143,-1,0
68,3.4,559.014,-24.267,27.51,579.949,-20.835,21.98,21.214,-1,0
69,3.45,558.633,-24.27,27.45,579.647,-20.862,21.75,21.289,-1,0
70,3.5,558.251,-24.272,27.51,579.348,-20.884,21.44,21.368,-1,0
71,3.55,557.869,-24.275,27.45,579.054,-20.903,21.13,21.451,-1,0
72,3.6,557.488,-24.278,27.51,578.763,-20.917,20.86,21.539,-1,0
73,3.65,557.106,-24.281,27.45,578.475,-20.929,20.76,21.63,-1,0
74,3.7,556.724,-24.284,27.51,578.186,-20.939,20.85,21.721,-1,0
75,3.75,556.343,-24.286,27.45,577.894,-20.948,21.12,21.809,-1,0
76,3.8,555.961,-24.289,27.51,577.598,-20.955,21.51,21.893,-1,0
77,3.85,555.579,-24.292,27.45,577.296,-20.961,21.9,21.971,-1,0
78,3.9,555.198,-24.295,27.51,576.99,-20.966,22.08,22.045,-1,0
79,3.95,554.816,-24.298,27.45,576.683,-20.969,22.08,22.119,-1,0
80,4.0,554.434,-24.3,27.51,576.378,-20.972,21.95,22.195,-1,0
81,4.05,554.053,-24.303,27.45,576.075,-20.974,21.74,22.272,-1,0
82,4.1,553.671,-24.306,27.51,575.775,-20.976,21.46,22.354,-1,0
83,4.15,553.29,-24.309,27.45,575.48,-20.976,21.16,22.439,-1,0
84,4.2,552.908,-24.312,27.51,575.188,-20.976,20.9,22.529,-1,0
85,4.25,552.526,-24.314,27.45,574.899,-20.976,20.78,22.62,-1,0
86,4.3,552.145,-24.317,27.51,574.61,-20.975,20.86,22.713,-1,0
87,4.35,551.763,-24.32,27.45,574.318,-20.974,21.11,22.802,-1,0
88,4.4,551.381,-24.323,27.51,574.022,-20.974,21.48,22.887,-1,0
89,4.45,551.0,-24.325,27.45,573.72,-20.975,21.88,22.966,-1,0
90,4.5,550.618,-24.328,27.51,573.414,-20.977,22.07,23.042,-1,0
91,4.55,550.236,-24.331,27.45,573.108,-20.979,22.06,23.116,-1,0
92,4.6,549.855,-24.334,27.51,572.803,-20.983,21.93,23.191,-1,0
93,4.65,549.473,-24.337,27.45,572.5,-20.987,21.72,23.269,-1,0
94,4.7,549.091,-24.339,27.51,572.2,-20.993,21.44,23.35,-1,0
95,4.75,548.71,-24.342,27.45,571.905,-20.999,21.14,23.435,-1,0
96,4.8,548.328,-24.345,27.51,571.614,-21.007,20.89,23.524,-1,0
97,4.85,547.947,-24.348,27.45,571.325,-21.014,20.78,23.615,-1,0
98,4.9,547.565,-24.351,27.51,571.036,-21.021,20.87,23.706,-1,0
99,4.95,547.183,-24.353,27.45,570.744,-21.029,21.13,23.794,-1,0
100,5.0,546.802,-24.356,27.51,570.448,-21.037,21.51,23.878,-1,0
101,5.05,546.42,-24.359,27.45,570.146,-21.046,21.89,23.956,-1,0
102,5.1,546.038,-24.362,27.51,569.84,-21.054,22.06,24.03,-1,0
103,5.15,545.657,-24.365,27.45,569.534,-21.062,22.04,24.104,-1,0
104,5.2,545.275,-24.367,27.51,569.229,-21.07,21.9,24.18,-1,0
105,5.25,544.893,-24.37,27.45,568.927,-21.077,21.68,24.258,-1,0
106,5.3,544.512,-24.373,27.51,568.628,-21.084,21.4,24.339,-1,0
107,5.35,544.13,-24.376,27.45,568.333,-21.091,21.1,24.425,-1,0
108,5.4,543.748,-24.378,27.51,568.042,-21.096,20.85,24.515,-1,0
109,5.45,543.367,-24.381,27.45,567.754,-21.101,20.76,24.607,-1,0
110,5.5,542.985,-24.384,27.51,567.465,-21.106,20.87,24.698,-1,0
111,5.55,542.604,-24.387,27.45,567.173,-21.111,21.15,24.787,-1,0
112,5.6,542.222,-24.39,27.51,566.876,-21.115,21.54,24.87,-1,0
113,5.65,541.84,-24.392,27.45,566.574,-21.119,21.9,24.949,-1,0
114,5.7,541.459,-24.395,27.51,566.268,-21.124,22.06,25.024,-1,0
115,5.75,541.077,-24.398,27.45,565.962,-21.127,22.03,25.098,-1,0
116,5.8,540.695,-24.401,27.51,565.657,-21.129,21.88,25.175,-1,0
117,5.85,540.314,-24.404,27.45,565.355,-21.129,21.66,25.254,-1,0
118,5.9,539.932,-24.406,27.51,565.056,-21.13,21.37,25.337,-1,0
119,5.95,539.55,-24.409,27.45,564.762,-21.131,21.07,25.424,-1,0
120,6.0,539.169,-24.412,27.51,564.472,-21.134,20.82,25.514,-1,0
121,6.05,538.787,-24.415,27.45,564.184,-21.135,20.73,25.607,-1,0
122,6.1,538.406,-24.418,27.51,563.895,-21.135,20.83,25.7,-1,0
123,6.15,538.024,-24.42,27.45,563.603,-21.135,21.11,25.79,-1,0
124,6.2,537.642,-24.423,27.51,563.307,-21.137,21.5,25.874,-1,0
125,6.25,537.261,-24.426,27.45,563.005,-21.14,21.9,25.953,-1,0
126,6.3,536.879,-24.429,27.51,562.699,-21.144,22.09,26.028,-1,0
127,6.35,536.497,-24.431,27.45,562.392,-21.148,22.09,26.102,-1,0
128,6.4,536.116,-24.434,27.51,562.086,-21.153,21.96,26.177,-1,0
129,6.45,535.734,-24.437,27.45,561.783,-21.159,21.74,26.254,-1,0
130,6.5,535.352,-24.44,27.51,561.483,-21.165,21.47,26.335,-1,0
131,6.55,534.971,-24.443,27.45,561.188,-21.17,21.17,26.42,-1,0
132,6.6,534.589,-24.445,27.51,560.896,-21.173,20.88,26.51,-1,0
133,6.65,534.208,-24.448,27.45,560.607,-21.175,20.75,26.602,-1,0
134,6.7,533.826,-24.451,27.51,560.319,-21.18,20.8,26.694,-1,0
135,6.75,533.444,-24.454,27.45,560.028,-21.184,21.04,26.784,-1,0
136,6.8,533.062,-24.457,27.51,559.733,-21.19,21.43,26.87,-1,0
137,6.85,532.681,-24.459,27.45,559.432,-21.197,21.88,26.949,-1,0
138,6.9,532.299,-24.462,27.51,559.125,-21.207,22.14,27.023,-1,0
139,6.95,531.918,-24.465,27.45,558.818,-21.216,22.18,27.095,-1,0
140,7.0,531.536,-24.468,27.51,558.51,-21.227,22.08,27.169,-1,0
141,7.05,531.154,-24.471,27.45,558.206,-21.237,21.89,27.244,-1,0
142,7.1,530.773,-24.473,27.51,557.904,-21.248,21.63,27.322,-1,0
143,7.15,530.391,-24.476,27.45,557.606,-21.258,21.32,27.405,-1,0
144,7.2,530.009,-24.479,27.51,557.313,-21.268,20.99,27.492,-1,0
145,7.25,529.628,-24.482,27.45,557.024,-21.277,20.73,27.583,-1,0
146,7.3,529.246,-24.484,27.51,556.737,-21.287,20.62,27.676,-1,0
147,7.35,528.865,-24.487,27.45,556.45,-21.297,20.71,27.77,-1,0
148,7.4,528.483,-24.49,27.51,556.161,-21.307,20.97,27.86,-1,0
149,7.45,528.101,-24.493,27.45,555.867,-21.318,21.38,27.946,-1,0
150,7.5,527.72,-24.496,27.51,555.566,-21.33,21.85,28.025,-1,0
151,7.55,527.338,-24.498,27.45,555.26,-21.342,22.12,28.1,-1,0
152,7.6,526.956,-24.501,27.51,554.952,-21.354,22.17,28.172,-1,0
153,7.65,526.575,-24.504,27.45,554.645,-21.367,22.07,28.245,-1,0
154,7.7,526.193,-24.507,27.51,554.341,-21.382,21.88,28.321,-1,0
155,7.75,525.811,-24.51,27.45,554.039,-21.396,21.62,28.399,-1,0
156,7.8,525.43,-24.512,27.51,553.742,-21.411,21.32,28.482,-1,0
157,7.85,525.048,-24.515,27.45,553.449,-21.426,20.99,28.568,-1,0
158,7.9,524.666,-24.518,27.51,553.16,-21.442,20.73,28.659,-1,0
159,7.95,524.285,-24.521,27.45,552.874,-21.459,20.62,28.752,-1,0
160,8.0,523.903,-24.524,27.51,552.587,-21.476,20.72,28.846,-1,0
161,8.05,523.522,-24.526,27.45,552.298,-21.494,20.98,28.936,-1,0
162,8.1,523.14,-24.529,27.51,552.004,-21.513,21.4,29.021,-1,0
163,8.15,522.758,-24.532,27.45,551.703,-21.531,21.87,29.1,-1,0
164,8.2,522.377,-24.535,27.51,551.398,-21.55,22.14,29.174,-1,0
165,8.25,521.995,-24.537,27.45,551.09,-21.569,22.18,29.246,-1,0
166,8.3,521.613,-24.54,27.51,550.783,-21.588,22.09,29.319,-1,0
167,8.35,521.232,-24.543,27.45,550.479,-21.608,21.9,29.394,-1,0
168,8.4,520.85,-24.546,27.51,550.177,-21.623,21.58,29.473,-1,0
169,8.45,520.468,-24.549,27.45,549.881,-21.629,21.23,29.557,-1,0
170,8.5,520.087,-24.551,27.51,549.589,-21.629,20.9,29.647,-1,0
171,8.55,519.705,-24.554,27.45,549.301,-21.628,20.69,29.74,-1,0
172,8.6,519.323,-24.557,27.51,549.014,-21.624,20.6,29.835,-1,0
173,8.65,518.942,-24.56,27.45,548.727,-21.618,20.75,29.931,-1,0
174,8.7,518.56,-24.563,27.51,548.437,-21.61,21.05,30.022,-1,0
175,8.75,518.179,-24.565,27.45,548.141,-21.601,21.49,30.109,-1,0
176,8.8,517.797,-24.568,27.51,547.839,-21.59,21.97,30.189,-1,0
177,8.85,517.415,-24.571,27.45,547.531,-21.577,22.27,30.264,-1,0
178,8.9,517.034,-24.574,27.51,547.222,-21.564,22.32,30.338,-1,0
179,8.95,516.652,-24.577,27.45,546.913,-21.549,22.24,30.412,-1,0
180,9.0,516.27,-24.579,27.51,546.606,-21.534,22.05,30.488,-1,0
181,9.05,515.889,-24.582,27.45,546.302,-21.519,21.8,30.567,-1,0
182,9.1,515.507,-24.585,27.51,546.002,-21.504,21.5,30.65,-1,0
183,9.15,515.125,-24.588,27.45,545.707,-21.487,21.18,30.738,-1,0
184,9.2,514.744,-24.59,27.51,545.415,-21.472,20.88,30.83,-1,0
185,9.25,514.362,-24.593,27.45,545.127,-21.456,20.72,30.925,-1,0
186,9.3,513.98,-24.596,27.51,544.84,-21.442,20.73,31.02,-1,0
187,9.35,513.599,-24.599,27.45,544.551,-21.432,20.92,31.114,-1,0
188,9.4,513.217,-24.602,27.51,544.258,-21.425,21.27,31.203,-1,0
189,9.45,512.836,-24.604,27.45,543.959,-21.421,21.7,31.286,-1,0
190,9.5,512.454,-24.607,27.51,543.655,-21.419,22.02,31.363,-1,0
191,9.55,512.072,-24.61,27.45,543.348,-21.419,22.1,31.438,-1,0
192,9.6,511.691,-24.613,27.51,543.041,-21.421,22.04,31.513,-1,0
193,9.65,511.309,-24.616,27.45,542.737,-21.424,21.86,31.589,-1,0
194,9.7,510.927,-24.618,27.51,542.435,-21.43,21.62,31.669,-1,0
195,9.75,510.546,-24.621,27.45,542.138,-21.437,21.32,31.752,-1,0
196,9.8,510.164,-24.624,27.51,541.844,-21.445,21.01,31.839,-1,0
197,9.85,509.783,-24.627,27.45,541.555,-21.452,20.75,31.931,-1,0
198,9.9,509.401,-24.63,27.51,541.268,-21.461,20.65,32.024,-1,0
199,9.95,509.019,-24.632,27.45,540.981,-21.47,20.74,32.118,-1,0
200,10.0,508.638,-24.635,27.42,540.691,-21.479,21.01,32.208,-1,0
201,10.05,508.261,-24.638,26.98,540.396,-21.49,21.42,32.289,-1,0
202,10.1,507.89,-24.641,26.49,540.095,-21.502,21.89,32.357,-1,0
203,10.15,507.528,-24.643,25.71,539.788,-21.515,22.16,32.411,-1,0
204,10.2,507.177,-24.646,25.05,539.48,-21.53,22.21,32.453,-1,0
205,10.25,506.836,-24.648,24.15,539.173,-21.545,22.12,32.485,-1,0
206,10.3,506.507,-24.651,23.44,538.867,-21.56,21.93,32.508,-1,0
207,10.35,506.189,-24.653,22.5,538.565,-21.575,21.67,32.522,-1,0
208,10.4,505.885,-24.655,20.85,538.267,-21.59,21.37,32.527,226.16,0
209,10.45,505.636,-24.657,16.02,537.974,-21.605,21.04,32.481,23.295,0
210,10.5,505.455,-24.658,11.17,537.684,-21.62,20.79,32.372,12.123,0
211,10.55,505.34,-24.659,6.35,537.397,-21.634,20.68,32.199,8.088,0
212,10.6,505.292,-24.66,1.59,537.109,-21.648,20.77,31.959,5.997,0
213,10.65,505.29,-24.66,0.0,536.819,-21.661,21.04,31.671,5.419,0
214,10.7,505.29,-24.66,0.0,536.524,-21.675,21.45,31.376,5.266,0
215,10.75,505.29,-24.66,0.0,536.222,-21.688,21.93,31.075,5.103,0
216,10.8,505.289,-24.66,0.0,535.915,-21.704,22.2,30.768,4.99,0
217,10.85,505.289,-24.66,0.0,535.607,-21.719,22.25,30.46,4.93,0
218,10.9,505.289,-24.66,0.0,535.299,-21.736,22.15,30.152,4.9,0
219,10.95,505.289,-24.66,0.0,534.993,-21.753,21.96,29.846,4.892,0
220,11.0,505.289,-24.66,0.0,534.691,-21.77,21.71,29.544,4.9,0
221,11.05,505.289,-24.66,0.0,534.392,-21.787,21.4,29.245,4.92,0
222,11.1,505.289,-24.66,0.0,534.098,-21.804,21.07,28.951,4.947,0
223,11.15,505.289,-24.66,0.0,533.809,-21.822,20.8,28.661,4.96,0
224,11.2,505.289,-24.66,0.0,533.522,-21.836,20.64,28.374,4.948,0
225,11.25,505.289,-24.66,0.0,533.235,-21.84,20.63,28.089,4.902,0
226,11.3,505.289,-24.66,0.0,532.948,-21.835,20.84,27.803,4.802,0
227,11.35,505.289,-24.66,0.0,532.656,-21.824,21.24,27.514,4.663,0
228,11.4,505.289,-24.66,0.0,532.358,-21.806,21.7,27.219,4.515,0
229,11.45,505.289,-24.66,0.0,532.054,-21.782,22.09,26.92,4.387,0
230,11.5,505.289,-24.66,0.0,531.747,-21.755,22.24,26.618,4.308,0
231,11.55,505.289,-24.66,0.0,531.44,-21.725,22.25,26.315,4.257,0
232,11.6,505.289,-24.66,0.0,531.134,-21.693,22.1,26.015,4.238,0
233,11.65,505.289,-24.66,0.0,530.831,-21.658,21.89,25.718,4.229,0
234,11.7,505.289,-24.66,0.0,530.532,-21.622,21.61,25.425,4.236,0
235,11.75,505.289,-24.66,0.0,530.236,-21.588,21.29,25.136,4.25,0
236,11.8,505.289,-24.66,0.0,529.945,-21.557,20.94,24.851,4.272,0
237,11.85,505.289,-24.66,0.0,529.658,-21.53,20.66,24.569,4.281,0
238,11.9,505.289,-24.66,0.0,529.373,-21.506,20.55,24.29,4.254,0
239,11.95,505.289,-24.66,0.0,529.088,-21.483,20.64,24.01,4.188,0
240,12.0,505.289,-24.66,0.0,528.8,-21.461,20.91,23.728,4.085,0
241,12.05,505.289,-24.66,0.0,528.507,-21.44,21.27,23.441,3.968,0
242,12.1,505.289,-24.66,0.0,528.211,-21.421,21.42,23.15,3.891,0
243,12.15,505.289,-24.66,0.0,527.915,-21.402,21.24,22.86,3.875,0
244,12.2,505.289,-24.66,0.0,527.624,-21.385,20.85,22.574,3.897,0
245,12.25,505.289,-24.66,0.0,527.341,-21.369,19.89,22.297,4.035,0
246,12.3,505.289,-24.66,0.0,527.106,-21.354,15.06,22.066,5.273,0
247,12.35,505.289,-24.66,0.0,526.938,-21.345,10.22,21.902,7.715,0
248,12.4,505.289,-24.66,0.0,526.837,-21.34,5.4,21.802,14.524,0
249,12.45,505.289,-24.66,0.0,526.802,-21.338,0.69,21.768,113.614,0
250,12.5,505.289,-24.66,0.0,526.781,-21.338,2.05,21.747,38.218,0
251,12.55,505.289,-24.66,0.0,526.742,-21.338,3.3,21.708,23.698,0
252,12.6,505.289,-24.66,0.0,526.687,-21.338,4.28,21.654,18.197,0
253,12.65,505.289,-24.66,0.0,526.617,-21.338,5.36,21.585,14.486,0
254,12.7,505.289,-24.66,0.0,526.532,-21.338,6.53,21.501,11.847,0
255,12.75,505.289,-24.66,0.0,526.434,-21.339,7.47,21.405,10.311,0
256,12.8,505.289,-24.66,0.0,526.323,-21.339,8.33,21.295,9.206,0
257,12.85,505.289,-24.66,0.0,526.2,-21.34,9.25,21.173,8.242,0
258,12.9,505.289,-24.66,0.0,526.064,-21.34,10.17,21.039,7.444,0
259,12.95,505.289,-24.66,0.0,525.915,-21.341,11.11,20.891,6.769,0
260,13.0,505.289,-24.66,0.0,525.753,-21.342,11.96,20.732,6.238,0
261,13.05,505.289,-24.66,0.0,525.583,-21.343,12.33,20.564,6.004,0
262,13.1,505.289,-24.66,0.0,525.413,-21.345,12.22,20.395,6.01,0
263,13.15,505.289,-24.66,0.0,525.247,-21.347,11.76,20.231,6.193,0
264,13.2,505.289,-24.66,0.0,525.088,-21.349,11.3,20.074,6.394,0
265,13.25,505.289,-24.66,0.0,524.933,-21.352,11.09,19.921,6.469,0
266,13.3,505.289,-24.66,0.0,524.78,-21.355,10.95,19.77,6.5,0
267,13.35,505.289,-24.66,0.0,524.629,-21.357,10.8,19.621,6.539,0
268,13.4,505.289,-24.66,0.0,524.481,-21.359,10.66,19.474,6.578,0
269,13.45,505.289,-24.66,0.0,524.334,-21.361,10.55,19.328,6.598,0
270,13.5,505.289,-24.66,0.0,524.187,-21.363,10.58,19.184,6.531,0
271,13.55,505.289,-24.66,0.0,524.039,-21.366,10.72,19.037,6.393,0
272,13.6,505.289,-24.66,0.0,523.889,-21.368,10.86,18.889,6.261,0
273,13.65,505.289,-24.66,0.0,523.738,-21.371,10.88,18.74,6.2,0
274,13.7,505.289,-24.66,0.0,523.587,-21.373,10.81,18.591,6.193,0
275,13.75,505.289,-24.66,0.0,523.438,-21.376,10.68,18.444,6.219,0
276,13.8,505.289,-24.66,0.0,523.291,-21.38,10.56,18.299,6.241,0
277,13.85,505.289,-24.66,0.0,523.145,-21.383,10.54,18.154,6.201,0
278,13.9,505.289,-24.66,0.0,522.998,-21.386,10.65,18.009,6.086,0
279,13.95,505.289,-24.66,0.0,522.849,-21.388,10.79,17.862,5.961,0
280,14.0,505.289,-24.66,0.0,522.698,-21.391,10.9,17.713,5.852,0
281,14.05,505.289,-24.66,0.0,522.547,-21.392,10.79,17.565,5.86,0
282,14.1,505.289,-24.66,0.0,522.399,-21.394,10.64,17.419,5.891,0
283,14.15,505.289,-24.66,0.0,522.252,-21.396,10.51,17.274,5.917,0
284,14.2,505.289,-24.66,0.0,522.106,-21.397,10.51,17.131,5.868,0
285,14.25,505.289,-24.66,0.0,521.959,-21.399,10.66,16.986,5.737,0
286,14.3,505.289,-24.66,0.0,521.81,-21.4,10.83,16.839,5.595,0
287,14.35,505.289,-24.66,0.0,521.658,-21.402,10.96,16.69,5.481,0
