step	score	x	y	w	h	class
5	0.7661	10.67	0.01	2.39	1.02	0
6	0.7460	10.77	-0.01	2.24	1.03	0
7	0.7052	10.76	0.01	2.25	1.04	0
8	0.7251	11.25	0.01	2.21	1.03	0
9	0.8132	11.27	0.03	2.24	1.04	0
10	0.6377	12.13	0.01	2.29	1.05	0
11	0.7272	12.15	0.03	2.28	1.05	0
12	0.7558	12.74	0.03	2.30	1.05	0
13	0.7795	12.76	0.01	2.28	1.05	0
14	0.7042	13.20	0.03	2.29	1.05	0
15	0.8047	13.34	-0.01	2.30	1.05	0
16	0.6449	13.89	0.01	2.30	1.06	0
17	0.7750	13.80	0.03	2.29	1.05	0
18	0.8161	14.35	0.04	2.29	1.05	0
19	0.8109	14.46	0.06	2.31	1.06	0
20	0.7549	14.86	0.08	2.29	1.05	0
21	0.7944	14.84	0.10	2.30	1.05	0
22	0.8091	15.24	0.12	2.29	1.05	0
23	0.8095	15.34	0.17	2.28	1.05	0
24	0.8004	15.69	0.25	2.28	1.05	0
25	0.7701	15.78	0.23	2.27	1.05	0
26	0.6807	16.15	0.29	2.26	1.05	0
27	0.7122	15.90	0.27	2.28	1.05	0
28	0.7775	16.32	0.27	2.29	1.05	0
29	0.7509	16.27	0.31	2.28	1.05	0
30	0.7998	16.56	0.26	2.29	1.05	0
31	0.7862	16.41	0.23	2.28	1.05	0
32	0.6494	16.88	0.14	2.30	1.05	0
33	0.7330	16.82	0.09	2.31	1.05	0
34	0.6929	17.30	0.07	2.31	1.04	0
35	0.6595	17.18	0.06	2.31	1.04	0
36	0.7773	17.43	0.06	2.34	1.04	0
37	0.7462	17.31	0.06	2.31	1.05	0
38	0.6948	17.69	0.07	2.33	1.03	0
39	0.7225	17.53	0.10	2.40	0.99	0
40	0.6521	18.11	0.17	2.36	1.00	0
41	0.6549	17.61	0.27	2.37	0.98	0
42	0.8601	17.18	0.31	2.33	1.05	0
43	0.7407	17.46	0.57	2.37	1.03	0
44	0.8817	17.27	0.56	2.44	0.97	0
45	0.7325	17.52	0.65	2.40	0.94	0
46	0.8879	17.25	0.57	2.43	0.93	0
47	0.8292	17.38	0.47	2.46	0.94	0
48	0.8488	17.18	0.28	2.41	0.95	0
49	0.7571	17.30	0.14	2.40	0.96	0
50	0.6667	16.92	0.04	2.40	0.95	0
51	0.6705	17.19	-0.09	2.43	0.96	0
52	0.8933	16.76	-0.29	2.43	0.94	0
53	0.7807	16.85	-0.34	2.44	0.97	0
54	0.9031	16.30	-0.41	2.37	1.03	0
55	0.8072	16.54	-0.35	2.34	1.05	0
56	0.8124	16.11	-0.31	2.33	1.05	0
57	0.7724	16.25	-0.29	2.35	1.06	0
58	0.8743	15.80	-0.25	2.31	1.05	0
59	0.7140	15.87	-0.13	2.41	0.98	0
60	0.8623	15.74	-0.12	2.41	0.97	0
61	0.7401	15.76	0.03	2.42	0.98	0
62	0.7636	15.54	0.01	2.40	0.97	0
63	0.7957	15.65	0.07	2.38	1.02	0
64	0.8898	15.32	0.11	2.26	1.04	0
65	0.7269	15.41	0.18	2.26	1.05	0
66	0.8115	15.13	0.09	2.25	1.04	0
67	0.7363	15.41	0.11	2.24	1.04	0
68	0.8220	14.90	0.17	2.22	1.04	0
69	0.7113	15.18	0.12	2.24	1.04	0
70	0.9111	14.70	0.10	2.23	1.04	0
71	0.7243	14.89	0.09	2.25	1.04	0
72	0.8871	14.61	0.07	2.25	1.04	0
73	0.7939	14.83	0.07	2.26	1.05	0
74	0.8953	14.37	0.07	2.24	1.04	0
75	0.8379	14.57	0.08	2.26	1.04	0
76	0.8717	14.25	0.09	2.29	1.05	0
77	0.8318	14.36	0.08	2.30	1.05	0
78	0.8286	14.08	0.10	2.33	1.05	0
79	0.8025	14.30	0.09	2.31	1.05	0
80	0.7635	13.93	0.12	2.34	1.06	0
81	0.7866	14.22	0.13	2.35	1.05	0
82	0.8619	13.84	0.09	2.36	1.06	0
83	0.7667	13.89	0.06	2.32	1.06	0
84	0.8869	13.76	0.07	2.33	1.06	0
85	0.7751	13.84	0.03	2.30	1.05	0
86	0.8820	13.45	0.04	2.34	1.05	0
87	0.8284	13.73	0.06	2.33	1.05	0
88	0.8851	13.31	0.05	2.31	1.05	0
89	0.8030	13.76	0.05	2.37	1.04	0
90	0.8767	13.27	0.09	2.31	1.04	0
91	0.8189	13.60	0.10	2.28	1.04	0
92	0.8495	13.22	0.11	2.29	1.03	0
93	0.7397	13.39	0.09	2.26	1.04	0
94	0.8420	13.20	0.07	2.31	1.05	0
95	0.6579	13.33	0.04	2.31	1.05	0
96	0.7136	13.15	0.04	2.35	1.06	0
97	0.6911	13.23	0.03	2.31	1.06	0
98	0.7280	12.89	-0.01	2.29	1.05	0
99	0.7567	13.10	-0.05	2.31	1.06	0
100	0.7792	12.85	-0.05	2.32	1.06	0
101	0.6883	12.93	-0.05	2.34	1.06	0
102	0.8854	12.71	-0.11	2.34	1.06	0
103	0.7778	12.91	-0.13	2.31	1.06	0
104	0.8777	12.60	-0.08	2.33	1.06	0
105	0.7500	12.90	-0.06	2.31	1.05	0
106	0.8752	12.60	0.04	2.31	1.06	0
107	0.7680	12.84	0.05	2.30	1.06	0
108	0.9127	12.39	0.10	2.28	1.05	0
109	0.7541	12.51	0.09	2.24	1.04	0
110	0.9062	12.40	0.10	2.26	1.04	0
111	0.8352	12.44	0.10	2.26	1.05	0
112	0.8824	12.27	0.10	2.27	1.05	0
113	0.8171	12.48	0.08	2.26	1.05	0
114	0.8881	12.21	0.11	2.29	1.05	0
115	0.8067	12.46	0.10	2.28	1.05	0
116	0.7291	12.07	0.08	2.33	1.05	0
117	0.8300	12.25	0.08	2.29	1.05	0
118	0.8880	11.81	0.07	2.28	1.05	0
119	0.6900	12.11	0.02	2.28	1.05	0
120	0.8450	11.67	0.01	2.29	1.05	0
121	0.7214	11.86	0.01	2.30	1.05	0
122	0.8590	11.43	-0.07	2.29	1.05	0
123	0.8179	11.67	-0.05	2.27	1.05	0
124	0.8338	11.31	0.03	2.28	1.05	0
125	0.8555	11.35	0.05	2.28	1.05	0
126	0.8402	11.14	0.05	2.27	1.05	0
127	0.8130	11.17	0.03	2.27	1.05	0
128	0.7784	11.12	0.03	2.30	1.05	0
129	0.7265	11.23	0.01	2.30	1.05	0
130	0.7672	10.93	0.07	2.26	1.05	0
131	0.7191	10.93	0.07	2.26	1.05	0
132	0.8767	10.90	0.16	2.28	1.05	0
133	0.8673	10.82	0.16	2.27	1.05	0
134	0.9184	10.71	0.16	2.28	1.05	0
135	0.8787	10.78	0.10	2.28	1.06	0
