tick,sim_time_s,throttle,steer,brake
0,0.0,0.0,0.0,1.0
1,0.05,0.0,-0.133,1.0
2,0.1,0.0,-0.088,1.0
3,0.15,0.0,-0.069,1.0
4,0.2,1.0,-0.017,0.0
5,0.25,1.0,-0.006,0.0
6,0.3,1.0,-0.005,0.0
7,0.35,1.0,-0.003,0.0
8,0.4,1.0,-0.001,0.0
9,0.45,1.0,-0.001,0.0
10,0.5,1.0,-0.001,0.0
11,0.55,1.0,-0.002,0.0
12,0.6,1.0,-0.005,0.0
13,0.65,1.0,-0.007,0.0
14,0.7,1.0,-0.011,0.0
15,0.75,1.0,-0.009,0.0
16,0.8,1.0,-0.003,0.0
17,0.85,1.0,-0.004,0.0
18,0.9,1.0,-0.006,0.0
19,0.95,1.0,-0.001,0.0
20,1.0,1.0,0.001,0.0
21,1.05,1.0,0.002,0.0
22,1.1,1.0,0.005,0.0
23,1.15,1.0,0.006,0.0
24,1.2,1.0,0.008,0.0
25,1.25,1.0,0.006,0.0
26,1.3,1.0,0.005,0.0
27,1.35,1.0,0.005,0.0
28,1.4,1.0,0.004,0.0
29,1.45,0.491,0.002,0.0
30,1.5,0.0,-0.001,1.0
31,1.55,0.0,-0.006,1.0
32,1.6,0.0,-0.007,1.0
33,1.65,0.0,-0.001,1.0
34,1.7,0.0,-0.003,1.0
35,1.75,0.7339,-0.007,0.0
36,1.8,0.2417,-0.015,0.0
37,1.85,0.4971,-0.002,0.0
38,1.9,0.8234,-0.004,0.0
39,1.95,0.8883,0.001,0.0
40,2.0,0.8482,0.006,0.0
41,2.05,0.6871,0.006,0.0
42,2.1,0.2395,0.008,0.0
43,2.15,0.2426,0.009,0.0
44,2.2,0.3031,0.01,0.0
45,2.25,0.2538,0.01,0.0
46,2.3,0.2472,0.01,0.0
47,2.35,0.2466,0.006,0.0
48,2.4,0.2467,0.004,0.0
49,2.45,0.2454,0.003,0.0
50,2.5,0.245,0.002,0.0
51,2.55,0.2433,0.001,0.0
52,2.6,0.2427,-0.0,0.0
53,2.65,0.2407,-0.0,0.0
54,2.7,0.24,0.0,0.0
55,2.75,0.4276,-0.0,0.0
56,2.8,0.6463,0.001,0.0
57,2.85,0.7676,-0.001,0.0
58,2.9,0.9676,-0.003,0.0
59,2.95,0.7404,-0.01,0.0
60,3.0,0.49,-0.002,0.0
61,3.05,0.3942,-0.001,0.0
62,3.1,0.6685,-0.0,0.0
63,3.15,0.3123,-0.002,0.0
64,3.2,0.0,-0.0,1.0
65,3.25,0.0,-0.0,1.0
66,3.3,0.0,0.0,1.0
67,3.35,0.0,0.001,1.0
68,3.4,0.2473,0.002,0.0
69,3.45,0.241,0.001,0.0
70,3.5,0.4764,0.001,0.0
71,3.55,1.0,0.0,0.0
72,3.6,1.0,0.0,0.0
73,3.65,0.9354,-0.0,0.0
74,3.7,0.9173,-0.002,0.0
75,3.75,0.295,-0.001,0.0
76,3.8,0.246,-0.0,0.0
77,3.85,0.2588,-0.001,0.0
78,3.9,0.0,-0.001,1.0
79,3.95,0.0,-0.004,1.0
80,4.0,0.0,-0.006,1.0
81,4.05,0.246,-0.004,0.0
82,4.1,0.2421,-0.004,0.0
83,4.15,0.6802,0.0,0.0
84,4.2,0.727,-0.003,0.0
85,4.25,1.0,0.001,0.0
86,4.3,0.8472,-0.0,0.0
87,4.35,0.7575,0.001,0.0
88,4.4,0.4178,0.002,0.0
89,4.45,0.3644,0.003,0.0
90,4.5,0.6359,0.003,0.0
91,4.55,0.2519,0.004,0.0
92,4.6,0.2548,0.002,0.0
93,4.65,0.0,0.002,1.0
94,4.7,0.0,0.001,1.0
95,4.75,0.2528,0.0,0.0
96,4.8,0.2503,0.001,0.0
97,4.85,0.2475,0.001,0.0
98,4.9,0.2461,0.001,0.0
