tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.246,-24.09,20.48,593.246,-24.016,20.49,10.0,4083.135,0
3,0.15,582.978,-24.092,19.77,593.062,-24.014,10.42,10.084,-1,0
4,0.2,582.709,-24.094,19.61,592.987,-24.013,2.77,10.278,-1,0
5,0.25,582.441,-24.096,19.27,592.981,-24.013,0.3,10.541,-1,0
6,0.3,582.172,-24.098,19.4,592.981,-24.013,0.65,10.81,-1,0
7,0.35,581.903,-24.1,19.36,592.981,-24.013,0.7,11.078,-1,0
8,0.4,581.632,-24.101,19.74,592.98,-24.013,0.62,11.348,-1,0
9,0.45,581.352,-24.104,20.56,592.98,-24.013,0.51,11.629,-1,0
10,0.5,581.057,-24.106,21.7,592.98,-24.013,0.39,11.923,-1,0
11,0.55,580.747,-24.108,22.76,592.98,-24.013,0.29,12.233,-1,0
12,0.6,580.42,-24.11,24.06,592.973,-24.013,1.53,12.553,-1,0
13,0.65,580.076,-24.113,25.21,592.924,-24.013,4.66,12.848,-1,0
14,0.7,579.716,-24.116,26.4,592.838,-24.013,7.06,13.122,-1,0
15,0.75,579.342,-24.118,27.24,592.722,-24.012,9.11,13.38,-1,0
16,0.8,578.957,-24.121,27.98,592.581,-24.012,10.81,13.624,-1,0
17,0.85,578.565,-24.124,28.35,592.418,-24.012,12.3,13.853,-1,0
18,0.9,578.169,-24.127,28.66,592.235,-24.012,13.69,14.067,-1,0
19,0.95,577.771,-24.13,28.69,592.034,-24.012,15.01,14.264,-1,0
20,1.0,577.372,-24.133,28.72,591.815,-24.012,16.29,14.444,-1,0
21,1.05,576.974,-24.136,28.55,591.579,-24.013,17.54,14.605,-1,0
22,1.1,576.579,-24.138,28.44,591.325,-24.013,18.78,14.746,-1,0
23,1.15,576.186,-24.141,28.18,591.054,-24.015,19.84,14.869,-1,0
24,1.2,575.796,-24.144,28.05,590.778,-24.016,20.06,14.983,-1,0
25,1.25,575.408,-24.147,27.79,590.493,-24.018,20.83,15.085,-1,0
26,1.3,575.023,-24.15,27.68,590.197,-24.019,21.66,15.174,-1,0
27,1.35,574.641,-24.153,27.47,589.886,-24.021,22.87,15.246,-1,0
28,1.4,574.26,-24.155,27.42,589.559,-24.024,24.2,15.3,-1,0
29,1.45,573.88,-24.158,27.27,589.213,-24.026,25.33,15.334,-1,0
30,1.5,573.501,-24.161,27.29,588.856,-24.028,25.92,15.356,-1,0
31,1.55,573.123,-24.164,27.2,588.494,-24.03,26.11,15.372,-1,0
32,1.6,572.745,-24.167,27.27,588.134,-24.031,25.77,15.39,-1,0
33,1.65,572.366,-24.169,27.22,587.78,-24.033,25.35,15.414,-1,0
34,1.7,571.987,-24.172,27.32,587.434,-24.034,24.61,15.447,-1,0
35,1.75,571.608,-24.175,27.29,587.097,-24.035,24.04,15.489,-1,0
36,1.8,571.228,-24.178,27.4,586.768,-24.035,23.45,15.54,-1,0
37,1.85,570.848,-24.18,27.37,586.445,-24.035,23.2,15.597,-1,0
38,1.9,570.467,-24.183,27.47,586.125,-24.035,22.93,15.659,-1,0
39,1.95,570.086,-24.186,27.44,585.806,-24.035,23.04,15.721,-1,0
40,2.0,569.704,-24.189,27.53,585.484,-24.035,23.25,15.781,-1,0
41,2.05,569.322,-24.192,27.48,585.157,-24.036,23.77,15.836,-1,0
42,2.1,568.94,-24.194,27.56,584.824,-24.038,24.15,15.885,-1,0
43,2.15,568.557,-24.197,27.5,584.485,-24.039,24.5,15.929,-1,0
44,2.2,568.175,-24.2,27.56,584.144,-24.042,24.58,15.97,-1,0
45,2.25,567.793,-24.203,27.49,583.801,-24.045,24.72,16.01,-1,0
46,2.3,567.41,-24.206,27.55,583.459,-24.048,24.65,16.049,-1,0
47,2.35,567.028,-24.208,27.48,583.116,-24.051,24.66,16.089,-1,0
48,2.4,566.646,-24.211,27.53,582.775,-24.055,24.5,16.13,-1,0
49,2.45,566.264,-24.214,27.46,582.435,-24.058,24.45,16.172,-1,0
50,2.5,565.883,-24.217,27.52,582.097,-24.062,24.24,16.215,-1,0
51,2.55,565.501,-24.219,27.45,581.761,-24.065,24.16,16.261,-1,0
52,2.6,565.119,-24.222,27.51,581.428,-24.069,23.92,16.309,-1,0
53,2.65,564.738,-24.225,27.44,581.096,-24.072,23.83,16.359,-1,0
54,2.7,564.356,-24.228,27.5,580.768,-24.075,23.58,16.412,-1,0
55,2.75,563.975,-24.231,27.44,580.441,-24.078,23.49,16.467,-1,0
56,2.8,563.593,-24.233,27.5,580.116,-24.082,23.34,16.524,-1,0
57,2.85,563.212,-24.236,27.44,579.791,-24.085,23.49,16.58,-1,0
58,2.9,562.83,-24.239,27.5,579.463,-24.088,23.71,16.634,-1,0
59,2.95,562.449,-24.242,27.44,579.129,-24.091,24.3,16.681,-1,0
60,3.0,562.067,-24.245,27.51,578.787,-24.093,24.77,16.721,-1,0
61,3.05,561.686,-24.247,27.44,578.439,-24.096,25.26,16.754,-1,0
62,3.1,561.304,-24.25,27.51,578.086,-24.099,25.53,16.783,-1,0
63,3.15,560.922,-24.253,27.45,577.728,-24.101,25.94,16.806,-1,0
64,3.2,560.541,-24.256,27.51,577.367,-24.104,25.99,16.827,-1,0
65,3.25,560.159,-24.259,27.45,577.007,-24.107,25.84,16.849,-1,0
66,3.3,559.777,-24.261,27.51,576.652,-24.11,25.29,16.876,-1,0
67,3.35,559.396,-24.264,27.45,576.306,-24.112,24.74,16.911,-1,0
68,3.4,559.014,-24.267,27.51,575.969,-24.115,23.96,16.956,-1,0
69,3.45,558.633,-24.27,27.45,575.64,-24.118,23.54,17.008,-1,0
70,3.5,558.251,-24.272,27.51,575.317,-24.121,23.11,17.067,-1,0
71,3.55,557.869,-24.275,27.45,574.997,-24.123,22.98,17.128,-1,0
72,3.6,557.488,-24.278,27.51,574.679,-24.126,22.93,17.192,-1,0
73,3.65,557.106,-24.281,27.45,574.357,-24.129,23.32,17.252,-1,0
74,3.7,556.724,-24.284,27.51,574.029,-24.131,23.81,17.306,-1,0
75,3.75,556.343,-24.286,27.45,573.692,-24.134,24.58,17.35,-1,0
76,3.8,555.961,-24.289,27.51,573.347,-24.137,25.0,17.387,-1,0
77,3.85,555.579,-24.292,27.45,572.996,-24.139,25.35,17.418,-1,0
78,3.9,555.198,-24.295,27.51,572.644,-24.142,25.33,17.447,-1,0
79,3.95,554.816,-24.298,27.45,572.294,-24.144,25.15,17.478,-1,0
80,4.0,554.434,-24.3,27.51,571.949,-24.146,24.57,17.515,-1,0
81,4.05,554.053,-24.303,27.45,571.612,-24.148,24.09,17.56,-1,0
82,4.1,553.671,-24.306,27.51,571.282,-24.15,23.6,17.611,-1,0
83,4.15,553.29,-24.309,27.45,570.956,-24.152,23.39,17.667,-1,0
84,4.2,552.908,-24.312,27.51,570.633,-24.153,23.16,17.726,-1,0
85,4.25,552.526,-24.314,27.45,570.31,-24.155,23.31,17.785,-1,0
86,4.3,552.145,-24.317,27.51,569.985,-24.157,23.57,17.841,-1,0
87,4.35,551.763,-24.32,27.45,569.652,-24.158,24.15,17.89,-1,0
88,4.4,551.381,-24.323,27.51,569.313,-24.16,24.61,17.932,-1,0
89,4.45,551.0,-24.325,27.45,568.967,-24.163,25.08,17.968,-1,0
90,4.5,550.618,-24.328,27.51,568.617,-24.165,25.31,18.0,-1,0
91,4.55,550.236,-24.331,27.45,568.262,-24.168,25.68,18.026,-1,0
92,4.6,549.855,-24.334,27.51,567.904,-24.17,25.78,18.05,-1,0
93,4.65,549.473,-24.337,27.45,567.546,-24.173,25.82,18.073,-1,0
94,4.7,549.091,-24.339,27.51,567.19,-24.176,25.43,18.099,-1,0
95,4.75,548.71,-24.342,27.45,566.84,-24.179,25.11,18.13,-1,0
96,4.8,548.328,-24.345,27.51,566.494,-24.181,24.76,18.167,-1,0
97,4.85,547.947,-24.348,27.45,566.152,-24.184,24.59,18.206,-1,0
98,4.9,547.565,-24.351,27.51,565.813,-24.187,24.28,18.248,-1,0
