tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.246,-24.09,20.48,593.246,-24.017,20.48,10.0,-1,0
3,0.15,582.978,-24.092,19.77,592.978,-24.02,19.77,10.0,-1,0
4,0.2,582.709,-24.094,19.61,592.709,-24.025,19.6,10.0,-1,0
5,0.25,582.441,-24.096,19.27,592.441,-24.029,19.26,10.0,-1,0
6,0.3,582.172,-24.098,19.4,592.172,-24.035,19.39,10.0,-1,0
7,0.35,581.903,-24.1,19.36,591.903,-24.041,19.36,10.0,-1,0
8,0.4,581.632,-24.101,19.74,591.634,-24.046,19.43,10.002,-1,0
9,0.45,581.352,-24.104,20.56,591.364,-24.051,19.66,10.012,-1,0
10,0.5,581.057,-24.106,21.7,591.083,-24.056,20.7,10.026,-1,0
11,0.55,580.747,-24.108,22.76,590.788,-24.061,21.62,10.041,-1,0
12,0.6,580.42,-24.11,24.06,590.478,-24.066,22.83,10.058,-1,0
13,0.65,580.076,-24.113,25.21,590.152,-24.072,23.96,10.075,-1,0
14,0.7,579.716,-24.116,26.4,589.807,-24.077,25.32,10.092,-1,0
15,0.75,579.342,-24.118,27.24,589.445,-24.081,26.62,10.103,-1,0
16,0.8,578.957,-24.121,27.98,589.063,-24.085,28.08,10.106,355.676,0
17,0.85,578.565,-24.124,28.35,588.663,-24.086,29.35,10.097,36.502,0
18,0.9,578.169,-24.127,28.66,588.243,-24.087,30.78,10.074,17.066,0
19,0.95,577.771,-24.13,28.69,587.805,-24.087,32.08,10.034,10.633,0
20,1.0,577.372,-24.133,28.72,587.347,-24.085,33.48,9.976,7.553,0
21,1.05,576.974,-24.136,28.55,586.874,-24.082,34.42,9.9,6.065,0
22,1.1,576.579,-24.138,28.44,586.39,-24.082,35.12,9.811,5.289,0
23,1.15,576.186,-24.141,28.18,585.901,-24.085,35.21,9.715,4.976,0
24,1.2,575.796,-24.144,28.05,585.413,-24.09,34.95,9.618,5.021,0
25,1.25,575.408,-24.147,27.79,584.934,-24.095,34.23,9.526,5.324,0
26,1.3,575.023,-24.15,27.68,584.465,-24.1,33.48,9.442,5.86,0
27,1.35,574.641,-24.153,27.47,584.008,-24.104,32.46,9.368,6.752,0
28,1.4,574.26,-24.155,27.42,583.565,-24.107,31.54,9.306,8.127,0
29,1.45,573.88,-24.158,27.27,583.137,-24.11,30.4,9.257,10.641,0
30,1.5,573.501,-24.161,27.29,582.722,-24.114,29.43,9.221,15.465,0
31,1.55,573.123,-24.164,27.2,582.323,-24.116,28.26,9.201,31.167,0
32,1.6,572.745,-24.167,27.27,581.939,-24.116,27.3,9.195,1083.491,0
33,1.65,572.366,-24.169,27.22,581.57,-24.115,26.14,9.203,-1,0
34,1.7,571.987,-24.172,27.32,581.214,-24.113,25.2,9.227,-1,0
35,1.75,571.608,-24.175,27.29,580.874,-24.109,24.08,9.266,-1,0
36,1.8,571.228,-24.178,27.4,580.546,-24.104,23.26,9.318,-1,0
37,1.85,570.848,-24.18,27.37,580.23,-24.099,22.51,9.382,-1,0
38,1.9,570.467,-24.183,27.47,579.92,-24.093,22.25,9.453,-1,0
39,1.95,570.086,-24.186,27.44,579.612,-24.088,22.11,9.527,-1,0
40,2.0,569.704,-24.189,27.53,579.303,-24.085,22.45,9.599,-1,0
41,2.05,569.322,-24.192,27.48,578.987,-24.085,22.95,9.666,-1,0
42,2.1,568.94,-24.194,27.56,578.661,-24.088,23.83,9.722,-1,0
43,2.15,568.557,-24.197,27.5,578.323,-24.094,24.75,9.766,-1,0
44,2.2,568.175,-24.2,27.56,577.969,-24.102,25.96,9.794,-1,0
45,2.25,567.793,-24.203,27.49,577.599,-24.11,27.11,9.807,-1,0
46,2.3,567.41,-24.206,27.55,577.211,-24.119,28.47,9.801,38.367,0
47,2.35,567.028,-24.208,27.48,576.805,-24.128,29.72,9.777,15.666,0
48,2.4,566.646,-24.211,27.53,576.381,-24.137,31.08,9.735,9.895,0
49,2.45,566.264,-24.214,27.46,575.942,-24.147,31.86,9.678,7.915,0
50,2.5,565.883,-24.217,27.52,575.497,-24.156,32.15,9.614,7.466,0
51,2.55,565.501,-24.219,27.45,575.052,-24.164,31.84,9.552,7.821,0
52,2.6,565.119,-24.222,27.51,574.614,-24.17,31.35,9.495,8.886,0
53,2.65,564.738,-24.225,27.44,574.185,-24.175,30.54,9.448,10.979,0
54,2.7,564.356,-24.228,27.5,573.768,-24.177,29.76,9.412,14.989,0
55,2.75,563.975,-24.231,27.44,573.363,-24.177,28.74,9.388,25.88,0
56,2.8,563.593,-24.233,27.5,572.971,-24.174,27.94,9.378,76.994,0
57,2.85,563.212,-24.236,27.44,572.589,-24.169,27.22,9.378,-1,0
58,2.9,562.83,-24.239,27.5,572.215,-24.162,26.79,9.385,-1,0
59,2.95,562.449,-24.242,27.44,571.849,-24.153,26.06,9.4,-1,0
60,3.0,562.067,-24.245,27.51,571.492,-24.146,25.38,9.426,-1,0
61,3.05,561.686,-24.247,27.44,571.148,-24.139,24.5,9.463,-1,0
62,3.1,561.304,-24.25,27.51,570.811,-24.133,24.06,9.508,-1,0
63,3.15,560.922,-24.253,27.45,570.48,-24.127,23.71,9.559,-1,0
64,3.2,560.541,-24.256,27.51,570.151,-24.123,23.81,9.611,-1,0
65,3.25,560.159,-24.259,27.45,569.818,-24.118,24.09,9.66,-1,0
66,3.3,559.777,-24.261,27.51,569.478,-24.115,24.8,9.701,-1,0
67,3.35,559.396,-24.264,27.45,569.127,-24.113,25.59,9.732,-1,0
68,3.4,559.014,-24.267,27.51,568.763,-24.111,26.53,9.75,-1,0
69,3.45,558.633,-24.27,27.45,568.391,-24.111,26.9,9.76,-1,0
70,3.5,558.251,-24.272,27.51,568.017,-24.111,26.91,9.767,-1,0
71,3.55,557.869,-24.275,27.45,567.647,-24.112,26.44,9.779,-1,0
72,3.6,557.488,-24.278,27.51,567.283,-24.114,25.97,9.797,-1,0
73,3.65,557.106,-24.281,27.45,566.929,-24.116,25.27,9.824,-1,0
74,3.7,556.724,-24.284,27.51,566.581,-24.118,24.92,9.858,-1,0
75,3.75,556.343,-24.286,27.45,566.237,-24.121,24.67,9.896,-1,0
76,3.8,555.961,-24.289,27.51,565.893,-24.126,24.84,9.934,-1,0
77,3.85,555.579,-24.292,27.45,565.546,-24.129,25.18,9.968,-1,0
78,3.9,555.198,-24.295,27.51,565.19,-24.133,25.93,9.994,-1,0
79,3.95,554.816,-24.298,27.45,564.823,-24.14,26.75,10.008,-1,0
80,4.0,554.434,-24.3,27.51,564.443,-24.153,27.87,10.009,100.667,0
81,4.05,554.053,-24.303,27.45,564.047,-24.17,28.96,9.995,23.715,0
82,4.1,553.671,-24.306,27.51,563.634,-24.191,30.29,9.964,12.915,0
83,4.15,553.29,-24.309,27.45,563.205,-24.219,31.43,9.916,8.952,0
84,4.2,552.908,-24.312,27.51,562.763,-24.254,32.2,9.855,7.558,0
85,4.25,552.526,-24.314,27.45,562.316,-24.291,32.24,9.79,7.354,0
86,4.3,552.145,-24.317,27.51,561.872,-24.33,31.97,9.728,7.856,0
87,4.35,551.763,-24.32,27.45,561.436,-24.369,31.27,9.673,9.107,0
88,4.4,551.381,-24.323,27.51,561.009,-24.407,30.57,9.628,11.345,0
89,4.45,551.0,-24.325,27.45,560.593,-24.442,29.69,9.594,15.413,0
90,4.5,550.618,-24.328,27.51,560.188,-24.473,29.04,9.571,22.54,0
91,4.55,550.236,-24.331,27.45,559.793,-24.499,28.06,9.558,56.026,0
92,4.6,549.855,-24.334,27.51,559.412,-24.517,27.14,9.559,-1,0
93,4.65,549.473,-24.337,27.45,559.044,-24.529,26.07,9.573,-1,0
94,4.7,549.091,-24.339,27.51,558.69,-24.535,25.18,9.6,-1,0
95,4.75,548.71,-24.342,27.45,558.349,-24.537,24.09,9.641,-1,0
96,4.8,548.328,-24.345,27.51,558.022,-24.534,23.27,9.696,-1,0
97,4.85,547.947,-24.348,27.45,557.705,-24.528,22.55,9.76,-1,0
98,4.9,547.565,-24.351,27.51,557.395,-24.519,22.31,9.831,-1,0
99,4.95,547.183,-24.353,27.45,557.086,-24.508,22.19,9.904,-1,0
100,5.0,546.802,-24.356,27.51,556.776,-24.498,22.55,9.975,-1,0
101,5.05,546.42,-24.359,27.45,556.458,-24.487,23.06,10.039,-1,0
102,5.1,546.038,-24.362,27.51,556.131,-24.475,23.97,10.093,-1,0
103,5.15,545.657,-24.365,27.45,555.791,-24.465,24.89,10.134,-1,0
104,5.2,545.275,-24.367,27.51,555.435,-24.454,26.1,10.16,-1,0
105,5.25,544.893,-24.37,27.45,555.063,-24.441,27.25,10.17,-1,0
106,5.3,544.512,-24.373,27.51,554.674,-24.427,28.62,10.162,33.123,0
107,5.35,544.13,-24.376,27.45,554.266,-24.414,29.87,10.136,15.039,0
108,5.4,543.748,-24.378,27.51,553.839,-24.403,31.31,10.091,9.551,0
109,5.45,543.367,-24.381,27.45,553.393,-24.393,32.66,10.026,6.928,0
110,5.5,542.985,-24.384,27.51,552.928,-24.382,34.03,9.943,5.491,0
111,5.55,542.604,-24.387,27.45,552.449,-24.371,34.62,9.846,4.942,0
112,5.6,542.222,-24.39,27.51,551.969,-24.363,34.54,9.747,4.993,0
113,5.65,541.84,-24.392,27.45,551.494,-24.357,33.96,9.654,5.333,0
114,5.7,541.459,-24.395,27.51,551.028,-24.353,33.31,9.569,5.945,0
115,5.75,541.077,-24.398,27.45,550.573,-24.351,32.36,9.496,6.951,0
116,5.8,540.695,-24.401,27.51,550.131,-24.352,31.49,9.436,8.536,0
117,5.85,540.314,-24.404,27.45,549.703,-24.353,30.38,9.389,11.503,0
118,5.9,539.932,-24.406,27.51,549.288,-24.353,29.53,9.356,16.695,0
119,5.95,539.55,-24.409,27.45,548.885,-24.354,28.81,9.334,24.637,0
120,6.0,539.169,-24.412,27.51,548.487,-24.357,28.58,9.318,31.278,0
121,6.05,538.787,-24.415,27.45,548.09,-24.36,28.54,9.303,30.469,0
122,6.1,538.406,-24.418,27.51,547.691,-24.361,28.96,9.285,23.001,0
123,6.15,538.024,-24.42,27.45,547.284,-24.362,29.4,9.261,17.067,0
124,6.2,537.642,-24.423,27.51,546.873,-24.366,29.68,9.231,15.286,0
125,6.25,537.261,-24.426,27.45,546.463,-24.37,29.42,9.202,16.758,0
126,6.3,536.879,-24.429,27.51,546.057,-24.374,29.0,9.179,22.245,0
127,6.35,536.497,-24.431,27.45,545.661,-24.379,28.24,9.164,41.708,0
128,6.4,536.116,-24.434,27.51,545.275,-24.382,27.54,9.159,1075.204,0
129,6.45,535.734,-24.437,27.45,544.9,-24.385,26.58,9.166,-1,0
130,6.5,535.352,-24.44,27.51,544.538,-24.386,25.76,9.186,-1,0
131,6.55,534.971,-24.443,27.45,544.189,-24.385,24.71,9.218,-1,0
132,6.6,534.589,-24.445,27.51,543.853,-24.382,23.88,9.264,-1,0
133,6.65,534.208,-24.448,27.45,543.53,-24.377,22.8,9.323,-1,0
134,6.7,533.826,-24.451,27.51,543.22,-24.372,22.02,9.395,-1,0
135,6.75,533.444,-24.454,27.45,542.921,-24.367,21.29,9.477,-1,0
136,6.8,533.062,-24.457,27.51,542.627,-24.364,21.02,9.565,-1,0
137,6.85,532.681,-24.459,27.45,542.337,-24.362,20.89,9.656,-1,0
138,6.9,532.299,-24.462,27.51,542.044,-24.36,21.23,9.745,-1,0
139,6.95,531.918,-24.465,27.45,541.745,-24.358,21.73,9.828,-1,0
140,7.0,531.536,-24.468,27.51,541.436,-24.356,22.63,9.901,-1,0
141,7.05,531.154,-24.471,27.45,541.114,-24.354,23.55,9.961,-1,0
142,7.1,530.773,-24.473,27.51,540.777,-24.352,24.77,10.005,-1,0
143,7.15,530.391,-24.476,27.45,540.424,-24.349,25.91,10.033,-1,0
144,7.2,530.009,-24.479,27.51,540.052,-24.345,27.31,10.043,-1,0
145,7.25,529.628,-24.482,27.45,539.663,-24.341,28.38,10.036,38.546,0
146,7.3,529.246,-24.484,27.51,539.263,-24.337,29.01,10.018,24.065,0
147,7.35,528.865,-24.487,27.45,538.86,-24.334,28.92,9.997,24.383,0
148,7.4,528.483,-24.49,27.51,538.461,-24.334,28.61,9.98,32.558,0
149,7.45,528.101,-24.493,27.45,538.069,-24.333,27.95,9.969,70.943,0
150,7.5,527.72,-24.496,27.51,537.686,-24.331,27.33,9.968,-1,0
151,7.55,527.338,-24.498,27.45,537.314,-24.326,26.41,9.978,-1,0
152,7.6,526.956,-24.501,27.51,536.954,-24.319,25.65,9.999,-1,0
153,7.65,526.575,-24.504,27.45,536.606,-24.312,24.63,10.033,-1,0
154,7.7,526.193,-24.507,27.51,536.271,-24.304,23.88,10.08,-1,0
155,7.75,525.811,-24.51,27.45,535.946,-24.295,23.17,10.136,-1,0
156,7.8,525.43,-24.512,27.51,535.626,-24.286,22.95,10.199,-1,0
157,7.85,525.048,-24.515,27.45,535.308,-24.279,22.85,10.263,-1,0
158,7.9,524.666,-24.518,27.51,534.988,-24.275,23.23,10.325,-1,0
159,7.95,524.285,-24.521,27.45,534.661,-24.273,23.76,10.38,-1,0
160,8.0,523.903,-24.524,27.51,534.324,-24.27,24.68,10.424,-1,0
161,8.05,523.522,-24.526,27.45,533.973,-24.268,25.62,10.455,-1,0
162,8.1,523.14,-24.529,27.51,533.607,-24.266,26.84,10.471,-1,0
163,8.15,522.758,-24.532,27.45,533.226,-24.264,27.81,10.471,104.007,0
164,8.2,522.377,-24.535,27.51,532.834,-24.262,28.4,10.461,42.183,0
165,8.25,521.995,-24.537,27.45,532.44,-24.263,28.31,10.449,43.394,0
166,8.3,521.613,-24.54,27.51,532.049,-24.265,28.01,10.44,75.698,0
167,8.35,521.232,-24.543,27.45,531.665,-24.268,27.44,10.437,-1,0
168,8.4,520.85,-24.546,27.51,531.286,-24.27,27.19,10.44,-1,0
169,8.45,520.468,-24.549,27.45,530.91,-24.272,27.05,10.445,-1,0
170,8.5,520.087,-24.551,27.51,530.533,-24.274,27.32,10.45,-1,0
171,8.55,519.705,-24.554,27.45,530.15,-24.275,27.75,10.448,124.143,0
172,8.6,519.323,-24.557,27.51,529.758,-24.274,28.57,10.438,35.544,0
173,8.65,518.942,-24.56,27.45,529.354,-24.27,29.45,10.416,18.715,0
174,8.7,518.56,-24.563,27.51,528.935,-24.265,30.57,10.38,12.232,0
175,8.75,518.179,-24.565,27.45,528.503,-24.262,31.45,10.329,9.297,0
176,8.8,517.797,-24.568,27.51,528.061,-24.26,31.99,10.269,8.259,0
177,8.85,517.415,-24.571,27.45,527.618,-24.258,31.87,10.207,8.297,0
178,8.9,517.034,-24.574,27.51,527.178,-24.257,31.52,10.149,9.104,0
179,8.95,516.652,-24.577,27.45,526.746,-24.257,30.76,10.099,10.959,0
180,9.0,516.27,-24.579,27.51,526.325,-24.258,30.03,10.06,14.37,0
181,9.05,515.889,-24.582,27.45,525.916,-24.26,29.13,10.032,21.459,0
182,9.1,515.507,-24.585,27.51,525.515,-24.262,28.65,10.014,31.567,0
183,9.15,515.125,-24.588,27.45,525.12,-24.264,28.35,10.0,39.776,0
184,9.2,514.744,-24.59,27.51,524.726,-24.265,28.48,9.987,37.209,0
185,9.25,514.362,-24.593,27.45,524.328,-24.266,28.8,9.971,26.549,0
186,9.3,513.98,-24.596,27.51,523.922,-24.266,29.53,9.947,17.769,0
187,9.35,513.599,-24.599,27.45,523.505,-24.266,30.34,9.912,12.33,0
188,9.4,513.217,-24.602,27.51,523.075,-24.266,31.38,9.864,9.184,0
189,9.45,512.836,-24.604,27.45,522.634,-24.265,31.92,9.804,7.891,0
190,9.5,512.454,-24.607,27.51,522.189,-24.263,32.02,9.742,7.785,0
191,9.55,512.072,-24.61,27.45,521.748,-24.261,31.59,9.682,8.414,0
192,9.6,511.691,-24.613,27.51,521.314,-24.261,31.02,9.63,9.881,0
193,9.65,511.309,-24.616,27.45,520.89,-24.262,30.14,9.588,12.799,0
194,9.7,510.927,-24.618,27.51,520.478,-24.264,29.43,9.557,17.924,0
195,9.75,510.546,-24.621,27.45,520.075,-24.269,28.77,9.536,25.825,0
196,9.8,510.164,-24.624,27.51,519.678,-24.274,28.48,9.52,35.291,0
197,9.85,509.783,-24.627,27.45,519.285,-24.279,28.24,9.509,43.015,0
198,9.9,509.401,-24.63,27.51,518.892,-24.283,28.36,9.497,40.288,0
199,9.95,509.019,-24.632,27.45,518.497,-24.288,28.4,9.484,35.856,0
200,10.0,508.638,-24.635,27.42,518.101,-24.293,28.56,9.47,29.75,0
201,10.05,508.261,-24.638,26.98,517.706,-24.298,28.33,9.452,25.335,0
202,10.1,507.89,-24.641,26.49,517.316,-24.302,27.94,9.432,23.429,0
203,10.15,507.528,-24.643,25.71,516.934,-24.304,27.18,9.412,23.016,0
204,10.2,507.177,-24.646,25.05,516.562,-24.305,26.5,9.392,23.429,0
205,10.25,506.836,-24.648,24.15,516.202,-24.304,25.62,9.372,22.994,0
206,10.3,506.507,-24.651,23.44,515.85,-24.303,25.15,9.35,19.652,0
207,10.35,506.189,-24.653,22.5,515.504,-24.3,24.8,9.322,14.584,0
208,10.4,505.885,-24.655,20.85,515.159,-24.295,24.89,9.281,8.289,0
209,10.45,505.636,-24.657,16.02,514.812,-24.29,25.16,9.183,3.62,0
210,10.5,505.455,-24.658,11.17,514.458,-24.284,25.72,9.011,2.23,0
211,10.55,505.34,-24.659,6.35,514.099,-24.279,25.87,8.767,1.617,0
212,10.6,505.292,-24.66,1.59,513.74,-24.274,25.78,8.456,1.258,0
213,10.65,505.29,-24.66,0.0,513.386,-24.27,25.25,8.105,1.156,0
214,10.7,505.29,-24.66,0.0,513.039,-24.264,24.75,7.76,1.129,0
215,10.75,505.29,-24.66,0.0,512.702,-24.258,23.95,7.424,1.116,0
216,10.8,505.289,-24.66,0.0,512.375,-24.252,23.3,7.098,1.097,0
217,10.85,505.289,-24.66,0.0,512.059,-24.243,22.37,6.783,1.092,0
218,10.9,505.289,-24.66,0.0,511.783,-24.235,17.96,6.508,1.305,0
219,10.95,505.289,-24.66,0.0,511.574,-24.229,13.14,6.3,1.726,0
220,11.0,505.289,-24.66,0.0,511.388,-24.221,13.8,6.115,1.596,0
221,11.05,505.289,-24.66,0.0,511.188,-24.209,14.83,5.917,1.436,0
222,11.1,505.289,-24.66,0.0,510.974,-24.194,15.94,5.704,1.288,0
223,11.15,505.289,-24.66,0.0,510.743,-24.18,17.09,5.475,1.153,0
224,11.2,505.289,-24.66,0.0,510.496,-24.166,18.27,5.23,1.031,0
225,11.25,505.289,-24.66,0.0,510.232,-24.151,19.47,4.97,0.919,0
226,11.3,505.291,-24.659,0.88,510.019,-24.13,4.9,4.758,4.269,1
227,11.35,505.297,-24.657,0.24,510.034,-24.115,0.78,4.768,31.564,0
228,11.4,505.297,-24.657,0.01,510.034,-24.112,0.04,4.768,598.191,0
229,11.45,505.296,-24.658,0.08,510.035,-24.113,0.1,4.771,821.173,0
230,11.5,505.294,-24.658,0.11,510.037,-24.113,0.19,4.774,212.931,0
231,11.55,505.292,-24.659,0.1,510.027,-24.112,1.16,4.767,16.266,0
232,11.6,505.291,-24.659,0.07,510.009,-24.11,0.52,4.75,38.02,1
233,11.65,505.291,-24.659,0.06,510.009,-24.108,0.08,4.75,741.232,1
234,11.7,505.291,-24.659,0.05,510.009,-24.108,0.03,4.751,-1,1
235,11.75,505.29,-24.659,0.03,510.01,-24.107,0.02,4.751,-1,1
236,11.8,505.29,-24.659,0.02,510.01,-24.107,0.02,4.752,-1,1
237,11.85,505.29,-24.66,0.02,510.01,-24.106,0.02,4.752,8182.481,1
238,11.9,505.29,-24.66,0.01,510.01,-24.106,0.02,4.752,2599.176,1
239,11.95,505.29,-24.66,0.01,510.01,-24.106,0.02,4.752,1909.704,1
240,12.0,505.29,-24.66,0.01,510.01,-24.105,0.02,4.752,1579.436,1
241,12.05,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,1
242,12.1,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
243,12.15,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
244,12.2,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
245,12.25,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
246,12.3,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
247,12.35,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
248,12.4,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
249,12.45,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
250,12.5,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
251,12.55,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
252,12.6,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
253,12.65,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
254,12.7,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
255,12.75,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
256,12.8,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
257,12.85,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
258,12.9,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
259,12.95,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
260,13.0,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
261,13.05,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
262,13.1,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
263,13.15,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
264,13.2,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
265,13.25,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
266,13.3,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
267,13.35,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
268,13.4,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
269,13.45,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
270,13.5,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
271,13.55,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
272,13.6,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
273,13.65,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
274,13.7,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
275,13.75,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
276,13.8,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
277,13.85,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
278,13.9,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
279,13.95,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
280,14.0,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
281,14.05,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
282,14.1,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
283,14.15,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
284,14.2,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
285,14.25,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
286,14.3,505.29,-24.66,0.0,510.01,-24.105,0.0,4.752,-1,0
