tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.247,-24.09,21.11,593.246,-24.016,20.5,10.0,-1,0
3,0.15,582.974,-24.092,20.45,593.062,-24.018,10.44,10.088,-1,0
4,0.2,582.701,-24.094,20.19,592.986,-24.018,2.79,10.286,-1,0
5,0.25,582.429,-24.096,19.92,592.98,-24.018,0.3,10.552,-1,0
6,0.3,582.155,-24.098,19.32,592.98,-24.018,0.65,10.826,-1,0
7,0.35,581.88,-24.1,20.09,592.98,-24.018,0.7,11.101,-1,0
8,0.4,581.614,-24.102,18.76,592.98,-24.018,0.62,11.366,-1,0
9,0.45,581.361,-24.104,18.19,592.979,-24.018,0.51,11.619,-1,0
10,0.5,581.116,-24.105,17.77,592.979,-24.018,0.39,11.864,-1,0
11,0.55,580.872,-24.107,17.78,592.979,-24.018,0.29,12.108,-1,0
12,0.6,580.625,-24.109,17.94,592.979,-24.018,0.21,12.354,-1,0
13,0.65,580.375,-24.111,18.19,592.979,-24.018,0.15,12.604,-1,0
14,0.7,580.121,-24.113,18.3,592.979,-24.018,0.1,12.858,-1,0
15,0.75,579.869,-24.115,18.2,592.966,-24.018,1.97,13.098,-1,0
16,0.8,579.616,-24.116,18.47,592.914,-24.017,4.7,13.298,-1,0
17,0.85,579.356,-24.118,18.82,592.834,-24.01,6.45,13.479,-1,0
18,0.9,579.096,-24.12,18.67,592.734,-23.995,7.83,13.639,-1,0
19,0.95,578.836,-24.122,18.9,592.617,-23.974,9.06,13.782,-1,0
20,1.0,578.577,-24.124,18.86,592.486,-23.947,10.09,13.911,-1,0
21,1.05,578.31,-24.126,19.45,592.342,-23.915,11.13,14.034,-1,0
22,1.1,578.035,-24.128,20.06,592.186,-23.877,12.05,14.153,-1,0
23,1.15,577.753,-24.131,20.37,592.017,-23.833,13.04,14.267,-1,0
24,1.2,577.465,-24.133,20.87,591.838,-23.782,13.87,14.377,-1,0
25,1.25,577.17,-24.135,21.31,591.65,-23.72,14.69,14.486,-1,0
26,1.3,576.871,-24.136,21.56,591.453,-23.649,15.5,14.591,-1,0
27,1.35,576.567,-24.138,21.93,591.248,-23.569,16.34,14.692,-1,0
28,1.4,576.259,-24.14,22.32,591.035,-23.479,17.11,14.791,-1,0
29,1.45,575.946,-24.142,22.54,590.815,-23.378,17.9,14.889,-1,0
30,1.5,575.629,-24.145,23.12,590.588,-23.266,18.7,14.985,-1,0
31,1.55,575.303,-24.147,23.59,590.354,-23.144,19.37,15.084,-1,0
32,1.6,574.972,-24.15,24.01,590.117,-23.013,19.88,15.187,-1,0
33,1.65,574.638,-24.152,24.15,589.879,-22.875,20.03,15.294,-1,0
34,1.7,574.301,-24.155,24.37,589.638,-22.73,20.5,15.403,-1,0
35,1.75,573.96,-24.158,24.63,589.395,-22.579,20.84,15.515,-1,0
36,1.8,573.617,-24.16,24.91,589.146,-22.422,21.5,15.626,-1,0
37,1.85,573.27,-24.163,25.09,588.888,-22.261,22.18,15.733,-1,0
38,1.9,572.921,-24.165,25.26,588.62,-22.099,22.63,15.835,-1,0
39,1.95,572.569,-24.168,25.46,588.35,-21.94,22.58,15.937,-1,0
40,2.0,572.215,-24.17,25.65,588.077,-21.785,22.55,16.041,-1,0
41,2.05,571.858,-24.173,25.75,587.804,-21.637,22.26,16.146,-1,0
42,2.1,571.501,-24.175,25.85,587.529,-21.499,22.03,16.251,-1,0
43,2.15,571.141,-24.178,25.97,587.255,-21.371,21.63,16.357,-1,0
44,2.2,570.78,-24.18,26.08,586.982,-21.254,21.34,16.464,-1,0
45,2.25,570.418,-24.182,26.14,586.71,-21.147,20.94,16.572,-1,0
46,2.3,570.055,-24.185,26.19,586.439,-21.05,20.76,16.68,-1,0
47,2.35,569.691,-24.187,26.26,586.166,-20.963,20.63,16.787,-1,0
48,2.4,569.327,-24.189,26.32,585.89,-20.886,20.84,16.89,-1,0
49,2.45,568.961,-24.191,26.35,585.608,-20.817,21.07,16.986,-1,0
50,2.5,568.595,-24.194,26.38,585.319,-20.757,21.57,17.074,-1,0
51,2.55,568.228,-24.196,26.42,585.022,-20.706,21.98,17.152,-1,0
52,2.6,567.861,-24.198,26.45,584.718,-20.664,22.31,17.223,-1,0
53,2.65,567.494,-24.2,26.47,584.411,-20.631,22.28,17.29,-1,0
54,2.7,567.126,-24.202,26.49,584.104,-20.606,22.28,17.355,-1,0
55,2.75,566.758,-24.205,26.5,583.798,-20.588,22.05,17.42,-1,0
56,2.8,566.389,-24.207,26.52,583.494,-20.577,21.86,17.486,-1,0
57,2.85,566.021,-24.209,26.53,583.195,-20.574,21.47,17.554,-1,0
58,2.9,565.652,-24.211,26.54,582.899,-20.577,21.25,17.626,-1,0
59,2.95,565.283,-24.213,26.55,582.608,-20.586,20.91,17.701,-1,0
60,3.0,564.914,-24.216,26.55,582.319,-20.6,20.89,17.776,-1,0
61,3.05,564.545,-24.218,26.56,582.03,-20.621,20.91,17.851,-1,0
62,3.1,564.176,-24.22,26.56,581.738,-20.646,21.28,17.922,-1,0
63,3.15,563.807,-24.222,26.57,581.442,-20.675,21.59,17.988,-1,0
64,3.2,563.438,-24.224,26.57,581.14,-20.707,21.98,18.048,-1,0
65,3.25,563.069,-24.227,26.57,580.836,-20.739,22.02,18.106,-1,0
66,3.3,562.7,-24.229,26.57,580.532,-20.772,22.03,18.164,-1,0
67,3.35,562.331,-24.231,26.57,580.23,-20.805,21.79,18.224,-1,0
68,3.4,561.962,-24.233,26.57,579.93,-20.835,21.62,18.287,-1,0
69,3.45,561.593,-24.235,26.57,579.635,-20.862,21.23,18.354,-1,0
70,3.5,561.224,-24.238,26.57,579.343,-20.884,20.96,18.426,-1,0
71,3.55,560.855,-24.24,26.57,579.055,-20.903,20.62,18.504,-1,0
72,3.6,560.486,-24.242,26.57,578.77,-20.919,20.6,18.583,-1,0
73,3.65,560.117,-24.244,26.57,578.484,-20.932,20.62,18.663,-1,0
74,3.7,559.748,-24.246,26.57,578.195,-20.944,20.98,18.741,-1,0
75,3.75,559.379,-24.249,26.57,577.901,-20.954,21.33,18.813,-1,0
76,3.8,559.01,-24.251,26.57,577.6,-20.963,21.88,18.879,-1,0
77,3.85,558.64,-24.253,26.57,577.294,-20.97,22.11,18.941,-1,0
78,3.9,558.271,-24.255,26.57,576.986,-20.977,22.26,19.0,-1,0
79,3.95,557.902,-24.257,26.57,576.678,-20.981,22.1,19.06,-1,0
80,4.0,557.533,-24.26,26.57,576.372,-20.984,22.01,19.121,-1,0
81,4.05,557.164,-24.262,26.57,576.069,-20.986,21.68,19.187,-1,0
82,4.1,556.795,-24.264,26.57,575.77,-20.988,21.46,19.256,-1,0
83,4.15,556.426,-24.266,26.57,575.475,-20.988,21.05,19.33,-1,0
84,4.2,556.056,-24.268,26.57,575.184,-20.987,20.87,19.407,-1,0
85,4.25,555.687,-24.271,26.57,574.897,-20.986,20.66,19.488,-1,0
86,4.3,555.318,-24.273,26.57,574.609,-20.985,20.81,19.569,-1,0
87,4.35,554.949,-24.275,26.57,574.318,-20.984,20.98,19.647,-1,0
88,4.4,554.58,-24.277,26.57,574.023,-20.983,21.46,19.72,-1,0
89,4.45,554.211,-24.279,26.57,573.722,-20.984,21.85,19.787,-1,0
90,4.5,553.841,-24.282,26.57,573.415,-20.986,22.19,19.849,-1,0
91,4.55,553.472,-24.284,26.57,573.107,-20.989,22.16,19.909,-1,0
92,4.6,553.103,-24.286,26.57,572.799,-20.992,22.14,19.969,-1,0
93,4.65,552.734,-24.288,26.57,572.494,-20.996,21.87,20.032,-1,0
94,4.7,552.365,-24.29,26.57,572.192,-21.001,21.69,20.097,-1,0
95,4.75,551.997,-24.293,26.57,571.894,-21.007,21.29,20.167,-1,0
96,4.8,551.628,-24.295,26.57,571.6,-21.014,21.04,20.24,-1,0
97,4.85,551.259,-24.297,26.57,571.311,-21.021,20.69,20.318,-1,0
98,4.9,550.89,-24.299,26.57,571.024,-21.028,20.66,20.399,-1,0
99,4.95,550.521,-24.301,26.57,570.738,-21.035,20.68,20.479,-1,0
100,5.0,550.152,-24.304,26.57,570.448,-21.043,21.03,20.556,-1,0
101,5.05,549.783,-24.306,26.57,570.153,-21.051,21.37,20.629,-1,0
102,5.1,549.414,-24.308,26.57,569.852,-21.058,21.92,20.694,-1,0
103,5.15,549.045,-24.31,26.57,569.545,-21.066,22.12,20.755,-1,0
104,5.2,548.676,-24.312,26.57,569.237,-21.074,22.25,20.814,-1,0
105,5.25,548.307,-24.315,26.57,568.929,-21.081,22.08,20.874,-1,0
106,5.3,547.938,-24.317,26.57,568.623,-21.088,21.97,20.935,-1,0
107,5.35,547.569,-24.319,26.57,568.321,-21.095,21.63,21.001,-1,0
108,5.4,547.2,-24.321,26.57,568.022,-21.101,21.4,21.07,-1,0
109,5.45,546.831,-24.323,26.57,567.729,-21.106,20.99,21.143,-1,0
110,5.5,546.462,-24.326,26.57,567.439,-21.111,20.81,21.221,-1,0
111,5.55,546.094,-24.328,26.57,567.152,-21.115,20.63,21.302,-1,0
112,5.6,545.725,-24.33,26.57,566.864,-21.119,20.8,21.382,-1,0
113,5.65,545.356,-24.332,26.57,566.574,-21.121,21.0,21.46,-1,0
114,5.7,544.987,-24.334,26.57,566.278,-21.124,21.5,21.532,-1,0
115,5.75,544.618,-24.337,26.57,565.976,-21.125,21.9,21.598,-1,0
116,5.8,544.249,-24.339,26.57,565.669,-21.125,22.24,21.66,-1,0
117,5.85,543.88,-24.341,26.57,565.36,-21.124,22.22,21.719,-1,0
118,5.9,543.511,-24.343,26.57,565.051,-21.125,22.2,21.779,-1,0
119,5.95,543.142,-24.345,26.57,564.745,-21.126,21.93,21.841,-1,0
120,6.0,542.773,-24.348,26.57,564.442,-21.129,21.75,21.906,-1,0
121,6.05,542.404,-24.35,26.57,564.143,-21.131,21.35,21.976,-1,0
122,6.1,542.035,-24.352,26.57,563.848,-21.132,21.1,22.05,-1,0
123,6.15,541.666,-24.354,26.57,563.558,-21.133,20.75,22.128,-1,0
124,6.2,541.297,-24.356,26.57,563.271,-21.134,20.72,22.208,-1,0
125,6.25,540.928,-24.359,26.57,562.983,-21.137,20.74,22.289,-1,0
126,6.3,540.559,-24.361,26.57,562.692,-21.14,21.09,22.366,-1,0
127,6.35,540.19,-24.363,26.57,562.396,-21.144,21.41,22.438,-1,0
128,6.4,539.821,-24.365,26.57,562.095,-21.149,21.89,22.505,-1,0
129,6.45,539.453,-24.367,26.57,561.789,-21.154,22.03,22.567,-1,0
130,6.5,539.084,-24.37,26.57,561.483,-21.161,22.11,22.628,-1,0
131,6.55,538.715,-24.372,26.57,561.177,-21.167,21.91,22.69,-1,0
132,6.6,538.346,-24.374,26.57,560.874,-21.17,21.74,22.755,-1,0
133,6.65,537.977,-24.376,26.57,560.575,-21.172,21.38,22.825,-1,0
134,6.7,537.608,-24.378,26.57,560.28,-21.176,21.16,22.897,-1,0
135,6.75,537.239,-24.38,26.57,559.989,-21.18,20.83,22.974,-1,0
136,6.8,536.87,-24.383,26.57,559.7,-21.186,20.83,23.053,-1,0
137,6.85,536.501,-24.385,26.57,559.411,-21.194,20.86,23.131,-1,0
138,6.9,536.132,-24.387,26.57,559.119,-21.202,21.23,23.206,-1,0
139,6.95,535.763,-24.389,26.57,558.821,-21.212,21.54,23.276,-1,0
140,7.0,535.394,-24.391,26.57,558.519,-21.222,21.91,23.341,-1,0
141,7.05,535.025,-24.394,26.57,558.214,-21.233,21.92,23.404,-1,0
142,7.1,534.656,-24.396,26.57,557.91,-21.243,21.92,23.467,-1,0
143,7.15,534.287,-24.398,26.57,557.608,-21.253,21.67,23.532,-1,0
144,7.2,533.918,-24.4,26.57,557.308,-21.262,21.5,23.6,-1,0
145,7.25,533.549,-24.402,26.57,557.013,-21.272,21.14,23.671,-1,0
146,7.3,533.18,-24.405,26.57,556.721,-21.281,20.96,23.747,-1,0
147,7.35,532.811,-24.407,26.57,556.432,-21.291,20.73,23.825,-1,0
148,7.4,532.443,-24.409,26.57,556.144,-21.3,20.86,23.904,-1,0
149,7.45,532.074,-24.411,26.57,555.853,-21.311,21.01,23.981,-1,0
150,7.5,531.705,-24.413,26.57,555.558,-21.322,21.47,24.053,-1,0
151,7.55,531.336,-24.416,26.57,555.257,-21.334,21.84,24.118,-1,0
152,7.6,530.967,-24.418,26.57,554.95,-21.347,22.18,24.179,-1,0
153,7.65,530.598,-24.42,26.57,554.643,-21.36,22.14,24.239,-1,0
154,7.7,530.229,-24.422,26.57,554.336,-21.375,22.12,24.299,-1,0
155,7.75,529.86,-24.424,26.57,554.031,-21.389,21.84,24.361,-1,0
156,7.8,529.491,-24.427,26.57,553.73,-21.405,21.66,24.426,-1,0
157,7.85,529.122,-24.429,26.57,553.432,-21.421,21.26,24.496,-1,0
158,7.9,528.753,-24.431,26.57,553.14,-21.437,21.01,24.57,-1,0
159,7.95,528.384,-24.433,26.57,552.852,-21.454,20.66,24.648,-1,0
160,8.0,528.015,-24.435,26.57,552.565,-21.471,20.64,24.729,-1,0
161,8.05,527.646,-24.438,26.57,552.279,-21.489,20.66,24.809,-1,0
162,8.1,527.277,-24.44,26.57,551.99,-21.507,21.02,24.886,-1,0
163,8.15,526.908,-24.442,26.57,551.696,-21.526,21.36,24.959,-1,0
164,8.2,526.539,-24.444,26.57,551.395,-21.546,21.91,25.024,-1,0
165,8.25,526.17,-24.446,26.57,551.09,-21.566,22.12,25.085,-1,0
166,8.3,525.802,-24.449,26.57,550.782,-21.586,22.25,25.144,-1,0
167,8.35,525.433,-24.451,26.57,550.475,-21.608,22.08,25.203,-1,0
168,8.4,525.064,-24.453,26.57,550.17,-21.625,21.9,25.265,-1,0
169,8.45,524.695,-24.455,26.57,549.869,-21.634,21.52,25.332,-1,0
170,8.5,524.326,-24.457,26.57,549.573,-21.636,21.28,25.404,-1,0
171,8.55,523.957,-24.46,26.57,549.28,-21.635,20.95,25.48,-1,0
172,8.6,523.588,-24.462,26.57,548.99,-21.631,20.84,25.56,-1,0
173,8.65,523.219,-24.464,26.57,548.702,-21.624,20.83,25.64,-1,0
174,8.7,522.85,-24.466,26.57,548.41,-21.615,21.15,25.718,-1,0
175,8.75,522.481,-24.468,26.57,548.114,-21.606,21.43,25.792,-1,0
176,8.8,522.112,-24.471,26.57,547.813,-21.594,21.86,25.861,-1,0
177,8.85,521.743,-24.473,26.57,547.508,-21.582,21.95,25.927,-1,0
178,8.9,521.374,-24.475,26.57,547.203,-21.567,22.01,25.992,-1,0
179,8.95,521.005,-24.477,26.57,546.9,-21.553,21.79,26.059,-1,0
180,9.0,520.636,-24.479,26.57,546.599,-21.538,21.65,26.129,-1,0
181,9.05,520.267,-24.482,26.57,546.301,-21.524,21.28,26.202,-1,0
182,9.1,519.898,-24.484,26.57,546.008,-21.509,21.06,26.279,-1,0
183,9.15,519.529,-24.486,26.57,545.719,-21.493,20.73,26.36,-1,0
184,9.2,519.161,-24.488,26.57,545.432,-21.477,20.73,26.443,-1,0
185,9.25,518.792,-24.49,26.57,545.144,-21.46,20.76,26.526,-1,0
186,9.3,518.423,-24.493,26.57,544.854,-21.446,21.12,26.606,-1,0
187,9.35,518.054,-24.495,26.57,544.558,-21.435,21.43,26.68,-1,0
188,9.4,517.685,-24.497,26.57,544.257,-21.427,21.88,26.749,-1,0
189,9.45,517.316,-24.499,26.57,543.951,-21.422,21.99,26.813,-1,0
190,9.5,516.947,-24.501,26.57,543.645,-21.419,22.05,26.876,-1,0
191,9.55,516.578,-24.504,26.57,543.341,-21.418,21.84,26.94,-1,0
192,9.6,516.209,-24.506,26.57,543.039,-21.419,21.7,27.007,-1,0
193,9.65,515.84,-24.508,26.57,542.74,-21.422,21.34,27.077,-1,0
194,9.7,515.471,-24.51,26.57,542.446,-21.428,21.12,27.15,-1,0
195,9.75,515.102,-24.512,26.57,542.156,-21.436,20.79,27.228,-1,0
196,9.8,514.733,-24.515,26.57,541.867,-21.444,20.8,27.307,-1,0
197,9.85,514.364,-24.517,26.57,541.578,-21.452,20.84,27.386,-1,0
198,9.9,513.995,-24.519,26.57,541.286,-21.461,21.21,27.462,-1,0
199,9.95,513.626,-24.521,26.57,540.989,-21.471,21.52,27.532,-1,0
200,10.0,513.258,-24.523,26.46,540.687,-21.482,21.91,27.597,-1,0
201,10.05,512.893,-24.525,26.1,540.382,-21.493,21.94,27.656,-1,0
202,10.1,512.546,-24.527,23.93,540.078,-21.506,21.95,27.696,-1,0
203,10.15,512.242,-24.528,21.0,539.775,-21.52,21.7,27.697,141.86,0
204,10.2,511.978,-24.528,18.13,539.475,-21.535,21.54,27.659,29.201,0
205,10.25,511.755,-24.529,15.37,539.18,-21.551,21.18,27.586,17.091,0
206,10.3,511.57,-24.53,12.65,538.887,-21.566,20.99,27.478,11.874,0
207,10.35,511.422,-24.531,10.02,538.599,-21.581,20.72,27.336,9.196,0
208,10.4,511.31,-24.531,7.45,538.311,-21.596,20.8,27.16,7.328,0
209,10.45,511.233,-24.531,4.96,538.022,-21.611,20.91,26.948,6.084,0
210,10.5,511.189,-24.532,2.57,537.728,-21.625,21.33,26.698,5.122,0
211,10.55,511.175,-24.531,0.08,537.429,-21.639,21.68,26.413,4.401,0
212,10.6,511.176,-24.531,0.02,537.125,-21.653,22.01,26.108,4.274,0
213,10.65,511.176,-24.531,0.03,536.82,-21.667,21.98,25.804,4.232,0
214,10.7,511.174,-24.531,0.04,536.515,-21.681,21.95,25.501,4.188,0
215,10.75,511.172,-24.532,0.04,536.213,-21.695,21.68,25.201,4.193,0
216,10.8,511.169,-24.532,0.05,535.914,-21.71,21.5,24.905,4.179,0
217,10.85,511.167,-24.532,0.06,535.619,-21.725,21.13,24.612,4.206,0
218,10.9,511.164,-24.532,0.07,535.327,-21.74,20.94,24.324,4.194,0
219,10.95,511.161,-24.532,0.07,535.039,-21.755,20.71,24.039,4.193,0
220,11.0,511.158,-24.532,0.08,534.751,-21.77,20.83,23.754,4.12,0
221,11.05,511.155,-24.532,0.08,534.461,-21.786,20.98,23.467,4.043,0
222,11.1,511.152,-24.532,0.08,534.166,-21.803,21.44,23.176,3.907,0
223,11.15,511.149,-24.532,0.08,533.866,-21.821,21.81,22.878,3.791,0
224,11.2,511.146,-24.532,0.08,533.561,-21.836,22.08,22.576,3.695,0
225,11.25,511.143,-24.532,0.08,533.255,-21.84,21.95,22.275,3.666,0
226,11.3,511.141,-24.532,0.07,532.951,-21.834,21.86,21.977,3.631,0
227,11.35,511.139,-24.532,0.06,532.651,-21.822,21.58,21.682,3.627,0
228,11.4,511.137,-24.532,0.05,532.353,-21.805,21.4,21.391,3.607,0
229,11.45,511.136,-24.532,0.03,532.06,-21.783,21.07,21.104,3.612,0
230,11.5,511.135,-24.532,0.02,531.77,-21.757,21.0,20.821,3.572,0
231,11.55,511.135,-24.532,0.01,531.48,-21.729,20.98,20.538,3.526,0
232,11.6,511.134,-24.532,0.01,531.188,-21.698,21.28,20.253,3.428,0
233,11.65,511.135,-24.532,0.01,530.893,-21.664,21.53,19.965,3.34,0
234,11.7,511.135,-24.532,0.02,530.594,-21.624,21.85,19.674,3.245,0
235,11.75,511.136,-24.532,0.03,530.293,-21.586,21.83,19.382,3.199,0
236,11.8,511.137,-24.532,0.03,529.991,-21.551,21.81,19.089,3.155,0
237,11.85,511.138,-24.532,0.03,529.693,-21.52,21.52,18.798,3.148,0
238,11.9,511.139,-24.532,0.03,529.396,-21.492,21.35,18.509,3.125,0
239,11.95,511.14,-24.532,0.03,529.104,-21.467,21.01,18.224,3.127,0
240,12.0,511.141,-24.532,0.03,528.814,-21.444,20.91,17.941,3.092,0
241,12.05,511.142,-24.532,0.02,528.525,-21.423,20.84,17.659,3.054,0
242,12.1,511.142,-24.532,0.02,528.234,-21.403,21.07,17.376,2.972,0
243,12.15,511.143,-24.532,0.02,527.943,-21.384,21.01,17.092,2.932,0
244,12.2,511.143,-24.532,0.01,527.653,-21.366,20.84,16.81,2.905,0
245,12.25,511.144,-24.532,0.01,527.368,-21.349,20.31,16.534,2.931,0
246,12.3,511.144,-24.532,0.0,527.101,-21.334,17.65,16.274,3.32,0
247,12.35,511.144,-24.532,0.0,526.896,-21.322,12.83,16.076,4.51,0
248,12.4,511.144,-24.532,0.0,526.759,-21.315,8.0,15.943,7.176,0
249,12.45,511.144,-24.532,0.01,526.688,-21.312,3.21,15.875,17.85,0
250,12.5,511.143,-24.532,0.01,526.677,-21.312,0.0,15.863,-1,0
251,12.55,511.143,-24.532,0.0,526.664,-21.311,1.41,15.852,40.582,0
252,12.6,511.143,-24.532,0.0,526.635,-21.311,2.56,15.823,22.266,0
253,12.65,511.143,-24.532,0.0,526.59,-21.31,3.51,15.779,16.184,0
254,12.7,511.143,-24.532,0.0,526.533,-21.31,4.5,15.723,12.576,0
255,12.75,511.143,-24.532,0.0,526.461,-21.31,5.63,15.653,10.017,0
256,12.8,511.143,-24.532,0.0,526.376,-21.311,6.54,15.569,8.575,0
257,12.85,511.143,-24.532,0.0,526.278,-21.311,7.36,15.474,7.569,0
258,12.9,511.143,-24.532,0.0,526.169,-21.311,8.23,15.366,6.723,0
259,12.95,511.143,-24.532,0.0,526.047,-21.313,9.12,15.247,6.016,0
260,13.0,511.143,-24.532,0.0,525.912,-21.314,10.04,15.116,5.421,0
261,13.05,511.143,-24.532,0.0,525.765,-21.315,10.97,14.972,4.915,0
262,13.1,511.143,-24.532,0.0,525.606,-21.316,11.81,14.816,4.517,0
263,13.15,511.143,-24.532,0.0,525.437,-21.318,12.3,14.651,4.289,0
264,13.2,511.143,-24.532,0.0,525.266,-21.32,12.38,14.483,4.213,0
265,13.25,511.143,-24.532,0.0,525.096,-21.322,12.11,14.317,4.258,0
266,13.3,511.143,-24.532,0.0,524.932,-21.324,11.56,14.157,4.409,0
267,13.35,511.143,-24.532,0.0,524.776,-21.327,11.05,14.004,4.561,0
268,13.4,511.143,-24.532,0.0,524.625,-21.33,10.82,13.857,4.612,0
269,13.45,511.143,-24.532,0.0,524.476,-21.332,10.67,13.711,4.627,0
270,13.5,511.143,-24.532,0.0,524.329,-21.335,10.56,13.568,4.627,0
271,13.55,511.143,-24.532,0.0,524.182,-21.337,10.58,13.425,4.566,0
272,13.6,511.143,-24.532,0.0,524.034,-21.34,10.73,13.28,4.457,0
273,13.65,511.143,-24.532,0.0,523.884,-21.344,10.86,13.134,4.352,0
274,13.7,511.143,-24.532,0.0,523.733,-21.347,10.88,12.986,4.296,0
275,13.75,511.143,-24.532,0.0,523.582,-21.35,10.81,12.839,4.274,0
276,13.8,511.143,-24.532,0.0,523.433,-21.353,10.69,12.694,4.274,0
277,13.85,511.143,-24.532,0.0,523.286,-21.357,10.58,12.551,4.272,0
278,13.9,511.143,-24.532,0.0,523.139,-21.36,10.56,12.408,4.232,0
279,13.95,511.143,-24.532,0.0,522.992,-21.363,10.65,12.265,4.145,0
280,14.0,511.143,-24.532,0.0,522.843,-21.365,10.78,12.121,4.049,0
281,14.05,511.143,-24.532,0.0,522.693,-21.367,10.81,11.975,3.987,0
282,14.1,511.143,-24.532,0.0,522.543,-21.369,10.74,11.83,3.967,0
283,14.15,511.143,-24.532,0.0,522.395,-21.372,10.62,11.687,3.961,0
284,14.2,511.143,-24.532,0.0,522.248,-21.374,10.55,11.545,3.939,0
285,14.25,511.143,-24.532,0.0,522.102,-21.376,10.6,11.404,3.874,0
286,14.3,511.143,-24.532,0.0,521.953,-21.377,10.71,11.261,3.784,0
287,14.35,511.143,-24.532,0.0,521.804,-21.379,10.8,11.117,3.706,0
