tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.2,593.797,-24.012,21.21,10.0,4720.533,0
1,0.05,583.52,-24.088,21.85,593.519,-24.014,21.86,10.0,3892.767,0
2,0.1,583.244,-24.09,21.99,593.246,-24.016,20.48,10.003,-1,0
3,0.15,582.978,-24.092,19.75,592.978,-24.018,19.77,10.001,2509.265,0
4,0.2,582.712,-24.094,19.22,592.709,-24.02,19.61,9.998,93.014,0
5,0.25,582.445,-24.096,19.16,592.441,-24.023,19.26,9.996,355.437,0
6,0.3,582.179,-24.098,19.17,592.172,-24.026,19.4,9.993,160.301,0
7,0.35,581.913,-24.099,19.16,591.903,-24.029,19.36,9.99,182.541,0
8,0.4,581.648,-24.101,19.14,591.633,-24.032,19.43,9.986,126.358,0
9,0.45,581.382,-24.103,19.12,591.364,-24.035,19.33,9.982,170.575,0
10,0.5,581.117,-24.105,19.11,591.095,-24.039,19.41,9.978,119.645,0
11,0.55,580.852,-24.107,19.09,590.827,-24.042,19.32,9.975,160.585,0
12,0.6,580.587,-24.109,19.08,590.557,-24.046,19.69,9.97,59.187,0
13,0.65,580.323,-24.111,18.82,590.277,-24.05,20.49,9.954,21.489,0
14,0.7,580.071,-24.113,17.73,589.983,-24.054,21.61,9.912,9.19,0
15,0.75,579.834,-24.114,16.79,589.675,-24.058,22.59,9.842,6.107,0
16,0.8,579.607,-24.116,16.02,589.353,-24.063,23.7,9.745,4.563,0
17,0.85,579.39,-24.118,15.41,589.019,-24.068,24.13,9.629,3.979,0
18,0.9,579.18,-24.119,14.98,588.683,-24.072,24.27,9.503,3.683,0
19,0.95,578.975,-24.121,14.7,588.349,-24.076,23.91,9.374,3.665,0
20,1.0,578.771,-24.122,14.57,588.02,-24.08,23.51,9.248,3.726,0
21,1.05,578.569,-24.124,14.58,587.699,-24.082,22.79,9.13,4.001,0
22,1.1,578.365,-24.125,14.69,587.388,-24.084,22.22,9.022,4.315,0
23,1.15,578.159,-24.127,14.89,587.105,-24.086,18.52,8.945,8.867,0
24,1.2,577.95,-24.128,15.16,586.888,-24.087,13.71,8.938,-1,0
25,1.25,577.737,-24.13,15.49,586.738,-24.088,8.87,9.002,-1,0
26,1.3,577.518,-24.131,15.87,586.656,-24.089,4.07,9.138,-1,0
27,1.35,577.295,-24.133,16.1,586.636,-24.089,0.02,9.341,-1,0
28,1.4,577.072,-24.135,16.09,586.623,-24.089,1.49,9.552,-1,0
29,1.45,576.847,-24.136,16.39,586.592,-24.089,2.77,9.745,-1,0
30,1.5,576.611,-24.138,17.36,586.543,-24.089,4.0,9.932,-1,0
31,1.55,576.362,-24.14,18.3,586.476,-24.089,5.32,10.114,-1,0
32,1.6,576.1,-24.142,19.21,586.389,-24.089,6.74,10.29,-1,0
33,1.65,575.825,-24.144,20.09,586.284,-24.089,8.09,10.459,-1,0
34,1.7,575.539,-24.146,20.96,586.161,-24.089,9.41,10.622,-1,0
35,1.75,575.24,-24.148,21.81,586.018,-24.089,10.83,10.778,-1,0
36,1.8,574.93,-24.151,22.65,585.856,-24.089,12.23,10.926,-1,0
37,1.85,574.609,-24.153,23.47,585.675,-24.09,13.56,11.066,-1,0
38,1.9,574.276,-24.155,24.28,585.476,-24.09,14.85,11.2,-1,0
39,1.95,573.932,-24.158,25.07,585.259,-24.091,16.11,11.327,-1,0
40,2.0,573.578,-24.16,25.82,585.025,-24.092,17.36,11.447,-1,0
41,2.05,573.213,-24.163,26.51,584.773,-24.093,18.59,11.56,-1,0
42,2.1,572.84,-24.166,27.12,584.505,-24.094,19.73,11.665,-1,0
43,2.15,572.459,-24.169,27.64,584.228,-24.095,20.15,11.769,-1,0
44,2.2,572.072,-24.171,28.05,583.945,-24.096,20.66,11.873,-1,0
45,2.25,571.68,-24.174,28.34,583.65,-24.098,21.6,11.97,-1,0
46,2.3,571.285,-24.177,28.51,583.342,-24.099,22.56,12.057,-1,0
47,2.35,570.889,-24.18,28.56,583.018,-24.101,23.88,12.13,-1,0
48,2.4,570.493,-24.183,28.5,582.676,-24.104,25.13,12.183,-1,0
49,2.45,570.098,-24.185,28.35,582.316,-24.106,26.47,12.218,-1,0
50,2.5,569.706,-24.188,28.14,581.938,-24.109,27.7,12.232,-1,0
51,2.55,569.318,-24.191,27.88,581.541,-24.112,29.12,12.224,35.406,0
52,2.6,568.933,-24.194,27.59,581.126,-24.116,30.4,12.193,15.61,0
53,2.65,568.553,-24.196,27.28,580.693,-24.12,31.75,12.14,9.777,0
54,2.7,568.177,-24.199,26.97,580.244,-24.124,32.6,12.068,7.718,0
55,2.75,567.805,-24.202,26.66,579.784,-24.128,33.48,11.98,6.321,0
