tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.2,593.797,-24.012,21.21,10.0,4720.533,0
1,0.05,583.52,-24.088,21.85,593.519,-24.014,21.86,10.0,3892.767,0
2,0.1,583.244,-24.09,21.99,593.246,-24.016,20.48,10.003,-1,0
3,0.15,582.978,-24.092,19.75,592.978,-24.018,19.77,10.001,2501.339,0
4,0.2,582.712,-24.094,19.22,592.709,-24.02,19.61,9.998,92.977,0
5,0.25,582.445,-24.096,19.16,592.441,-24.022,19.26,9.996,351.495,0
6,0.3,582.179,-24.098,19.17,592.172,-24.025,19.4,9.993,160.032,0
7,0.35,581.913,-24.099,19.16,591.902,-24.028,19.36,9.99,182.2,0
8,0.4,581.648,-24.101,19.14,591.633,-24.031,19.43,9.986,126.188,0
9,0.45,581.382,-24.103,19.12,591.364,-24.035,19.34,9.982,170.212,0
10,0.5,581.117,-24.105,19.11,591.095,-24.038,19.41,9.978,119.506,0
11,0.55,580.852,-24.107,19.09,590.827,-24.042,19.32,9.975,160.426,0
12,0.6,580.587,-24.109,19.08,590.558,-24.046,19.39,9.971,115.845,0
13,0.65,580.323,-24.111,18.82,590.288,-24.05,19.6,9.966,46.453,0
14,0.7,580.071,-24.113,17.73,590.009,-24.054,20.48,9.938,12.969,0
15,0.75,579.834,-24.114,16.79,589.72,-24.059,21.04,9.887,8.377,0
16,0.8,579.607,-24.116,16.02,589.421,-24.064,21.87,9.814,6.039,0
17,0.85,579.39,-24.118,15.41,589.111,-24.069,22.57,9.721,4.889,0
18,0.9,579.18,-24.119,14.98,588.793,-24.073,23.05,9.613,4.288,0
19,0.95,578.975,-24.121,14.7,588.474,-24.078,22.91,9.499,4.166,0
20,1.0,578.771,-24.122,14.57,588.158,-24.082,22.65,9.386,4.183,0
21,1.05,578.569,-24.124,14.58,587.848,-24.085,22.06,9.279,4.464,0
22,1.1,578.365,-24.125,14.69,587.546,-24.088,21.58,9.18,4.794,0
23,1.15,578.159,-24.127,14.89,587.26,-24.088,19.11,9.1,7.754,0
24,1.2,577.95,-24.128,15.16,587.035,-24.088,14.29,9.085,-1,0
25,1.25,577.737,-24.13,15.49,586.877,-24.088,9.45,9.141,-1,0
26,1.3,577.518,-24.131,15.87,586.786,-24.088,4.64,9.268,-1,0
27,1.35,577.295,-24.133,16.1,586.76,-24.088,0.55,9.465,-1,0
28,1.4,577.072,-24.135,16.09,586.741,-24.088,1.88,9.669,-1,0
29,1.45,576.847,-24.136,16.39,586.704,-24.088,3.12,9.857,-1,0
30,1.5,576.611,-24.138,17.36,586.648,-24.088,4.52,10.038,-1,0
31,1.55,576.362,-24.14,18.3,586.574,-24.088,5.74,10.213,-1,0
32,1.6,576.1,-24.142,19.21,586.481,-24.088,7.33,10.381,-1,0
33,1.65,575.825,-24.144,20.09,586.367,-24.089,8.77,10.542,-1,0
34,1.7,575.539,-24.146,20.96,586.234,-24.089,10.14,10.695,-1,0
35,1.75,575.24,-24.148,21.81,586.081,-24.09,11.5,10.841,-1,0
36,1.8,574.93,-24.151,22.65,585.91,-24.091,12.85,10.98,-1,0
37,1.85,574.609,-24.153,23.47,585.721,-24.091,14.15,11.112,-1,0
38,1.9,574.276,-24.155,24.28,585.513,-24.093,15.43,11.237,-1,0
39,1.95,573.932,-24.158,25.07,585.289,-24.094,16.68,11.357,-1,0
40,2.0,573.578,-24.16,25.82,585.047,-24.096,17.91,11.469,-1,0
41,2.05,573.213,-24.163,26.51,584.788,-24.098,19.14,11.574,-1,0
42,2.1,572.84,-24.166,27.12,584.514,-24.1,19.87,11.674,-1,0
43,2.15,572.459,-24.169,27.64,584.234,-24.102,20.39,11.775,-1,0
44,2.2,572.072,-24.171,28.05,583.945,-24.104,21.06,11.873,-1,0
45,2.25,571.68,-24.174,28.34,583.644,-24.107,22.08,11.965,-1,0
46,2.3,571.285,-24.177,28.51,583.329,-24.11,23.1,12.045,-1,0
47,2.35,570.889,-24.18,28.56,582.997,-24.113,24.54,12.109,-1,0
48,2.4,570.493,-24.183,28.5,582.647,-24.116,25.67,12.154,-1,0
49,2.45,570.098,-24.185,28.35,582.279,-24.119,27.08,12.181,-1,0
50,2.5,569.706,-24.188,28.14,581.892,-24.123,28.34,12.186,215.311,0
51,2.55,569.318,-24.191,27.88,581.487,-24.127,29.67,12.169,24.507,0
52,2.6,568.933,-24.194,27.59,581.066,-24.131,30.69,12.133,14.063,0
53,2.65,568.553,-24.196,27.28,580.631,-24.135,31.73,12.078,9.767,0
54,2.7,568.177,-24.199,26.97,580.184,-24.139,32.48,12.008,7.836,0
55,2.75,567.805,-24.202,26.66,579.726,-24.144,33.34,11.921,6.424,0
