tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.2,593.797,-24.012,21.21,10.0,4720.533,0
1,0.05,583.52,-24.088,21.85,593.519,-24.014,21.86,10.0,3892.767,0
2,0.1,583.244,-24.09,21.99,593.246,-24.017,20.48,10.003,-1,0
3,0.15,582.978,-24.092,19.75,592.978,-24.021,19.76,10.001,4804.035,0
4,0.2,582.712,-24.094,19.22,592.709,-24.026,19.59,9.998,97.018,0
5,0.25,582.445,-24.096,19.16,592.441,-24.032,19.26,9.996,382.554,0
6,0.3,582.179,-24.098,19.17,592.172,-24.039,19.39,9.994,167.946,0
7,0.35,581.913,-24.099,19.16,591.904,-24.047,19.35,9.991,192.407,0
8,0.4,581.648,-24.101,19.14,591.635,-24.056,19.42,9.987,130.741,0
9,0.45,581.382,-24.103,19.12,591.365,-24.064,19.65,9.983,67.962,0
10,0.5,581.117,-24.105,19.11,591.084,-24.073,20.69,9.967,22.612,0
11,0.55,580.852,-24.107,19.09,590.789,-24.084,21.62,9.937,14.168,0
12,0.6,580.587,-24.109,19.08,590.479,-24.094,22.87,9.892,9.387,0
13,0.65,580.323,-24.111,18.82,590.151,-24.107,24.41,9.828,6.334,0
14,0.7,580.071,-24.113,17.73,589.797,-24.122,26.09,9.726,4.185,0
15,0.75,579.834,-24.114,16.79,589.425,-24.136,27.41,9.591,3.252,0
16,0.8,579.607,-24.116,16.02,589.034,-24.151,28.68,9.426,2.679,0
17,0.85,579.39,-24.118,15.41,588.625,-24.164,29.94,9.235,2.289,0
18,0.9,579.18,-24.119,14.98,588.199,-24.175,31.2,9.019,2.001,0
19,0.95,578.975,-24.121,14.7,587.756,-24.185,32.33,8.782,1.794,0
20,1.0,578.771,-24.122,14.57,587.302,-24.193,32.82,8.531,1.684,0
21,1.05,578.569,-24.124,14.58,586.847,-24.2,32.69,8.279,1.645,0
22,1.1,578.365,-24.125,14.69,586.397,-24.207,32.2,8.032,1.651,0
23,1.15,578.159,-24.127,14.89,585.956,-24.216,31.5,7.797,1.689,0
24,1.2,577.95,-24.128,15.16,585.525,-24.225,30.68,7.576,1.757,0
25,1.25,577.737,-24.13,15.49,585.107,-24.235,29.77,7.371,1.859,0
26,1.3,577.518,-24.131,15.87,584.702,-24.243,28.79,7.184,2.002,0
27,1.35,577.295,-24.133,16.1,584.31,-24.25,27.78,7.016,2.163,0
28,1.4,577.072,-24.135,16.09,583.933,-24.256,26.76,6.863,2.316,0
29,1.45,576.847,-24.136,16.39,583.57,-24.261,25.74,6.724,2.588,0
30,1.5,576.611,-24.138,17.36,583.221,-24.266,24.73,6.611,3.23,0
31,1.55,576.362,-24.14,18.3,582.886,-24.27,23.73,6.526,4.325,0
32,1.6,576.1,-24.142,19.21,582.565,-24.272,22.75,6.466,6.573,0
33,1.65,575.825,-24.144,20.09,582.285,-24.273,18.2,6.461,-1,0
34,1.7,575.539,-24.146,20.96,582.073,-24.273,13.38,6.535,-1,0
35,1.75,575.24,-24.148,21.81,581.927,-24.273,8.54,6.688,-1,0
36,1.8,574.93,-24.151,22.65,581.849,-24.271,3.74,6.92,-1,0
37,1.85,574.609,-24.153,23.47,581.789,-24.269,4.8,7.181,-1,0
38,1.9,574.276,-24.155,24.28,581.71,-24.266,6.23,7.435,-1,0
39,1.95,573.932,-24.158,25.07,581.613,-24.263,7.5,7.682,-1,0
40,2.0,573.578,-24.16,25.82,581.5,-24.26,8.55,7.923,-1,0
41,2.05,573.213,-24.163,26.51,581.376,-24.258,9.09,8.163,-1,0
42,2.1,572.84,-24.166,27.12,581.249,-24.256,9.07,8.41,-1,0
43,2.15,572.459,-24.169,27.64,581.125,-24.254,8.9,8.666,-1,0
44,2.2,572.072,-24.171,28.05,581.0,-24.251,9.02,8.929,-1,0
45,2.25,571.68,-24.174,28.34,580.872,-24.248,9.44,9.192,-1,0
46,2.3,571.285,-24.177,28.51,580.735,-24.245,10.17,9.451,-1,0
47,2.35,570.889,-24.18,28.56,580.586,-24.241,11.19,9.697,-1,0
48,2.4,570.493,-24.183,28.5,580.42,-24.236,12.39,9.928,-1,0
49,2.45,570.098,-24.185,28.35,580.238,-24.229,13.62,10.14,-1,0
50,2.5,569.706,-24.188,28.14,580.039,-24.222,14.86,10.332,-1,0
51,2.55,569.318,-24.191,27.88,579.822,-24.214,16.09,10.504,-1,0
52,2.6,568.933,-24.194,27.59,579.589,-24.208,17.31,10.655,-1,0
53,2.65,568.553,-24.196,27.28,579.338,-24.206,18.52,10.785,-1,0
54,2.7,568.177,-24.199,26.97,579.071,-24.205,19.66,10.894,-1,0
55,2.75,567.805,-24.202,26.66,578.795,-24.206,20.07,10.99,-1,0
