tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.2,593.797,-24.012,21.21,10.0,4720.533,0
1,0.05,583.52,-24.088,21.85,593.519,-24.014,21.86,10.0,3892.767,0
2,0.1,583.244,-24.09,21.99,593.246,-24.017,20.48,10.003,-1,0
3,0.15,582.978,-24.092,19.75,592.978,-24.022,19.76,10.001,6194.95,0
4,0.2,582.712,-24.094,19.22,592.709,-24.027,19.59,9.998,98.076,0
5,0.25,582.445,-24.096,19.16,592.441,-24.032,19.26,9.996,382.794,0
6,0.3,582.179,-24.098,19.17,592.172,-24.038,19.39,9.994,167.529,0
7,0.35,581.913,-24.099,19.16,591.904,-24.046,19.35,9.991,195.734,0
8,0.4,581.648,-24.101,19.14,591.635,-24.054,19.41,9.987,133.016,0
9,0.45,581.382,-24.103,19.12,591.365,-24.061,19.65,9.983,68.602,0
10,0.5,581.117,-24.105,19.11,591.084,-24.068,20.69,9.967,22.661,0
11,0.55,580.852,-24.107,19.09,590.789,-24.076,21.61,9.938,14.205,0
12,0.6,580.587,-24.109,19.08,590.48,-24.085,22.83,9.893,9.503,0
13,0.65,580.323,-24.111,18.82,590.153,-24.096,24.03,9.83,6.8,0
14,0.7,580.071,-24.113,17.73,589.804,-24.107,25.87,9.733,4.303,0
15,0.75,579.834,-24.114,16.79,589.432,-24.117,27.41,9.598,3.254,0
16,0.8,579.607,-24.116,16.02,589.041,-24.127,28.61,9.433,2.696,0
17,0.85,579.39,-24.118,15.41,588.635,-24.135,29.64,9.244,2.34,0
18,0.9,579.18,-24.119,14.98,588.213,-24.141,30.91,9.033,2.041,0
19,0.95,578.975,-24.121,14.7,587.774,-24.145,31.94,8.8,1.838,0
20,1.0,578.771,-24.122,14.57,587.326,-24.147,32.51,8.554,1.717,0
21,1.05,578.569,-24.124,14.58,586.875,-24.148,32.39,8.306,1.678,0
22,1.1,578.365,-24.125,14.69,586.428,-24.151,32.01,8.062,1.675,0
23,1.15,578.159,-24.127,14.89,585.989,-24.155,31.28,7.83,1.719,0
24,1.2,577.95,-24.128,15.16,585.561,-24.159,30.57,7.611,1.778,0
25,1.25,577.737,-24.13,15.49,585.144,-24.164,29.58,7.408,1.892,0
26,1.3,577.518,-24.131,15.87,584.741,-24.168,28.72,7.223,2.024,0
27,1.35,577.295,-24.133,16.1,584.351,-24.17,27.63,7.056,2.204,0
28,1.4,577.072,-24.135,16.09,583.975,-24.172,26.72,6.904,2.338,0
29,1.45,576.847,-24.136,16.39,583.613,-24.173,25.6,6.766,2.644,0
30,1.5,576.611,-24.138,17.36,583.265,-24.175,24.71,6.654,3.258,0
31,1.55,576.362,-24.14,18.3,582.931,-24.176,23.61,6.569,4.456,0
32,1.6,576.1,-24.142,19.21,582.61,-24.177,22.81,6.511,6.505,0
33,1.65,575.825,-24.144,20.09,582.3,-24.178,22.06,6.475,11.863,0
34,1.7,575.539,-24.146,20.96,581.996,-24.179,21.8,6.457,27.746,0
35,1.75,575.24,-24.148,21.81,581.695,-24.178,21.66,6.454,-1,0
36,1.8,574.93,-24.151,22.65,581.391,-24.173,21.99,6.461,-1,0
37,1.85,574.609,-24.153,23.47,581.082,-24.166,22.49,6.473,-1,0
38,1.9,574.276,-24.155,24.28,580.763,-24.157,23.31,6.487,-1,0
39,1.95,573.932,-24.158,25.07,580.435,-24.145,23.78,6.503,-1,0
40,2.0,573.578,-24.16,25.82,580.103,-24.134,23.93,6.525,-1,0
41,2.05,573.213,-24.163,26.51,579.773,-24.122,23.59,6.56,-1,0
42,2.1,572.84,-24.166,27.12,579.449,-24.112,23.27,6.609,-1,0
43,2.15,572.459,-24.169,27.64,579.129,-24.103,22.94,6.67,-1,0
44,2.2,572.072,-24.171,28.05,578.811,-24.095,22.94,6.739,-1,0
45,2.25,571.68,-24.174,28.34,578.491,-24.089,23.04,6.812,-1,0
46,2.3,571.285,-24.177,28.51,578.167,-24.085,23.61,6.883,-1,0
47,2.35,570.889,-24.18,28.56,577.834,-24.08,24.22,6.946,-1,0
48,2.4,570.493,-24.183,28.5,577.492,-24.076,24.83,7.0,-1,0
49,2.45,570.098,-24.185,28.35,577.146,-24.072,24.97,7.048,-1,0
50,2.5,569.706,-24.188,28.14,576.799,-24.069,24.87,7.094,-1,0
51,2.55,569.318,-24.191,27.88,576.458,-24.066,24.36,7.141,-1,0
52,2.6,568.933,-24.194,27.59,576.124,-24.064,23.85,7.192,-1,0
53,2.65,568.553,-24.196,27.28,575.799,-24.062,23.05,7.248,-1,0
54,2.7,568.177,-24.199,26.97,575.485,-24.062,22.4,7.309,-1,0
55,2.75,567.805,-24.202,26.66,575.2,-24.06,18.69,7.396,-1,0
