tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.247,-24.09,21.11,593.246,-24.017,20.5,10.0,-1,0
3,0.15,582.974,-24.092,20.45,593.062,-24.018,10.44,10.088,-1,0
4,0.2,582.701,-24.094,20.19,592.986,-24.018,2.79,10.286,-1,0
5,0.25,582.429,-24.096,19.92,592.98,-24.018,0.3,10.552,-1,0
6,0.3,582.155,-24.098,19.32,592.98,-24.018,0.65,10.826,-1,0
7,0.35,581.88,-24.1,20.09,592.98,-24.018,0.7,11.101,-1,0
8,0.4,581.614,-24.102,18.76,592.98,-24.018,0.62,11.366,-1,0
9,0.45,581.361,-24.104,18.19,592.979,-24.018,0.51,11.619,-1,0
10,0.5,581.116,-24.105,17.77,592.979,-24.018,0.39,11.864,-1,0
11,0.55,580.872,-24.107,17.78,592.979,-24.018,0.29,12.108,-1,0
12,0.6,580.625,-24.109,17.94,592.979,-24.018,0.21,12.354,-1,0
13,0.65,580.375,-24.111,18.19,592.979,-24.018,0.15,12.604,-1,0
14,0.7,580.121,-24.113,18.3,592.95,-24.019,3.35,12.829,-1,0
15,0.75,579.869,-24.115,18.2,592.88,-24.02,6.1,13.012,-1,0
16,0.8,579.616,-24.116,18.47,592.777,-24.023,8.29,13.161,-1,0
17,0.85,579.356,-24.118,18.82,592.646,-24.025,10.07,13.291,-1,0
18,0.9,579.096,-24.12,18.67,592.493,-24.028,11.62,13.398,-1,0
19,0.95,578.836,-24.122,18.9,592.32,-24.031,13.04,13.484,-1,0
20,1.0,578.577,-24.124,18.86,592.128,-24.035,14.38,13.551,-1,0
21,1.05,578.31,-24.126,19.45,591.917,-24.039,15.67,13.608,-1,0
22,1.1,578.035,-24.128,20.06,591.689,-24.044,16.94,13.654,-1,0
23,1.15,577.753,-24.131,20.37,591.443,-24.05,18.18,13.69,-1,0
24,1.2,577.465,-24.133,20.87,591.181,-24.056,19.41,13.716,-1,0
25,1.25,577.17,-24.135,21.31,590.905,-24.063,19.96,13.736,-1,0
26,1.3,576.871,-24.136,21.56,590.624,-24.071,20.46,13.753,-1,0
27,1.35,576.567,-24.138,21.93,590.333,-24.079,21.34,13.766,-1,0
28,1.4,576.259,-24.14,22.32,590.029,-24.088,22.23,13.771,-1,0
29,1.45,575.946,-24.142,22.54,589.707,-24.097,23.9,13.761,36.429,0
30,1.5,575.629,-24.145,23.12,589.368,-24.107,24.84,13.74,28.721,0
31,1.55,575.303,-24.147,23.59,589.013,-24.118,26.09,13.71,19.785,0
32,1.6,574.972,-24.15,24.01,588.641,-24.128,27.26,13.669,15.124,0
33,1.65,574.638,-24.152,24.15,588.252,-24.14,28.57,13.614,11.082,0
34,1.7,574.301,-24.155,24.37,587.848,-24.151,29.36,13.547,9.767,0
35,1.75,573.96,-24.158,24.63,587.435,-24.162,30.05,13.474,8.961,0
36,1.8,573.617,-24.16,24.91,587.013,-24.168,30.59,13.396,8.481,0
37,1.85,573.27,-24.163,25.09,586.582,-24.173,31.33,13.312,7.68,0
38,1.9,572.921,-24.165,25.26,586.142,-24.179,31.94,13.221,7.121,0
39,1.95,572.569,-24.168,25.46,585.692,-24.185,32.64,13.124,6.582,0
40,2.0,572.215,-24.17,25.65,585.235,-24.192,33.16,13.02,6.241,0
41,2.05,571.858,-24.173,25.75,584.77,-24.198,33.71,12.911,5.842,0
42,2.1,571.501,-24.175,25.85,584.298,-24.205,34.07,12.798,5.609,0
43,2.15,571.141,-24.178,25.97,583.822,-24.212,34.43,12.681,5.394,0
44,2.2,570.78,-24.18,26.08,583.342,-24.218,34.61,12.562,5.305,0
45,2.25,570.418,-24.182,26.14,582.86,-24.225,34.79,12.442,5.177,0
46,2.3,570.055,-24.185,26.19,582.377,-24.232,34.78,12.322,5.165,0
47,2.35,569.691,-24.187,26.26,581.894,-24.238,34.78,12.203,5.157,0
48,2.4,569.327,-24.189,26.32,581.413,-24.244,34.59,12.086,5.263,0
49,2.45,568.961,-24.191,26.35,580.934,-24.25,34.41,11.973,5.348,0
50,2.5,568.595,-24.194,26.38,580.459,-24.256,33.97,11.864,5.625,0
51,2.55,568.228,-24.196,26.42,579.992,-24.261,33.42,11.764,6.048,0
52,2.6,567.861,-24.198,26.45,579.535,-24.265,32.53,11.674,6.913,0
53,2.65,567.494,-24.2,26.47,579.091,-24.267,31.63,11.597,8.087,0
54,2.7,567.126,-24.202,26.49,578.661,-24.269,30.51,11.535,10.329,0
55,2.75,566.758,-24.205,26.5,578.245,-24.272,29.55,11.488,13.6,0
56,2.8,566.389,-24.207,26.52,577.844,-24.274,28.38,11.456,22.139,0
57,2.85,566.021,-24.209,26.53,577.458,-24.277,27.48,11.438,43.125,0
58,2.9,565.652,-24.211,26.54,577.085,-24.28,26.47,11.433,-1,0
59,2.95,565.283,-24.213,26.55,576.724,-24.282,25.6,11.441,-1,0
60,3.0,564.914,-24.216,26.55,576.378,-24.284,24.49,11.464,-1,0
61,3.05,564.545,-24.218,26.56,576.045,-24.286,23.62,11.5,-1,0
62,3.1,564.176,-24.22,26.56,575.733,-24.288,20.96,11.557,-1,0
63,3.15,563.807,-24.222,26.57,575.483,-24.29,16.14,11.676,-1,0
64,3.2,563.438,-24.224,26.57,575.3,-24.291,11.28,11.862,-1,0
65,3.25,563.069,-24.227,26.57,575.184,-24.292,6.46,12.114,-1,0
66,3.3,562.7,-24.229,26.57,575.134,-24.292,1.69,12.434,-1,0
67,3.35,562.331,-24.231,26.57,575.1,-24.292,2.88,12.769,-1,0
68,3.4,561.962,-24.233,26.57,575.047,-24.293,4.39,13.085,-1,0
69,3.45,561.593,-24.235,26.57,574.975,-24.293,5.62,13.382,-1,0
70,3.5,561.224,-24.238,26.57,574.885,-24.294,7.02,13.661,-1,0
71,3.55,560.855,-24.24,26.57,574.776,-24.296,8.39,13.921,-1,0
72,3.6,560.486,-24.242,26.57,574.647,-24.298,9.74,14.162,-1,0
73,3.65,560.117,-24.244,26.57,574.5,-24.299,11.19,14.383,-1,0
74,3.7,559.748,-24.246,26.57,574.333,-24.302,12.57,14.585,-1,0
75,3.75,559.379,-24.249,26.57,574.147,-24.304,13.89,14.769,-1,0
76,3.8,559.01,-24.251,26.57,573.944,-24.307,15.17,14.934,-1,0
77,3.85,558.64,-24.253,26.57,573.722,-24.31,16.43,15.082,-1,0
78,3.9,558.271,-24.255,26.57,573.484,-24.314,17.67,15.213,-1,0
79,3.95,557.902,-24.257,26.57,573.228,-24.318,18.91,15.326,-1,0
80,4.0,557.533,-24.26,26.57,572.956,-24.321,20.0,15.423,-1,0
81,4.05,557.164,-24.262,26.57,572.677,-24.325,20.22,15.513,-1,0
82,4.1,556.795,-24.264,26.57,572.39,-24.328,20.98,15.596,-1,0
83,4.15,556.426,-24.266,26.57,572.092,-24.331,21.8,15.667,-1,0
84,4.2,556.056,-24.268,26.57,571.78,-24.334,22.9,15.724,-1,0
85,4.25,555.687,-24.271,26.57,571.454,-24.337,23.89,15.767,-1,0
86,4.3,555.318,-24.273,26.57,571.111,-24.34,25.23,15.793,-1,0
87,4.35,554.949,-24.275,26.57,570.751,-24.343,26.34,15.803,-1,0
88,4.4,554.58,-24.277,26.57,570.377,-24.346,27.32,15.798,75.76,0
89,4.45,554.211,-24.279,26.57,569.991,-24.349,28.14,15.781,36.212,0
90,4.5,553.841,-24.282,26.57,569.591,-24.352,29.21,15.75,21.485,0
91,4.55,553.472,-24.284,26.57,569.179,-24.354,29.97,15.707,16.625,0
92,4.6,553.103,-24.286,26.57,568.757,-24.358,30.67,15.654,13.758,0
93,4.65,552.734,-24.288,26.57,568.327,-24.362,31.2,15.592,12.119,0
94,4.7,552.365,-24.29,26.57,567.888,-24.366,31.81,15.523,10.66,0
95,4.75,551.997,-24.293,26.57,567.443,-24.371,32.24,15.446,9.812,0
96,4.8,551.628,-24.295,26.57,566.991,-24.378,32.7,15.364,9.024,0
97,4.85,551.259,-24.297,26.57,566.535,-24.384,32.96,15.276,8.601,0
98,4.9,550.89,-24.299,26.57,566.074,-24.392,33.25,15.185,8.185,0
99,4.95,550.521,-24.301,26.57,565.612,-24.399,33.34,15.091,8.03,0
100,5.0,550.152,-24.304,26.57,565.148,-24.406,33.44,14.997,7.859,0
101,5.05,549.783,-24.306,26.57,564.684,-24.413,33.35,14.902,7.914,0
102,5.1,549.414,-24.308,26.57,564.222,-24.419,33.28,14.808,7.948,0
103,5.15,549.045,-24.31,26.57,563.762,-24.424,33.01,14.717,8.224,0
104,5.2,548.676,-24.312,26.57,563.305,-24.429,32.78,14.629,8.478,0
105,5.25,548.307,-24.315,26.57,562.853,-24.433,32.41,14.546,8.975,0
106,5.3,547.938,-24.317,26.57,562.405,-24.436,32.18,14.467,9.285,0
107,5.35,547.569,-24.319,26.57,561.961,-24.439,31.75,14.393,10.01,0
108,5.4,547.2,-24.321,26.57,561.523,-24.441,31.37,14.324,10.749,0
109,5.45,546.831,-24.323,26.57,561.092,-24.442,30.81,14.262,12.102,0
110,5.5,546.462,-24.326,26.57,560.668,-24.444,30.36,14.206,13.51,0
111,5.55,546.094,-24.328,26.57,560.252,-24.445,29.74,14.159,16.097,0
112,5.6,545.725,-24.33,26.57,559.843,-24.448,29.25,14.119,18.984,0
113,5.65,545.356,-24.332,26.57,559.442,-24.45,28.63,14.087,24.624,0
114,5.7,544.987,-24.334,26.57,559.048,-24.453,28.22,14.061,30.633,0
115,5.75,544.618,-24.337,26.57,558.66,-24.455,27.65,14.043,46.923,0
116,5.8,544.249,-24.339,26.57,558.28,-24.456,27.22,14.032,77.497,0
117,5.85,543.88,-24.341,26.57,557.906,-24.456,26.66,14.027,565.396,0
118,5.9,543.511,-24.343,26.57,557.539,-24.457,26.28,14.029,-1,0
119,5.95,543.142,-24.345,26.57,557.178,-24.458,25.82,14.037,-1,0
120,6.0,542.773,-24.348,26.57,556.823,-24.46,25.48,14.05,-1,0
121,6.05,542.404,-24.35,26.57,556.473,-24.462,24.98,14.069,-1,0
122,6.1,542.035,-24.352,26.57,556.129,-24.463,24.63,14.094,-1,0
123,6.15,541.666,-24.354,26.57,555.791,-24.464,24.1,14.125,-1,0
124,6.2,541.297,-24.356,26.57,555.46,-24.466,23.72,14.163,-1,0
125,6.25,540.928,-24.359,26.57,555.135,-24.467,23.18,14.207,-1,0
126,6.3,540.559,-24.361,26.57,554.816,-24.469,22.8,14.257,-1,0
127,6.35,540.19,-24.363,26.57,554.504,-24.47,22.26,14.314,-1,0
128,6.4,539.821,-24.365,26.57,554.197,-24.471,21.99,14.376,-1,0
129,6.45,539.453,-24.367,26.57,553.894,-24.472,21.69,14.442,-1,0
130,6.5,539.084,-24.37,26.57,553.594,-24.473,21.57,14.511,-1,0
131,6.55,538.715,-24.372,26.57,553.296,-24.475,21.36,14.582,-1,0
132,6.6,538.346,-24.374,26.57,552.999,-24.477,21.51,14.653,-1,0
133,6.65,537.977,-24.376,26.57,552.698,-24.48,21.8,14.722,-1,0
134,6.7,537.608,-24.378,26.57,552.389,-24.483,22.54,14.782,-1,0
135,6.75,537.239,-24.38,26.57,552.07,-24.488,23.34,14.831,-1,0
136,6.8,536.87,-24.383,26.57,551.736,-24.493,24.47,14.867,-1,0
137,6.85,536.501,-24.385,26.57,551.388,-24.497,25.48,14.887,-1,0
138,6.9,536.132,-24.387,26.57,551.026,-24.501,26.42,14.894,-1,0
139,6.95,535.763,-24.389,26.57,550.653,-24.503,27.12,14.89,97.167,0
140,7.0,535.394,-24.391,26.57,550.271,-24.505,27.73,14.877,46.281,0
141,7.05,535.025,-24.394,26.57,549.883,-24.505,28.08,14.858,35.436,0
142,7.1,534.656,-24.396,26.57,549.489,-24.505,28.49,14.833,27.819,0
143,7.15,534.287,-24.398,26.57,549.092,-24.505,28.72,14.805,24.796,0
144,7.2,533.918,-24.4,26.57,548.69,-24.506,29.04,14.772,21.549,0
145,7.25,533.549,-24.402,26.57,548.285,-24.507,29.21,14.736,20.136,0
146,7.3,533.18,-24.405,26.57,547.877,-24.508,29.48,14.697,18.209,0
147,7.35,532.811,-24.407,26.57,547.467,-24.509,29.6,14.656,17.411,0
148,7.4,532.443,-24.409,26.57,547.054,-24.509,29.81,14.612,16.247,0
149,7.45,532.074,-24.411,26.57,546.64,-24.509,29.85,14.566,16.013,0
150,7.5,531.705,-24.413,26.57,546.224,-24.509,29.95,14.52,15.464,0
151,7.55,531.336,-24.416,26.57,545.809,-24.509,29.87,14.473,15.78,0
152,7.6,530.967,-24.418,26.57,545.394,-24.511,29.85,14.428,15.854,0
153,7.65,530.598,-24.42,26.57,544.981,-24.512,29.63,14.384,16.938,0
154,7.7,530.229,-24.422,26.57,544.571,-24.515,29.46,14.343,17.862,0
155,7.75,529.86,-24.424,26.57,544.165,-24.517,29.09,14.305,20.412,0
156,7.8,529.491,-24.427,26.57,543.763,-24.519,28.8,14.273,23.079,0
157,7.85,529.122,-24.429,26.57,543.367,-24.521,28.31,14.246,29.462,0
158,7.9,528.753,-24.431,26.57,542.977,-24.523,27.92,14.225,38.069,0
159,7.95,528.384,-24.433,26.57,542.595,-24.524,27.34,14.211,66.857,0
160,8.0,528.015,-24.435,26.57,542.219,-24.525,26.89,14.204,159.782,0
161,8.05,527.646,-24.438,26.57,541.85,-24.525,26.27,14.204,-1,0
162,8.1,527.277,-24.44,26.57,541.489,-24.525,25.81,14.212,-1,0
163,8.15,526.908,-24.442,26.57,541.136,-24.525,25.19,14.228,-1,0
164,8.2,526.539,-24.444,26.57,540.79,-24.524,24.73,14.251,-1,0
165,8.25,526.17,-24.446,26.57,540.452,-24.523,24.06,14.282,-1,0
166,8.3,525.802,-24.449,26.57,540.122,-24.522,23.57,14.321,-1,0
167,8.35,525.433,-24.451,26.57,539.8,-24.521,22.94,14.367,-1,0
168,8.4,525.064,-24.453,26.57,539.485,-24.52,22.5,14.421,-1,0
169,8.45,524.695,-24.455,26.57,539.178,-24.519,21.85,14.483,-1,0
170,8.5,524.326,-24.457,26.57,538.878,-24.519,21.41,14.552,-1,0
171,8.55,523.957,-24.46,26.57,538.585,-24.519,20.91,14.628,-1,0
172,8.6,523.588,-24.462,26.57,538.296,-24.52,20.77,14.708,-1,0
173,8.65,523.219,-24.464,26.57,538.008,-24.521,20.73,14.789,-1,0
174,8.7,522.85,-24.466,26.57,537.717,-24.523,21.18,14.867,-1,0
175,8.75,522.481,-24.468,26.57,537.418,-24.524,21.76,14.937,-1,0
176,8.8,522.112,-24.471,26.57,537.108,-24.526,22.73,14.996,-1,0
177,8.85,521.743,-24.473,26.57,536.784,-24.527,23.7,15.041,-1,0
178,8.9,521.374,-24.475,26.57,536.444,-24.528,24.95,15.07,-1,0
179,8.95,521.005,-24.477,26.57,536.088,-24.529,26.04,15.083,-1,0
180,9.0,520.636,-24.479,26.57,535.719,-24.53,26.94,15.082,145.378,0
181,9.05,520.267,-24.482,26.57,535.341,-24.53,27.25,15.074,80.358,0
182,9.1,519.898,-24.484,26.57,534.961,-24.531,27.52,15.062,57.14,0
183,9.15,519.529,-24.486,26.57,534.578,-24.532,27.61,15.048,51.993,0
184,9.2,519.161,-24.488,26.57,534.193,-24.533,27.8,15.032,44.055,0
185,9.25,518.792,-24.49,26.57,533.806,-24.534,27.83,15.015,42.906,0
186,9.3,518.423,-24.493,26.57,533.419,-24.535,27.97,14.996,38.527,0
187,9.35,518.054,-24.495,26.57,533.03,-24.536,27.97,14.976,38.497,0
188,9.4,517.685,-24.497,26.57,532.641,-24.536,28.09,14.956,35.466,0
189,9.45,517.316,-24.499,26.57,532.251,-24.537,28.07,14.935,35.839,0
190,9.5,516.947,-24.501,26.57,531.86,-24.538,28.17,14.913,33.596,0
191,9.55,516.578,-24.504,26.57,531.469,-24.538,28.14,14.891,34.129,0
192,9.6,516.209,-24.506,26.57,531.077,-24.539,28.25,14.868,31.919,0
193,9.65,515.84,-24.508,26.57,530.686,-24.541,28.14,14.846,34.092,0
194,9.7,515.471,-24.51,26.57,530.295,-24.543,28.09,14.824,35.08,0
195,9.75,515.102,-24.512,26.57,529.907,-24.545,27.88,14.805,40.76,0
196,9.8,514.733,-24.515,26.57,529.52,-24.547,27.81,14.787,43.015,0
197,9.85,514.364,-24.517,26.57,529.136,-24.547,27.54,14.772,55.18,0
198,9.9,513.995,-24.519,26.57,528.755,-24.548,27.36,14.76,67.397,0
199,9.95,513.626,-24.521,26.57,528.378,-24.548,26.98,14.752,131.183,0
200,10.0,513.258,-24.523,26.46,528.006,-24.547,26.71,14.748,213.824,0
201,10.05,512.893,-24.525,26.1,527.638,-24.547,26.32,14.745,239.005,0
202,10.1,512.546,-24.527,23.93,527.274,-24.546,26.15,14.728,23.91,0
203,10.15,512.242,-24.528,21.0,526.914,-24.545,25.76,14.673,11.103,0
204,10.2,511.978,-24.528,18.13,526.559,-24.545,25.46,14.581,7.164,0
205,10.25,511.755,-24.529,15.37,526.209,-24.545,24.97,14.454,5.416,0
206,10.3,511.57,-24.53,12.65,525.865,-24.545,24.62,14.295,4.3,0
207,10.35,511.422,-24.531,10.02,525.528,-24.545,24.04,14.106,3.621,0
208,10.4,511.31,-24.531,7.45,525.198,-24.544,23.52,13.888,3.111,0
209,10.45,511.233,-24.531,4.96,524.878,-24.544,22.7,13.646,2.77,0
210,10.5,511.189,-24.532,2.57,524.572,-24.544,21.09,13.383,2.602,0
211,10.55,511.175,-24.531,0.08,524.32,-24.544,16.26,13.144,2.924,0
212,10.6,511.176,-24.531,0.02,524.135,-24.544,11.4,12.958,4.099,0
213,10.65,511.176,-24.531,0.03,523.974,-24.545,11.87,12.798,3.889,0
214,10.7,511.174,-24.531,0.04,523.803,-24.545,12.63,12.629,3.611,0
215,10.75,511.172,-24.532,0.04,523.619,-24.546,13.58,12.447,3.311,0
216,10.8,511.169,-24.532,0.05,523.421,-24.547,14.66,12.252,3.02,0
217,10.85,511.167,-24.532,0.06,523.208,-24.547,15.8,12.041,2.754,0
218,10.9,511.164,-24.532,0.07,522.979,-24.548,16.89,11.815,2.528,0
219,10.95,511.161,-24.532,0.07,522.737,-24.55,17.77,11.576,2.355,0
220,11.0,511.158,-24.532,0.08,522.484,-24.552,18.55,11.326,2.207,0
221,11.05,511.155,-24.532,0.08,522.223,-24.554,18.83,11.068,2.125,0
222,11.1,511.152,-24.532,0.08,521.983,-24.557,15.63,10.831,2.507,0
223,11.15,511.149,-24.532,0.08,521.806,-24.559,10.78,10.658,3.586,0
224,11.2,511.146,-24.532,0.08,521.697,-24.561,5.96,10.551,6.459,0
225,11.25,511.143,-24.532,0.08,521.655,-24.561,1.22,10.512,33.213,0
226,11.3,511.141,-24.532,0.07,521.653,-24.561,0.0,10.512,-1,0
227,11.35,511.139,-24.532,0.06,521.643,-24.561,1.12,10.504,35.768,0
228,11.4,511.137,-24.532,0.05,521.616,-24.561,2.31,10.479,16.669,0
229,11.45,511.136,-24.532,0.03,521.574,-24.56,3.46,10.438,10.977,0
230,11.5,511.135,-24.532,0.02,521.516,-24.56,4.79,10.381,7.833,0
231,11.55,511.135,-24.532,0.01,521.439,-24.559,5.98,10.305,6.218,0
232,11.6,511.134,-24.532,0.01,521.35,-24.558,6.73,10.215,5.474,0
233,11.65,511.135,-24.532,0.01,521.252,-24.557,7.2,10.117,5.067,0
234,11.7,511.135,-24.532,0.02,521.15,-24.555,7.37,10.015,4.907,0
235,11.75,511.136,-24.532,0.03,521.049,-24.553,7.23,9.913,4.956,0
236,11.8,511.137,-24.532,0.03,520.955,-24.552,5.9,9.818,6.018,0
237,11.85,511.138,-24.532,0.03,520.913,-24.551,1.14,9.776,31.674,0
238,11.9,511.139,-24.532,0.03,520.912,-24.551,0.0,9.773,-1,0
239,11.95,511.14,-24.532,0.03,520.912,-24.551,0.0,9.772,-1,0
240,12.0,511.141,-24.532,0.03,520.912,-24.551,0.0,9.771,-1,0
241,12.05,511.142,-24.532,0.02,520.912,-24.551,0.0,9.77,-1,0
242,12.1,511.142,-24.532,0.02,520.912,-24.551,0.0,9.77,-1,0
243,12.15,511.143,-24.532,0.02,520.912,-24.551,0.0,9.769,-1,0
244,12.2,511.143,-24.532,0.01,520.912,-24.551,0.0,9.768,-1,0
245,12.25,511.144,-24.532,0.01,520.912,-24.551,0.0,9.768,-1,0
246,12.3,511.144,-24.532,0.0,520.912,-24.551,0.0,9.768,-1,0
247,12.35,511.144,-24.532,0.0,520.912,-24.551,0.0,9.768,-1,0
248,12.4,511.144,-24.532,0.0,520.912,-24.551,0.0,9.768,-1,0
249,12.45,511.144,-24.532,0.01,520.912,-24.551,0.0,9.768,-1,0
250,12.5,511.143,-24.532,0.01,520.912,-24.551,0.0,9.768,-1,0
251,12.55,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,656924.368,0
252,12.6,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,860013.921,0
253,12.65,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,1160288.396,0
254,12.7,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,-1,0
255,12.75,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,2688582.928,0
256,12.8,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,2705651.088,0
257,12.85,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,3222290.723,0
258,12.9,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,4027656.035,0
259,12.95,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,5258899.731,0
260,13.0,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,6434405.822,0
261,13.05,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,6883870.987,0
262,13.1,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,9367803.787,0
263,13.15,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,28933295.466,0
264,13.2,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,17916584.648,0
265,13.25,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,12483786.963,0
266,13.3,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,22754932.856,0
267,13.35,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,17360855.24,0
268,13.4,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,21300341.676,0
269,13.45,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,10139029.981,0
270,13.5,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,7615196.825,0
271,13.55,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,293682665.808,0
272,13.6,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,12293219.159,0
273,13.65,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,90383459.422,0
274,13.7,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,9934782.987,0
275,13.75,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,9390982.933,0
276,13.8,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,14421164.408,0
277,13.85,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,13301490.211,0
278,13.9,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,8064669.5,0
279,13.95,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,7315328.641,0
280,14.0,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,78674331.003,0
281,14.05,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,31974045.408,0
282,14.1,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,8906250.311,0
283,14.15,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,10120241.188,0
284,14.2,511.143,-24.532,0.0,520.912,-24.551,0.0,9.768,9458894.913,0
