tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.247,-24.09,21.11,593.246,-24.016,20.5,10.0,-1,0
3,0.15,582.974,-24.092,20.45,593.062,-24.018,10.44,10.088,-1,0
4,0.2,582.701,-24.094,20.19,592.986,-24.018,2.79,10.286,-1,0
5,0.25,582.429,-24.096,19.92,592.98,-24.018,0.3,10.552,-1,0
6,0.3,582.155,-24.098,19.32,592.98,-24.018,0.65,10.826,-1,0
7,0.35,581.88,-24.1,20.09,592.98,-24.018,0.7,11.101,-1,0
8,0.4,581.614,-24.102,18.76,592.98,-24.018,0.62,11.366,-1,0
9,0.45,581.361,-24.104,18.19,592.979,-24.018,0.51,11.619,-1,0
10,0.5,581.116,-24.105,17.77,592.979,-24.018,0.39,11.864,-1,0
11,0.55,580.872,-24.107,17.78,592.979,-24.018,0.29,12.108,-1,0
12,0.6,580.625,-24.109,17.94,592.979,-24.018,0.21,12.354,-1,0
13,0.65,580.375,-24.111,18.19,592.979,-24.018,0.15,12.604,-1,0
14,0.7,580.121,-24.113,18.3,592.979,-24.018,0.1,12.858,-1,0
15,0.75,579.869,-24.115,18.2,592.966,-24.018,1.97,13.098,-1,0
16,0.8,579.616,-24.116,18.47,592.914,-24.017,4.7,13.298,-1,0
17,0.85,579.356,-24.118,18.82,592.833,-24.01,6.58,13.478,-1,0
18,0.9,579.096,-24.12,18.67,592.732,-23.995,7.93,13.636,-1,0
19,0.95,578.836,-24.122,18.9,592.614,-23.974,9.1,13.779,-1,0
20,1.0,578.577,-24.124,18.86,592.483,-23.948,10.13,13.907,-1,0
21,1.05,578.31,-24.126,19.45,592.338,-23.917,11.14,14.03,-1,0
22,1.1,578.035,-24.128,20.06,592.182,-23.878,12.02,14.149,-1,0
23,1.15,577.753,-24.131,20.37,592.016,-23.831,12.94,14.266,-1,0
24,1.2,577.465,-24.133,20.87,591.837,-23.778,13.86,14.377,-1,0
25,1.25,577.17,-24.135,21.31,591.65,-23.717,14.67,14.486,-1,0
26,1.3,576.871,-24.136,21.56,591.454,-23.645,15.49,14.592,-1,0
27,1.35,576.567,-24.138,21.93,591.249,-23.565,16.32,14.694,-1,0
28,1.4,576.259,-24.14,22.32,591.037,-23.474,17.1,14.793,-1,0
29,1.45,575.946,-24.142,22.54,590.817,-23.372,17.9,14.891,-1,0
30,1.5,575.629,-24.145,23.12,590.59,-23.26,18.7,14.988,-1,0
31,1.55,575.303,-24.147,23.59,590.356,-23.137,19.37,15.087,-1,0
32,1.6,574.972,-24.15,24.01,590.12,-23.006,19.88,15.191,-1,0
33,1.65,574.638,-24.152,24.15,589.882,-22.868,20.07,15.298,-1,0
34,1.7,574.301,-24.155,24.37,589.642,-22.723,20.47,15.407,-1,0
35,1.75,573.96,-24.158,24.63,589.399,-22.571,20.84,15.52,-1,0
36,1.8,573.617,-24.16,24.91,589.149,-22.414,21.61,15.631,-1,0
37,1.85,573.27,-24.163,25.09,588.89,-22.252,22.23,15.736,-1,0
38,1.9,572.921,-24.165,25.26,588.624,-22.09,22.57,15.839,-1,0
39,1.95,572.569,-24.168,25.46,588.353,-21.932,22.54,15.942,-1,0
40,2.0,572.215,-24.17,25.65,588.081,-21.778,22.52,16.046,-1,0
41,2.05,571.858,-24.173,25.75,587.807,-21.631,22.25,16.15,-1,0
42,2.1,571.501,-24.175,25.85,587.533,-21.493,22.03,16.255,-1,0
43,2.15,571.141,-24.178,25.97,587.259,-21.366,21.64,16.361,-1,0
44,2.2,570.78,-24.18,26.08,586.986,-21.249,21.35,16.468,-1,0
45,2.25,570.418,-24.182,26.14,586.714,-21.142,20.94,16.576,-1,0
46,2.3,570.055,-24.185,26.19,586.442,-21.045,20.76,16.685,-1,0
47,2.35,569.691,-24.187,26.26,586.17,-20.958,20.62,16.792,-1,0
48,2.4,569.327,-24.189,26.32,585.894,-20.881,20.82,16.894,-1,0
49,2.45,568.961,-24.191,26.35,585.612,-20.812,21.04,16.991,-1,0
50,2.5,568.595,-24.194,26.38,585.323,-20.752,21.53,17.079,-1,0
51,2.55,568.228,-24.196,26.42,585.027,-20.701,21.94,17.158,-1,0
52,2.6,567.861,-24.198,26.45,584.723,-20.659,22.28,17.229,-1,0
53,2.65,567.494,-24.2,26.47,584.417,-20.626,22.25,17.297,-1,0
54,2.7,567.126,-24.202,26.49,584.11,-20.602,22.23,17.362,-1,0
55,2.75,566.758,-24.205,26.5,583.805,-20.584,22.0,17.427,-1,0
56,2.8,566.389,-24.207,26.52,583.502,-20.573,21.82,17.494,-1,0
57,2.85,566.021,-24.209,26.53,583.203,-20.569,21.42,17.564,-1,0
58,2.9,565.652,-24.211,26.54,582.908,-20.572,21.19,17.636,-1,0
59,2.95,565.283,-24.213,26.55,582.618,-20.58,20.85,17.711,-1,0
60,3.0,564.914,-24.216,26.55,582.329,-20.595,20.83,17.788,-1,0
61,3.05,564.545,-24.218,26.56,582.042,-20.615,20.84,17.863,-1,0
62,3.1,564.176,-24.22,26.56,581.751,-20.64,21.21,17.935,-1,0
63,3.15,563.807,-24.222,26.57,581.455,-20.67,21.53,18.002,-1,0
64,3.2,563.438,-24.224,26.57,581.154,-20.702,21.98,18.063,-1,0
65,3.25,563.069,-24.227,26.57,580.85,-20.735,22.08,18.12,-1,0
66,3.3,562.7,-24.229,26.57,580.545,-20.769,22.14,18.177,-1,0
67,3.35,562.331,-24.231,26.57,580.241,-20.802,21.92,18.235,-1,0
68,3.4,561.962,-24.233,26.57,579.939,-20.831,21.77,18.296,-1,0
69,3.45,561.593,-24.235,26.57,579.641,-20.859,21.4,18.361,-1,0
70,3.5,561.224,-24.238,26.57,579.347,-20.882,21.14,18.431,-1,0
71,3.55,560.855,-24.24,26.57,579.057,-20.902,20.81,18.506,-1,0
72,3.6,560.486,-24.242,26.57,578.769,-20.918,20.79,18.583,-1,0
73,3.65,560.117,-24.244,26.57,578.48,-20.932,20.82,18.66,-1,0
74,3.7,559.748,-24.246,26.57,578.189,-20.944,21.19,18.734,-1,0
75,3.75,559.379,-24.249,26.57,577.892,-20.956,21.5,18.804,-1,0
76,3.8,559.01,-24.251,26.57,577.59,-20.965,21.9,18.869,-1,0
77,3.85,558.64,-24.253,26.57,577.285,-20.973,21.95,18.931,-1,0
78,3.9,558.271,-24.255,26.57,576.98,-20.979,21.97,18.994,-1,0
79,3.95,557.902,-24.257,26.57,576.677,-20.984,21.73,19.058,-1,0
80,4.0,557.533,-24.26,26.57,576.377,-20.987,21.57,19.126,-1,0
81,4.05,557.164,-24.262,26.57,576.08,-20.989,21.2,19.197,-1,0
82,4.1,556.795,-24.264,26.57,575.788,-20.99,21.0,19.273,-1,0
83,4.15,556.426,-24.266,26.57,575.499,-20.99,20.7,19.352,-1,0
84,4.2,556.056,-24.268,26.57,575.211,-20.99,20.74,19.433,-1,0
85,4.25,555.687,-24.271,26.57,574.923,-20.989,20.82,19.513,-1,0
86,4.3,555.318,-24.273,26.57,574.63,-20.989,21.22,19.589,-1,0
87,4.35,554.949,-24.275,26.57,574.333,-20.987,21.55,19.661,-1,0
88,4.4,554.58,-24.277,26.57,574.03,-20.987,21.94,19.727,-1,0
89,4.45,554.211,-24.279,26.57,573.725,-20.987,21.96,19.79,-1,0
90,4.5,553.841,-24.282,26.57,573.42,-20.989,21.97,19.853,-1,0
91,4.55,553.472,-24.284,26.57,573.116,-20.991,21.72,19.918,-1,0
92,4.6,553.103,-24.286,26.57,572.816,-20.993,21.56,19.986,-1,0
93,4.65,552.734,-24.288,26.57,572.52,-20.996,21.19,20.057,-1,0
94,4.7,552.365,-24.29,26.57,572.227,-21.0,20.98,20.133,-1,0
95,4.75,551.997,-24.293,26.57,571.938,-21.005,20.69,20.211,-1,0
96,4.8,551.628,-24.295,26.57,571.651,-21.01,20.74,20.291,-1,0
97,4.85,551.259,-24.297,26.57,571.363,-21.017,20.82,20.37,-1,0
98,4.9,550.89,-24.299,26.57,571.07,-21.023,21.22,20.445,-1,0
99,4.95,550.521,-24.301,26.57,570.773,-21.03,21.56,20.514,-1,0
100,5.0,550.152,-24.304,26.57,570.47,-21.038,21.95,20.579,-1,0
101,5.05,549.783,-24.306,26.57,570.165,-21.046,21.97,20.641,-1,0
102,5.1,549.414,-24.308,26.57,569.86,-21.054,21.98,20.703,-1,0
103,5.15,549.045,-24.31,26.57,569.556,-21.062,21.73,20.767,-1,0
104,5.2,548.676,-24.312,26.57,569.256,-21.07,21.57,20.834,-1,0
105,5.25,548.307,-24.315,26.57,568.959,-21.077,21.2,20.905,-1,0
106,5.3,547.938,-24.317,26.57,568.667,-21.084,20.99,20.979,-1,0
107,5.35,547.569,-24.319,26.57,568.378,-21.091,20.68,21.058,-1,0
108,5.4,547.2,-24.321,26.57,568.091,-21.096,20.71,21.138,-1,0
109,5.45,546.831,-24.323,26.57,567.803,-21.101,20.78,21.218,-1,0
110,5.5,546.462,-24.326,26.57,567.511,-21.106,21.17,21.294,-1,0
111,5.55,546.094,-24.328,26.57,567.215,-21.111,21.5,21.365,-1,0
112,5.6,545.725,-24.33,26.57,566.912,-21.116,21.93,21.43,-1,0
113,5.65,545.356,-24.332,26.57,566.607,-21.12,21.99,21.493,-1,0
114,5.7,544.987,-24.334,26.57,566.301,-21.124,22.02,21.555,-1,0
115,5.75,544.618,-24.337,26.57,565.997,-21.126,21.79,21.619,-1,0
116,5.8,544.249,-24.339,26.57,565.696,-21.127,21.64,21.686,-1,0
117,5.85,543.88,-24.341,26.57,565.398,-21.128,21.27,21.757,-1,0
118,5.9,543.511,-24.343,26.57,565.105,-21.13,21.04,21.832,-1,0
119,5.95,543.142,-24.345,26.57,564.815,-21.132,20.71,21.91,-1,0
120,6.0,542.773,-24.348,26.57,564.528,-21.134,20.71,21.991,-1,0
121,6.05,542.404,-24.35,26.57,564.24,-21.135,20.74,22.072,-1,0
122,6.1,542.035,-24.352,26.57,563.949,-21.135,21.1,22.149,-1,0
123,6.15,541.666,-24.354,26.57,563.654,-21.134,21.43,22.222,-1,0
124,6.2,541.297,-24.356,26.57,563.352,-21.134,21.91,22.289,-1,0
125,6.25,540.928,-24.359,26.57,563.046,-21.137,22.04,22.351,-1,0
126,6.3,540.559,-24.361,26.57,562.739,-21.14,22.11,22.413,-1,0
127,6.35,540.19,-24.363,26.57,562.434,-21.144,21.91,22.475,-1,0
128,6.4,539.821,-24.365,26.57,562.131,-21.149,21.78,22.54,-1,0
129,6.45,539.453,-24.367,26.57,561.831,-21.154,21.42,22.608,-1,0
130,6.5,539.084,-24.37,26.57,561.536,-21.16,21.21,22.68,-1,0
131,6.55,538.715,-24.372,26.57,561.244,-21.166,20.88,22.756,-1,0
132,6.6,538.346,-24.374,26.57,560.954,-21.17,20.87,22.834,-1,0
133,6.65,537.977,-24.376,26.57,560.664,-21.173,20.91,22.913,-1,0
134,6.7,537.608,-24.378,26.57,560.371,-21.176,21.28,22.987,-1,0
135,6.75,537.239,-24.38,26.57,560.073,-21.181,21.59,23.057,-1,0
136,6.8,536.87,-24.383,26.57,559.77,-21.187,21.92,23.122,-1,0
137,6.85,536.501,-24.385,26.57,559.466,-21.194,21.89,23.185,-1,0
138,6.9,536.132,-24.387,26.57,559.162,-21.203,21.88,23.249,-1,0
139,6.95,535.763,-24.389,26.57,558.86,-21.213,21.61,23.315,-1,0
140,7.0,535.394,-24.391,26.57,558.562,-21.222,21.43,23.383,-1,0
141,7.05,535.025,-24.394,26.57,558.267,-21.232,21.06,23.456,-1,0
142,7.1,534.656,-24.396,26.57,557.976,-21.242,20.91,23.532,-1,0
143,7.15,534.287,-24.398,26.57,557.688,-21.252,20.75,23.611,-1,0
144,7.2,533.918,-24.4,26.57,557.398,-21.261,20.94,23.689,-1,0
145,7.25,533.549,-24.402,26.57,557.106,-21.271,21.15,23.764,-1,0
146,7.3,533.18,-24.405,26.57,556.808,-21.281,21.62,23.834,-1,0
147,7.35,532.811,-24.407,26.57,556.506,-21.291,21.93,23.898,-1,0
148,7.4,532.443,-24.409,26.57,556.199,-21.302,22.17,23.959,-1,0
149,7.45,532.074,-24.411,26.57,555.892,-21.313,22.08,24.019,-1,0
150,7.5,531.705,-24.413,26.57,555.586,-21.325,22.02,24.08,-1,0
151,7.55,531.336,-24.416,26.57,555.282,-21.337,21.72,24.144,-1,0
152,7.6,530.967,-24.418,26.57,554.983,-21.349,21.52,24.211,-1,0
153,7.65,530.598,-24.42,26.57,554.688,-21.362,21.12,24.283,-1,0
154,7.7,530.229,-24.422,26.57,554.396,-21.375,20.91,24.359,-1,0
155,7.75,529.86,-24.424,26.57,554.109,-21.389,20.65,24.438,-1,0
156,7.8,529.491,-24.427,26.57,553.822,-21.403,20.73,24.518,-1,0
157,7.85,529.122,-24.429,26.57,553.533,-21.419,20.85,24.596,-1,0
158,7.9,528.753,-24.431,26.57,553.241,-21.435,21.28,24.67,-1,0
159,7.95,528.384,-24.433,26.57,552.943,-21.452,21.63,24.739,-1,0
160,8.0,528.015,-24.435,26.57,552.639,-21.47,21.99,24.802,-1,0
161,8.05,527.646,-24.438,26.57,552.335,-21.49,21.98,24.864,-1,0
162,8.1,527.277,-24.44,26.57,552.03,-21.509,21.97,24.926,-1,0
163,8.15,526.908,-24.442,26.57,551.727,-21.527,21.71,24.99,-1,0
164,8.2,526.539,-24.444,26.57,551.428,-21.546,21.54,25.057,-1,0
165,8.25,526.17,-24.446,26.57,551.133,-21.566,21.16,25.128,-1,0
166,8.3,525.802,-24.449,26.57,550.841,-21.585,20.96,25.203,-1,0
167,8.35,525.433,-24.451,26.57,550.553,-21.604,20.69,25.281,-1,0
168,8.4,525.064,-24.453,26.57,550.266,-21.624,20.76,25.361,-1,0
169,8.45,524.695,-24.455,26.57,549.977,-21.639,20.84,25.439,-1,0
170,8.5,524.326,-24.457,26.57,549.685,-21.646,21.2,25.515,-1,0
171,8.55,523.957,-24.46,26.57,549.388,-21.649,21.56,25.586,-1,0
172,8.6,523.588,-24.462,26.57,549.085,-21.647,21.99,25.652,-1,0
173,8.65,523.219,-24.464,26.57,548.779,-21.643,22.08,25.715,-1,0
174,8.7,522.85,-24.466,26.57,548.472,-21.636,22.13,25.778,-1,0
175,8.75,522.481,-24.468,26.57,548.166,-21.628,21.91,25.842,-1,0
176,8.8,522.112,-24.471,26.57,547.864,-21.617,21.76,25.909,-1,0
177,8.85,521.743,-24.473,26.57,547.565,-21.605,21.4,25.98,-1,0
178,8.9,521.374,-24.475,26.57,547.27,-21.592,21.18,26.056,-1,0
179,8.95,521.005,-24.477,26.57,546.979,-21.577,20.85,26.135,-1,0
180,9.0,520.636,-24.479,26.57,546.69,-21.563,20.84,26.216,-1,0
181,9.05,520.267,-24.482,26.57,546.401,-21.548,20.88,26.298,-1,0
182,9.1,519.898,-24.484,26.57,546.108,-21.531,21.24,26.376,-1,0
183,9.15,519.529,-24.486,26.57,545.811,-21.513,21.55,26.449,-1,0
184,9.2,519.161,-24.488,26.57,545.509,-21.494,21.92,26.518,-1,0
185,9.25,518.792,-24.49,26.57,545.205,-21.474,21.92,26.585,-1,0
186,9.3,518.423,-24.493,26.57,544.901,-21.457,21.91,26.652,-1,0
187,9.35,518.054,-24.495,26.57,544.6,-21.442,21.64,26.721,-1,0
188,9.4,517.685,-24.497,26.57,544.301,-21.433,21.44,26.792,-1,0
189,9.45,517.316,-24.499,26.57,544.006,-21.427,21.07,26.867,-1,0
190,9.5,516.947,-24.501,26.57,543.715,-21.423,20.92,26.945,-1,0
191,9.55,516.578,-24.504,26.57,543.426,-21.421,20.76,27.025,-1,0
192,9.6,516.209,-24.506,26.57,543.136,-21.421,20.95,27.104,-1,0
193,9.65,515.84,-24.508,26.57,542.844,-21.423,21.16,27.179,-1,0
194,9.7,515.471,-24.51,26.57,542.546,-21.428,21.64,27.25,-1,0
195,9.75,515.102,-24.512,26.57,542.243,-21.434,21.94,27.315,-1,0
196,9.8,514.733,-24.515,26.57,541.936,-21.442,22.19,27.376,-1,0
197,9.85,514.364,-24.517,26.57,541.629,-21.449,22.1,27.436,-1,0
198,9.9,513.995,-24.519,26.57,541.322,-21.458,22.03,27.498,-1,0
199,9.95,513.626,-24.521,26.57,541.019,-21.468,21.73,27.562,-1,0
200,10.0,513.258,-24.523,26.46,540.719,-21.477,21.53,27.629,-1,0
201,10.05,512.893,-24.525,26.1,540.423,-21.488,21.13,27.697,-1,0
202,10.1,512.546,-24.527,23.93,540.132,-21.499,20.92,27.751,-1,0
203,10.15,512.242,-24.528,21.0,539.844,-21.512,20.64,27.767,-1,0
204,10.2,511.978,-24.528,18.13,539.557,-21.526,20.71,27.742,38.708,0
205,10.25,511.755,-24.529,15.37,539.269,-21.541,20.82,27.676,18.266,0
206,10.3,511.57,-24.53,12.65,538.977,-21.555,21.25,27.568,11.551,0
207,10.35,511.422,-24.531,10.02,538.68,-21.572,21.59,27.417,8.527,0
208,10.4,511.31,-24.531,7.45,538.377,-21.589,21.97,27.226,6.751,0
209,10.45,511.233,-24.531,4.96,538.072,-21.606,21.97,26.998,5.713,0
210,10.5,511.189,-24.532,2.57,537.767,-21.622,21.98,26.737,4.959,0
211,10.55,511.175,-24.531,0.08,537.464,-21.639,21.72,26.448,4.399,0
212,10.6,511.176,-24.531,0.02,537.164,-21.654,21.55,26.147,4.372,0
213,10.65,511.176,-24.531,0.03,536.869,-21.67,21.17,25.852,4.401,0
214,10.7,511.174,-24.531,0.04,536.577,-21.684,20.97,25.562,4.396,0
215,10.75,511.172,-24.532,0.04,536.288,-21.697,20.68,25.276,4.409,0
216,10.8,511.169,-24.532,0.05,536.001,-21.71,20.74,24.992,4.348,0
217,10.85,511.167,-24.532,0.06,535.713,-21.723,20.84,24.706,4.281,0
218,10.9,511.164,-24.532,0.07,535.42,-21.737,21.25,24.417,4.149,0
219,10.95,511.161,-24.532,0.07,535.123,-21.751,21.59,24.122,4.036,0
220,11.0,511.158,-24.532,0.08,534.82,-21.767,21.96,23.823,3.918,0
221,11.05,511.155,-24.532,0.08,534.515,-21.782,21.96,23.521,3.869,0
222,11.1,511.152,-24.532,0.08,534.21,-21.798,21.97,23.22,3.819,0
223,11.15,511.149,-24.532,0.08,533.908,-21.815,21.72,22.921,3.814,0
224,11.2,511.146,-24.532,0.08,533.608,-21.828,21.48,22.624,3.806,0
225,11.25,511.143,-24.532,0.08,533.314,-21.831,21.03,22.334,3.836,0
226,11.3,511.141,-24.532,0.07,533.024,-21.826,20.82,22.05,3.825,0
227,11.35,511.139,-24.532,0.06,532.737,-21.814,20.62,21.769,3.811,0
228,11.4,511.137,-24.532,0.05,532.451,-21.797,20.76,21.488,3.734,0
229,11.45,511.136,-24.532,0.03,532.162,-21.775,20.95,21.206,3.65,0
230,11.5,511.135,-24.532,0.02,531.869,-21.749,21.44,20.92,3.516,0
231,11.55,511.135,-24.532,0.01,531.569,-21.72,21.84,20.627,3.401,0
232,11.6,511.134,-24.532,0.01,531.264,-21.689,22.19,20.329,3.3,0
233,11.65,511.135,-24.532,0.01,530.958,-21.654,22.15,20.031,3.257,0
234,11.7,511.135,-24.532,0.02,530.653,-21.615,22.12,19.735,3.215,0
235,11.75,511.136,-24.532,0.03,530.351,-21.577,21.85,19.441,3.206,0
236,11.8,511.137,-24.532,0.03,530.051,-21.544,21.67,19.149,3.186,0
237,11.85,511.138,-24.532,0.03,529.755,-21.514,21.26,18.86,3.198,0
238,11.9,511.139,-24.532,0.03,529.463,-21.489,21.01,18.575,3.187,0
239,11.95,511.14,-24.532,0.03,529.175,-21.465,20.67,18.294,3.191,0
240,12.0,511.141,-24.532,0.03,528.889,-21.442,20.66,18.015,3.144,0
241,12.05,511.142,-24.532,0.02,528.603,-21.421,20.68,17.737,3.091,0
242,12.1,511.142,-24.532,0.02,528.314,-21.401,20.99,17.455,2.996,0
243,12.15,511.143,-24.532,0.02,528.023,-21.382,20.99,17.171,2.948,0
244,12.2,511.143,-24.532,0.01,527.733,-21.365,20.85,16.889,2.918,0
245,12.25,511.144,-24.532,0.01,527.448,-21.349,20.34,16.612,2.941,0
246,12.3,511.144,-24.532,0.0,527.176,-21.334,18.18,16.348,3.237,0
247,12.35,511.144,-24.532,0.0,526.964,-21.324,13.36,16.142,4.35,0
248,12.4,511.144,-24.532,0.0,526.82,-21.318,8.52,16.002,6.764,0
249,12.45,511.144,-24.532,0.01,526.742,-21.315,3.72,15.926,15.443,0
250,12.5,511.143,-24.532,0.01,526.725,-21.314,0.02,15.911,4923.49,0
251,12.55,511.143,-24.532,0.0,526.713,-21.313,1.48,15.899,38.588,0
252,12.6,511.143,-24.532,0.0,526.682,-21.313,2.66,15.868,21.47,0
253,12.65,511.143,-24.532,0.0,526.636,-21.312,3.72,15.824,15.307,0
254,12.7,511.143,-24.532,0.0,526.578,-21.312,4.64,15.767,12.243,0
255,12.75,511.143,-24.532,0.0,526.505,-21.312,5.58,15.696,10.121,0
256,12.8,511.143,-24.532,0.0,526.42,-21.312,6.5,15.612,8.645,0
257,12.85,511.143,-24.532,0.0,526.321,-21.312,7.55,15.515,7.402,0
258,12.9,511.143,-24.532,0.0,526.208,-21.312,8.45,15.405,6.562,0
259,12.95,511.143,-24.532,0.0,526.083,-21.312,9.45,15.282,5.82,0
260,13.0,511.143,-24.532,0.0,525.944,-21.312,10.37,15.146,5.26,0
261,13.05,511.143,-24.532,0.0,525.793,-21.313,11.18,14.999,4.832,0
262,13.1,511.143,-24.532,0.0,525.632,-21.314,11.81,14.842,4.523,0
263,13.15,511.143,-24.532,0.0,525.465,-21.315,12.14,14.679,4.355,0
264,13.2,511.143,-24.532,0.0,525.296,-21.316,12.13,14.514,4.309,0
265,13.25,511.143,-24.532,0.0,525.13,-21.317,11.81,14.352,4.376,0
266,13.3,511.143,-24.532,0.0,524.97,-21.319,11.49,14.195,4.446,0
267,13.35,511.143,-24.532,0.0,524.811,-21.321,11.36,14.04,4.45,0
268,13.4,511.143,-24.532,0.0,524.655,-21.323,11.22,13.887,4.458,0
269,13.45,511.143,-24.532,0.0,524.5,-21.325,11.07,13.736,4.465,0
270,13.5,511.143,-24.532,0.0,524.348,-21.328,10.92,13.587,4.478,0
271,13.55,511.143,-24.532,0.0,524.197,-21.331,10.77,13.44,4.491,0
272,13.6,511.143,-24.532,0.0,524.049,-21.334,10.63,13.296,4.504,0
273,13.65,511.143,-24.532,0.0,523.902,-21.338,10.54,13.153,4.492,0
274,13.7,511.143,-24.532,0.0,523.756,-21.341,10.59,13.01,4.421,0
275,13.75,511.143,-24.532,0.0,523.607,-21.344,10.74,12.865,4.311,0
276,13.8,511.143,-24.532,0.0,523.457,-21.348,10.86,12.719,4.218,0
277,13.85,511.143,-24.532,0.0,523.306,-21.351,10.85,12.572,4.172,0
278,13.9,511.143,-24.532,0.0,523.156,-21.355,10.75,12.426,4.162,0
279,13.95,511.143,-24.532,0.0,523.008,-21.358,10.63,12.282,4.161,0
280,14.0,511.143,-24.532,0.0,522.861,-21.361,10.54,12.139,4.145,0
281,14.05,511.143,-24.532,0.0,522.715,-21.364,10.58,11.997,4.081,0
282,14.1,511.143,-24.532,0.0,522.567,-21.366,10.7,11.854,3.987,0
283,14.15,511.143,-24.532,0.0,522.417,-21.369,10.8,11.709,3.903,0
284,14.2,511.143,-24.532,0.0,522.267,-21.371,10.86,11.564,3.835,0
285,14.25,511.143,-24.532,0.0,522.117,-21.373,10.72,11.419,3.835,0
286,14.3,511.143,-24.532,0.0,521.97,-21.375,10.58,11.277,3.836,0
287,14.35,511.143,-24.532,0.0,521.823,-21.377,10.52,11.136,3.811,0
