tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.247,-24.09,21.11,593.246,-24.016,20.48,10.0,-1,0
3,0.15,582.974,-24.092,20.45,592.978,-24.019,19.77,10.005,-1,0
4,0.2,582.701,-24.094,20.19,592.709,-24.021,19.61,10.009,-1,0
5,0.25,582.429,-24.096,19.92,592.441,-24.023,19.26,10.012,-1,0
6,0.3,582.155,-24.098,19.32,592.172,-24.025,19.4,10.018,452.268,0
7,0.35,581.88,-24.1,20.09,591.902,-24.027,19.36,10.024,-1,0
8,0.4,581.614,-24.102,18.76,591.633,-24.028,19.43,10.02,54.139,0
9,0.45,581.361,-24.104,18.19,591.363,-24.028,19.66,10.003,24.495,0
10,0.5,581.116,-24.105,17.77,591.082,-24.028,20.7,9.966,12.234,0
11,0.55,580.872,-24.107,17.78,590.787,-24.028,21.62,9.916,9.299,0
12,0.6,580.625,-24.109,17.94,590.477,-24.028,22.87,9.852,7.192,0
13,0.65,580.375,-24.111,18.19,590.149,-24.029,24.32,9.774,5.741,0
14,0.7,580.121,-24.113,18.3,589.797,-24.029,25.77,9.676,4.662,0
15,0.75,579.869,-24.115,18.2,589.432,-24.029,26.65,9.563,4.076,0
16,0.8,579.616,-24.116,18.47,589.057,-24.029,27.2,9.441,3.894,0
17,0.85,579.356,-24.118,18.82,588.679,-24.029,27.1,9.324,4.052,0
18,0.9,579.096,-24.12,18.67,588.305,-24.028,26.81,9.21,4.077,0
19,0.95,578.836,-24.122,18.9,587.938,-24.026,26.16,9.103,4.514,0
20,1.0,578.577,-24.124,18.86,587.58,-24.018,25.5,9.004,4.881,0
21,1.05,578.31,-24.126,19.45,587.234,-24.006,24.64,8.925,6.19,0
22,1.1,578.035,-24.128,20.06,586.897,-23.993,23.99,8.863,8.116,0
23,1.15,577.753,-24.131,20.37,586.57,-23.979,23.35,8.819,10.633,0
24,1.2,577.465,-24.133,20.87,586.248,-23.964,23.18,8.785,13.73,0
25,1.25,577.17,-24.135,21.31,585.927,-23.952,23.13,8.759,17.325,0
26,1.3,576.871,-24.136,21.56,585.603,-23.942,23.56,8.734,15.714,0
27,1.35,576.567,-24.138,21.93,585.271,-23.933,24.13,8.707,14.246,0
28,1.4,576.259,-24.14,22.32,584.928,-23.924,25.08,8.672,11.333,0
29,1.45,575.946,-24.142,22.54,584.572,-23.914,26.04,8.629,8.88,0
30,1.5,575.629,-24.145,23.12,584.201,-23.905,27.09,8.576,7.767,0
31,1.55,575.303,-24.147,23.59,583.821,-23.897,27.51,8.521,7.825,0
32,1.6,574.972,-24.15,24.01,583.438,-23.889,27.56,8.47,8.588,0
33,1.65,574.638,-24.152,24.15,583.059,-23.883,27.1,8.425,10.262,0
34,1.7,574.301,-24.155,24.37,582.687,-23.877,26.63,8.39,13.348,0
35,1.75,573.96,-24.158,24.63,582.323,-23.871,25.85,8.368,24.829,0
36,1.8,573.617,-24.16,24.91,581.97,-23.866,25.18,8.359,111.602,0
37,1.85,573.27,-24.163,25.09,581.628,-23.862,24.23,8.364,-1,0
38,1.9,572.921,-24.165,25.26,581.298,-23.858,23.53,8.383,-1,0
39,1.95,572.569,-24.168,25.46,580.977,-23.854,22.85,8.414,-1,0
40,2.0,572.215,-24.17,25.65,580.661,-23.849,22.65,8.453,-1,0
41,2.05,571.858,-24.173,25.75,580.348,-23.844,22.57,8.496,-1,0
42,2.1,571.501,-24.175,25.85,580.031,-23.838,22.98,8.537,-1,0
43,2.15,571.141,-24.178,25.97,579.708,-23.833,23.52,8.574,-1,0
44,2.2,570.78,-24.18,26.08,579.374,-23.827,24.45,8.601,-1,0
45,2.25,570.418,-24.182,26.14,579.027,-23.821,25.34,8.616,-1,0
46,2.3,570.055,-24.185,26.19,578.667,-23.817,26.18,8.62,-1,0
47,2.35,569.691,-24.187,26.26,578.301,-23.813,26.38,8.618,243.645,0
48,2.4,569.327,-24.189,26.32,577.935,-23.809,26.29,8.617,-1,0
49,2.45,568.961,-24.191,26.35,577.574,-23.806,25.75,8.622,-1,0
50,2.5,568.595,-24.194,26.38,577.221,-23.803,25.24,8.635,-1,0
51,2.55,568.228,-24.196,26.42,576.877,-23.8,24.51,8.658,-1,0
52,2.6,567.861,-24.198,26.45,576.54,-23.797,24.13,8.688,-1,0
53,2.65,567.494,-24.2,26.47,576.207,-23.794,23.86,8.723,-1,0
54,2.7,567.126,-24.202,26.49,575.875,-23.791,23.99,8.759,-1,0
55,2.75,566.758,-24.205,26.5,575.54,-23.788,24.3,8.792,-1,0
56,2.8,566.389,-24.207,26.52,575.196,-23.786,25.04,8.817,-1,0
57,2.85,566.021,-24.209,26.53,574.842,-23.783,25.78,8.832,-1,0
58,2.9,565.652,-24.211,26.54,574.478,-23.781,26.39,8.837,-1,0
59,2.95,565.283,-24.213,26.55,574.111,-23.779,26.36,8.839,-1,0
60,3.0,564.914,-24.216,26.55,573.747,-23.776,26.12,8.844,-1,0
61,3.05,564.545,-24.218,26.56,573.389,-23.774,25.48,8.855,-1,0
62,3.1,564.176,-24.22,26.56,573.04,-23.771,24.91,8.875,-1,0
63,3.15,563.807,-24.222,26.57,572.701,-23.768,24.12,8.905,-1,0
64,3.2,563.438,-24.224,26.57,572.37,-23.765,23.71,8.943,-1,0
65,3.25,563.069,-24.227,26.57,572.043,-23.761,23.39,8.986,-1,0
66,3.3,562.7,-24.229,26.57,571.718,-23.757,23.49,9.03,-1,0
67,3.35,562.331,-24.231,26.57,571.39,-23.754,23.77,9.071,-1,0
68,3.4,561.962,-24.233,26.57,571.054,-23.751,24.48,9.104,-1,0
69,3.45,561.593,-24.235,26.57,570.708,-23.747,25.21,9.128,-1,0
70,3.5,561.224,-24.238,26.57,570.352,-23.744,25.86,9.141,-1,0
71,3.55,560.855,-24.24,26.57,569.991,-23.741,25.9,9.15,-1,0
72,3.6,560.486,-24.242,26.57,569.633,-23.738,25.71,9.161,-1,0
73,3.65,560.117,-24.244,26.57,569.281,-23.735,25.11,9.178,-1,0
74,3.7,559.748,-24.246,26.57,568.937,-23.734,24.57,9.203,-1,0
75,3.75,559.379,-24.249,26.57,568.602,-23.732,23.81,9.238,-1,0
76,3.8,559.01,-24.251,26.57,568.275,-23.731,23.41,9.28,-1,0
77,3.85,558.64,-24.253,26.57,567.952,-23.731,23.1,9.326,-1,0
78,3.9,558.271,-24.255,26.57,567.631,-23.731,23.21,9.374,-1,0
79,3.95,557.902,-24.257,26.57,567.306,-23.731,23.5,9.419,-1,0
80,4.0,557.533,-24.26,26.57,566.974,-23.731,24.21,9.456,-1,0
81,4.05,557.164,-24.262,26.57,566.631,-23.733,25.01,9.482,-1,0
82,4.1,556.795,-24.264,26.57,566.275,-23.735,26.05,9.495,-1,0
83,4.15,556.426,-24.266,26.57,565.908,-23.738,26.59,9.497,2008.095,0
84,4.2,556.056,-24.268,26.57,565.537,-23.742,26.74,9.495,205.748,0
85,4.25,555.687,-24.271,26.57,565.169,-23.748,26.37,9.496,-1,0
86,4.3,555.318,-24.273,26.57,564.806,-23.752,25.92,9.502,-1,0
87,4.35,554.949,-24.275,26.57,564.453,-23.759,25.15,9.518,-1,0
88,4.4,554.58,-24.277,26.57,564.108,-23.766,24.57,9.542,-1,0
89,4.45,554.211,-24.279,26.57,563.772,-23.773,23.99,9.575,-1,0
90,4.5,553.841,-24.282,26.57,563.441,-23.78,23.86,9.612,-1,0
91,4.55,553.472,-24.284,26.57,563.11,-23.79,23.87,9.65,-1,0
92,4.6,553.103,-24.286,26.57,562.775,-23.799,24.34,9.683,-1,0
93,4.65,552.734,-24.288,26.57,562.432,-23.81,24.91,9.709,-1,0
94,4.7,552.365,-24.29,26.57,562.08,-23.821,25.69,9.725,-1,0
95,4.75,551.997,-24.293,26.57,561.719,-23.834,26.1,9.733,-1,0
96,4.8,551.628,-24.295,26.57,561.355,-23.847,26.21,9.738,-1,0
97,4.85,551.259,-24.297,26.57,560.995,-23.86,25.81,9.746,-1,0
98,4.9,550.89,-24.299,26.57,560.64,-23.873,25.36,9.76,-1,0
99,4.95,550.521,-24.301,26.57,560.294,-23.886,24.59,9.782,-1,0
100,5.0,550.152,-24.304,26.57,559.958,-23.899,24.01,9.815,-1,0
101,5.05,549.783,-24.306,26.57,559.63,-23.912,23.43,9.855,-1,0
102,5.1,549.414,-24.308,26.57,559.306,-23.923,23.29,9.9,-1,0
103,5.15,549.045,-24.31,26.57,558.983,-23.934,23.29,9.945,-1,0
104,5.2,548.676,-24.312,26.57,558.656,-23.946,23.76,9.987,-1,0
105,5.25,548.307,-24.315,26.57,558.322,-23.957,24.36,10.021,-1,0
106,5.3,547.938,-24.317,26.57,557.976,-23.968,25.33,10.044,-1,0
107,5.35,547.569,-24.319,26.57,557.617,-23.979,26.14,10.053,-1,0
108,5.4,547.2,-24.321,26.57,557.249,-23.991,26.65,10.054,435.49,0
109,5.45,546.831,-24.323,26.57,556.88,-24.004,26.53,10.053,-1,0
110,5.5,546.462,-24.326,26.57,556.514,-24.017,26.23,10.056,-1,0
111,5.55,546.094,-24.328,26.57,556.155,-24.031,25.59,10.066,-1,0
112,5.6,545.725,-24.33,26.57,555.805,-24.044,25.02,10.084,-1,0
113,5.65,545.356,-24.332,26.57,555.464,-24.057,24.23,10.112,-1,0
114,5.7,544.987,-24.334,26.57,555.132,-24.07,23.83,10.148,-1,0
115,5.75,544.618,-24.337,26.57,554.804,-24.082,23.54,10.189,-1,0
116,5.8,544.249,-24.339,26.57,554.476,-24.094,23.69,10.23,-1,0
117,5.85,543.88,-24.341,26.57,554.145,-24.106,23.96,10.268,-1,0
118,5.9,543.511,-24.343,26.57,553.809,-24.119,24.36,10.301,-1,0
119,5.95,543.142,-24.345,26.57,553.47,-24.133,24.48,10.33,-1,0
120,6.0,542.773,-24.348,26.57,553.128,-24.147,24.72,10.357,-1,0
121,6.05,542.404,-24.35,26.57,552.786,-24.161,24.62,10.383,-1,0
122,6.1,542.035,-24.352,26.57,552.445,-24.177,24.4,10.412,-1,0
123,6.15,541.666,-24.354,26.57,552.112,-24.19,23.8,10.447,-1,0
124,6.2,541.297,-24.356,26.57,551.786,-24.2,23.31,10.49,-1,0
125,6.25,540.928,-24.359,26.57,551.466,-24.209,22.82,10.539,-1,0
126,6.3,540.559,-24.361,26.57,551.151,-24.218,22.71,10.592,-1,0
127,6.35,540.19,-24.363,26.57,550.836,-24.227,22.69,10.646,-1,0
128,6.4,539.821,-24.365,26.57,550.517,-24.236,23.15,10.697,-1,0
129,6.45,539.453,-24.367,26.57,550.192,-24.248,23.59,10.74,-1,0
130,6.5,539.084,-24.37,26.57,549.862,-24.261,23.91,10.779,-1,0
131,6.55,538.715,-24.372,26.57,549.531,-24.274,23.69,10.817,-1,0
132,6.6,538.346,-24.374,26.57,549.205,-24.289,23.37,10.86,-1,0
133,6.65,537.977,-24.376,26.57,548.886,-24.305,22.72,10.91,-1,0
134,6.7,537.608,-24.378,26.57,548.575,-24.321,22.25,10.968,-1,0
135,6.75,537.239,-24.38,26.57,548.271,-24.336,21.74,11.033,-1,0
136,6.8,536.87,-24.383,26.57,547.971,-24.352,21.65,11.101,-1,0
137,6.85,536.501,-24.385,26.57,547.671,-24.369,21.57,11.17,-1,0
138,6.9,536.132,-24.387,26.57,547.372,-24.385,21.52,11.24,-1,0
139,6.95,535.763,-24.389,26.57,547.077,-24.402,21.08,11.314,-1,0
140,7.0,535.394,-24.391,26.57,546.788,-24.417,20.74,11.393,-1,0
141,7.05,535.025,-24.394,26.57,546.503,-24.433,20.37,11.478,-1,0
142,7.1,534.656,-24.396,26.57,546.222,-24.447,20.27,11.566,-1,0
143,7.15,534.287,-24.398,26.57,545.944,-24.462,19.86,11.657,-1,0
144,7.2,533.918,-24.4,26.57,545.671,-24.477,19.5,11.753,-1,0
145,7.25,533.549,-24.402,26.57,545.441,-24.489,14.66,11.892,-1,0
146,7.3,533.18,-24.405,26.57,545.276,-24.497,10.7,12.096,-1,0
147,7.35,532.811,-24.407,26.57,545.118,-24.504,11.8,12.307,-1,0
148,7.4,532.443,-24.409,26.57,544.945,-24.511,12.89,12.503,-1,0
149,7.45,532.074,-24.411,26.57,544.757,-24.516,14.03,12.684,-1,0
150,7.5,531.705,-24.413,26.57,544.552,-24.523,15.22,12.848,-1,0
151,7.55,531.336,-24.416,26.57,544.33,-24.53,16.42,12.995,-1,0
152,7.6,530.967,-24.418,26.57,544.092,-24.537,17.62,13.126,-1,0
153,7.65,530.598,-24.42,26.57,543.837,-24.545,18.84,13.24,-1,0
154,7.7,530.229,-24.422,26.57,543.566,-24.552,20.0,13.338,-1,0
155,7.75,529.86,-24.424,26.57,543.287,-24.559,20.2,13.428,-1,0
156,7.8,529.491,-24.427,26.57,543.001,-24.566,20.93,13.511,-1,0
157,7.85,529.122,-24.429,26.57,542.704,-24.573,21.74,13.583,-1,0
158,7.9,528.753,-24.431,26.57,542.393,-24.581,22.88,13.64,-1,0
159,7.95,528.384,-24.433,26.57,542.063,-24.591,24.45,13.68,-1,0
160,8.0,528.015,-24.435,26.57,541.716,-24.601,25.28,13.701,-1,0
161,8.05,527.646,-24.438,26.57,541.366,-24.611,24.98,13.721,-1,0
162,8.1,527.277,-24.44,26.57,541.021,-24.621,24.82,13.745,-1,0
163,8.15,526.908,-24.442,26.57,540.684,-24.631,23.91,13.777,-1,0
164,8.2,526.539,-24.444,26.57,540.356,-24.641,23.4,13.818,-1,0
165,8.25,526.17,-24.446,26.57,540.04,-24.649,22.29,13.871,-1,0
166,8.3,525.802,-24.449,26.57,539.761,-24.656,18.4,13.961,-1,0
167,8.35,525.433,-24.451,26.57,539.54,-24.661,14.43,14.109,-1,0
168,8.4,525.064,-24.453,26.57,539.371,-24.664,10.73,14.309,-1,0
169,8.45,524.695,-24.455,26.57,539.216,-24.667,11.57,14.523,-1,0
170,8.5,524.326,-24.457,26.57,539.046,-24.672,12.7,14.722,-1,0
171,8.55,523.957,-24.46,26.57,538.86,-24.676,13.86,14.905,-1,0
172,8.6,523.588,-24.462,26.57,538.657,-24.681,15.05,15.071,-1,0
173,8.65,523.219,-24.464,26.57,538.438,-24.684,16.26,15.221,-1,0
174,8.7,522.85,-24.466,26.57,538.202,-24.686,17.46,15.354,-1,0
175,8.75,522.481,-24.468,26.57,537.949,-24.687,18.68,15.47,-1,0
176,8.8,522.112,-24.471,26.57,537.68,-24.685,19.81,15.569,-1,0
177,8.85,521.743,-24.473,26.57,537.402,-24.682,20.25,15.66,-1,0
178,8.9,521.374,-24.475,26.57,537.117,-24.678,20.79,15.744,-1,0
179,8.95,521.005,-24.477,26.57,536.818,-24.672,22.07,15.814,-1,0
180,9.0,520.636,-24.479,26.57,536.503,-24.666,23.08,15.868,-1,0
181,9.05,520.267,-24.482,26.57,536.174,-24.658,24.04,15.908,-1,0
182,9.1,519.898,-24.484,26.57,535.83,-24.651,25.29,15.933,-1,0
183,9.15,519.529,-24.486,26.57,535.47,-24.643,26.4,15.941,-1,0
184,9.2,519.161,-24.488,26.57,535.096,-24.633,27.21,15.936,90.206,0
185,9.25,518.792,-24.49,26.57,534.717,-24.624,27.25,15.926,84.773,0
186,9.3,518.423,-24.493,26.57,534.34,-24.615,27.05,15.918,120.72,0
187,9.35,518.054,-24.495,26.57,533.97,-24.605,26.43,15.916,-1,0
188,9.4,517.685,-24.497,26.57,533.608,-24.596,25.85,15.923,-1,0
189,9.45,517.316,-24.499,26.57,533.256,-24.588,24.99,15.94,-1,0
190,9.5,516.947,-24.501,26.57,532.915,-24.58,24.27,15.968,-1,0
191,9.55,516.578,-24.504,26.57,532.586,-24.573,23.36,16.008,-1,0
192,9.6,516.209,-24.506,26.57,532.266,-24.566,22.87,16.057,-1,0
193,9.65,515.84,-24.508,26.57,531.952,-24.561,22.47,16.112,-1,0
194,9.7,515.471,-24.51,26.57,531.64,-24.556,22.5,16.169,-1,0
195,9.75,515.102,-24.512,26.57,531.326,-24.551,22.71,16.224,-1,0
196,9.8,514.733,-24.515,26.57,531.005,-24.548,23.37,16.272,-1,0
197,9.85,514.364,-24.517,26.57,530.674,-24.545,24.11,16.31,-1,0
198,9.9,513.995,-24.519,26.57,530.331,-24.542,25.19,16.335,-1,0
199,9.95,513.626,-24.521,26.57,529.972,-24.537,26.25,16.346,-1,0
200,10.0,513.258,-24.523,26.46,529.598,-24.532,27.36,16.34,65.107,0
201,10.05,512.893,-24.525,26.1,529.213,-24.526,27.82,16.32,34.184,0
202,10.1,512.546,-24.527,23.93,528.825,-24.52,28.05,16.279,14.227,0
203,10.15,512.242,-24.528,21.0,528.434,-24.515,28.19,16.193,8.112,0
204,10.2,511.978,-24.528,18.13,528.04,-24.51,28.52,16.062,5.568,0
205,10.25,511.755,-24.529,15.37,527.641,-24.505,28.95,15.886,4.211,0
206,10.3,511.57,-24.53,12.65,527.233,-24.5,29.7,15.663,3.308,0
207,10.35,511.422,-24.531,10.02,526.816,-24.495,30.08,15.394,2.762,0
208,10.4,511.31,-24.531,7.45,526.398,-24.492,30.11,15.088,2.397,0
209,10.45,511.233,-24.531,4.96,525.983,-24.489,29.65,14.75,2.151,0
210,10.5,511.189,-24.532,2.57,525.576,-24.486,29.1,14.388,1.952,0
211,10.55,511.175,-24.531,0.08,525.179,-24.484,28.23,14.004,1.791,0
212,10.6,511.176,-24.531,0.02,524.793,-24.482,27.47,13.617,1.786,0
213,10.65,511.176,-24.531,0.03,524.42,-24.481,26.45,13.245,1.805,0
214,10.7,511.174,-24.531,0.04,524.06,-24.481,25.61,12.886,1.814,0
215,10.75,511.172,-24.532,0.04,523.713,-24.482,24.54,12.542,1.843,0
216,10.8,511.169,-24.532,0.05,523.38,-24.484,23.69,12.21,1.859,0
217,10.85,511.167,-24.532,0.06,523.059,-24.485,22.69,11.892,1.892,0
218,10.9,511.164,-24.532,0.07,522.749,-24.486,22.12,11.585,1.891,0
219,10.95,511.161,-24.532,0.07,522.447,-24.488,21.48,11.286,1.898,0
220,11.0,511.158,-24.532,0.08,522.153,-24.489,20.97,10.995,1.894,0
221,11.05,511.155,-24.532,0.08,521.875,-24.49,18.5,10.721,2.095,0
222,11.1,511.152,-24.532,0.08,521.659,-24.491,13.67,10.507,2.783,0
223,11.15,511.149,-24.532,0.08,521.51,-24.492,8.83,10.361,4.262,0
224,11.2,511.146,-24.532,0.08,521.428,-24.492,4.03,10.282,9.375,0
225,11.25,511.143,-24.532,0.08,521.408,-24.492,0.02,10.265,-1,0
226,11.3,511.141,-24.532,0.07,521.396,-24.492,1.46,10.255,26.584,0
227,11.35,511.139,-24.532,0.06,521.365,-24.492,2.71,10.227,13.86,0
228,11.4,511.137,-24.532,0.05,521.317,-24.492,3.91,10.18,9.478,0
229,11.45,511.136,-24.532,0.03,521.251,-24.491,5.31,10.115,6.902,0
230,11.5,511.135,-24.532,0.02,521.165,-24.49,6.6,10.03,5.486,0
231,11.55,511.135,-24.532,0.01,521.061,-24.49,8.05,9.927,4.448,0
232,11.6,511.134,-24.532,0.01,520.939,-24.489,9.34,9.804,3.782,0
233,11.65,511.135,-24.532,0.01,520.797,-24.487,10.73,9.663,3.246,0
234,11.7,511.135,-24.532,0.02,520.637,-24.483,12.11,9.502,2.829,0
235,11.75,511.136,-24.532,0.03,520.458,-24.478,13.45,9.322,2.501,0
236,11.8,511.137,-24.532,0.03,520.26,-24.471,14.74,9.124,2.233,0
237,11.85,511.138,-24.532,0.03,520.046,-24.458,15.93,8.908,2.017,0
238,11.9,511.139,-24.532,0.03,519.815,-24.438,17.18,8.677,1.822,0
239,11.95,511.14,-24.532,0.03,519.567,-24.417,18.43,8.428,1.649,0
240,12.0,511.141,-24.532,0.03,519.302,-24.4,19.65,8.162,1.498,0
241,12.05,511.142,-24.532,0.02,519.024,-24.384,20.17,7.883,1.409,0
242,12.1,511.142,-24.532,0.02,518.74,-24.366,20.73,7.599,1.321,0
243,12.15,511.143,-24.532,0.02,518.446,-24.346,21.56,7.305,1.221,0
244,12.2,511.143,-24.532,0.01,518.137,-24.327,22.77,6.996,1.107,0
245,12.25,511.144,-24.532,0.01,517.813,-24.307,23.81,6.673,1.009,0
246,12.3,511.144,-24.532,0.0,517.473,-24.283,25.04,6.334,0.911,0
247,12.35,511.144,-24.532,0.0,517.114,-24.256,26.42,5.976,0.814,0
248,12.4,511.144,-24.532,0.0,516.742,-24.225,27.03,5.607,0.747,0
249,12.45,511.144,-24.532,0.01,516.368,-24.188,27.09,5.236,0.696,0
250,12.5,511.144,-24.532,0.66,516.087,-24.146,8.5,4.958,2.277,1
251,12.55,511.152,-24.531,0.33,516.146,-24.121,2.89,5.011,7.061,0
252,12.6,511.158,-24.53,0.21,516.153,-24.118,0.01,5.012,-1,0
253,12.65,511.162,-24.53,0.1,516.154,-24.118,0.11,5.01,2328.045,0
254,12.7,511.164,-24.531,0.03,516.156,-24.118,0.14,5.009,168.133,0
255,12.75,511.165,-24.531,0.07,516.157,-24.118,0.13,5.01,298.609,0
256,12.8,511.164,-24.531,0.11,516.159,-24.118,0.11,5.012,-1,0
257,12.85,511.163,-24.531,0.14,516.159,-24.118,0.08,5.014,-1,0
258,12.9,511.161,-24.531,0.15,516.16,-24.118,0.06,5.017,-1,0
259,12.95,511.158,-24.532,0.14,516.161,-24.118,0.05,5.019,-1,0
260,13.0,511.156,-24.532,0.13,516.161,-24.118,0.03,5.022,-1,0
261,13.05,511.153,-24.532,0.12,516.161,-24.118,0.02,5.025,-1,0
262,13.1,511.151,-24.532,0.1,516.162,-24.118,0.02,5.028,-1,0
263,13.15,511.148,-24.532,0.08,516.162,-24.118,0.01,5.031,-1,0
264,13.2,511.145,-24.532,0.07,516.162,-24.118,0.01,5.034,-1,0
265,13.25,511.143,-24.532,0.07,516.162,-24.118,0.01,5.036,-1,0
266,13.3,511.141,-24.532,0.06,516.162,-24.118,0.0,5.038,-1,0
267,13.35,511.139,-24.532,0.06,516.162,-24.118,0.0,5.041,-1,0
268,13.4,511.137,-24.532,0.06,516.162,-24.118,0.0,5.042,-1,0
269,13.45,511.136,-24.532,0.05,516.162,-24.118,0.0,5.043,-1,0
270,13.5,511.135,-24.532,0.04,516.162,-24.118,0.0,5.044,-1,0
271,13.55,511.134,-24.532,0.03,516.162,-24.118,0.0,5.045,-1,0
272,13.6,511.134,-24.532,0.02,516.162,-24.118,0.0,5.045,-1,0
273,13.65,511.134,-24.532,0.02,516.162,-24.118,0.0,5.045,-1,0
274,13.7,511.135,-24.532,0.02,516.162,-24.118,0.0,5.044,-1,0
275,13.75,511.135,-24.532,0.02,516.162,-24.118,0.0,5.044,-1,0
276,13.8,511.136,-24.532,0.03,516.162,-24.118,0.0,5.043,-1,0
277,13.85,511.137,-24.532,0.03,516.162,-24.118,0.0,5.042,-1,0
278,13.9,511.138,-24.532,0.03,516.162,-24.118,0.0,5.041,-1,0
279,13.95,511.139,-24.532,0.03,516.162,-24.118,0.0,5.04,-1,0
280,14.0,511.14,-24.532,0.03,516.162,-24.118,0.0,5.04,-1,0
281,14.05,511.14,-24.532,0.02,516.162,-24.118,0.0,5.039,-1,0
282,14.1,511.141,-24.532,0.02,516.162,-24.118,0.0,5.038,-1,0
283,14.15,511.142,-24.532,0.02,516.162,-24.118,0.0,5.038,-1,0
284,14.2,511.142,-24.532,0.01,516.162,-24.118,0.0,5.037,-1,0
285,14.25,511.142,-24.532,0.01,516.162,-24.118,0.0,5.037,-1,0
286,14.3,511.143,-24.532,0.01,516.162,-24.118,0.0,5.037,-1,0
287,14.35,511.143,-24.532,0.0,516.162,-24.118,0.0,5.036,-1,0
