tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.247,-24.09,21.11,593.246,-24.017,20.48,10.0,-1,0
3,0.15,582.974,-24.092,20.45,593.062,-24.02,10.43,10.089,-1,0
4,0.2,582.701,-24.094,20.19,592.987,-24.02,2.77,10.286,-1,0
5,0.25,582.429,-24.096,19.92,592.981,-24.02,0.3,10.553,-1,0
6,0.3,582.155,-24.098,19.32,592.981,-24.02,0.65,10.827,-1,0
7,0.35,581.88,-24.1,20.09,592.981,-24.02,0.7,11.102,-1,0
8,0.4,581.614,-24.102,18.76,592.98,-24.02,0.62,11.367,-1,0
9,0.45,581.361,-24.104,18.19,592.98,-24.02,0.51,11.62,-1,0
10,0.5,581.116,-24.105,17.77,592.98,-24.02,0.39,11.865,-1,0
11,0.55,580.872,-24.107,17.78,592.98,-24.02,0.29,12.109,-1,0
12,0.6,580.625,-24.109,17.94,592.98,-24.02,0.21,12.355,-1,0
13,0.65,580.375,-24.111,18.19,592.973,-24.02,1.51,12.598,-1,0
14,0.7,580.121,-24.113,18.3,592.924,-24.021,4.56,12.803,-1,0
15,0.75,579.869,-24.115,18.2,592.837,-24.023,7.17,12.969,-1,0
16,0.8,579.616,-24.116,18.47,592.722,-24.026,9.05,13.106,-1,0
17,0.85,579.356,-24.118,18.82,592.582,-24.029,10.71,13.227,-1,0
18,0.9,579.096,-24.12,18.67,592.42,-24.033,12.24,13.325,-1,0
19,0.95,578.836,-24.122,18.9,592.238,-24.037,13.65,13.403,-1,0
20,1.0,578.577,-24.124,18.86,592.038,-24.041,14.98,13.461,-1,0
21,1.05,578.31,-24.126,19.45,591.819,-24.046,16.27,13.51,-1,0
22,1.1,578.035,-24.128,20.06,591.583,-24.051,17.53,13.548,-1,0
23,1.15,577.753,-24.131,20.37,591.329,-24.057,18.77,13.576,-1,0
24,1.2,577.465,-24.133,20.87,591.059,-24.064,19.83,13.594,-1,0
25,1.25,577.17,-24.135,21.31,590.782,-24.071,20.05,13.613,-1,0
26,1.3,576.871,-24.136,21.56,590.498,-24.078,20.82,13.628,-1,0
27,1.35,576.567,-24.138,21.93,590.202,-24.087,21.66,13.636,-1,0
28,1.4,576.259,-24.14,22.32,589.892,-24.095,22.91,13.633,84.039,0
29,1.45,575.946,-24.142,22.54,589.562,-24.104,24.31,13.616,27.701,0
30,1.5,575.629,-24.145,23.12,589.215,-24.114,25.47,13.587,20.738,0
31,1.55,575.303,-24.147,23.59,588.853,-24.123,26.53,13.55,16.607,0
32,1.6,574.972,-24.15,24.01,588.475,-24.134,27.68,13.503,13.227,0
33,1.65,574.638,-24.152,24.15,588.082,-24.144,28.7,13.444,10.616,0
34,1.7,574.301,-24.155,24.37,587.675,-24.155,29.7,13.374,9.033,0
35,1.75,573.96,-24.158,24.63,587.256,-24.164,30.53,13.296,8.118,0
36,1.8,573.617,-24.16,24.91,586.824,-24.171,31.45,13.208,7.266,0
37,1.85,573.27,-24.163,25.09,586.382,-24.179,32.15,13.111,6.683,0
38,1.9,572.921,-24.165,25.26,585.929,-24.186,32.92,13.008,6.113,0
39,1.95,572.569,-24.168,25.46,585.466,-24.193,33.55,12.897,5.74,0
40,2.0,572.215,-24.17,25.65,584.993,-24.198,34.38,12.779,5.27,0
41,2.05,571.858,-24.173,25.75,584.511,-24.203,34.92,12.653,4.968,0
42,2.1,571.501,-24.175,25.85,584.022,-24.208,35.42,12.521,4.708,0
43,2.15,571.141,-24.178,25.97,583.528,-24.212,35.7,12.386,4.584,0
44,2.2,570.78,-24.18,26.08,583.03,-24.216,35.95,12.249,4.467,0
45,2.25,570.418,-24.182,26.14,582.53,-24.219,35.91,12.112,4.463,0
46,2.3,570.055,-24.185,26.19,582.034,-24.222,35.6,11.979,4.583,0
47,2.35,569.691,-24.187,26.26,581.544,-24.224,35.04,11.853,4.86,0
48,2.4,569.327,-24.189,26.32,581.06,-24.226,34.71,11.734,5.032,0
49,2.45,568.961,-24.191,26.35,580.582,-24.228,34.26,11.621,5.292,0
50,2.5,568.595,-24.194,26.38,580.11,-24.229,33.81,11.515,5.58,0
51,2.55,568.228,-24.196,26.42,579.647,-24.23,33.04,11.418,6.207,0
52,2.6,567.861,-24.198,26.45,579.194,-24.23,32.24,11.333,7.039,0
53,2.65,567.494,-24.2,26.47,578.755,-24.231,31.26,11.261,8.466,0
54,2.7,567.126,-24.202,26.49,578.327,-24.231,30.48,11.202,10.089,0
55,2.75,566.758,-24.205,26.5,577.912,-24.231,29.54,11.154,13.209,0
56,2.8,566.389,-24.207,26.52,577.507,-24.23,28.94,11.117,16.518,0
57,2.85,566.021,-24.209,26.53,577.111,-24.229,28.22,11.09,23.548,0
58,2.9,565.652,-24.211,26.54,576.723,-24.228,27.69,11.071,34.754,0
59,2.95,565.283,-24.213,26.55,576.344,-24.226,27.0,11.061,88.531,0
60,3.0,564.914,-24.216,26.55,575.974,-24.224,26.45,11.06,-1,0
61,3.05,564.545,-24.218,26.56,575.613,-24.221,25.62,11.068,-1,0
62,3.1,564.176,-24.22,26.56,575.263,-24.219,24.9,11.087,-1,0
63,3.15,563.807,-24.222,26.57,574.926,-24.217,23.89,11.119,-1,0
64,3.2,563.438,-24.224,26.57,574.601,-24.216,23.12,11.162,-1,0
65,3.25,563.069,-24.227,26.57,574.287,-24.215,22.2,11.218,-1,0
66,3.3,562.7,-24.229,26.57,573.985,-24.215,21.51,11.284,-1,0
67,3.35,562.331,-24.231,26.57,573.693,-24.215,20.67,11.362,-1,0
68,3.4,561.962,-24.233,26.57,573.44,-24.214,16.32,11.478,-1,0
69,3.45,561.593,-24.235,26.57,573.254,-24.213,11.46,11.661,-1,0
70,3.5,561.224,-24.238,26.57,573.133,-24.213,7.61,11.909,-1,0
71,3.55,560.855,-24.24,26.57,573.02,-24.214,8.5,12.165,-1,0
72,3.6,560.486,-24.242,26.57,572.892,-24.215,9.59,12.406,-1,0
73,3.65,560.117,-24.244,26.57,572.749,-24.217,10.78,12.632,-1,0
74,3.7,559.748,-24.246,26.57,572.588,-24.218,12.13,12.84,-1,0
75,3.75,559.379,-24.249,26.57,572.408,-24.221,13.43,13.03,-1,0
76,3.8,559.01,-24.251,26.57,572.211,-24.223,14.7,13.201,-1,0
77,3.85,558.64,-24.253,26.57,571.996,-24.226,15.95,13.356,-1,0
78,3.9,558.271,-24.255,26.57,571.764,-24.23,17.19,13.493,-1,0
79,3.95,557.902,-24.257,26.57,571.515,-24.234,18.42,13.613,-1,0
80,4.0,557.533,-24.26,26.57,571.249,-24.238,19.65,13.716,-1,0
81,4.05,557.164,-24.262,26.57,570.971,-24.242,20.1,13.808,-1,0
82,4.1,556.795,-24.264,26.57,570.687,-24.246,20.74,13.893,-1,0
83,4.15,556.426,-24.266,26.57,570.392,-24.251,21.89,13.967,-1,0
84,4.2,556.056,-24.268,26.57,570.079,-24.256,22.85,14.022,-1,0
85,4.25,555.687,-24.271,26.57,569.752,-24.261,23.93,14.065,-1,0
86,4.3,555.318,-24.273,26.57,569.411,-24.265,24.98,14.093,-1,0
87,4.35,554.949,-24.275,26.57,569.053,-24.269,26.2,14.104,-1,0
88,4.4,554.58,-24.277,26.57,568.683,-24.274,26.97,14.103,129.064,0
89,4.45,554.211,-24.279,26.57,568.302,-24.278,27.69,14.092,45.525,0
90,4.5,553.841,-24.282,26.57,567.913,-24.283,28.3,14.071,29.386,0
91,4.55,553.472,-24.284,26.57,567.513,-24.288,29.09,14.041,20.079,0
92,4.6,553.103,-24.286,26.57,567.104,-24.293,29.76,14.0,15.818,0
93,4.65,552.734,-24.288,26.57,566.684,-24.299,30.53,13.95,12.681,0
94,4.7,552.365,-24.29,26.57,566.255,-24.306,31.1,13.89,11.036,0
95,4.75,551.997,-24.293,26.57,565.818,-24.313,31.71,13.822,9.685,0
96,4.8,551.628,-24.295,26.57,565.374,-24.321,32.11,13.747,8.943,0
97,4.85,551.259,-24.297,26.57,564.925,-24.327,32.54,13.666,8.249,0
98,4.9,550.89,-24.299,26.57,564.471,-24.334,32.77,13.581,7.884,0
99,4.95,550.521,-24.301,26.57,564.014,-24.34,33.02,13.493,7.537,0
100,5.0,550.152,-24.304,26.57,563.555,-24.347,33.05,13.403,7.444,0
101,5.05,549.783,-24.306,26.57,563.095,-24.354,33.1,13.313,7.338,0
102,5.1,549.414,-24.308,26.57,562.637,-24.36,32.95,13.223,7.46,0
103,5.15,549.045,-24.31,26.57,562.18,-24.366,32.82,13.135,7.562,0
104,5.2,548.676,-24.312,26.57,561.727,-24.371,32.5,13.051,7.926,0
105,5.25,548.307,-24.315,26.57,561.278,-24.374,32.21,12.971,8.288,0
106,5.3,547.938,-24.317,26.57,560.835,-24.376,31.72,12.897,9.022,0
107,5.35,547.569,-24.319,26.57,560.398,-24.379,31.29,12.829,9.796,0
108,5.4,547.2,-24.321,26.57,559.969,-24.382,30.68,12.768,11.191,0
109,5.45,546.831,-24.323,26.57,559.547,-24.385,30.18,12.715,12.671,0
110,5.5,546.462,-24.326,26.57,559.133,-24.388,29.54,12.67,15.369,0
111,5.55,546.094,-24.328,26.57,558.727,-24.39,29.06,12.633,18.267,0
112,5.6,545.725,-24.33,26.57,558.328,-24.392,28.5,12.603,23.531,0
113,5.65,545.356,-24.332,26.57,557.935,-24.394,28.1,12.58,29.649,0
114,5.7,544.987,-24.334,26.57,557.549,-24.395,27.54,12.563,46.519,0
115,5.75,544.618,-24.337,26.57,557.17,-24.396,27.21,12.552,70.314,0
116,5.8,544.249,-24.339,26.57,556.795,-24.397,26.84,12.547,170.846,0
117,5.85,543.88,-24.341,26.57,556.423,-24.399,26.72,12.544,295.212,0
118,5.9,543.511,-24.343,26.57,556.054,-24.4,26.53,12.543,-1,0
119,5.95,543.142,-24.345,26.57,555.685,-24.402,26.62,12.543,879.818,0
120,6.0,542.773,-24.348,26.57,555.315,-24.404,26.69,12.542,395.482,0
121,6.05,542.404,-24.35,26.57,554.943,-24.406,26.81,12.539,185.42,0
122,6.1,542.035,-24.352,26.57,554.57,-24.408,26.83,12.535,171.899,0
123,6.15,541.666,-24.354,26.57,554.196,-24.41,27.03,12.53,99.28,0
124,6.2,541.297,-24.356,26.57,553.821,-24.411,26.97,12.524,112.712,0
125,6.25,540.928,-24.359,26.57,553.446,-24.413,27.03,12.518,97.82,0
126,6.3,540.559,-24.361,26.57,553.071,-24.415,27.0,12.512,106.203,0
127,6.35,540.19,-24.363,26.57,552.694,-24.418,27.15,12.504,77.343,0
128,6.4,539.821,-24.365,26.57,552.317,-24.422,27.15,12.496,77.472,0
129,6.45,539.453,-24.367,26.57,551.94,-24.427,27.17,12.488,74.526,0
130,6.5,539.084,-24.37,26.57,551.563,-24.43,27.04,12.48,96.235,0
131,6.55,538.715,-24.372,26.57,551.189,-24.433,26.95,12.474,117.85,0
132,6.6,538.346,-24.374,26.57,550.816,-24.435,26.77,12.47,221.935,0
133,6.65,537.977,-24.376,26.57,550.443,-24.437,26.87,12.467,149.26,0
134,6.7,537.608,-24.378,26.57,550.069,-24.437,27.02,12.461,99.319,0
135,6.75,537.239,-24.38,26.57,549.691,-24.437,27.29,12.453,62.814,0
136,6.8,536.87,-24.383,26.57,549.312,-24.436,27.38,12.442,55.349,0
137,6.85,536.501,-24.385,26.57,548.929,-24.435,27.64,12.428,42.009,0
138,6.9,536.132,-24.387,26.57,548.544,-24.435,27.78,12.412,37.109,0
139,6.95,535.763,-24.389,26.57,548.157,-24.434,27.86,12.394,34.526,0
140,7.0,535.394,-24.391,26.57,547.772,-24.433,27.67,12.378,40.563,0
141,7.05,535.025,-24.394,26.57,547.389,-24.433,27.54,12.364,45.9,0
142,7.1,534.656,-24.396,26.57,547.009,-24.432,27.23,12.353,67.87,0
143,7.15,534.287,-24.398,26.57,546.632,-24.432,27.01,12.345,102.198,0
144,7.2,533.918,-24.4,26.57,546.26,-24.431,26.67,12.342,471.79,0
145,7.25,533.549,-24.402,26.57,545.892,-24.432,26.42,12.343,-1,0
146,7.3,533.18,-24.405,26.57,545.528,-24.433,26.09,12.348,-1,0
147,7.35,532.811,-24.407,26.57,545.166,-24.434,26.02,12.355,-1,0
148,7.4,532.443,-24.409,26.57,544.807,-24.436,25.74,12.365,-1,0
149,7.45,532.074,-24.411,26.57,544.451,-24.437,25.53,12.378,-1,0
150,7.5,531.705,-24.413,26.57,544.1,-24.438,25.16,12.395,-1,0
151,7.55,531.336,-24.416,26.57,543.753,-24.438,24.9,12.417,-1,0
152,7.6,530.967,-24.418,26.57,543.41,-24.438,24.47,12.444,-1,0
153,7.65,530.598,-24.42,26.57,543.073,-24.439,24.19,12.475,-1,0
154,7.7,530.229,-24.422,26.57,542.741,-24.44,23.67,12.512,-1,0
155,7.75,529.86,-24.424,26.57,542.415,-24.44,23.3,12.556,-1,0
156,7.8,529.491,-24.427,26.57,542.096,-24.44,22.79,12.605,-1,0
157,7.85,529.122,-24.429,26.57,541.782,-24.441,22.46,12.66,-1,0
158,7.9,528.753,-24.431,26.57,541.475,-24.442,21.96,12.722,-1,0
159,7.95,528.384,-24.433,26.57,541.173,-24.442,21.59,12.788,-1,0
160,8.0,528.015,-24.435,26.57,540.878,-24.442,21.02,12.862,-1,0
161,8.05,527.646,-24.438,26.57,540.589,-24.442,20.64,12.943,-1,0
162,8.1,527.277,-24.44,26.57,540.307,-24.442,20.06,13.03,-1,0
163,8.15,526.908,-24.442,26.57,540.031,-24.442,19.76,13.123,-1,0
164,8.2,526.539,-24.444,26.57,539.761,-24.442,19.27,13.221,-1,0
165,8.25,526.17,-24.446,26.57,539.495,-24.441,19.04,13.325,-1,0
166,8.3,525.802,-24.449,26.57,539.233,-24.442,18.78,13.432,-1,0
167,8.35,525.433,-24.451,26.57,538.971,-24.443,18.95,13.539,-1,0
168,8.4,525.064,-24.453,26.57,538.705,-24.444,19.29,13.642,-1,0
169,8.45,524.695,-24.455,26.57,538.432,-24.446,20.01,13.737,-1,0
170,8.5,524.326,-24.457,26.57,538.149,-24.449,20.53,13.823,-1,0
171,8.55,523.957,-24.46,26.57,537.858,-24.451,21.23,13.901,-1,0
172,8.6,523.588,-24.462,26.57,537.561,-24.454,21.46,13.973,-1,0
173,8.65,523.219,-24.464,26.57,537.262,-24.458,21.61,14.043,-1,0
174,8.7,522.85,-24.466,26.57,536.962,-24.462,21.54,14.112,-1,0
175,8.75,522.481,-24.468,26.57,536.663,-24.465,21.51,14.182,-1,0
176,8.8,522.112,-24.471,26.57,536.366,-24.468,21.32,14.254,-1,0
177,8.85,521.743,-24.473,26.57,536.069,-24.469,21.43,14.326,-1,0
178,8.9,521.374,-24.475,26.57,535.77,-24.471,21.58,14.396,-1,0
179,8.95,521.005,-24.477,26.57,535.469,-24.472,21.78,14.463,-1,0
180,9.0,520.636,-24.479,26.57,535.167,-24.474,21.66,14.531,-1,0
181,9.05,520.267,-24.482,26.57,534.866,-24.475,21.71,14.599,-1,0
182,9.1,519.898,-24.484,26.57,534.566,-24.477,21.54,14.667,-1,0
183,9.15,519.529,-24.486,26.57,534.268,-24.478,21.32,14.739,-1,0
184,9.2,519.161,-24.488,26.57,533.976,-24.479,20.84,14.816,-1,0
185,9.25,518.792,-24.49,26.57,533.688,-24.481,20.69,14.897,-1,0
186,9.3,518.423,-24.493,26.57,533.402,-24.483,20.53,14.98,-1,0
187,9.35,518.054,-24.495,26.57,533.115,-24.484,20.8,15.062,-1,0
188,9.4,517.685,-24.497,26.57,532.823,-24.486,21.22,15.138,-1,0
189,9.45,517.316,-24.499,26.57,532.522,-24.488,22.07,15.206,-1,0
190,9.5,516.947,-24.501,26.57,532.208,-24.49,22.88,15.261,-1,0
191,9.55,516.578,-24.504,26.57,531.884,-24.492,23.54,15.306,-1,0
192,9.6,516.209,-24.506,26.57,531.557,-24.494,23.54,15.348,-1,0
193,9.65,515.84,-24.508,26.57,531.23,-24.496,23.48,15.391,-1,0
194,9.7,515.471,-24.51,26.57,530.906,-24.499,23.25,15.435,-1,0
195,9.75,515.102,-24.512,26.57,530.585,-24.502,22.96,15.483,-1,0
196,9.8,514.733,-24.515,26.57,530.271,-24.505,22.42,15.538,-1,0
197,9.85,514.364,-24.517,26.57,529.962,-24.507,22.22,15.597,-1,0
198,9.9,513.995,-24.519,26.57,529.655,-24.508,21.99,15.66,-1,0
199,9.95,513.626,-24.521,26.57,529.351,-24.509,21.82,15.725,-1,0
200,10.0,513.258,-24.523,26.46,529.051,-24.509,21.43,15.793,-1,0
201,10.05,512.893,-24.525,26.1,528.755,-24.509,21.28,15.862,-1,0
202,10.1,512.546,-24.527,23.93,528.461,-24.508,21.13,15.915,-1,0
203,10.15,512.242,-24.528,21.0,528.166,-24.508,21.39,15.924,145.455,0
204,10.2,511.978,-24.528,18.13,527.865,-24.507,21.82,15.887,15.522,0
205,10.25,511.755,-24.529,15.37,527.555,-24.507,22.66,15.8,7.794,0
206,10.3,511.57,-24.53,12.65,527.233,-24.506,23.55,15.663,5.176,0
207,10.35,511.422,-24.531,10.02,526.896,-24.506,24.74,15.474,3.784,0
208,10.4,511.31,-24.531,7.45,526.543,-24.506,25.86,15.233,2.979,0
209,10.45,511.233,-24.531,4.96,526.173,-24.506,27.14,14.94,2.425,0
210,10.5,511.189,-24.532,2.57,525.789,-24.506,28.0,14.6,2.067,0
211,10.55,511.175,-24.531,0.08,525.392,-24.505,28.88,14.217,1.777,0
212,10.6,511.176,-24.531,0.02,524.987,-24.505,29.35,13.811,1.695,0
213,10.65,511.176,-24.531,0.03,524.575,-24.506,29.84,13.4,1.618,0
214,10.7,511.174,-24.531,0.04,524.159,-24.506,30.09,12.985,1.555,0
215,10.75,511.172,-24.532,0.04,523.738,-24.507,30.44,12.566,1.488,0
216,10.8,511.169,-24.532,0.05,523.313,-24.508,30.67,12.144,1.428,0
217,10.85,511.167,-24.532,0.06,522.885,-24.509,30.97,11.718,1.365,0
218,10.9,511.164,-24.532,0.07,522.454,-24.51,31.0,11.29,1.314,0
219,10.95,511.161,-24.532,0.07,522.024,-24.513,30.95,10.863,1.266,0
220,11.0,511.158,-24.532,0.08,521.596,-24.514,30.69,10.438,1.228,0
221,11.05,511.155,-24.532,0.08,521.173,-24.516,30.29,10.018,1.194,0
222,11.1,511.152,-24.532,0.08,520.758,-24.516,29.53,9.607,1.174,0
223,11.15,511.149,-24.532,0.08,520.355,-24.516,28.77,9.206,1.155,0
224,11.2,511.146,-24.532,0.08,519.964,-24.515,27.74,8.818,1.148,0
225,11.25,511.143,-24.532,0.08,519.586,-24.511,26.87,8.442,1.134,0
226,11.3,511.141,-24.532,0.07,519.221,-24.506,25.79,8.081,1.131,0
227,11.35,511.139,-24.532,0.06,518.871,-24.499,24.9,7.732,1.12,0
228,11.4,511.137,-24.532,0.05,518.535,-24.487,23.78,7.398,1.122,0
229,11.45,511.136,-24.532,0.03,518.212,-24.475,22.91,7.077,1.113,0
230,11.5,511.135,-24.532,0.02,517.92,-24.466,19.17,6.786,1.276,0
231,11.55,511.135,-24.532,0.01,517.695,-24.457,14.34,6.561,1.648,0
232,11.6,511.134,-24.532,0.01,517.537,-24.45,9.5,6.403,2.428,0
233,11.65,511.135,-24.532,0.01,517.445,-24.446,4.69,6.311,4.857,0
234,11.7,511.135,-24.532,0.02,517.418,-24.444,0.59,6.283,39.599,0
235,11.75,511.136,-24.532,0.03,517.418,-24.444,0.0,6.283,-1,0
236,11.8,511.137,-24.532,0.03,517.418,-24.444,0.0,6.281,-1,0
237,11.85,511.138,-24.532,0.03,517.417,-24.444,0.0,6.28,-1,0
238,11.9,511.139,-24.532,0.03,517.417,-24.444,0.0,6.279,-1,0
239,11.95,511.14,-24.532,0.03,517.417,-24.444,0.0,6.278,-1,0
240,12.0,511.141,-24.532,0.03,517.417,-24.444,0.0,6.276,-1,0
241,12.05,511.142,-24.532,0.02,517.417,-24.444,0.0,6.276,-1,0
242,12.1,511.142,-24.532,0.02,517.416,-24.444,0.0,6.275,-1,0
243,12.15,511.143,-24.532,0.02,517.416,-24.444,0.0,6.274,-1,0
244,12.2,511.143,-24.532,0.01,517.416,-24.444,0.0,6.274,-1,0
245,12.25,511.144,-24.532,0.01,517.416,-24.444,0.0,6.273,-1,0
246,12.3,511.144,-24.532,0.0,517.416,-24.444,0.0,6.273,-1,0
247,12.35,511.144,-24.532,0.0,517.416,-24.444,0.0,6.273,-1,0
248,12.4,511.144,-24.532,0.0,517.416,-24.444,0.0,6.273,-1,0
249,12.45,511.144,-24.532,0.01,517.416,-24.444,0.0,6.273,-1,0
250,12.5,511.143,-24.532,0.01,517.416,-24.444,0.0,6.273,-1,0
251,12.55,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,1147123.564,0
252,12.6,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,700656.971,0
253,12.65,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,720831.936,0
254,12.7,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,884536.958,0
255,12.75,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,1141440.72,0
256,12.8,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,1494025.717,0
257,12.85,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,1650282.532,0
258,12.9,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,2306807.058,0
259,12.95,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,2723636.972,0
260,13.0,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,6315172.209,0
261,13.05,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,3303832.898,0
262,13.1,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,4229101.029,0
263,13.15,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,3462754.75,0
264,13.2,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,9157985.495,0
265,13.25,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,5174793.294,0
266,13.3,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,4068420.12,0
267,13.35,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,5497720.203,0
268,13.4,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,17067479.557,0
269,13.45,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,35314564.24,0
270,13.5,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,11947169.474,0
271,13.55,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,10511797.679,0
272,13.6,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,18344903.619,0
273,13.65,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,4381761.458,0
274,13.7,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,6441061.34,0
275,13.75,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,4566809.674,0
276,13.8,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,-1,0
277,13.85,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,36302301.718,0
278,13.9,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,64093318.375,0
279,13.95,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,109023883.507,0
280,14.0,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,24322406.856,0
281,14.05,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,7824620.948,0
282,14.1,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,4730580.783,0
283,14.15,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,5043697.918,0
284,14.2,511.143,-24.532,0.0,517.416,-24.444,0.0,6.273,4627973.707,0
