tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.247,-24.09,21.11,593.246,-24.017,20.48,10.0,-1,0
3,0.15,582.974,-24.092,20.45,592.978,-24.021,19.76,10.005,-1,0
4,0.2,582.701,-24.094,20.19,592.709,-24.025,19.59,10.009,-1,0
5,0.25,582.429,-24.096,19.92,592.441,-24.028,19.26,10.013,-1,0
6,0.3,582.155,-24.098,19.32,592.172,-24.03,19.38,10.018,539.583,0
7,0.35,581.88,-24.1,20.09,591.903,-24.032,19.35,10.025,-1,0
8,0.4,581.614,-24.102,18.76,591.634,-24.034,19.42,10.021,55.035,0
9,0.45,581.361,-24.104,18.19,591.364,-24.036,19.65,10.004,24.68,0
10,0.5,581.116,-24.105,17.77,591.083,-24.038,20.69,9.968,12.278,0
11,0.55,580.872,-24.107,17.78,590.789,-24.04,21.61,9.917,9.327,0
12,0.6,580.625,-24.109,17.94,590.479,-24.043,22.82,9.854,7.263,0
13,0.65,580.375,-24.111,18.19,590.152,-24.046,23.98,9.777,6.082,0
14,0.7,580.121,-24.113,18.3,589.807,-24.051,25.5,9.686,4.843,0
15,0.75,579.869,-24.115,18.2,589.442,-24.058,26.68,9.573,4.063,0
16,0.8,579.616,-24.116,18.47,589.064,-24.064,27.45,9.448,3.79,0
17,0.85,579.356,-24.118,18.82,588.682,-24.07,27.5,9.327,3.868,0
18,0.9,579.096,-24.12,18.67,588.302,-24.075,27.3,9.206,3.843,0
19,0.95,578.836,-24.122,18.9,587.927,-24.08,26.68,9.092,4.207,0
20,1.0,578.577,-24.124,18.86,587.562,-24.083,26.1,8.985,4.465,0
21,1.05,578.31,-24.126,19.45,587.207,-24.087,25.23,8.897,5.537,0
22,1.1,578.035,-24.128,20.06,586.862,-24.091,24.57,8.827,7.04,0
23,1.15,577.753,-24.131,20.37,586.526,-24.095,23.94,8.773,8.842,0
24,1.2,577.465,-24.133,20.87,586.196,-24.1,23.74,8.731,10.971,0
25,1.25,577.17,-24.135,21.31,585.867,-24.106,23.64,8.698,13.473,0
26,1.3,576.871,-24.136,21.56,585.536,-24.112,24.0,8.666,12.783,0
27,1.35,576.567,-24.138,21.93,585.199,-24.121,24.51,8.633,12.036,0
28,1.4,576.259,-24.14,22.32,584.852,-24.131,25.42,8.593,10.002,0
29,1.45,575.946,-24.142,22.54,584.491,-24.142,26.28,8.545,8.234,0
30,1.5,575.629,-24.145,23.12,584.12,-24.152,26.95,8.491,7.98,0
31,1.55,575.303,-24.147,23.59,583.746,-24.163,26.95,8.442,9.065,0
32,1.6,574.972,-24.15,24.01,583.373,-24.173,26.72,8.401,11.125,0
33,1.65,574.638,-24.152,24.15,583.007,-24.183,26.09,8.369,15.482,0
34,1.7,574.301,-24.155,24.37,582.65,-24.193,25.51,8.349,26.172,0
35,1.75,573.96,-24.158,24.63,582.302,-24.202,24.72,8.342,343.624,0
36,1.8,573.617,-24.16,24.91,581.963,-24.21,24.32,8.346,-1,0
37,1.85,573.27,-24.163,25.09,581.628,-24.218,24.04,8.358,-1,0
38,1.9,572.921,-24.165,25.26,581.293,-24.224,24.18,8.373,-1,0
39,1.95,572.569,-24.168,25.46,580.955,-24.228,24.51,8.386,-1,0
40,2.0,572.215,-24.17,25.65,580.608,-24.23,25.26,8.394,-1,0
41,2.05,571.858,-24.173,25.75,580.251,-24.23,26.01,8.393,116.941,0
42,2.1,571.501,-24.175,25.85,579.884,-24.228,26.62,8.384,39.194,0
43,2.15,571.141,-24.178,25.97,579.514,-24.227,26.59,8.373,48.63,0
44,2.2,570.78,-24.18,26.08,579.147,-24.226,26.36,8.367,110.457,0
45,2.25,570.418,-24.182,26.14,578.786,-24.226,25.72,8.368,-1,0
46,2.3,570.055,-24.185,26.19,578.433,-24.226,25.14,8.378,-1,0
47,2.35,569.691,-24.187,26.26,578.091,-24.225,24.34,8.4,-1,0
48,2.4,569.327,-24.189,26.32,577.757,-24.225,23.93,8.43,-1,0
49,2.45,568.961,-24.191,26.35,577.427,-24.224,23.61,8.466,-1,0
50,2.5,568.595,-24.194,26.38,577.099,-24.223,23.72,8.504,-1,0
51,2.55,568.228,-24.196,26.42,576.767,-24.222,24.0,8.539,-1,0
52,2.6,567.861,-24.198,26.45,576.429,-24.222,24.68,8.567,-1,0
53,2.65,567.494,-24.2,26.47,576.08,-24.221,25.3,8.587,-1,0
54,2.7,567.126,-24.202,26.49,575.724,-24.22,25.88,8.598,-1,0
55,2.75,566.758,-24.205,26.5,575.363,-24.22,25.99,8.606,-1,0
56,2.8,566.389,-24.207,26.52,575.003,-24.221,25.87,8.614,-1,0
57,2.85,566.021,-24.209,26.53,574.648,-24.222,25.34,8.627,-1,0
58,2.9,565.652,-24.211,26.54,574.3,-24.223,24.88,8.648,-1,0
59,2.95,565.283,-24.213,26.55,573.958,-24.222,24.41,8.675,-1,0
60,3.0,564.914,-24.216,26.55,573.621,-24.22,24.22,8.707,-1,0
61,3.05,564.545,-24.218,26.56,573.287,-24.217,24.01,8.741,-1,0
62,3.1,564.176,-24.22,26.56,572.952,-24.213,24.17,8.776,-1,0
63,3.15,563.807,-24.222,26.57,572.614,-24.21,24.43,8.807,-1,0
64,3.2,563.438,-24.224,26.57,572.271,-24.205,24.85,8.833,-1,0
65,3.25,563.069,-24.227,26.57,571.924,-24.201,25.05,8.855,-1,0
66,3.3,562.7,-24.229,26.57,571.575,-24.197,25.25,8.874,-1,0
67,3.35,562.331,-24.231,26.57,571.225,-24.195,25.12,8.894,-1,0
68,3.4,561.962,-24.233,26.57,570.877,-24.194,25.01,8.915,-1,0
69,3.45,561.593,-24.235,26.57,570.532,-24.195,24.77,8.939,-1,0
70,3.5,561.224,-24.238,26.57,570.188,-24.196,24.67,8.965,-1,0
71,3.55,560.855,-24.24,26.57,569.848,-24.197,24.42,8.993,-1,0
72,3.6,560.486,-24.242,26.57,569.51,-24.198,24.31,9.024,-1,0
73,3.65,560.117,-24.244,26.57,569.174,-24.2,24.05,9.057,-1,0
74,3.7,559.748,-24.246,26.57,568.841,-24.203,23.95,9.093,-1,0
75,3.75,559.379,-24.249,26.57,568.51,-24.207,23.83,9.131,-1,0
76,3.8,559.01,-24.251,26.57,568.177,-24.211,24.0,9.168,-1,0
77,3.85,558.64,-24.253,26.57,567.843,-24.215,24.2,9.202,-1,0
78,3.9,558.271,-24.255,26.57,567.503,-24.222,24.64,9.231,-1,0
79,3.95,557.902,-24.257,26.57,567.158,-24.228,24.87,9.256,-1,0
80,4.0,557.533,-24.26,26.57,566.811,-24.233,25.09,9.278,-1,0
81,4.05,557.164,-24.262,26.57,566.463,-24.238,25.08,9.299,-1,0
82,4.1,556.795,-24.264,26.57,566.114,-24.241,25.13,9.319,-1,0
83,4.15,556.426,-24.266,26.57,565.766,-24.246,24.99,9.341,-1,0
84,4.2,556.056,-24.268,26.57,565.419,-24.248,24.95,9.363,-1,0
85,4.25,555.687,-24.271,26.57,565.075,-24.248,24.75,9.387,-1,0
86,4.3,555.318,-24.273,26.57,564.732,-24.252,24.66,9.413,-1,0
87,4.35,554.949,-24.275,26.57,564.391,-24.256,24.44,9.442,-1,0
88,4.4,554.58,-24.277,26.57,564.053,-24.261,24.27,9.473,-1,0
89,4.45,554.211,-24.279,26.57,563.719,-24.267,23.88,9.508,-1,0
90,4.5,553.841,-24.282,26.57,563.389,-24.273,23.69,9.548,-1,0
91,4.55,553.472,-24.284,26.57,563.063,-24.281,23.38,9.591,-1,0
92,4.6,553.103,-24.286,26.57,562.739,-24.289,23.36,9.635,-1,0
93,4.65,552.734,-24.288,26.57,562.414,-24.299,23.44,9.68,-1,0
94,4.7,552.365,-24.29,26.57,562.085,-24.311,23.97,9.719,-1,0
95,4.75,551.997,-24.293,26.57,561.747,-24.325,24.62,9.75,-1,0
96,4.8,551.628,-24.295,26.57,561.397,-24.339,25.57,9.769,-1,0
97,4.85,551.259,-24.297,26.57,561.037,-24.355,26.05,9.779,-1,0
98,4.9,550.89,-24.299,26.57,560.675,-24.372,26.18,9.785,-1,0
99,4.95,550.521,-24.301,26.57,560.314,-24.388,25.8,9.794,-1,0
100,5.0,550.152,-24.304,26.57,559.96,-24.404,25.35,9.808,-1,0
101,5.05,549.783,-24.306,26.57,559.614,-24.418,24.58,9.832,-1,0
102,5.1,549.414,-24.308,26.57,559.278,-24.428,23.94,9.865,-1,0
103,5.15,549.045,-24.31,26.57,558.953,-24.436,23.08,9.909,-1,0
104,5.2,548.676,-24.312,26.57,558.637,-24.442,22.62,9.962,-1,0
105,5.25,548.307,-24.315,26.57,558.327,-24.445,22.14,10.021,-1,0
106,5.3,547.938,-24.317,26.57,558.021,-24.445,21.97,10.084,-1,0
107,5.35,547.569,-24.319,26.57,557.717,-24.443,21.91,10.149,-1,0
108,5.4,547.2,-24.321,26.57,557.41,-24.44,22.21,10.211,-1,0
109,5.45,546.831,-24.323,26.57,557.1,-24.438,22.43,10.269,-1,0
110,5.5,546.462,-24.326,26.57,556.784,-24.437,23.02,10.322,-1,0
111,5.55,546.094,-24.328,26.57,556.46,-24.439,23.53,10.367,-1,0
112,5.6,545.725,-24.33,26.57,556.129,-24.444,23.9,10.406,-1,0
113,5.65,545.356,-24.332,26.57,555.799,-24.451,23.71,10.444,-1,0
114,5.7,544.987,-24.334,26.57,555.471,-24.457,23.5,10.485,-1,0
115,5.75,544.618,-24.337,26.57,555.147,-24.462,23.26,10.53,-1,0
116,5.8,544.249,-24.339,26.57,554.824,-24.467,23.25,10.576,-1,0
117,5.85,543.88,-24.341,26.57,554.502,-24.473,23.16,10.623,-1,0
118,5.9,543.511,-24.343,26.57,554.18,-24.478,23.2,10.67,-1,0
119,5.95,543.142,-24.345,26.57,553.858,-24.485,23.19,10.717,-1,0
120,6.0,542.773,-24.348,26.57,553.533,-24.491,23.56,10.761,-1,0
121,6.05,542.404,-24.35,26.57,553.202,-24.498,24.02,10.799,-1,0
122,6.1,542.035,-24.352,26.57,552.864,-24.504,24.56,10.83,-1,0
123,6.15,541.666,-24.354,26.57,552.523,-24.509,24.56,10.857,-1,0
124,6.2,541.297,-24.356,26.57,552.183,-24.509,24.36,10.887,-1,0
125,6.25,540.928,-24.359,26.57,551.849,-24.506,23.77,10.922,-1,0
126,6.3,540.559,-24.361,26.57,551.523,-24.501,23.3,10.965,-1,0
127,6.35,540.19,-24.363,26.57,551.204,-24.497,22.82,11.015,-1,0
128,6.4,539.821,-24.365,26.57,550.888,-24.494,22.72,11.068,-1,0
129,6.45,539.453,-24.367,26.57,550.573,-24.494,22.73,11.121,-1,0
130,6.5,539.084,-24.37,26.57,550.254,-24.498,23.18,11.171,-1,0
131,6.55,538.715,-24.372,26.57,549.927,-24.504,23.79,11.213,-1,0
132,6.6,538.346,-24.374,26.57,549.589,-24.51,24.71,11.244,-1,0
133,6.65,537.977,-24.376,26.57,549.24,-24.516,25.35,11.264,-1,0
134,6.7,537.608,-24.378,26.57,548.885,-24.524,25.67,11.278,-1,0
135,6.75,537.239,-24.38,26.57,548.53,-24.534,25.42,11.292,-1,0
136,6.8,536.87,-24.383,26.57,548.18,-24.545,25.06,11.311,-1,0
137,6.85,536.501,-24.385,26.57,547.838,-24.557,24.38,11.338,-1,0
138,6.9,536.132,-24.387,26.57,547.504,-24.568,23.85,11.373,-1,0
139,6.95,535.763,-24.389,26.57,547.178,-24.579,23.31,11.416,-1,0
140,7.0,535.394,-24.391,26.57,546.856,-24.59,23.18,11.463,-1,0
141,7.05,535.025,-24.394,26.57,546.535,-24.6,23.1,11.511,-1,0
142,7.1,534.656,-24.396,26.57,546.213,-24.61,23.22,11.559,-1,0
143,7.15,534.287,-24.398,26.57,545.89,-24.619,23.33,11.605,-1,0
144,7.2,533.918,-24.4,26.57,545.562,-24.628,23.84,11.646,-1,0
145,7.25,533.549,-24.402,26.57,545.226,-24.636,24.42,11.679,-1,0
146,7.3,533.18,-24.405,26.57,544.881,-24.64,25.08,11.703,-1,0
147,7.35,532.811,-24.407,26.57,544.529,-24.644,25.53,11.72,-1,0
148,7.4,532.443,-24.409,26.57,544.172,-24.645,25.74,11.732,-1,0
149,7.45,532.074,-24.411,26.57,543.817,-24.645,25.42,11.746,-1,0
150,7.5,531.705,-24.413,26.57,543.467,-24.643,25.02,11.765,-1,0
151,7.55,531.336,-24.416,26.57,543.126,-24.642,24.3,11.792,-1,0
152,7.6,530.967,-24.418,26.57,542.793,-24.641,23.75,11.828,-1,0
153,7.65,530.598,-24.42,26.57,542.468,-24.639,23.2,11.872,-1,0
154,7.7,530.229,-24.422,26.57,542.147,-24.638,23.09,11.92,-1,0
155,7.75,529.86,-24.424,26.57,541.827,-24.636,23.1,11.968,-1,0
156,7.8,529.491,-24.427,26.57,541.502,-24.635,23.59,12.013,-1,0
157,7.85,529.122,-24.429,26.57,541.17,-24.634,24.14,12.05,-1,0
158,7.9,528.753,-24.431,26.57,540.829,-24.634,24.72,12.078,-1,0
159,7.95,528.384,-24.433,26.57,540.485,-24.634,24.83,12.102,-1,0
160,8.0,528.015,-24.435,26.57,540.14,-24.633,24.72,12.127,-1,0
161,8.05,527.646,-24.438,26.57,539.801,-24.634,24.21,12.156,-1,0
162,8.1,527.277,-24.44,26.57,539.469,-24.633,23.7,12.193,-1,0
163,8.15,526.908,-24.442,26.57,539.147,-24.633,22.89,12.24,-1,0
164,8.2,526.539,-24.444,26.57,538.834,-24.632,22.29,12.296,-1,0
165,8.25,526.17,-24.446,26.57,538.53,-24.631,21.54,12.361,-1,0
166,8.3,525.802,-24.449,26.57,538.251,-24.631,18.33,12.451,-1,0
167,8.35,525.433,-24.451,26.57,538.037,-24.629,13.51,12.606,-1,0
168,8.4,525.064,-24.453,26.57,537.89,-24.628,8.67,12.828,-1,0
169,8.45,524.695,-24.455,26.57,537.763,-24.626,9.56,13.07,-1,0
170,8.5,524.326,-24.457,26.57,537.621,-24.624,10.68,13.297,-1,0
171,8.55,523.957,-24.46,26.57,537.462,-24.622,11.99,13.506,-1,0
172,8.6,523.588,-24.462,26.57,537.284,-24.619,13.28,13.697,-1,0
173,8.65,523.219,-24.464,26.57,537.089,-24.615,14.54,13.871,-1,0
174,8.7,522.85,-24.466,26.57,536.877,-24.61,15.79,14.027,-1,0
175,8.75,522.481,-24.468,26.57,536.647,-24.604,17.02,14.167,-1,0
176,8.8,522.112,-24.471,26.57,536.4,-24.598,18.26,14.289,-1,0
177,8.85,521.743,-24.473,26.57,536.136,-24.592,19.49,14.394,-1,0
178,8.9,521.374,-24.475,26.57,535.861,-24.584,19.93,14.487,-1,0
179,8.95,521.005,-24.477,26.57,535.58,-24.576,20.56,14.575,-1,0
180,9.0,520.636,-24.479,26.57,535.289,-24.569,21.28,14.653,-1,0
181,9.05,520.267,-24.482,26.57,534.984,-24.561,22.26,14.717,-1,0
182,9.1,519.898,-24.484,26.57,534.658,-24.553,24.15,14.759,-1,0
183,9.15,519.529,-24.486,26.57,534.317,-24.545,24.84,14.787,-1,0
184,9.2,519.161,-24.488,26.57,533.967,-24.537,25.33,14.807,-1,0
185,9.25,518.792,-24.49,26.57,533.616,-24.529,25.2,14.825,-1,0
186,9.3,518.423,-24.493,26.57,533.268,-24.521,24.92,14.846,-1,0
187,9.35,518.054,-24.495,26.57,532.928,-24.514,24.29,14.874,-1,0
188,9.4,517.685,-24.497,26.57,532.595,-24.507,23.75,14.91,-1,0
189,9.45,517.316,-24.499,26.57,532.272,-24.501,22.98,14.956,-1,0
190,9.5,516.947,-24.501,26.57,531.956,-24.496,22.6,15.009,-1,0
191,9.55,516.578,-24.504,26.57,531.645,-24.492,22.31,15.067,-1,0
192,9.6,516.209,-24.506,26.57,531.334,-24.489,22.45,15.125,-1,0
193,9.65,515.84,-24.508,26.57,531.02,-24.486,22.77,15.18,-1,0
194,9.7,515.471,-24.51,26.57,530.698,-24.484,23.52,15.227,-1,0
195,9.75,515.102,-24.512,26.57,530.364,-24.482,24.34,15.262,-1,0
196,9.8,514.733,-24.515,26.57,530.017,-24.48,25.47,15.284,-1,0
197,9.85,514.364,-24.517,26.57,529.655,-24.477,26.38,15.291,-1,0
198,9.9,513.995,-24.519,26.57,529.283,-24.473,26.96,15.288,143.346,0
199,9.95,513.626,-24.521,26.57,528.908,-24.47,27.05,15.282,116.118,0
200,10.0,513.258,-24.523,26.46,528.531,-24.467,27.15,15.273,79.881,0
201,10.05,512.893,-24.525,26.1,528.157,-24.464,26.78,15.264,80.741,0
202,10.1,512.546,-24.527,23.93,527.789,-24.462,26.33,15.242,22.891,0
203,10.15,512.242,-24.528,21.0,527.43,-24.46,25.53,15.188,12.077,0
204,10.2,511.978,-24.528,18.13,527.081,-24.459,24.85,15.103,8.097,0
205,10.25,511.755,-24.529,15.37,526.743,-24.458,23.97,14.989,6.274,0
206,10.3,511.57,-24.53,12.65,526.415,-24.459,23.51,14.845,4.923,0
207,10.35,511.422,-24.531,10.02,526.091,-24.46,23.17,14.669,4.016,0
208,10.4,511.31,-24.531,7.45,525.769,-24.463,23.27,14.459,3.291,0
209,10.45,511.233,-24.531,4.96,525.444,-24.466,23.55,14.211,2.753,0
210,10.5,511.189,-24.532,2.57,525.111,-24.47,24.26,13.923,2.31,0
211,10.55,511.175,-24.531,0.08,524.768,-24.475,25.05,13.592,1.959,0
212,10.6,511.176,-24.531,0.02,524.412,-24.482,25.99,13.235,1.835,0
213,10.65,511.176,-24.531,0.03,524.047,-24.491,26.35,12.872,1.76,0
214,10.7,511.174,-24.531,0.04,523.681,-24.501,26.37,12.507,1.709,0
215,10.75,511.172,-24.532,0.04,523.318,-24.512,25.91,12.146,1.69,0
216,10.8,511.169,-24.532,0.05,522.962,-24.523,25.45,11.793,1.671,0
217,10.85,511.167,-24.532,0.06,522.615,-24.533,24.76,11.448,1.668,0
218,10.9,511.164,-24.532,0.07,522.274,-24.542,24.42,11.11,1.642,0
219,10.95,511.161,-24.532,0.07,521.938,-24.551,24.17,10.777,1.61,0
220,11.0,511.158,-24.532,0.08,521.601,-24.559,24.33,10.443,1.55,0
221,11.05,511.155,-24.532,0.08,521.26,-24.566,24.67,10.106,1.48,0
222,11.1,511.152,-24.532,0.08,520.912,-24.573,25.43,9.76,1.386,0
223,11.15,511.149,-24.532,0.08,520.552,-24.581,26.25,9.403,1.294,0
224,11.2,511.146,-24.532,0.08,520.179,-24.589,27.21,9.033,1.199,0
225,11.25,511.143,-24.532,0.08,519.797,-24.594,27.58,8.654,1.133,0
226,11.3,511.141,-24.532,0.07,519.414,-24.596,27.58,8.273,1.083,0
227,11.35,511.139,-24.532,0.06,519.035,-24.596,27.11,7.896,1.051,0
228,11.4,511.137,-24.532,0.05,518.662,-24.593,26.58,7.526,1.021,0
229,11.45,511.136,-24.532,0.03,518.3,-24.587,25.8,7.164,1.001,0
230,11.5,511.135,-24.532,0.02,517.947,-24.58,25.18,6.812,0.975,0
231,11.55,511.135,-24.532,0.01,517.603,-24.57,24.56,6.469,0.949,0
232,11.6,511.134,-24.532,0.01,517.265,-24.558,24.29,6.13,0.909,0
233,11.65,511.135,-24.532,0.01,516.931,-24.541,23.97,5.796,0.871,0
234,11.7,511.135,-24.532,0.02,516.6,-24.51,23.93,5.465,0.823,0
235,11.75,511.136,-24.532,0.03,516.268,-24.472,24.25,5.132,0.763,0
236,11.8,511.139,-24.532,0.35,516.1,-24.435,6.97,4.962,2.698,1
237,11.85,511.145,-24.532,0.26,516.147,-24.421,1.77,5.003,11.899,0
238,11.9,511.151,-24.532,0.18,516.15,-24.419,0.02,5.0,-1,0
239,11.95,511.155,-24.532,0.1,516.151,-24.419,0.09,4.997,-1,0
240,12.0,511.158,-24.532,0.05,516.146,-24.419,0.89,4.99,21.515,0
241,12.05,511.16,-24.532,0.06,516.129,-24.418,1.53,4.971,12.139,0
242,12.1,511.16,-24.532,0.08,516.1,-24.414,2.59,4.941,7.11,0
243,12.15,511.16,-24.532,0.04,516.071,-24.409,0.53,4.913,36.565,1
244,12.2,511.16,-24.532,0.03,516.071,-24.406,0.12,4.913,187.438,1
245,12.25,511.159,-24.532,0.01,516.071,-24.404,0.11,4.913,178.226,1
246,12.3,511.159,-24.533,0.01,516.071,-24.402,0.11,4.914,175.395,1
247,12.35,511.159,-24.533,0.03,516.071,-24.401,0.11,4.914,213.906,1
248,12.4,511.158,-24.533,0.04,516.071,-24.399,0.11,4.915,245.204,1
249,12.45,511.158,-24.533,0.05,516.071,-24.397,0.11,4.916,278.24,1
250,12.5,511.157,-24.533,0.05,516.071,-24.395,0.11,4.916,291.39,1
251,12.55,511.157,-24.533,0.05,516.071,-24.393,0.11,4.917,293.444,1
252,12.6,511.157,-24.533,0.05,516.071,-24.391,0.12,4.917,261.088,1
253,12.65,511.156,-24.533,0.04,516.071,-24.389,0.12,4.917,231.19,1
254,12.7,511.156,-24.533,0.03,516.071,-24.388,0.1,4.917,250.663,1
255,12.75,511.156,-24.533,0.02,516.071,-24.386,0.09,4.917,265.592,1
256,12.8,511.156,-24.533,0.01,516.071,-24.385,0.09,4.917,222.982,1
257,12.85,511.156,-24.533,0.01,516.071,-24.383,0.09,4.917,216.92,1
258,12.9,511.156,-24.533,0.0,516.071,-24.382,0.09,4.917,204.428,1
259,12.95,511.156,-24.533,0.01,516.07,-24.38,0.09,4.917,202.277,1
260,13.0,511.156,-24.533,0.01,516.07,-24.379,0.09,4.917,212.912,1
261,13.05,511.156,-24.533,0.01,516.07,-24.377,0.09,4.917,232.595,1
262,13.1,511.156,-24.533,0.01,516.07,-24.376,0.08,4.917,244.547,1
263,13.15,511.156,-24.533,0.01,516.07,-24.374,0.1,4.917,210.492,1
264,13.2,511.156,-24.533,0.01,516.07,-24.373,0.09,4.917,211.81,1
265,13.25,511.156,-24.533,0.01,516.07,-24.371,0.09,4.917,214.73,1
266,13.3,511.155,-24.533,0.01,516.07,-24.37,0.09,4.917,200.003,1
267,13.35,511.155,-24.533,0.0,516.07,-24.368,0.09,4.917,195.49,1
268,13.4,511.155,-24.533,0.0,516.07,-24.367,0.09,4.917,199.547,1
269,13.45,511.155,-24.533,0.0,516.07,-24.365,0.1,4.917,185.114,1
270,13.5,511.155,-24.533,0.0,516.07,-24.364,0.09,4.917,212.589,1
271,13.55,511.155,-24.533,0.0,516.069,-24.362,0.09,4.917,214.413,1
272,13.6,511.155,-24.533,0.0,516.069,-24.361,0.08,4.917,228.129,1
273,13.65,511.155,-24.533,0.0,516.069,-24.36,0.08,4.918,225.266,1
274,13.7,511.155,-24.533,0.01,516.069,-24.358,0.12,4.917,154.455,1
275,13.75,511.155,-24.533,0.01,516.069,-24.356,0.12,4.917,156.929,1
276,13.8,511.155,-24.533,0.0,516.069,-24.355,0.1,4.917,192.137,1
277,13.85,511.155,-24.533,0.0,516.069,-24.353,0.06,4.917,291.529,1
278,13.9,511.155,-24.533,0.0,516.069,-24.353,0.05,4.917,424.551,1
279,13.95,511.155,-24.533,0.0,516.069,-24.352,0.01,4.917,2774.642,1
280,14.0,511.155,-24.534,0.0,516.069,-24.351,0.02,4.917,1164.284,1
281,14.05,511.155,-24.534,0.0,516.069,-24.351,0.01,4.917,1960.829,1
282,14.1,511.155,-24.534,0.0,516.069,-24.35,0.04,4.917,445.694,1
283,14.15,511.155,-24.534,0.0,516.069,-24.35,0.01,4.917,7388.396,1
284,14.2,511.155,-24.534,0.0,516.069,-24.35,0.0,4.917,47034.521,1
285,14.25,511.155,-24.534,0.0,516.069,-24.35,0.03,4.918,574.628,1
286,14.3,511.155,-24.534,0.0,516.069,-24.349,0.01,4.918,1566.022,1
