tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.246,-24.09,20.48,593.246,-24.016,20.5,10.0,1945.4,0
3,0.15,582.978,-24.092,19.77,593.062,-24.017,10.44,10.084,-1,0
4,0.2,582.709,-24.094,19.61,592.986,-24.018,2.79,10.277,-1,0
5,0.25,582.441,-24.096,19.27,592.98,-24.018,0.3,10.54,-1,0
6,0.3,582.172,-24.098,19.4,592.98,-24.018,0.65,10.809,-1,0
7,0.35,581.903,-24.1,19.36,592.98,-24.018,0.7,11.078,-1,0
8,0.4,581.632,-24.101,19.74,592.98,-24.018,0.62,11.348,-1,0
9,0.45,581.352,-24.104,20.56,592.979,-24.018,0.51,11.628,-1,0
10,0.5,581.057,-24.106,21.7,592.979,-24.018,0.39,11.923,-1,0
11,0.55,580.747,-24.108,22.76,592.979,-24.018,0.29,12.232,-1,0
12,0.6,580.42,-24.11,24.06,592.972,-24.018,1.53,12.552,-1,0
13,0.65,580.076,-24.113,25.21,592.924,-24.019,4.66,12.848,-1,0
14,0.7,579.716,-24.116,26.4,592.837,-24.021,7.07,13.122,-1,0
15,0.75,579.342,-24.118,27.24,592.721,-24.022,9.11,13.38,-1,0
16,0.8,578.957,-24.121,27.98,592.58,-24.024,10.81,13.623,-1,0
17,0.85,578.565,-24.124,28.35,592.417,-24.026,12.3,13.852,-1,0
18,0.9,578.169,-24.127,28.66,592.235,-24.028,13.69,14.066,-1,0
19,0.95,577.771,-24.13,28.69,592.034,-24.031,15.0,14.264,-1,0
20,1.0,577.372,-24.133,28.72,591.815,-24.034,16.28,14.443,-1,0
21,1.05,576.974,-24.136,28.55,591.578,-24.038,17.54,14.604,-1,0
22,1.1,576.579,-24.138,28.44,591.324,-24.042,18.78,14.746,-1,0
23,1.15,576.186,-24.141,28.18,591.054,-24.047,19.83,14.869,-1,0
24,1.2,575.796,-24.144,28.05,590.778,-24.051,20.06,14.982,-1,0
25,1.25,575.408,-24.147,27.79,590.493,-24.056,20.82,15.085,-1,0
26,1.3,575.023,-24.15,27.68,590.197,-24.062,21.66,15.174,-1,0
27,1.35,574.641,-24.153,27.47,589.887,-24.068,22.87,15.246,-1,0
28,1.4,574.26,-24.155,27.42,589.559,-24.075,24.19,15.3,-1,0
29,1.45,573.88,-24.158,27.27,589.214,-24.083,25.4,15.334,-1,0
30,1.5,573.501,-24.161,27.29,588.851,-24.091,26.56,15.35,-1,0
31,1.55,573.123,-24.164,27.2,588.471,-24.1,27.99,15.348,69.984,0
32,1.6,572.745,-24.167,27.27,588.071,-24.109,29.26,15.327,27.728,0
33,1.65,572.366,-24.169,27.22,587.653,-24.119,30.7,15.287,15.824,0
34,1.7,571.987,-24.172,27.32,587.216,-24.127,31.93,15.229,11.877,0
35,1.75,571.608,-24.175,27.29,586.763,-24.135,33.04,15.155,9.485,0
36,1.8,571.228,-24.178,27.4,586.299,-24.143,33.64,15.071,8.69,0
37,1.85,570.848,-24.18,27.37,585.827,-24.151,34.28,14.979,7.805,0
38,1.9,570.467,-24.183,27.47,585.346,-24.16,34.87,14.879,7.246,0
39,1.95,570.086,-24.186,27.44,584.856,-24.168,35.56,14.77,6.549,0
40,2.0,569.704,-24.189,27.53,584.358,-24.176,36.11,14.654,6.148,0
41,2.05,569.322,-24.192,27.48,583.851,-24.184,36.69,14.529,5.678,0
42,2.1,568.94,-24.194,27.56,583.338,-24.191,37.1,14.398,5.431,0
43,2.15,568.557,-24.197,27.5,582.82,-24.199,37.4,14.262,5.182,0
44,2.2,568.175,-24.2,27.56,582.302,-24.205,37.17,14.127,5.293,0
45,2.25,567.793,-24.203,27.49,581.79,-24.211,36.67,13.997,5.491,0
46,2.3,567.41,-24.206,27.55,581.287,-24.217,35.92,13.877,5.97,0
47,2.35,567.028,-24.208,27.48,580.793,-24.223,35.33,13.765,6.314,0
48,2.4,566.646,-24.211,27.53,580.309,-24.228,34.55,13.663,7.01,0
49,2.45,566.264,-24.214,27.46,579.833,-24.232,34.1,13.569,7.353,0
50,2.5,565.883,-24.217,27.52,579.364,-24.236,33.58,13.481,8.004,0
51,2.55,565.501,-24.219,27.45,578.901,-24.239,33.17,13.4,8.428,0
52,2.6,565.119,-24.222,27.51,578.445,-24.243,32.61,13.325,9.397,0
53,2.65,564.738,-24.225,27.44,577.996,-24.247,32.14,13.258,10.149,0
54,2.7,564.356,-24.228,27.5,577.555,-24.251,31.51,13.198,11.866,0
55,2.75,563.975,-24.231,27.44,577.121,-24.254,30.98,13.147,13.335,0
56,2.8,563.593,-24.233,27.5,576.697,-24.258,30.31,13.103,16.782,0
57,2.85,563.212,-24.236,27.44,576.28,-24.262,29.78,13.068,20.088,0
58,2.9,562.83,-24.239,27.5,575.872,-24.265,29.1,13.042,29.457,0
59,2.95,562.449,-24.242,27.44,575.472,-24.269,28.59,13.024,40.57,0
60,3.0,562.067,-24.245,27.51,575.08,-24.271,28.01,13.013,92.679,0
61,3.05,561.686,-24.247,27.44,574.695,-24.274,27.58,13.009,352.908,0
62,3.1,561.304,-24.25,27.51,574.316,-24.278,27.01,13.013,-1,0
63,3.15,560.922,-24.253,27.45,573.944,-24.281,26.71,13.022,-1,0
64,3.2,560.541,-24.256,27.51,573.576,-24.284,26.4,13.035,-1,0
65,3.25,560.159,-24.259,27.45,573.209,-24.288,26.41,13.05,-1,0
66,3.3,559.777,-24.261,27.51,572.844,-24.291,26.25,13.066,-1,0
67,3.35,559.396,-24.264,27.45,572.48,-24.294,26.16,13.084,-1,0
68,3.4,559.014,-24.267,27.51,572.119,-24.297,25.9,13.105,-1,0
69,3.45,558.633,-24.27,27.45,571.759,-24.3,25.83,13.127,-1,0
70,3.5,558.251,-24.272,27.51,571.403,-24.302,25.55,13.152,-1,0
71,3.55,557.869,-24.275,27.45,571.05,-24.305,25.35,13.181,-1,0
72,3.6,557.488,-24.278,27.51,570.7,-24.308,25.08,13.213,-1,0
73,3.65,557.106,-24.281,27.45,570.352,-24.31,25.13,13.246,-1,0
74,3.7,556.724,-24.284,27.51,570.001,-24.312,25.33,13.277,-1,0
75,3.75,556.343,-24.286,27.45,569.644,-24.315,25.97,13.302,-1,0
76,3.8,555.961,-24.289,27.51,569.278,-24.317,26.71,13.317,-1,0
77,3.85,555.579,-24.292,27.45,568.898,-24.321,27.71,13.319,184.646,0
78,3.9,555.198,-24.295,27.51,568.508,-24.324,28.3,13.31,60.3,0
79,3.95,554.816,-24.298,27.45,568.111,-24.327,28.67,13.295,39.099,0
80,4.0,554.434,-24.3,27.51,567.712,-24.33,28.79,13.278,37.267,0
81,4.05,554.053,-24.303,27.45,567.31,-24.335,29.05,13.257,29.756,0
82,4.1,553.671,-24.306,27.51,566.906,-24.34,29.09,13.235,30.095,0
83,4.15,553.29,-24.309,27.45,566.501,-24.344,29.25,13.211,26.339,0
84,4.2,552.908,-24.312,27.51,566.095,-24.349,29.24,13.187,27.489,0
85,4.25,552.526,-24.314,27.45,565.688,-24.355,29.37,13.161,24.603,0
86,4.3,552.145,-24.317,27.51,565.281,-24.36,29.28,13.136,26.744,0
87,4.35,551.763,-24.32,27.45,564.874,-24.365,29.25,13.111,26.149,0
88,4.4,551.381,-24.323,27.51,564.469,-24.371,29.18,13.088,28.211,0
89,4.45,551.0,-24.325,27.45,564.062,-24.375,29.38,13.062,24.263,0
90,4.5,550.618,-24.328,27.51,563.654,-24.38,29.39,13.036,25.035,0
91,4.55,550.236,-24.331,27.45,563.245,-24.384,29.39,13.009,24.087,0
92,4.6,549.855,-24.334,27.51,562.838,-24.389,29.26,12.984,26.653,0
93,4.65,549.473,-24.337,27.45,562.432,-24.393,29.27,12.959,25.583,0
94,4.7,549.091,-24.339,27.51,562.027,-24.396,29.07,12.936,29.897,0
95,4.75,548.71,-24.342,27.45,561.623,-24.399,29.05,12.914,29.0,0
96,4.8,548.328,-24.345,27.51,561.22,-24.403,29.04,12.892,30.341,0
97,4.85,547.947,-24.348,27.45,560.816,-24.407,29.19,12.869,26.635,0
98,4.9,547.565,-24.351,27.51,560.411,-24.411,29.08,12.846,29.515,0
99,4.95,547.183,-24.353,27.45,560.007,-24.415,29.09,12.824,28.017,0
100,5.0,546.802,-24.356,27.51,559.603,-24.419,29.12,12.802,28.694,0
101,5.05,546.42,-24.359,27.45,559.196,-24.422,29.38,12.777,23.805,0
102,5.1,546.038,-24.362,27.51,558.788,-24.426,29.42,12.75,24.038,0
103,5.15,545.657,-24.365,27.45,558.379,-24.43,29.45,12.722,22.807,0
104,5.2,545.275,-24.367,27.51,557.972,-24.433,29.22,12.697,26.708,0
105,5.25,544.893,-24.37,27.45,557.567,-24.436,29.07,12.674,28.006,0
106,5.3,544.512,-24.373,27.51,557.165,-24.438,28.89,12.654,33.034,0
107,5.35,544.13,-24.376,27.45,556.763,-24.441,28.94,12.633,30.488,0
108,5.4,543.748,-24.378,27.51,556.363,-24.444,28.8,12.614,35.269,0
109,5.45,543.367,-24.381,27.45,555.963,-24.446,28.77,12.596,34.252,0
110,5.5,542.985,-24.384,27.51,555.565,-24.449,28.54,12.58,43.983,0
111,5.55,542.604,-24.387,27.45,555.17,-24.451,28.36,12.567,49.633,0
112,5.6,542.222,-24.39,27.51,554.78,-24.453,27.97,12.558,99.44,0
113,5.65,541.84,-24.392,27.45,554.393,-24.456,27.72,12.553,162.069,0
114,5.7,541.459,-24.395,27.51,554.011,-24.458,27.38,12.553,-1,0
115,5.75,541.077,-24.398,27.45,553.632,-24.461,27.27,12.555,-1,0
116,5.8,540.695,-24.401,27.51,553.254,-24.464,27.18,12.559,-1,0
117,5.85,540.314,-24.404,27.45,552.875,-24.468,27.35,12.562,-1,0
118,5.9,539.932,-24.406,27.51,552.495,-24.472,27.48,12.563,-1,0
119,5.95,539.55,-24.409,27.45,552.11,-24.476,27.77,12.56,138.292,0
120,6.0,539.169,-24.412,27.51,551.723,-24.478,27.92,12.555,109.363,0
121,6.05,538.787,-24.415,27.45,551.334,-24.481,28.06,12.547,73.993,0
122,6.1,538.406,-24.418,27.51,550.946,-24.483,27.89,12.54,117.511,0
123,6.15,538.024,-24.42,27.45,550.559,-24.485,27.74,12.536,151.463,0
124,6.2,537.642,-24.423,27.51,550.177,-24.486,27.41,12.535,-1,0
125,6.25,537.261,-24.426,27.45,549.798,-24.487,27.23,12.537,-1,0
126,6.3,536.879,-24.429,27.51,549.422,-24.488,26.96,12.543,-1,0
127,6.35,536.497,-24.431,27.45,549.049,-24.489,26.78,12.552,-1,0
128,6.4,536.116,-24.434,27.51,548.679,-24.491,26.52,12.564,-1,0
129,6.45,535.734,-24.437,27.45,548.311,-24.492,26.58,12.577,-1,0
130,6.5,535.352,-24.44,27.51,547.94,-24.493,26.73,12.588,-1,0
131,6.55,534.971,-24.443,27.45,547.566,-24.494,27.18,12.595,-1,0
132,6.6,534.589,-24.445,27.51,547.184,-24.494,27.68,12.595,267.577,0
133,6.65,534.208,-24.448,27.45,546.795,-24.494,28.21,12.587,59.667,0
134,6.7,533.826,-24.451,27.51,546.401,-24.495,28.36,12.576,53.3,0
135,6.75,533.444,-24.454,27.45,546.007,-24.496,28.47,12.562,44.35,0
136,6.8,533.062,-24.457,27.51,545.612,-24.498,28.38,12.55,51.678,0
137,6.85,532.681,-24.459,27.45,545.217,-24.5,28.45,12.536,45.053,0
138,6.9,532.299,-24.462,27.51,544.823,-24.502,28.33,12.524,55.034,0
139,6.95,531.918,-24.465,27.45,544.43,-24.504,28.22,12.513,58.058,0
140,7.0,531.536,-24.468,27.51,544.041,-24.506,27.91,12.505,112.973,0
141,7.05,531.154,-24.471,27.45,543.655,-24.507,27.73,12.5,156.108,0
142,7.1,530.773,-24.473,27.51,543.273,-24.508,27.36,12.5,-1,0
143,7.15,530.391,-24.476,27.45,542.895,-24.508,27.15,12.503,-1,0
144,7.2,530.009,-24.479,27.51,542.52,-24.508,26.85,12.511,-1,0
145,7.25,529.628,-24.482,27.45,542.148,-24.509,26.72,12.52,-1,0
146,7.3,529.246,-24.484,27.51,541.779,-24.51,26.5,12.533,-1,0
147,7.35,528.865,-24.487,27.45,541.411,-24.51,26.53,12.546,-1,0
148,7.4,528.483,-24.49,27.51,541.044,-24.511,26.39,12.561,-1,0
149,7.45,528.101,-24.493,27.45,540.677,-24.512,26.37,12.576,-1,0
150,7.5,527.72,-24.496,27.51,540.313,-24.513,26.12,12.593,-1,0
151,7.55,527.338,-24.498,27.45,539.951,-24.513,26.03,12.613,-1,0
152,7.6,526.956,-24.501,27.51,539.591,-24.514,25.82,12.635,-1,0
153,7.65,526.575,-24.504,27.45,539.234,-24.515,25.67,12.659,-1,0
154,7.7,526.193,-24.507,27.51,538.88,-24.517,25.32,12.687,-1,0
155,7.75,525.811,-24.51,27.45,538.53,-24.519,25.07,12.719,-1,0
156,7.8,525.43,-24.512,27.51,538.186,-24.522,24.64,12.756,-1,0
157,7.85,525.048,-24.515,27.45,537.846,-24.526,24.34,12.798,-1,0
158,7.9,524.666,-24.518,27.51,537.512,-24.53,23.87,12.845,-1,0
159,7.95,524.285,-24.521,27.45,537.183,-24.533,23.55,12.898,-1,0
160,8.0,523.903,-24.524,27.51,536.86,-24.536,23.05,12.957,-1,0
161,8.05,523.522,-24.526,27.45,536.542,-24.538,22.73,13.021,-1,0
162,8.1,523.14,-24.529,27.51,536.231,-24.54,22.24,13.091,-1,0
163,8.15,522.758,-24.532,27.45,535.924,-24.541,22.02,13.166,-1,0
164,8.2,522.377,-24.535,27.51,535.62,-24.542,21.84,13.243,-1,0
165,8.25,521.995,-24.537,27.45,535.315,-24.543,22.1,13.32,-1,0
166,8.3,521.613,-24.54,27.51,535.005,-24.545,22.47,13.392,-1,0
167,8.35,521.232,-24.543,27.45,534.688,-24.545,23.01,13.457,-1,0
168,8.4,520.85,-24.546,27.51,534.365,-24.545,23.53,13.515,-1,0
169,8.45,520.468,-24.549,27.45,534.03,-24.546,24.44,13.562,-1,0
170,8.5,520.087,-24.551,27.51,533.683,-24.547,25.37,13.597,-1,0
171,8.55,519.705,-24.554,27.45,533.321,-24.549,26.5,13.616,-1,0
172,8.6,519.323,-24.557,27.51,532.947,-24.551,27.28,13.623,-1,0
173,8.65,518.942,-24.56,27.45,532.561,-24.553,28.11,13.619,73.79,0
174,8.7,518.56,-24.563,27.51,532.166,-24.554,28.66,13.605,42.447,0
175,8.75,518.179,-24.565,27.45,531.762,-24.555,29.27,13.584,26.833,0
176,8.8,517.797,-24.568,27.51,531.354,-24.557,29.51,13.557,24.408,0
177,8.85,517.415,-24.571,27.45,530.942,-24.559,29.75,13.526,21.093,0
178,8.9,517.034,-24.574,27.51,530.529,-24.561,29.71,13.495,22.046,0
179,8.95,516.652,-24.577,27.45,530.115,-24.562,29.79,13.463,20.687,0
180,9.0,516.27,-24.579,27.51,529.702,-24.563,29.78,13.432,21.32,0
181,9.05,515.889,-24.582,27.45,529.287,-24.563,29.92,13.398,19.526,0
182,9.1,515.507,-24.585,27.51,528.871,-24.563,29.94,13.364,19.796,0
183,9.15,515.125,-24.588,27.45,528.455,-24.563,30.07,13.329,18.308,0
184,9.2,514.744,-24.59,27.51,528.037,-24.563,30.03,13.293,18.968,0
185,9.25,514.362,-24.593,27.45,527.62,-24.563,30.07,13.258,18.194,0
186,9.3,513.98,-24.596,27.51,527.203,-24.563,29.93,13.223,19.674,0
187,9.35,513.599,-24.599,27.45,526.788,-24.563,29.86,13.189,19.667,0
188,9.4,513.217,-24.602,27.51,526.376,-24.563,29.61,13.158,22.611,0
189,9.45,512.836,-24.604,27.45,525.966,-24.564,29.41,13.13,24.023,0
190,9.5,512.454,-24.607,27.51,525.56,-24.564,29.04,13.107,30.856,0
191,9.55,512.072,-24.61,27.45,525.159,-24.565,28.79,13.087,35.002,0
192,9.6,511.691,-24.613,27.51,524.762,-24.565,28.46,13.072,49.616,0
193,9.65,511.309,-24.616,27.45,524.369,-24.566,28.18,13.06,63.718,0
194,9.7,510.927,-24.618,27.51,523.981,-24.567,27.72,13.054,221.155,0
195,9.75,510.546,-24.621,27.45,523.599,-24.568,27.48,13.053,1543.179,0
196,9.8,510.164,-24.624,27.51,523.219,-24.57,27.24,13.055,-1,0
197,9.85,509.783,-24.627,27.45,522.841,-24.571,27.22,13.059,-1,0
198,9.9,509.401,-24.63,27.51,522.464,-24.572,27.11,13.063,-1,0
199,9.95,509.019,-24.632,27.45,522.086,-24.572,27.22,13.067,-1,0
200,10.0,508.638,-24.635,27.42,521.709,-24.573,27.15,13.071,-1,0
201,10.05,508.261,-24.638,26.98,521.331,-24.573,27.24,13.071,179.734,0
202,10.1,507.89,-24.641,26.49,520.952,-24.573,27.33,13.063,56.05,0
203,10.15,507.528,-24.643,25.71,520.571,-24.573,27.51,13.043,26.027,0
204,10.2,507.177,-24.646,25.05,520.188,-24.573,27.62,13.011,18.214,0
205,10.25,506.836,-24.648,24.15,519.801,-24.573,28.01,12.965,12.085,0
206,10.3,506.507,-24.651,23.44,519.41,-24.572,28.23,12.904,9.703,0
207,10.35,506.189,-24.653,22.5,519.016,-24.573,28.52,12.827,7.663,0
208,10.4,505.885,-24.655,20.85,518.62,-24.573,28.49,12.734,6.004,0
209,10.45,505.636,-24.657,16.02,518.224,-24.573,28.42,12.588,3.656,0
210,10.5,505.455,-24.658,11.17,517.832,-24.573,28.16,12.377,2.624,0
211,10.55,505.34,-24.659,6.35,517.442,-24.573,27.98,12.102,2.014,0
212,10.6,505.292,-24.66,1.59,517.056,-24.573,27.66,11.765,1.625,0
213,10.65,505.29,-24.66,0.0,516.673,-24.573,27.52,11.383,1.489,0
214,10.7,505.29,-24.66,0.0,516.294,-24.574,27.2,11.004,1.456,0
215,10.75,505.29,-24.66,0.0,515.917,-24.574,27.04,10.628,1.415,0
216,10.8,505.289,-24.66,0.0,515.545,-24.575,26.66,10.256,1.385,0
217,10.85,505.289,-24.66,0.0,515.177,-24.575,26.34,9.888,1.352,0
218,10.9,505.289,-24.66,0.0,514.816,-24.575,25.68,9.528,1.336,0
219,10.95,505.289,-24.66,0.0,514.465,-24.574,25.07,9.176,1.318,0
220,11.0,505.289,-24.66,0.0,514.124,-24.573,24.13,8.836,1.318,0
221,11.05,505.289,-24.66,0.0,513.796,-24.572,23.38,8.507,1.31,0
222,11.1,505.289,-24.66,0.0,513.484,-24.57,21.24,8.196,1.389,0
223,11.15,505.289,-24.66,0.0,513.23,-24.569,16.42,7.941,1.741,0
224,11.2,505.289,-24.66,0.0,513.042,-24.568,11.56,7.754,2.414,0
225,11.25,505.289,-24.66,0.0,512.922,-24.568,6.74,7.634,4.079,0
226,11.3,505.289,-24.66,0.0,512.869,-24.568,1.96,7.581,13.895,0
227,11.35,505.289,-24.66,0.0,512.864,-24.568,0.0,7.576,14931.449,0
228,11.4,505.289,-24.66,0.0,512.864,-24.568,0.0,7.576,9825.184,0
229,11.45,505.289,-24.66,0.0,512.864,-24.568,0.0,7.575,10185.68,0
230,11.5,505.289,-24.66,0.0,512.863,-24.568,0.0,7.575,12208.242,0
231,11.55,505.289,-24.66,0.0,512.863,-24.568,0.0,7.575,15583.863,0
232,11.6,505.289,-24.66,0.0,512.863,-24.568,0.0,7.575,20497.091,0
233,11.65,505.289,-24.66,0.0,512.863,-24.568,0.0,7.575,27679.043,0
234,11.7,505.289,-24.66,0.0,512.863,-24.568,0.0,7.575,37868.85,0
235,11.75,505.289,-24.66,0.0,512.863,-24.568,0.0,7.574,144720.099,0
236,11.8,505.289,-24.66,0.0,512.863,-24.568,0.0,7.574,86172.858,0
237,11.85,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,89300.247,0
238,11.9,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,107577.598,0
239,11.95,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,137562.345,0
240,12.0,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,180391.775,0
241,12.05,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,241146.174,0
242,12.1,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,327105.308,0
243,12.15,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,434949.723,0
244,12.2,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,868221.229,0
245,12.25,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,807780.433,0
246,12.3,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,942583.194,0
247,12.35,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,1210035.679,0
248,12.4,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,1617879.133,0
249,12.45,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,2089839.438,0
250,12.5,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,2109789.459,0
251,12.55,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,3097785.229,0
252,12.6,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,9418338.193,0
253,12.65,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,4164351.453,0
254,12.7,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,4613138.554,0
255,12.75,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,3897664.021,0
256,12.8,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,4557797.676,0
257,12.85,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,11245481.13,0
258,12.9,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,6797425.917,0
259,12.95,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,5694032.153,0
260,13.0,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,-1,0
261,13.05,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,27167140.395,0
262,13.1,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,50872210.861,0
263,13.15,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,38385954.713,0
264,13.2,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,8653570.37,0
265,13.25,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,10682257.192,0
266,13.3,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,7704154.625,0
267,13.35,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,11496240.112,0
268,13.4,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,5156178.21,0
269,13.45,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,78768876.461,0
270,13.5,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,41797075.101,0
271,13.55,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,11017351.434,0
272,13.6,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,15883403.422,0
273,13.65,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,10877438.339,0
274,13.7,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,9314063.551,0
275,13.75,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,5259342.756,0
276,13.8,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,6018567.865,0
277,13.85,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,198448977.844,0
278,13.9,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,31754717.79,0
279,13.95,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,10171944.126,0
280,14.0,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,12017878.678,0
281,14.05,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,9016579.363,0
282,14.1,505.289,-24.66,0.0,512.862,-24.568,0.0,7.574,5593034.262,0
