tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,collision_detected
0,0.0,583.797,-24.086,21.21,593.797,-24.012,21.21,10.0,-1,0
1,0.05,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0
2,0.1,583.246,-24.09,20.48,593.246,-24.017,20.48,10.0,-1,0
3,0.15,582.978,-24.092,19.77,592.978,-24.02,19.77,10.0,-1,0
4,0.2,582.709,-24.094,19.61,592.709,-24.024,19.6,10.0,-1,0
5,0.25,582.441,-24.096,19.27,592.441,-24.029,19.26,10.0,-1,0
6,0.3,582.172,-24.098,19.4,592.172,-24.034,19.39,10.0,-1,0
7,0.35,581.903,-24.1,19.36,591.903,-24.039,19.36,10.0,-1,0
8,0.4,581.632,-24.101,19.74,591.634,-24.044,19.42,10.002,-1,0
9,0.45,581.352,-24.104,20.56,591.364,-24.049,19.66,10.012,-1,0
10,0.5,581.057,-24.106,21.7,591.083,-24.053,20.7,10.026,-1,0
11,0.55,580.747,-24.108,22.76,590.788,-24.057,21.62,10.041,-1,0
12,0.6,580.42,-24.11,24.06,590.478,-24.062,22.83,10.058,-1,0
13,0.65,580.076,-24.113,25.21,590.152,-24.066,23.97,10.075,-1,0
14,0.7,579.716,-24.116,26.4,589.807,-24.071,25.37,10.091,-1,0
15,0.75,579.342,-24.118,27.24,589.443,-24.074,26.81,10.101,-1,0
16,0.8,578.957,-24.121,27.98,589.06,-24.077,28.12,10.102,261.537,0
17,0.85,578.565,-24.124,28.35,588.659,-24.078,29.35,10.093,36.245,0
18,0.9,578.169,-24.127,28.66,588.239,-24.078,30.78,10.07,17.088,0
19,0.95,577.771,-24.13,28.69,587.801,-24.076,32.08,10.03,10.632,0
20,1.0,577.372,-24.133,28.72,587.344,-24.072,33.39,9.972,7.696,0
21,1.05,576.974,-24.136,28.55,586.874,-24.067,34.15,9.9,6.362,0
22,1.1,576.579,-24.138,28.44,586.393,-24.064,34.87,9.815,5.495,0
23,1.15,576.186,-24.141,28.18,585.907,-24.063,34.98,9.722,5.147,0
24,1.2,575.796,-24.144,28.05,585.423,-24.067,34.74,9.628,5.182,0
25,1.25,575.408,-24.147,27.79,584.946,-24.071,34.04,9.538,5.492,0
26,1.3,575.023,-24.15,27.68,584.48,-24.075,33.3,9.457,6.056,0
27,1.35,574.641,-24.153,27.47,584.025,-24.078,32.3,9.385,6.999,0
28,1.4,574.26,-24.155,27.42,583.585,-24.079,31.38,9.325,8.473,0
29,1.45,573.88,-24.158,27.27,583.158,-24.081,30.25,9.278,11.216,0
30,1.5,573.501,-24.161,27.29,582.746,-24.083,29.29,9.245,16.657,0
31,1.55,573.123,-24.164,27.2,582.349,-24.085,28.12,9.227,36.253,0
32,1.6,572.745,-24.167,27.27,581.967,-24.083,27.15,9.223,-1,0
33,1.65,572.366,-24.169,27.22,581.599,-24.08,26.0,9.233,-1,0
34,1.7,571.987,-24.172,27.32,581.246,-24.075,25.08,9.259,-1,0
35,1.75,571.608,-24.175,27.29,580.907,-24.07,24.03,9.299,-1,0
36,1.8,571.228,-24.178,27.4,580.578,-24.067,23.47,9.35,-1,0
37,1.85,570.848,-24.18,27.37,580.256,-24.063,23.04,9.409,-1,0
38,1.9,570.467,-24.183,27.47,579.936,-24.059,23.07,9.47,-1,0
39,1.95,570.086,-24.186,27.44,579.614,-24.056,23.28,9.529,-1,0
40,2.0,569.704,-24.189,27.53,579.286,-24.056,23.93,9.583,-1,0
41,2.05,569.322,-24.192,27.48,578.947,-24.058,24.68,9.626,-1,0
42,2.1,568.94,-24.194,27.56,578.596,-24.064,25.75,9.657,-1,0
43,2.15,568.557,-24.197,27.5,578.229,-24.071,26.81,9.673,-1,0
44,2.2,568.175,-24.2,27.56,577.846,-24.081,28.11,9.672,63.449,0
45,2.25,567.793,-24.203,27.49,577.446,-24.09,29.32,9.654,18.982,0
46,2.3,567.41,-24.206,27.55,577.027,-24.099,30.64,9.617,11.208,0
47,2.35,567.028,-24.208,27.48,576.595,-24.109,31.4,9.567,8.789,0
48,2.4,566.646,-24.211,27.53,576.155,-24.118,31.8,9.509,8.026,0
49,2.45,566.264,-24.214,27.46,575.715,-24.126,31.6,9.451,8.211,0
50,2.5,565.883,-24.217,27.52,575.279,-24.131,31.2,9.397,9.179,0
51,2.55,565.501,-24.219,27.45,574.852,-24.135,30.41,9.352,11.362,0
52,2.6,565.119,-24.222,27.51,574.436,-24.138,29.75,9.317,14.975,0
53,2.65,564.738,-24.225,27.44,574.028,-24.141,29.16,9.29,19.427,0
54,2.7,564.356,-24.228,27.5,573.625,-24.139,28.86,9.269,24.471,0
55,2.75,563.975,-24.231,27.44,573.229,-24.135,28.27,9.255,39.813,0
56,2.8,563.593,-24.233,27.5,572.841,-24.13,27.65,9.249,218.654,0
57,2.85,563.212,-24.236,27.44,572.465,-24.124,26.71,9.254,-1,0
58,2.9,562.83,-24.239,27.5,572.101,-24.118,25.91,9.272,-1,0
59,2.95,562.449,-24.242,27.44,571.75,-24.112,24.86,9.302,-1,0
60,3.0,562.067,-24.245,27.51,571.411,-24.109,24.09,9.345,-1,0
61,3.05,561.686,-24.247,27.44,571.083,-24.105,23.37,9.399,-1,0
62,3.1,561.304,-24.25,27.51,570.761,-24.101,23.14,9.458,-1,0
63,3.15,560.922,-24.253,27.45,570.441,-24.097,23.04,9.519,-1,0
64,3.2,560.541,-24.256,27.51,570.118,-24.092,23.42,9.578,-1,0
65,3.25,560.159,-24.259,27.45,569.788,-24.087,23.95,9.631,-1,0
66,3.3,559.777,-24.261,27.51,569.448,-24.083,24.87,9.672,-1,0
67,3.35,559.396,-24.264,27.45,569.095,-24.078,25.8,9.701,-1,0
68,3.4,559.014,-24.267,27.51,568.727,-24.074,26.84,9.715,-1,0
69,3.45,558.633,-24.27,27.45,568.349,-24.07,27.47,9.719,1796.419,0
70,3.5,558.251,-24.272,27.51,567.963,-24.066,28.0,9.715,71.815,0
71,3.55,557.869,-24.275,27.45,567.572,-24.062,28.22,9.705,44.998,0
72,3.6,557.488,-24.278,27.51,567.18,-24.059,28.2,9.695,50.662,0
73,3.65,557.106,-24.281,27.45,566.792,-24.055,27.71,9.689,129.951,0
74,3.7,556.724,-24.284,27.51,566.412,-24.053,27.17,9.69,-1,0
75,3.75,556.343,-24.286,27.45,566.041,-24.052,26.32,9.702,-1,0
76,3.8,555.961,-24.289,27.51,565.682,-24.05,25.6,9.724,-1,0
77,3.85,555.579,-24.292,27.45,565.335,-24.05,24.61,9.758,-1,0
78,3.9,555.198,-24.295,27.51,564.999,-24.051,23.87,9.805,-1,0
79,3.95,554.816,-24.298,27.45,564.674,-24.056,23.15,9.861,-1,0
80,4.0,554.434,-24.3,27.51,564.355,-24.064,22.93,9.923,-1,0
81,4.05,554.053,-24.303,27.45,564.038,-24.074,22.85,9.987,-1,0
82,4.1,553.671,-24.306,27.51,563.718,-24.087,23.23,10.049,-1,0
83,4.15,553.29,-24.309,27.45,563.391,-24.105,23.77,10.104,-1,0
84,4.2,552.908,-24.312,27.51,563.054,-24.124,24.69,10.148,-1,0
85,4.25,552.526,-24.314,27.45,562.704,-24.146,25.64,10.179,-1,0
86,4.3,552.145,-24.317,27.51,562.339,-24.171,26.86,10.195,-1,0
87,4.35,551.763,-24.32,27.45,561.957,-24.2,28.01,10.195,64.876,0
88,4.4,551.381,-24.323,27.51,561.558,-24.232,29.39,10.177,19.484,0
89,4.45,551.0,-24.325,27.45,561.141,-24.266,30.66,10.141,11.369,0
90,4.5,550.618,-24.328,27.51,560.705,-24.301,32.02,10.087,8.059,0
91,4.55,550.236,-24.331,27.45,560.255,-24.338,32.77,10.018,6.777,0
92,4.6,549.855,-24.334,27.51,559.798,-24.374,33.0,9.944,6.527,0
93,4.65,549.473,-24.337,27.45,559.344,-24.404,32.62,9.871,6.862,0
94,4.7,549.091,-24.339,27.51,558.896,-24.429,32.08,9.805,7.723,0
95,4.75,548.71,-24.342,27.45,558.458,-24.45,31.23,9.749,9.284,0
96,4.8,548.328,-24.345,27.51,558.032,-24.464,30.41,9.704,12.047,0
97,4.85,547.947,-24.348,27.45,557.618,-24.474,29.46,9.672,17.279,0
98,4.9,547.565,-24.351,27.51,557.213,-24.478,28.92,9.649,24.641,0
99,4.95,547.183,-24.353,27.45,556.816,-24.479,28.47,9.633,33.876,0
100,5.0,546.802,-24.356,27.51,556.422,-24.478,28.35,9.621,41.24,0
101,5.05,546.42,-24.359,27.45,556.028,-24.475,28.34,9.609,38.895,0
102,5.1,546.038,-24.362,27.51,555.633,-24.471,28.5,9.596,35.001,0
103,5.15,545.657,-24.365,27.45,555.237,-24.464,28.53,9.581,31.672,0
104,5.2,545.275,-24.367,27.51,554.841,-24.454,28.43,9.567,37.289,0
105,5.25,544.893,-24.37,27.45,554.451,-24.442,27.9,9.558,76.031,0
106,5.3,544.512,-24.373,27.51,554.068,-24.429,27.32,9.557,-1,0
107,5.35,544.13,-24.376,27.45,553.696,-24.415,26.44,9.566,-1,0
108,5.4,543.748,-24.378,27.51,553.336,-24.401,25.69,9.587,-1,0
109,5.45,543.367,-24.381,27.45,552.988,-24.388,24.69,9.621,-1,0
110,5.5,542.985,-24.384,27.51,552.651,-24.375,23.95,9.666,-1,0
111,5.55,542.604,-24.387,27.45,552.325,-24.364,23.23,9.722,-1,0
112,5.6,542.222,-24.39,27.51,552.005,-24.355,22.98,9.783,-1,0
113,5.65,541.84,-24.392,27.45,551.688,-24.346,22.85,9.847,-1,0
114,5.7,541.459,-24.395,27.51,551.368,-24.338,23.19,9.909,-1,0
115,5.75,541.077,-24.398,27.45,551.042,-24.331,23.69,9.965,-1,0
116,5.8,540.695,-24.401,27.51,550.706,-24.326,24.57,10.011,-1,0
117,5.85,540.314,-24.404,27.45,550.357,-24.322,25.49,10.043,-1,0
118,5.9,539.932,-24.406,27.51,549.993,-24.318,26.7,10.061,-1,0
119,5.95,539.55,-24.409,27.45,549.612,-24.317,27.84,10.062,91.231,0
120,6.0,539.169,-24.412,27.51,549.214,-24.318,29.2,10.046,21.401,0
121,6.05,538.787,-24.415,27.45,548.798,-24.322,30.46,10.011,11.974,0
122,6.1,538.406,-24.418,27.51,548.363,-24.329,31.9,9.958,8.169,0
123,6.15,538.024,-24.42,27.45,547.91,-24.337,33.07,9.887,6.325,0
124,6.2,537.642,-24.423,27.51,547.445,-24.345,33.66,9.803,5.735,0
125,6.25,537.261,-24.426,27.45,546.978,-24.355,33.53,9.718,5.745,0
126,6.3,536.879,-24.429,27.51,546.516,-24.364,33.14,9.637,6.165,0
127,6.35,536.497,-24.431,27.45,546.062,-24.373,32.39,9.565,6.97,0
128,6.4,536.116,-24.434,27.51,545.618,-24.382,31.64,9.503,8.28,0
129,6.45,535.734,-24.437,27.45,545.187,-24.391,30.63,9.453,10.681,0
130,6.5,535.352,-24.44,27.51,544.769,-24.397,29.73,9.417,15.256,0
131,6.55,534.971,-24.443,27.45,544.366,-24.402,28.62,9.395,28.892,0
132,6.6,534.589,-24.445,27.51,543.976,-24.404,27.68,9.387,200.832,0
133,6.65,534.208,-24.448,27.45,543.602,-24.404,26.53,9.394,-1,0
134,6.7,533.826,-24.451,27.51,543.241,-24.402,25.62,9.415,-1,0
135,6.75,533.444,-24.454,27.45,542.894,-24.399,24.57,9.45,-1,0
136,6.8,533.062,-24.457,27.51,542.558,-24.396,24.01,9.495,-1,0
137,6.85,532.681,-24.459,27.45,542.228,-24.393,23.59,9.547,-1,0
138,6.9,532.299,-24.462,27.51,541.9,-24.387,23.63,9.601,-1,0
139,6.95,531.918,-24.465,27.45,541.57,-24.382,23.85,9.653,-1,0
140,7.0,531.536,-24.468,27.51,541.234,-24.375,24.51,9.698,-1,0
141,7.05,531.154,-24.471,27.45,540.887,-24.366,25.27,9.734,-1,0
142,7.1,530.773,-24.473,27.51,540.528,-24.358,26.28,9.756,-1,0
143,7.15,530.391,-24.476,27.45,540.157,-24.351,26.98,9.767,-1,0
144,7.2,530.009,-24.479,27.51,539.776,-24.345,27.69,9.767,194.321,0
145,7.25,529.628,-24.482,27.45,539.39,-24.34,27.83,9.763,91.233,0
146,7.3,529.246,-24.484,27.51,539.004,-24.335,27.69,9.759,199.842,0
147,7.35,528.865,-24.487,27.45,538.624,-24.331,27.1,9.761,-1,0
148,7.4,528.483,-24.49,27.51,538.252,-24.327,26.54,9.771,-1,0
149,7.45,528.101,-24.493,27.45,537.891,-24.323,25.69,9.791,-1,0
150,7.5,527.72,-24.496,27.51,537.54,-24.318,24.97,9.822,-1,0
151,7.55,527.338,-24.498,27.45,537.202,-24.31,23.98,9.866,-1,0
152,7.6,526.956,-24.501,27.51,536.875,-24.302,23.26,9.921,-1,0
153,7.65,526.575,-24.504,27.45,536.558,-24.294,22.56,9.986,-1,0
154,7.7,526.193,-24.507,27.51,536.247,-24.285,22.34,10.057,-1,0
155,7.75,525.811,-24.51,27.45,535.938,-24.276,22.25,10.129,-1,0
156,7.8,525.43,-24.512,27.51,535.626,-24.267,22.64,10.199,-1,0
157,7.85,525.048,-24.515,27.45,535.308,-24.26,23.16,10.263,-1,0
158,7.9,524.666,-24.518,27.51,534.979,-24.255,24.08,10.315,-1,0
159,7.95,524.285,-24.521,27.45,534.636,-24.249,25.02,10.355,-1,0
160,8.0,523.903,-24.524,27.51,534.279,-24.245,26.25,10.379,-1,0
161,8.05,523.522,-24.526,27.45,533.906,-24.241,27.21,10.388,-1,0
162,8.1,523.14,-24.529,27.51,533.522,-24.237,27.81,10.386,124.675,0
163,8.15,522.758,-24.532,27.45,533.136,-24.233,27.73,10.382,132.862,0
164,8.2,522.377,-24.535,27.51,532.753,-24.229,27.43,10.381,-1,0
165,8.25,521.995,-24.537,27.45,532.377,-24.227,26.79,10.387,-1,0
166,8.3,521.613,-24.54,27.51,532.01,-24.226,26.2,10.402,-1,0
167,8.35,521.232,-24.543,27.45,531.654,-24.225,25.32,10.427,-1,0
168,8.4,520.85,-24.546,27.51,531.308,-24.224,24.65,10.463,-1,0
169,8.45,520.468,-24.549,27.45,530.971,-24.225,24.01,10.508,-1,0
170,8.5,520.087,-24.551,27.51,530.64,-24.225,23.84,10.558,-1,0
171,8.55,519.705,-24.554,27.45,530.309,-24.225,23.8,10.609,-1,0
172,8.6,519.323,-24.557,27.51,529.975,-24.225,24.24,10.657,-1,0
173,8.65,518.942,-24.56,27.45,529.634,-24.225,24.81,10.697,-1,0
174,8.7,518.56,-24.563,27.51,529.282,-24.223,25.76,10.727,-1,0
175,8.75,518.179,-24.565,27.45,528.916,-24.219,26.72,10.743,-1,0
176,8.8,517.797,-24.568,27.51,528.535,-24.216,27.95,10.744,87.789,0
177,8.85,517.415,-24.571,27.45,528.137,-24.213,29.12,10.727,23.129,0
178,8.9,517.034,-24.574,27.51,527.721,-24.211,30.49,10.693,12.925,0
179,8.95,516.652,-24.577,27.45,527.287,-24.21,31.68,10.642,9.052,0
180,9.0,516.27,-24.579,27.51,526.84,-24.21,32.46,10.576,7.69,0
181,9.05,515.889,-24.582,27.45,526.388,-24.213,32.49,10.506,7.498,0
182,9.1,515.507,-24.585,27.51,525.939,-24.217,32.22,10.438,7.982,0
183,9.15,515.125,-24.588,27.45,525.497,-24.222,31.52,10.378,9.177,0
184,9.2,514.744,-24.59,27.51,525.065,-24.226,30.81,10.328,11.257,0
185,9.25,514.362,-24.593,27.45,524.646,-24.23,29.83,10.29,15.518,0
186,9.3,513.98,-24.596,27.51,524.238,-24.232,29.06,10.264,23.867,0
187,9.35,513.599,-24.599,27.45,523.841,-24.234,28.39,10.248,39.228,0
188,9.4,513.217,-24.602,27.51,523.448,-24.233,28.18,10.238,54.697,0
189,9.45,512.836,-24.604,27.45,523.058,-24.233,28.16,10.229,51.555,0
190,9.5,512.454,-24.607,27.51,522.663,-24.231,28.59,10.216,33.986,0
191,9.55,512.072,-24.61,27.45,522.261,-24.228,29.17,10.196,21.236,0
192,9.6,511.691,-24.613,27.51,521.848,-24.226,30.11,10.165,14.067,0
193,9.65,511.309,-24.616,27.45,521.423,-24.224,31.01,10.121,10.223,0
194,9.7,510.927,-24.618,27.51,520.986,-24.224,31.66,10.066,8.725,0
195,9.75,510.546,-24.621,27.45,520.546,-24.228,31.64,10.008,8.596,0
196,9.8,510.164,-24.624,27.51,520.108,-24.234,31.34,9.952,9.355,0
197,9.85,509.783,-24.627,27.45,519.679,-24.241,30.63,9.904,11.201,0
198,9.9,509.401,-24.63,27.51,519.259,-24.248,30.02,9.866,14.172,0
199,9.95,509.019,-24.632,27.45,518.847,-24.255,29.47,9.835,17.463,0
200,10.0,508.638,-24.635,27.42,518.439,-24.262,29.37,9.808,18.106,0
201,10.05,508.261,-24.638,26.98,518.031,-24.27,29.37,9.778,14.764,0
202,10.1,507.89,-24.641,26.49,517.622,-24.276,29.53,9.739,11.533,0
203,10.15,507.528,-24.643,25.71,517.212,-24.281,29.53,9.69,9.133,0
204,10.2,507.177,-24.646,25.05,516.801,-24.286,29.58,9.631,7.66,0
205,10.25,506.836,-24.648,24.15,516.392,-24.289,29.37,9.562,6.592,0
206,10.3,506.507,-24.651,23.44,515.985,-24.289,29.29,9.485,5.837,0
207,10.35,506.189,-24.653,22.5,515.58,-24.288,28.99,9.398,5.213,0
208,10.4,505.885,-24.655,20.85,515.181,-24.284,28.58,9.303,4.336,0
209,10.45,505.636,-24.657,16.02,514.79,-24.279,27.82,9.162,2.796,0
210,10.5,505.455,-24.658,11.17,514.41,-24.272,27.09,8.964,2.027,0
211,10.55,505.34,-24.659,6.35,514.042,-24.266,26.09,8.711,1.588,0
212,10.6,505.292,-24.66,1.59,513.687,-24.261,25.27,8.404,1.277,0
213,10.65,505.29,-24.66,0.0,513.345,-24.255,24.21,8.065,1.199,0
214,10.7,505.29,-24.66,0.0,513.015,-24.249,23.44,7.736,1.188,0
215,10.75,505.29,-24.66,0.0,512.696,-24.242,22.71,7.418,1.176,0
216,10.8,505.289,-24.66,0.0,512.383,-24.236,22.39,7.107,1.143,0
217,10.85,505.289,-24.66,0.0,512.077,-24.228,21.78,6.802,1.124,0
218,10.9,505.289,-24.66,0.0,511.779,-24.218,21.36,6.505,1.096,0
219,10.95,505.289,-24.66,0.0,511.486,-24.208,20.92,6.214,1.07,0
220,11.0,505.289,-24.66,0.0,511.197,-24.197,20.82,5.926,1.025,0
221,11.05,505.289,-24.66,0.0,510.908,-24.183,20.82,5.64,0.975,0
222,11.1,505.289,-24.66,0.0,510.616,-24.17,21.31,5.349,0.904,0
223,11.15,505.289,-24.66,0.0,510.315,-24.159,21.93,5.051,0.829,0
224,11.2,505.289,-24.66,0.0,510.003,-24.146,22.9,4.742,0.746,0
225,11.25,505.297,-24.656,0.34,510.034,-24.118,2.53,4.767,7.805,1
226,11.3,505.298,-24.656,0.05,510.041,-24.11,0.15,4.774,165.995,0
227,11.35,505.297,-24.657,0.08,510.042,-24.11,0.09,4.777,1056.652,0
228,11.4,505.295,-24.657,0.11,510.044,-24.11,0.11,4.781,-1,0
229,11.45,505.293,-24.658,0.11,510.039,-24.11,1.02,4.777,18.91,0
230,11.5,505.291,-24.659,0.1,510.018,-24.109,2.08,4.758,8.64,0
231,11.55,505.291,-24.659,0.05,510.006,-24.105,0.17,4.747,149.667,1
232,11.6,505.291,-24.659,0.05,510.006,-24.105,0.02,4.748,-1,1
233,11.65,505.29,-24.659,0.04,510.006,-24.104,0.03,4.749,-1,1
234,11.7,505.29,-24.659,0.03,510.006,-24.104,0.02,4.749,-1,1
235,11.75,505.29,-24.659,0.02,510.006,-24.104,0.02,4.749,5649.145,1
236,11.8,505.29,-24.66,0.01,510.006,-24.103,0.02,4.749,2082.099,1
237,11.85,505.29,-24.66,0.01,510.006,-24.103,0.02,4.749,1743.17,1
238,11.9,505.29,-24.66,0.01,510.006,-24.102,0.02,4.749,1497.031,1
239,11.95,505.29,-24.66,0.01,510.007,-24.102,0.02,4.749,1336.32,1
240,12.0,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
241,12.05,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
242,12.1,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
243,12.15,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
244,12.2,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
245,12.25,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
246,12.3,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
247,12.35,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
248,12.4,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
249,12.45,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
250,12.5,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
251,12.55,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
252,12.6,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
253,12.65,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
254,12.7,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
255,12.75,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
256,12.8,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
257,12.85,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
258,12.9,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
259,12.95,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
260,13.0,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
261,13.05,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
262,13.1,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
263,13.15,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
264,13.2,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
265,13.25,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
266,13.3,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
267,13.35,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
268,13.4,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
269,13.45,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
270,13.5,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
271,13.55,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
272,13.6,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
273,13.65,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
274,13.7,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
275,13.75,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
276,13.8,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
277,13.85,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
278,13.9,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
279,13.95,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
280,14.0,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
281,14.05,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
282,14.1,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
283,14.15,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
284,14.2,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
285,14.25,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
286,14.3,505.29,-24.66,0.0,510.007,-24.102,0.0,4.749,-1,0
